table_a,table_b,key_label,tier,distinct_a,distinct_b,overlap_count,coverage_a_pct,coverage_b_pct,already_in_spine_connect_edges
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,10798,1580,771,7.14,48.8,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,10798,1504,762,7.06,50.66,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,10798,736,463,4.29,62.91,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,10798,977,452,4.19,46.26,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,10798,65,45,0.42,69.23,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,10798,1580,771,7.14,48.8,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,10798,1452,731,6.77,50.34,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,10798,289,132,1.22,45.67,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,10798,742,466,4.32,62.8,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,DOCKET,STRONG,9765364,11818,11786,0.12,99.73,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,9765364,10798,10772,0.11,99.76,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,9765364,20369250,1748852,17.91,8.59,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,9765364,9765364,9765364,100.0,100.0,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,9765364,6648335,1094366,11.21,16.46,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,9765364,9765364,9765364,100.0,100.0,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,9765364,11818,11786,0.12,99.73,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,9765364,10798,10772,0.11,99.76,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,9765364,1580,1578,0.02,99.87,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,9765364,1504,1501,0.02,99.8,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,9765364,736,734,0.01,99.73,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,9765364,977,975,0.01,99.8,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,9765364,65,64,0.0,98.46,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,9765364,1580,1578,0.02,99.87,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,9765364,1452,1449,0.01,99.79,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,9765364,289,287,0.0,99.31,False
LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,9765364,742,740,0.01,99.73,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,11818,10798,7905,66.89,73.21,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,11818,20369250,11816,99.98,0.06,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,11818,9765364,11786,99.73,0.12,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,11818,6648335,11218,94.92,0.17,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,11818,9765364,11786,99.73,0.12,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,11818,11818,11818,100.0,100.0,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,11818,10798,7905,66.89,73.21,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,11818,1580,1196,10.12,75.7,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,11818,1504,1154,9.76,76.73,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,11818,736,618,5.23,83.97,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,11818,977,743,6.29,76.05,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,11818,65,58,0.49,89.23,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,11818,1580,1196,10.12,75.7,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,11818,1452,1110,9.39,76.45,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,11818,289,214,1.81,74.05,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,11818,742,623,5.27,83.96,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,10798,20369250,10695,99.05,0.05,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,10798,9765364,10772,99.76,0.11,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,10798,6648335,8157,75.54,0.12,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,10798,9765364,10772,99.76,0.11,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,10798,11818,7905,73.21,66.89,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,10798,10798,10798,100.0,100.0,True
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,10798,1580,771,7.14,48.8,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,10798,1504,762,7.06,50.66,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,10798,736,463,4.29,62.91,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,10798,977,452,4.19,46.26,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,10798,65,45,0.42,69.23,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,10798,1580,771,7.14,48.8,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,10798,1452,731,6.77,50.34,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,10798,289,132,1.22,45.67,False
LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,10798,742,466,4.32,62.8,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,20369250,9765364,1748852,8.59,17.91,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,20369250,6648335,3199506,15.71,48.12,True
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,20369250,9765364,1748852,8.59,17.91,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,20369250,11818,11816,0.06,99.98,True
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,20369250,10798,10695,0.05,99.05,True
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,20369250,1580,1580,0.01,100.0,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,20369250,1504,1503,0.01,99.93,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,20369250,736,734,0.0,99.73,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,20369250,977,976,0.0,99.9,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,20369250,65,64,0.0,98.46,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,20369250,1580,1580,0.01,100.0,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,20369250,1452,1451,0.01,99.93,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,20369250,289,288,0.0,99.65,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,20369250,742,740,0.0,99.73,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,9765364,6648335,1094366,11.21,16.46,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,9765364,9765364,9765364,100.0,100.0,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,9765364,11818,11786,0.12,99.73,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,9765364,10798,10772,0.11,99.76,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,9765364,1580,1578,0.02,99.87,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,9765364,1504,1501,0.02,99.8,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,9765364,736,734,0.01,99.73,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,9765364,977,975,0.01,99.8,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,9765364,65,64,0.0,98.46,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,9765364,1580,1578,0.02,99.87,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,9765364,1452,1449,0.01,99.79,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,9765364,289,287,0.0,99.31,False
LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,9765364,742,740,0.01,99.73,False
LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,6648335,9765364,1094366,16.46,11.21,False
