YR,ST,FIPS5,REASON,N
2017,AR,05073,4,1
2016,TX,48475,2,1
2016,FL,12007,5,1
2016,TX,48443,4,1
2016,FL,12049,2,1
2016,VA,51025,6,1
2017,NC,37175,2,1
2016,GA,13087,6,1
2015,MS,28041,9,1
2016,MN,27075,6,1
2017,LA,22009,2,1
2015,TX,48495,6,1
2017,MO,29205,9,1
2017,GA,13305,6,1
2016,MO,29001,2,3
2016,MN,27089,7,1
2015,VA,51105,8,1
2017,AR,05019,6,1
2017,TX,48461,4,2
2016,MS,28127,5,1
2016,TN,47085,5,1
2015,SC,45039,2,1
2017,GA,13201,2,1
2015,MO,29001,5,1
2016,GA,13285,2,2
2017,MN,27049,6,1
2017,TX,48415,5,1
2016,TN,47181,4,1
2017,GA,13127,8,1
2017,GA,13079,5,1
2017,VA,51067,8,1
2015,TX,48111,9,1
2017,SC,45023,2,1
2015,LA,22107,6,1
2015,MO,29115,2,2
2015,NC,37059,8,1
2017,VA,51197,5,1
2015,TX,48305,6,1
2017,TX,48289,5,1
2016,MO,29035,6,1
2015,MS,28019,9,1
2017,AR,05037,6,1
2016,MN,27077,4,1
2016,MO,29205,7,1
2017,TX,48433,3,1
2015,WV,54007,5,1
2015,FL,12047,5,1
2015,MS,28107,6,1
2015,MS,28023,6,1
2015,TX,48123,2,1
2017,GA,13197,2,1
2015,VA,51119,2,1
2015,TN,47019,5,1
2015,TN,47173,5,1
2017,TX,48101,none,1
2017,MS,28075,2,1
2015,NC,37199,8,1
2016,LA,22035,4,2
2015,LA,22041,2,1
2015,TX,48283,5,1
2016,TX,48321,6,1
2015,MO,29151,7,1
2017,MN,27015,2,1
2016,MO,29057,2,1
2017,TN,47105,8,1
2016,MN,27041,2,1
2017,VA,51095,2,2
2015,VA,51530,2,1
2015,GA,13279,6,1
2016,TX,48117,2,1
2016,MO,29155,2,1
2017,MN,27009,8,1
2015,GA,13319,6,1
2016,AR,05025,5,1
2017,MN,27029,9,1
2016,MS,28097,1,1
2017,TX,48421,3,1
2015,GA,13281,5,1
2017,GA,13191,2,1
2016,GA,13235,9,1
2016,WV,54013,3,1
2017,AR,05101,7,1
2016,TN,47177,2,1
2016,MO,29173,5,1
2017,WV,54039,8,1
2017,TN,47173,6,1
2016,TX,48363,5,1
2016,MS,28053,6,1
2017,TN,47011,8,1
2017,TX,48431,6,2
2015,GA,13159,6,2
2016,TX,48267,3,1
2017,MO,29103,3,1
2016,TX,48357,6,1
2017,GA,13017,2,1
2015,LA,22023,5,2
2017,GA,13103,8,1
2016,VA,51595,1,1
2015,GA,13155,6,1
2015,TX,48413,7,1
2016,GA,13085,2,1
2016,MN,27093,2,1
2015,MS,28153,2,1
2017,MO,29045,1,1
2017,MS,28155,6,1
2015,GA,13301,4,1
2015,MO,29067,2,1
2016,MS,28065,7,1
2017,TN,47027,6,1
