FIPS5,ST,DN,DECL,ITYPE,REGS
22069,LA,4263,2016-03-13,F,1609
22091,LA,4277,2016-08-14,F,1748
22097,LA,4277,2016-08-14,F,4363
22113,LA,4277,2016-08-14,F,4219
48391,TX,4332,2017-08-25,H,3112
37155,NC,4285,2016-10-10,H,20749
29223,MO,4317,2017-06-02,F,72
12023,FL,4341,2017-09-27,H,1
28087,MS,4337,2017-09-10,H,1
45015,SC,4241,2015-10-05,F,6324
48201,TX,4245,2015-11-25,W,1415
05045,AR,4254,2016-02-05,W,48
28143,MS,4268,2016-03-25,F,104
48201,TX,4269,2016-04-25,F,23081
48001,TX,4269,2016-04-25,F,221
54075,WV,4273,2016-06-25,F,124
37085,NC,4285,2016-10-10,H,2030
37061,NC,4285,2016-10-10,H,1493
45069,SC,4286,2016-10-11,H,578
48071,TX,4332,2017-08-25,H,6806
72054,PR,4339,2017-09-20,H,4613
72087,PR,4339,2017-09-20,H,8654
72095,PR,4339,2017-09-20,H,3713
06033,CA,4344,2017-10-10,R,583
12055,FL,4337,2017-09-10,H,26454
21011,KY,4217,2015-05-01,F,55
48331,TX,4223,2015-05-29,W,160
05091,AR,4226,2015-06-26,W,36
48489,TX,4245,2015-11-25,W,898
48291,TX,4269,2016-04-25,F,464
22005,LA,4277,2016-08-14,F,13542
54049,WV,4331,2017-08-18,W,329
37031,NC,4285,2016-10-10,H,55
40143,OK,4222,2015-05-26,W,127
12107,FL,4341,2017-09-27,H,2
48151,TX,4268,2016-03-25,F,1
40091,OK,4222,2015-05-26,W,181
45043,SC,4241,2015-10-05,F,4867
22117,LA,4263,2016-03-13,F,3096
48367,TX,4266,2016-03-19,F,31
45009,SC,4286,2016-10-11,H,263
26051,MI,4326,2017-08-02,W,67
72045,PR,4339,2017-09-20,H,7499
72101,PR,4339,2017-09-20,H,11107
48241,TX,4266,2016-03-19,F,282
40067,OK,4222,2015-05-26,W,62
48471,TX,4223,2015-05-29,W,378
48121,TX,4223,2015-05-29,W,463
05105,AR,4226,2015-06-26,W,30
48251,TX,4223,2015-05-29,W,239
22059,LA,4263,2016-03-13,F,185
13179,GA,4284,2016-10-08,H,1518
12117,FL,4337,2017-09-10,H,64150
12023,FL,4337,2017-09-10,H,9108
72091,PR,4339,2017-09-20,H,13723
72071,PR,4339,2017-09-20,H,13966
40021,OK,4222,2015-05-26,W,14
29017,MO,4317,2017-06-02,F,27
22067,LA,4263,2016-03-13,F,2511
12099,FL,4341,2017-09-27,H,21
45015,SC,4285,2016-10-10,H,1
21111,KY,4217,2015-05-01,F,1397
21205,KY,4239,2015-08-12,W,178
48157,TX,4272,2016-06-11,F,1497
22043,LA,4263,2016-03-13,F,688
54089,WV,4273,2016-06-25,F,344
37153,NC,4285,2016-10-10,H,193
27013,MN,4290,2016-11-02,F,189
48199,TX,4332,2017-08-25,H,11458
48057,TX,4332,2017-08-25,H,7011
48315,TX,4266,2016-03-19,F,121
37007,NC,4285,2016-10-10,H,107
12001,FL,4337,2017-09-10,H,24595
12089,FL,4337,2017-09-10,H,7235
29073,MO,4250,2016-01-21,F,62
29125,MO,4250,2016-01-21,F,18
21209,KY,4217,2015-05-01,F,74
45017,SC,4241,2015-10-05,F,942
48349,TX,4245,2015-11-25,W,648
48273,TX,4272,2016-06-11,F,525
48021,TX,4272,2016-06-11,F,408
22121,LA,4277,2016-08-14,F,341
13109,GA,4284,2016-10-08,H,300
51700,VA,4291,2016-11-02,H,220
29155,MO,4317,2017-06-02,F,43
26111,MI,4326,2017-08-02,W,1463
48177,TX,4332,2017-08-25,H,687
12109,FL,4337,2017-09-10,H,13856
06057,CA,4344,2017-10-10,R,226
48221,TX,4266,2016-03-19,F,19
45021,SC,4337,2017-09-10,H,1
21025,KY,4239,2015-08-12,W,317
40019,OK,4222,2015-05-26,W,600
56027,WY,4227,2015-07-07,F,206
45067,SC,4241,2015-10-05,F,1112
54043,WV,4273,2016-06-25,F,115
48367,TX,4272,2016-06-11,F,48
12101,FL,4280,2016-09-28,H,1029
51650,VA,4291,2016-11-02,H,241
05147,AR,4318,2017-06-15,W,71
48123,TX,4332,2017-08-25,H,1607
78030,VI,4335,2017-09-07,H,14848
72075,PR,4339,2017-09-20,H,17611
72137,PR,4339,2017-09-20,H,28477
29071,MO,4317,2017-06-02,F,177
28117,MS,4248,2016-01-04,W,12
48491,TX,4223,2015-05-29,W,473
22033,LA,4277,2016-08-14,F,69280
12087,FL,4337,2017-09-10,H,44567
12115,FL,4337,2017-09-10,H,34522
12049,FL,4337,2017-09-10,H,4547
72033,PR,4339,2017-09-20,H,8598
40145,OK,4222,2015-05-26,W,164
46113,SD,4237,2015-08-07,W,1863
45063,SC,4241,2015-10-05,F,5818
48143,TX,4266,2016-03-19,F,62
48407,TX,4269,2016-04-25,F,314
48339,TX,4272,2016-06-11,F,3111
22041,LA,4263,2016-03-13,F,229
13103,GA,4284,2016-10-08,H,1228
37051,NC,4285,2016-10-10,H,16620
45015,SC,4286,2016-10-11,H,2233
48039,TX,4332,2017-08-25,H,45132
51069,VA,9804,2016-02-14,S,57
05131,AR,4254,2016-02-05,W,35
40097,OK,4222,2015-05-26,W,38
05033,AR,4254,2016-02-05,W,41
22071,LA,4300,2017-02-11,T,3241
72053,PR,4337,2017-09-10,H,2
05067,AR,4318,2017-06-15,W,29
48355,TX,4223,2015-05-29,W,3499
29189,MO,4250,2016-01-21,F,1656
22063,LA,4277,2016-08-14,F,33675
22125,LA,4277,2016-08-14,F,394
72119,PR,4339,2017-09-20,H,17065
72015,PR,4339,2017-09-20,H,6376
72111,PR,4339,2017-09-20,H,6883
40083,OK,4222,2015-05-26,W,22
05149,AR,4318,2017-06-15,W,43
48149,TX,4223,2015-05-29,W,38
22111,LA,4263,2016-03-13,F,813
28109,MS,4268,2016-03-25,F,125
12123,FL,4280,2016-09-28,H,351
48407,TX,4332,2017-08-25,H,2739
06045,CA,4344,2017-10-10,R,1071
06007,CA,4344,2017-10-10,R,560
12111,FL,4341,2017-09-27,H,92
12079,FL,4341,2017-09-27,H,1
12053,FL,4341,2017-09-27,H,1
40107,OK,4222,2015-05-26,W,151
48181,TX,4223,2015-05-29,W,861
48349,TX,4223,2015-05-29,W,325
29141,MO,4250,2016-01-21,F,45
05133,AR,4254,2016-02-05,W,33
22073,LA,4263,2016-03-13,F,11797
37013,NC,4285,2016-10-10,H,766
45051,SC,4286,2016-10-11,H,7249
48471,TX,4332,2017-08-25,H,2130
12083,FL,4337,2017-09-10,H,54837
12000,FL,4337,2017-09-10,H,3
21017,KY,4217,2015-05-01,F,116
27053,MN,4290,2016-11-02,F,131
13029,GA,4284,2016-10-08,H,1050
40005,OK,4222,2015-05-26,W,300
21223,KY,4239,2015-08-12,W,100
28027,MS,4248,2016-01-04,W,301
22015,LA,4263,2016-03-13,F,1522
22119,LA,4263,2016-03-13,F,1150
28035,MS,4268,2016-03-25,F,264
45053,SC,4286,2016-10-11,H,1225
47155,TN,4293,2016-12-15,R,1539
28073,MS,4295,2017-01-25,T,149
13287,GA,4297,2017-01-26,T,258
48457,TX,4332,2017-08-25,H,2166
48287,TX,4332,2017-08-25,H,239
12093,FL,4337,2017-09-10,H,5907
40077,OK,4222,2015-05-26,W,36
29011,MO,4250,2016-01-21,F,15
48221,TX,4223,2015-05-29,W,86
40033,OK,4222,2015-05-26,W,70
12109,FL,4341,2017-09-27,H,1
40051,OK,4222,2015-05-26,W,711
06033,CA,4240,2015-09-22,R,2906
45047,SC,4241,2015-10-05,F,535
45045,SC,4241,2015-10-05,F,367
22061,LA,4263,2016-03-13,F,381
28153,MS,4268,2016-03-25,F,57
22117,LA,4277,2016-08-14,F,447
37107,NC,4285,2016-10-10,H,3698
48339,TX,4332,2017-08-25,H,21765
12099,FL,4337,2017-09-10,H,178216
45083,SC,4241,2015-10-05,F,354
48493,TX,4245,2015-11-25,W,78
12089,FL,4341,2017-09-27,H,1
28009,MS,4248,2016-01-04,W,190
48291,TX,4272,2016-06-11,F,513
54039,WV,4273,2016-06-25,F,2471
12117,FL,4283,2016-10-08,H,928
29149,MO,4317,2017-06-02,F,60
48089,TX,4332,2017-08-25,H,1156
12031,FL,4337,2017-09-10,H,125531
12007,FL,4337,2017-09-10,H,3988
13191,GA,4338,2017-09-15,H,1745
40085,OK,4222,2015-05-26,W,102
05007,AR,4254,2016-02-05,W,174
22085,LA,4263,2016-03-13,F,194
54063,WV,4273,2016-06-25,F,106
22099,LA,4277,2016-08-14,F,3235
12089,FL,4283,2016-10-08,H,681
45013,SC,4286,2016-10-11,H,8222
29181,MO,4317,2017-06-02,F,210
26021,MI,4337,2017-09-10,H,1
37041,NC,4285,2016-10-10,H,227
48015,TX,4332,2017-08-25,H,951
12021,FL,4341,2017-09-27,H,105
29113,MO,4250,2016-01-21,F,54
28119,MS,4268,2016-03-25,F,304
12017,FL,4280,2016-09-28,H,1108
29186,MO,4317,2017-06-02,F,4
48167,TX,4332,2017-08-25,H,50435
05033,AR,4226,2015-06-26,W,124
72089,PR,4336,2017-09-10,H,412
13039,GA,4338,2017-09-15,H,5443
72147,PR,4339,2017-09-20,H,3040
37031,NC,4241,2015-10-05,F,1
45075,SC,4241,2015-10-05,F,7148
29009,MO,4250,2016-01-21,F,96
48407,TX,4272,2016-06-11,F,270
22105,LA,4277,2016-08-14,F,11163
45067,SC,4286,2016-10-11,H,4632
29069,MO,4317,2017-06-02,F,31
48403,TX,4332,2017-08-25,H,321
51043,VA,9804,2016-02-14,S,21
48213,TX,4223,2015-05-29,W,294
48139,TX,4223,2015-05-29,W,125
72131,PR,4339,2017-09-20,H,12216
72047,PR,4339,2017-09-20,H,12129
40141,OK,4222,2015-05-26,W,56
40115,OK,4222,2015-05-26,W,12
72127,PR,4337,2017-09-10,H,1
29051,MO,4250,2016-01-21,F,26
48073,TX,4269,2016-04-25,F,67
48039,TX,4272,2016-06-11,F,1807
22009,LA,4277,2016-08-14,F,648
37105,NC,4285,2016-10-10,H,250
05121,AR,4318,2017-06-15,W,245
48453,TX,4223,2015-05-29,W,610
72057,PR,4339,2017-09-20,H,14026
72017,PR,4339,2017-09-20,H,9375
05081,AR,4226,2015-06-26,W,83
45061,SC,4241,2015-10-05,F,2141
29151,MO,4250,2016-01-21,F,23
29145,MO,4250,2016-01-21,F,115
05015,AR,4254,2016-02-05,W,28
48481,TX,4269,2016-04-25,F,296
12081,FL,4280,2016-09-28,H,361
37177,NC,4285,2016-10-10,H,323
40089,OK,4222,2015-05-26,W,202
40133,OK,4222,2015-05-26,W,390
13179,GA,4338,2017-09-15,H,2372
12000,FL,4341,2017-09-27,H,167
06055,CA,4344,2017-10-10,R,3501
37093,NC,4285,2016-10-10,H,2177
72077,PR,4339,2017-09-20,H,13769
36069,NY,4337,2017-09-10,H,1
28107,MS,4248,2016-01-04,W,49
22103,LA,4263,2016-03-13,F,2066
13051,GA,4284,2016-10-08,H,14454
29203,MO,4317,2017-06-02,F,95
05015,AR,4318,2017-06-15,W,30
54103,WV,4331,2017-08-18,W,266
48291,TX,4332,2017-08-25,H,11941
48007,TX,4332,2017-08-25,H,14711
40075,OK,4222,2015-05-26,W,150
72011,PR,4339,2017-09-20,H,9833
12041,FL,4341,2017-09-27,H,1
45009,SC,4241,2015-10-05,F,597
22025,LA,4263,2016-03-13,F,215
37073,NC,4285,2016-10-10,H,179
45033,SC,4286,2016-10-11,H,2921
29043,MO,4317,2017-06-02,F,31
29055,MO,4317,2017-06-02,F,24
48467,TX,4223,2015-05-29,W,327
12125,FL,4337,2017-09-10,H,1496
72149,PR,4339,2017-09-20,H,8371
22003,LA,4263,2016-03-13,F,182
48429,TX,4272,2016-06-11,F,96
13321,GA,4297,2017-01-26,T,192
48351,TX,4332,2017-08-25,H,2244
48055,TX,4223,2015-05-29,W,323
56019,WY,4227,2015-07-07,F,155
72009,PR,4339,2017-09-20,H,8759
12061,FL,4283,2016-10-08,H,711
72137,PR,4336,2017-09-10,H,633
06115,CA,4344,2017-10-10,R,619
40041,OK,4222,2015-05-26,W,8
29229,MO,4250,2016-01-21,F,42
29167,MO,4250,2016-01-21,F,41
29187,MO,4250,2016-01-21,F,40
48287,TX,4272,2016-06-11,F,113
22001,LA,4277,2016-08-14,F,4281
37053,NC,4285,2016-10-10,H,354
37019,NC,4285,2016-10-10,H,873
51800,VA,4291,2016-11-02,H,341
48025,TX,4332,2017-08-25,H,2603
48055,TX,4332,2017-08-25,H,289
48039,TX,4223,2015-05-29,W,246
12021,FL,4337,2017-09-10,H,81055
72121,PR,4339,2017-09-20,H,8342
72103,PR,4339,2017-09-20,H,8581
72039,PR,4339,2017-09-20,H,6521
48387,TX,4223,2015-05-29,W,34
72033,PR,4336,2017-09-10,H,291
13031,GA,4337,2017-09-10,H,2
28095,MS,4248,2016-01-04,W,96
22049,LA,4263,2016-03-13,F,171
54015,WV,4273,2016-06-25,F,1035
37191,NC,4285,2016-10-10,H,7533
45041,SC,4286,2016-10-11,H,6015
05143,AR,4318,2017-06-15,W,458
05021,AR,4318,2017-06-15,W,72
48273,TX,4332,2017-08-25,H,1518
12011,FL,4337,2017-09-10,H,344185
72113,PR,4339,2017-09-20,H,55073
72001,PR,4339,2017-09-20,H,6431
78020,VI,4340,2017-09-20,H,643
21073,KY,4217,2015-05-01,F,113
29201,MO,4250,2016-01-21,F,19
48499,TX,4269,2016-04-25,F,48
12127,FL,4283,2016-10-08,H,19520
13075,GA,4297,2017-01-26,T,123
48481,TX,4332,2017-08-25,H,6261
48497,TX,4223,2015-05-29,W,291
12035,FL,4337,2017-09-10,H,10173
72023,PR,4339,2017-09-20,H,15988
29119,MO,4250,2016-01-21,F,141
05067,AR,4254,2016-02-05,W,27
22115,LA,4263,2016-03-13,F,622
48361,TX,4266,2016-03-19,F,1811
28151,MS,4268,2016-03-25,F,1376
48423,TX,4269,2016-04-25,F,267
45027,SC,4286,2016-10-11,H,775
29151,MO,4317,2017-06-02,F,22
48485,TX,4223,2015-05-29,W,297
48073,TX,4223,2015-05-29,W,261
46007,SD,4237,2015-08-07,W,333
12075,FL,4337,2017-09-10,H,4806
72085,PR,4339,2017-09-20,H,13085
72059,PR,4339,2017-09-20,H,7260
28135,MS,4268,2016-03-25,F,317
37017,NC,4285,2016-10-10,H,3349
72055,PR,4339,2017-09-20,H,6544
22039,LA,4332,2017-08-25,H,1
12087,FL,4341,2017-09-27,H,1
29183,MO,4250,2016-01-21,F,375
29099,MO,4250,2016-01-21,F,799
22123,LA,4263,2016-03-13,F,727
48293,TX,4266,2016-03-19,F,64
26017,MI,4326,2017-08-02,W,447
21131,KY,4239,2015-08-12,W,315
12061,FL,4337,2017-09-10,H,12660
72053,PR,4339,2017-09-20,H,11971
72105,PR,4339,2017-09-20,H,10504
72011,PR,4337,2017-09-10,H,1
48055,TX,4245,2015-11-25,W,104
22091,LA,4263,2016-03-13,F,510
48185,TX,4272,2016-06-11,F,492
54067,WV,4273,2016-06-25,F,1216
12075,FL,4280,2016-09-28,H,409
51810,VA,4291,2016-11-02,H,3298
29145,MO,4317,2017-06-02,F,420
29097,MO,4317,2017-06-02,F,94
72153,PR,4339,2017-09-20,H,14696
72067,PR,4339,2017-09-20,H,5587
22077,LA,4277,2016-08-14,F,1194
29067,MO,4317,2017-06-02,F,62
12107,FL,4337,2017-09-10,H,15813
12101,FL,4341,2017-09-27,H,1
22079,LA,4263,2016-03-13,F,509
48339,TX,4269,2016-04-25,F,2065
22055,LA,4277,2016-08-14,F,11074
37125,NC,4285,2016-10-10,H,444
45049,SC,4286,2016-10-11,H,743
45017,SC,4286,2016-10-11,H,146
29023,MO,4317,2017-06-02,F,257
05117,AR,4318,2017-06-15,W,30
48201,TX,4332,2017-08-25,H,505253
48255,TX,4332,2017-08-25,H,433
48175,TX,4332,2017-08-25,H,1273
72035,PR,4339,2017-09-20,H,15748
72143,PR,4339,2017-09-20,H,11322
48321,TX,4332,2017-08-25,H,10969
48419,TX,4223,2015-05-29,W,68
12095,FL,4341,2017-09-27,H,15
48473,TX,4272,2016-06-11,F,424
45019,SC,4285,2016-10-10,H,1
27161,MN,4290,2016-11-02,F,827
40049,OK,4222,2015-05-26,W,54
48337,TX,4223,2015-05-29,W,208
48147,TX,4223,2015-05-29,W,190
72147,PR,4336,2017-09-10,H,392
72019,PR,4339,2017-09-20,H,11023
72109,PR,4339,2017-09-20,H,6408
48031,TX,4337,2017-09-10,H,2
05133,AR,4226,2015-06-26,W,47
45085,SC,4241,2015-10-05,F,11205
48185,TX,4269,2016-04-25,F,232
48041,TX,4272,2016-06-11,F,506
13315,GA,4297,2017-01-26,T,71
29215,MO,4317,2017-06-02,F,87
40063,OK,4222,2015-05-26,W,96
12071,FL,4337,2017-09-10,H,141236
12035,FL,4283,2016-10-08,H,5600
72115,PR,4339,2017-09-20,H,8753
72075,PR,4337,2017-09-10,H,1
72085,PR,4337,2017-09-10,H,1
12055,FL,4341,2017-09-27,H,2
48213,TX,4266,2016-03-19,F,107
54035,WV,4273,2016-06-25,F,81
37147,NC,4285,2016-10-10,H,3755
13275,GA,4297,2017-01-26,T,97
48355,TX,4332,2017-08-25,H,57053
40031,OK,4222,2015-05-26,W,692
48143,TX,4223,2015-05-29,W,272
72041,PR,4339,2017-09-20,H,13774
78030,VI,4340,2017-09-20,H,5809
48215,TX,4245,2015-11-25,W,2301
05077,AR,4254,2016-02-05,W,33
37163,NC,4285,2016-10-10,H,2512
40121,OK,4222,2015-05-26,W,342
48249,TX,4223,2015-05-29,W,1742
12057,FL,4337,2017-09-10,H,145821
13049,GA,4338,2017-09-15,H,805
72133,PR,4339,2017-09-20,H,8308
72005,PR,4339,2017-09-20,H,19224
21069,KY,4239,2015-08-12,W,49
05037,AR,4223,2015-05-29,W,1
29031,MO,4250,2016-01-21,F,91
48015,TX,4272,2016-06-11,F,255
22045,LA,4277,2016-08-14,F,4719
13031,GA,4284,2016-10-08,H,715
37133,NC,4285,2016-10-10,H,481
45085,SC,4286,2016-10-11,H,845
27131,MN,4290,2016-11-02,F,18
05145,AR,4318,2017-06-15,W,61
40125,OK,4222,2015-05-26,W,648
12029,FL,4337,2017-09-10,H,2156
72129,PR,4339,2017-09-20,H,12885
72069,PR,4337,2017-09-10,H,1
45019,SC,4241,2015-10-05,F,11039
48187,TX,4245,2015-11-25,W,128
48203,TX,4266,2016-03-19,F,394
28107,MS,4268,2016-03-25,F,80
28067,MS,4268,2016-03-25,F,160
22103,LA,4277,2016-08-14,F,555
22039,LA,4277,2016-08-14,F,1474
13095,GA,4297,2017-01-26,T,2607
12051,FL,4337,2017-09-10,H,9175
12003,FL,4337,2017-09-10,H,3264
48163,TX,4223,2015-05-29,W,43
48477,TX,4272,2016-06-11,F,943
45061,SC,4286,2016-10-11,H,481
13019,GA,4297,2017-01-26,T,51
29209,MO,4317,2017-06-02,F,106
40109,OK,4222,2015-05-26,W,1861
12017,FL,4337,2017-09-10,H,16062
12043,FL,4337,2017-09-10,H,1975
72097,PR,4339,2017-09-20,H,27099
48291,TX,4223,2015-05-29,W,715
40081,OK,4222,2015-05-26,W,28
29215,MO,4250,2016-01-21,F,27
22011,LA,4263,2016-03-13,F,345
48183,TX,4266,2016-03-19,F,151
48133,TX,4272,2016-06-11,F,125
37083,NC,4285,2016-10-10,H,543
29229,MO,4317,2017-06-02,F,14
48021,TX,4332,2017-08-25,H,865
46071,SD,4237,2015-08-07,W,310
72029,PR,4336,2017-09-10,H,1004
12086,FL,4337,2017-09-10,H,670925
12127,FL,4337,2017-09-10,H,70236
72151,PR,4339,2017-09-20,H,12185
46033,SD,4237,2015-08-07,W,6
48201,TX,4223,2015-05-29,W,13114
48157,TX,4223,2015-05-29,W,834
05069,AR,4226,2015-06-26,W,190
37183,NC,4285,2016-10-10,H,1024
54033,WV,4331,2017-08-18,W,85
72003,PR,4339,2017-09-20,H,14098
72037,PR,4339,2017-09-20,H,4538
72093,PR,4339,2017-09-20,H,1876
06097,CA,4344,2017-10-10,R,18117
72057,PR,4337,2017-09-10,H,2
26073,MI,4326,2017-08-02,W,1024
13069,GA,4338,2017-09-15,H,771
48053,TX,4337,2017-09-10,H,1
12009,FL,4341,2017-09-27,H,3
48401,TX,4223,2015-05-29,W,465
22083,LA,4263,2016-03-13,F,1282
22031,LA,4263,2016-03-13,F,299
12073,FL,4280,2016-09-28,H,1586
45089,SC,4286,2016-10-11,H,2670
29125,MO,4317,2017-06-02,F,31
48409,TX,4332,2017-08-25,H,18726
48361,TX,4332,2017-08-25,H,32268
12067,FL,4337,2017-09-10,H,1099
48165,TX,4223,2015-05-29,W,84
48089,TX,4269,2016-04-25,F,92
13095,GA,4337,2017-09-10,H,1
45027,SC,4241,2015-10-05,F,4430
45071,SC,4241,2015-10-05,F,777
29213,MO,4250,2016-01-21,F,154
27079,MN,4290,2016-11-02,F,51
22053,LA,4277,2016-08-14,F,1445
48187,TX,4223,2015-05-29,W,130
29049,MO,4338,2017-09-15,H,1
12019,FL,4341,2017-09-27,H,1
21063,KY,4217,2015-05-01,F,61
40079,OK,4222,2015-05-26,W,205
45031,SC,4241,2015-10-05,F,3096
29225,MO,4250,2016-01-21,F,44
22093,LA,4277,2016-08-14,F,325
37047,NC,4285,2016-10-10,H,5809
29077,MO,4317,2017-06-02,F,109
78010,VI,4340,2017-09-20,H,19246
12011,FL,4341,2017-09-27,H,415
48051,TX,4272,2016-06-11,F,262
48453,TX,4272,2016-06-11,F,215
72069,PR,4339,2017-09-20,H,20901
40123,OK,4222,2015-05-26,W,209
40099,OK,4222,2015-05-26,W,79
06009,CA,4240,2015-09-22,R,1286
05061,AR,4226,2015-06-26,W,80
45035,SC,4241,2015-10-05,F,4591
45039,SC,4241,2015-10-05,F,674
22021,LA,4263,2016-03-13,F,693
28039,MS,4268,2016-03-25,F,58
22037,LA,4277,2016-08-14,F,1356
12029,FL,4280,2016-09-28,H,444
37095,NC,4285,2016-10-10,H,226
37091,NC,4285,2016-10-10,H,524
28035,MS,4295,2017-01-25,T,2242
29213,MO,4317,2017-06-02,F,176
48245,TX,4332,2017-08-25,H,75611
48373,TX,4332,2017-08-25,H,2507
72127,PR,4339,2017-09-20,H,132617
72081,PR,4339,2017-09-20,H,9456
21043,KY,4217,2015-05-01,F,121
45079,SC,4241,2015-10-05,F,23402
40009,OK,4222,2015-05-26,W,183
69110,MP,4235,2015-08-05,J,1047
48091,TX,4245,2015-11-25,W,187
37065,NC,4285,2016-10-10,H,3503
45005,SC,4286,2016-10-11,H,280
51740,VA,4291,2016-11-02,H,644
06059,CA,4344,2017-10-10,R,2197
28093,MS,4248,2016-01-04,W,423
13051,GA,4337,2017-09-10,H,1
45073,SC,4280,2016-09-28,H,1
29105,MO,4250,2016-01-21,F,50
22009,LA,4263,2016-03-13,F,40
12009,FL,4283,2016-10-08,H,5900
37049,NC,4285,2016-10-10,H,691
48285,TX,4332,2017-08-25,H,461
12027,FL,4337,2017-09-10,H,4984
13051,GA,4338,2017-09-15,H,25622
72135,PR,4339,2017-09-20,H,23376
72117,PR,4339,2017-09-20,H,4966
40029,OK,4222,2015-05-26,W,28
48481,TX,4223,2015-05-29,W,133
