-- S12 FEC committees (one clean line each) for every FEC committee ID the Google buyers listed
CMTE | CMTE_NM | CMTE_ST | CMTE_CITY | CMTE_TP | CMTE_DSGN | CMTE_PTY_AFFILIATION | CAND_ID | CYCLE | IS_AMBIGUOUS | SRC
C00311639 | DIANA DEGETTE FOR CONGRESS | CO | DENVER | H | P | DEM | H6CO01141 | 2026 | False | bulk_cm26
C90015140 | AFT SOLIDARITY | DC | WASHINGTON | I | U |  |  | 2026 | False | bulk_cm26
C00924092 | SUNUNU SENATOR | NH | HAMPTON | S | P | REP | S6NH00208 | 2026 | False | bulk_cm26
C00610451 | BIGGS FOR CONGRESS | VA | ALEXANDRIA | H | P | REP | H6AZ05083 | 2026 | False | bulk_cm26
C00461061 | BERA FOR CONGRESS | CA | ELK GROVE | H | P | DEM | H0CA03078 | 2026 | False | bulk_cm26
C00792085 | KELLY COOPER FOR CONGRESS | AZ | CHANDLER | H | P | REP | H2AZ09191 | 2026 | False | bulk_cm26
C00803726 | FRIENDS OF JEREMY SHAFFER | PA | GIBSONIA | H | P | REP | H2PA17160 | 2026 | False | bulk_cm26
C00799684 | YESLI VEGA FOR VIRGINIA | VA | WOODBRIDGE | H | P | REP | H2VA07261 | 2026 | False | bulk_cm26
C00903799 | ALEX KELLOFF FOR COLORADO | CO | SNOWMASS | H | P | DEM | H6CO03212 | 2026 | False | bulk_cm26
C00371302 | TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN | TX | LAREDO | H | P | DEM | H2TX23082 | 2026 | False | bulk_cm26
C00911966 | ROBIN PEGUERO FOR CONGRESS | FL | SOUTH MIAMI | H | P | DEM | H6FL27072 | 2026 | False | bulk_cm26
C00574889 | TAMMY FOR ILLINOIS | IL | CHICAGO | S | P | DEM | S6IL00292 | 2026 | False | bulk_cm26
C00600718 | DAVIDSON FOR CONGRESS | OH | TROY | H | P | REP | H6OH08315 | 2026 | False | bulk_cm26
C00852210 | KATRINA SHANKLAND FOR CONGRESS | WI | STEVENS POINT | H | P | DEM | H4WI03201 | 2026 | False | bulk_cm26
C00770016 | READY OR NOT | TX | ARLINGTON | N | U | DEM | H2TX06327 | 2026 | False | bulk_cm26
C00793380 | BRIGHTER FUTURE PAC | DC | WASHINGTON | V | U | DEM | H2NC06098 | 2026 | True | bulk_cm26
C00933382 | TRINA FOR CONGRESS | MN | DULUTH | H | P | DFL | H6MN08179 | 2026 | False | bulk_cm26
C00928036 | ERIC ROUSE FOR US CONGRESS | NC | NORWOOD | H | P | REP | C00928036 | 2026 | False | bulk_cm26
C00928069 | DREAM NYC | DC | WASHINGTON | O | U |  |  | 2026 | False | bulk_cm26
C00155952 | DEMOCRATIC PARTY OF VIRGINIA | VA | RICHMOND | Y | U | DEM |  | 2026 | False | bulk_cm26
C00834291 | LATEEFAH FOR CONGRESS | CA | OAKLAND | H | P | DEM | H4CA12154 | 2026 | False | bulk_cm26
C00568444 | CENTER FORWARD COMMITTEE | VA | MCLEAN | O | B |  |  | 2026 | True | bulk_cm26
C90017781 | 314 ACTION | DC | WASHINGTON | I | U |  |  | 2026 | False | bulk_cm26
C00697789 | JERRY CARL FOR CONGRESS | AL | MOBILE | H | P | REP | H0AL01055 | 2026 | False | bulk_cm26
C00633404 | STOP REPUBLICANS | IL | EVANSTON | V | U |  |  | 2026 | True | bulk_cm26
C00032334 | NEBRASKA REPUBLICAN PARTY | NE | LINCOLN | Y | U | REP |  | 2026 | False | bulk_cm26
C00833608 | BARBARA LEE FOR US SENATE | CA | OAKLAND | S | P | DEM | S4CA00589 | 2026 | False | bulk_cm26
C00853085 | CARTER FOR CONGRESS | FL | KISSIMMEE | H | A | IND | H4FL09190 | 2026 | False | bulk_cm26
C00744946 | HARRIS VICTORY FUND | DC | WASHINGTON | N | J |  |  | 2026 | True | bulk_cm26
C00904797 | SOUTH DAKOTA CONSERVATIVE PAC | SD | SIOUX FALLS | O | U |  |  | 2026 | False | bulk_cm26
C00935809 | CHICAGO PROGRESSIVE PARTNERSHIP | IL | CHICAGO | O | U |  |  | 2026 | False | bulk_cm26
C00892810 | MICHAEL DYLAN THOMPSON FOR CONGRESS | FL | PENSACOLA | H | P | REP | H6FL01275 | 2026 | False | bulk_cm26
C00869990 | LEW WEBB FOR CONGRESS | CO | DURANGO | H | P | REP | H4CO03464 | 2026 | False | bulk_cm26
C00809145 | JONES, HERB (US HOUSE) | VA | PROVIDENCE FORGE | H | P | DEM | H2VA01124 | 2026 | True | bulk_cm26
C90015181 | LATINO VICTORY PROJECT | DC | WASHINGTON | I | U |  |  | 2026 | False | bulk_cm26
C00732826 | STRICKLAND FOR WASHINGTON | WA | TACOMA | H | P | DEM | H0WA10034 | 2026 | False | bulk_cm26
C00539825 | CAPITO FOR WEST VIRGINIA | WV | CHARLESTON | S | P | REP | S4WV00159 | 2026 | False | bulk_cm26
C00723437 | EISEN FOR CONGRESS, INC. | NY | SHIRLEY | H | P | IND | H0NY17208 | 2026 | False | bulk_cm26
C00487363 | AMERICAN CROSSROADS | DC | WASHINGTON | O | U |  |  | 2026 | False | bulk_cm26
(2937 rows; csv has all)
