-- S15 Weekly Google political spend for every account verified with the U.S. House's own EIN (53-6002523), i.e. members' official offices
ADVERTISER_ID | ADVERTISER_NAME | WEEK_START_DATE | ELECTION_CYCLE | USD
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-03-29 |  | 2200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-04-05 |  | 2300
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-04-12 |  | 2700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-04-19 |  | 5000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-04-26 |  | 4200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-05-03 |  | 2000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-05-17 |  | 5000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-05-24 |  | 4100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-07-12 |  | 2600
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-07-19 |  | 3000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-07-26 |  | 3000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-08-02 |  | 1300
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2021-11-21 |  | 1000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2021-11-28 |  | 1700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2021-12-05 |  | 1800
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2021-12-12 |  | 1600
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2021-12-19 |  | 1800
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2021-12-26 |  | 1600
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-01-02 |  | 200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-07-31 |  | 400
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-08-07 |  | 2500
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-08-14 |  | 2700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-08-21 |  | 2700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-08-28 |  | 3700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2022-09-04 |  | 2600
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-07-09 |  | 200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-07-16 |  | 1200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-07-23 |  | 1200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-07-30 |  | 1200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-08-06 |  | 1200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-08-13 |  | 100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-10-15 |  | 800
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-10-22 |  | 1100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-10-29 |  | 1100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2023-11-05 |  | 800
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2024-02-25 |  | 300
(4190 rows; csv has all)
