-- S17 SDWA eyeball: every tier-1 violation since 2015 at Yuma AZ and three West Texas nitrate systems, with measured level, MCL, status, enforcement codes, and linked PN violations
PWSID | VIOLATION_ID | VC | CC | TIER | B | M | FMCL | SMCL | U | STATUS | FAC | ENF | PN
AZ0414024 | 6575 | 13 | 1008 | 1 | 2021-05-01 | 1.2 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIA@2022-04-05 SIE@2022-04-05 SOX@2022-04-07 | 6577:Resolved:2021-05-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6580 | 13 | 1008 | 1 | 2021-06-01 | 1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIE@2022-04-05 SOX@2022-04-07 SIF@2022-03-22 SIA@2022-04-05 | 6582:Resolved:2021-06-01:SOX@2022-06-02 SIA@2022-04-05
AZ0414024 | 6583 | 13 | 1008 | 1 | 2021-07-01 | 1.5 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIA@2022-04-05 SOX@2022-04-07 SIE@2022-04-05 SIF@2022-03-22 | 6585:Resolved:2021-07-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6588 | 13 | 1008 | 1 | 2021-08-01 | 1.2 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIE@2022-04-05 SOX@2022-04-07 SIA@2022-04-05 | 6590:Resolved:2021-08-01:SOX@2022-06-02 SIA@2022-04-05
AZ0414024 | 6593 | 13 | 1008 | 1 | 2021-09-01 | 1.1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIA@2022-04-05 SIE@2022-04-05 SIF@2022-03-22 SOX@2022-04-07 | 6595:Resolved:2021-09-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6598 | 13 | 1008 | 1 | 2021-10-01 | 1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SOX@2022-04-07 SIE@2022-04-05 SIA@2022-04-05 | 6600:Resolved:2021-10-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6601 | 13 | 1008 | 1 | 2021-11-01 | 1.3 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SOX@2022-04-07 SIE@2022-04-05 SIA@2022-04-05 | 6603:Resolved:2021-11-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6604 | 13 | 1008 | 1 | 2021-12-01 | 1.3 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SOX@2022-04-07 SIE@2022-04-05 SIA@2022-04-05 | 6606:Resolved:2021-12-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6607 | 13 | 1008 | 1 | 2022-01-01 | 1.3 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIA@2022-04-08 SOX@2022-04-07 SIE@2022-04-08 SIF@2022-03-22 | 6612:Resolved:2022-01-01:SIA@2022-04-26 SOX@2022-06-02
AZ0414024 | 6608 | 13 | 1008 | 1 | 2022-02-01 | 1.6 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIE@2022-04-08 SIA@2022-04-08 SOX@2022-04-07 | 6613:Resolved:2022-02-01:SOX@2022-06-02 SIA@2022-04-26
AZ0414024 | 6611 | 13 | 1008 | 1 | 2022-03-01 | 1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIE@2022-04-08 SIA@2022-04-08 SOX@2022-04-07 | 6614:Resolved:2022-03-01:SIA@2022-04-26 SOX@2022-06-02
TX0480011 | 990010158 | 01 | 1040 | 1 | 2015-01-01 | 38 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2016-09-30 SIE@2015-03-20 EFL@2011-08-29 EFL@2019-09-20 SIA@2015-03-20 SIF@2019-07-16 | 990010166:Resolved:2015-06-19:SIA@2015-07-09 SOX@2019-07-16 EFL@2016-09-30 SFO@2017-05-04
TX0480011 | 990010164 | 01 | 1040 | 1 | 2015-04-01 | 36 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2016-09-30 EFL@2011-08-29 EFL@2019-09-20 SIE@2015-06-25 SIA@2015-06-25 SIF@2019-07-16 | 990010169:Resolved:2015-09-24:SFO@2017-05-04 SOX@2019-07-16 SIA@2015-10-05
TX0480011 | 990010171 | 01 | 1040 | 1 | 2015-07-01 | 30 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIA@2015-10-08 EFL@2016-09-30 EFL@2011-08-29 SIE@2015-10-08 SIF@2019-07-16 | 990010179:Resolved:2016-01-07:SOX@2019-07-16 SIA@2016-01-29 EFL@2016-09-30 SFO@2017-05-04
TX0480011 | 990010176 | 01 | 1040 | 1 | 2015-10-01 | 29 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIF@2019-07-16 SIA@2015-12-15 SIE@2015-12-15 EFL@2016-09-30 EFL@2011-08-29 EFL@2019-09-20 | 990010181:Resolved:2016-03-15:SOX@2019-07-16 EFL@2016-09-30 SFO@2017-05-04 SIA@2016-04-08
TX0480011 | 990010183 | 01 | 1040 | 1 | 2016-01-01 | 29 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 EFL@2011-08-29 SIA@2016-04-19 EFL@2016-09-30 SIF@2019-07-16 SIE@2016-04-19 | 990010192:Resolved:2016-07-19:SOX@2019-07-16 SIA@2016-08-16 EFL@2011-08-29 EFL@2016-09-30 SFO@2017-05-04
TX0480011 | 990010186 | 01 | 1040 | 1 | 2016-04-01 | 35 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2011-08-29 SIA@2016-06-27 SIF@2019-07-16 SIE@2016-06-27 EFL@2019-09-20 EFL@2016-09-30 | 990010196:Resolved:2016-09-26:SIA@2016-11-08 SOX@2019-07-16 EFL@2016-09-30 SFO@2017-05-04
TX0480011 | 990010190 | 01 | 1040 | 1 | 2016-07-01 | 33 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2011-08-29 EFL@2019-09-20 SIE@2016-08-12 SIF@2019-07-16 SIA@2016-08-12 EFL@2016-09-30 | 990010199:Resolved:2016-11-11:SOX@2019-07-16 SIA@2016-12-09 EFL@2016-09-30 SFO@2017-05-04
TX0480011 | 990010200 | 01 | 1040 | 1 | 2016-10-01 | 37 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIA@2016-12-20 SIF@2019-07-16 EFL@2016-09-30 EFL@2019-09-20 SIE@2016-12-20 | 990010206:Resolved:2017-03-21:SOX@2019-07-16 SFO@2017-05-04 SIA@2017-04-05 EFL@2016-09-30
TX0480011 | 990010205 | 01 | 1040 | 1 | 2017-01-01 | 40 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2016-09-30 SIE@2017-03-24 SIA@2017-03-24 EFL@2019-09-20 SIF@2019-07-16 | 990010212:Resolved:2017-06-23:SOX@2019-07-16 EFL@2016-09-30 SIA@2017-07-06 SFO@2017-05-04
TX0480011 | 990010209 | 01 | 1040 | 1 | 2017-04-01 | 38 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIA@2017-06-05 EFL@2019-09-20 EFL@2016-09-30 SIF@2019-07-16 SIE@2017-06-05 | 990010215:Resolved:2017-09-04:SOX@2019-07-16 SIA@2017-09-25 EFL@2016-09-30
TX0480011 | 990010214 | 01 | 1040 | 1 | 2017-07-01 | 46 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 EFL@2016-09-30 SIE@2017-08-17 SIA@2017-08-17 SIF@2019-07-16 | 990010221:Resolved:2017-11-16:SOX@2019-07-16 EFL@2016-09-30 SIA@2017-11-29
TX0480011 | 990010218 | 01 | 1040 | 1 | 2017-10-01 | 38 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIF@2019-07-16 EFL@2016-09-30 SIA@2017-11-27 EFL@2019-09-20 SIE@2017-11-27 | 990010226:Resolved:2018-02-26:SIA@2018-03-08 EFL@2016-09-30 SOX@2019-07-16
TX0480011 | 990010227 | 01 | 1040 | 1 | 2018-01-01 | 38 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIF@2019-07-16 EFL@2019-09-20 SIA@2018-03-22 EFL@2016-09-30 SIE@2018-03-22 | 990010231:Resolved:2018-06-21:EFL@2016-09-30 SIA@2018-07-11 SOX@2019-07-16
TX0480011 | 990010229 | 01 | 1040 | 1 | 2018-04-01 | 40 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 EFL@2016-09-30 SIE@2018-06-13 SIA@2018-06-13 SIF@2019-07-16 | 990010235:Resolved:2018-09-12:SIA@2018-10-01 EFL@2016-09-30 SOX@2019-07-16
TX0480011 | 990010232 | 01 | 1040 | 1 | 2018-07-01 | 38 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIF@2019-07-16 EFL@2016-09-30 SIA@2018-08-17 SIE@2018-08-17 | 990010238:Resolved:2018-11-16:EFL@2016-09-30 SIA@2018-12-07 SOX@2019-07-16
TX0480011 | 990010239 | 01 | 1040 | 1 | 2018-10-01 | 37 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2016-09-30 SIF@2019-07-16 SIA@2019-01-15 EFL@2019-09-20 SIE@2019-01-15 | 990010249:Resolved:2019-04-16:SOX@2019-07-16 SIA@2019-05-07 EFL@2016-09-30
TX0480011 | 990010247 | 01 | 1040 | 1 | 2019-01-01 | 39 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 EFL@2016-09-30 SIF@2019-07-16 SIE@2019-04-02 SIA@2019-04-02 | 990010251:Resolved:2019-07-02:SOX@2019-07-16 EFL@2016-09-30 SIA@2019-07-19
TX0480011 | 990010253 | 01 | 1040 | 1 | 2019-04-01 | 43 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 EFL@2016-09-30 SIA@2019-09-12 SIE@2019-09-12 SIF@2020-02-11 | 990010257:Resolved:2019-12-12:SIA@2020-01-14 EFL@2016-09-30 SOX@2020-02-11
TX0480011 | 990010254 | 01 | 1040 | 1 | 2019-07-01 | 41 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2016-09-30 EFL@2019-09-20 SIF@2020-02-11 SIA@2019-09-26 SIE@2019-09-26 | 990010261:Resolved:2019-12-26:SOX@2020-02-11 EFL@2016-09-30 SIA@2020-01-17
TX0480011 | 990010258 | 01 | 1040 | 1 | 2019-10-01 | 45 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIA@2020-01-28 EFL@2016-09-30 SIF@2020-02-11 SIE@2020-01-28 EFL@2019-09-20 | 
TX0480011 | 990010264 | 01 | 1040 | 1 | 2020-01-01 | 41 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2020-05-20 EFL@2019-09-20 SIF@2020-09-16 SIA@2020-05-20 | 990010268:Resolved:2020-08-19:EFL@2019-09-20 SOX@2020-09-30
TX0480011 | 990010267 | 01 | 1040 | 1 | 2020-04-01 | 34 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIA@2020-07-29 SIE@2020-07-29 SIF@2020-09-16 | 
TX0480011 | 990010273 | 01 | 1040 | 1 | 2020-07-01 | 38 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2020-10-27 SIA@2020-10-27 SIF@2022-10-26 EFL@2019-09-20 | 990010279:Resolved:2021-01-26:EFL@2019-09-20 SIA@2021-03-30 SOX@2022-10-26
TX0480011 | 990010278 | 01 | 1040 | 1 | 2020-10-01 | 40 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIF@2022-10-26 SIA@2021-02-09 SIE@2021-02-09 | 990010289:Resolved:2021-05-11:SOX@2022-10-26 EFL@2019-09-20 SIA@2021-08-05
TX0480011 | 990010284 | 01 | 1040 | 1 | 2021-01-01 | 36 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIA@2021-05-20 EFL@2019-09-20 SIF@2022-10-26 SIE@2021-05-20 | 990010293:Resolved:2021-08-19:SOX@2022-10-26 SIA@2021-09-13 EFL@2019-09-20
TX0480011 | 990010288 | 01 | 1040 | 1 | 2021-04-01 | 40 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2021-07-01 SIF@2022-10-26 SIA@2021-07-01 EFL@2019-09-20 | 990010298:Resolved:2021-09-30:SOX@2022-10-26 EFL@2019-09-20 SIA@2021-10-26
TX0480011 | 990010292 | 01 | 1040 | 1 | 2021-07-01 | 36 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2021-09-10 EFL@2019-09-20 SIA@2021-09-10 SIF@2022-10-26 | 990010301:Resolved:2021-12-10:EFL@2019-09-20 SOX@2022-10-26 SIA@2022-01-07
TX0480011 | 990010302 | 01 | 1040 | 1 | 2021-10-01 | 33 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIA@2022-02-02 EFL@2019-09-20 SIF@2022-10-26 SIE@2022-02-02 | 990010311:Resolved:2022-05-04:EFL@2019-09-20 SOX@2022-10-26 SIA@2022-06-02
TX0480011 | 990010308 | 01 | 1040 | 1 | 2022-01-01 | 33 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIF@2022-10-26 SIA@2022-04-21 EFL@2019-09-20 SIE@2022-04-21 | 990010322:Resolved:2022-07-21:SOX@2022-10-26 SIA@2022-09-06
TX0480011 | 990010317 | 01 | 1040 | 1 | 2022-04-01 | 33 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2022-07-20 SIF@2022-10-26 SIA@2022-07-20 EFL@2019-09-20 | 
TX0480011 | 990010320 | 01 | 1040 | 1 | 2022-07-01 | 36 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIF@2023-03-02 EFL@2019-09-20 SIA@2022-08-19 SIE@2022-08-19 | 990010324:Resolved:2022-11-18:SIA@2022-12-16 SOX@2023-03-02
TX0480011 | 990010325 | 01 | 1040 | 1 | 2022-10-01 | 33 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIF@2023-03-02 EFL@2019-09-20 SIA@2023-01-20 SIE@2023-01-20 | 
TX0480011 | 990010336 | 01 | 1040 | 1 | 2023-01-01 | 35 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIA@2023-05-19 SIE@2023-05-19 | 990010343:Unaddressed:2023-08-18:SIA@2023-09-07
TX0480011 | 990010339 | 01 | 1040 | 1 | 2023-04-01 | 30 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIA@2023-07-14 EFL@2019-09-20 SIE@2023-07-14 | 990010347:Unaddressed:2023-10-13:SIA@2023-10-31
TX0480011 | 990010345 | 01 | 1040 | 1 | 2023-07-01 | 28 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIE@2023-10-04 SIA@2023-10-04 | 990010350:Unaddressed:2024-01-03:SIA@2024-02-09
TX0480011 | 990010348 | 01 | 1040 | 1 | 2023-10-01 | 31 | 10 mg/L | 10 | MG/L | Archived | 49651 | EFL@2019-09-20 SIA@2023-11-29 SIE@2023-11-29 | 990010353:Unaddressed:2024-02-28:SIA@2024-03-22
TX0480011 | 990010356 | 01 | 1040 | 1 | 2024-01-01 | 26 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2024-05-22 SIA@2024-05-22 EFL@2019-09-20 | 990010362:Unaddressed:2024-08-21:SIA@2024-09-09
TX0480011 | 990010358 | 01 | 1040 | 1 | 2024-04-01 | 29 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2024-07-24 SIA@2024-07-24 EFL@2019-09-20 | 990010370:Unaddressed:2024-10-23:SIA@2024-12-13
TX0480011 | 990010368 | 01 | 1040 | 1 | 2024-07-01 | 27 | 10 mg/L | 10 | MG/L | Archived | 49651 | SIE@2024-11-21 SIA@2024-11-21 EFL@2019-09-20 | 990010377:Unaddressed:2025-02-20:SIA@2025-03-21
(237 rows; csv has all)
