-- S16 SDWA nitrate (contaminant 1040) health-based violations begun 2015 on, per system: count, how many carry a PN link, tier-1 count, years, measured level, open status
PWSID | N | N_PN | T1 | YEARS | FIRST_B | LAST_B | MED_LEVEL | MAX_LEVEL | FMCL | UNIT | UNADDR | CODES
TX1650119 | 24 | 13 | 24 | 10 | 2015-07-01 | 2025-01-01 | 15.5 | 28.0 | 10 mg/L | MG/L | 0 | 01
CA2400089 | 3 | 0 | 3 | 1 | 2016-01-01 | 2016-10-01 | 12.0 | 13.0 | 10 mg/L | MG/L | 0 | 01
PA3060962 | 2 | 1 | 2 | 1 | 2019-04-01 | 2019-07-01 | 10.795 | 10.95 | 10 mg/L | MG/L | 0 | 02
MN5280047 | 1 | 0 | 1 | 1 | 2017-01-01 | 2017-01-01 | 11.5 | 11.5 | 10 mg/L | MG/L | 0 | 02
IL1150100 | 3 | 0 | 3 | 3 | 2015-07-01 | 2024-10-01 | 12.0 | 22.0 | 10 mg/L | MG/L | 0 | 02,01
CT1040054 | 3 | 1 | 3 | 2 | 2025-04-01 | 2026-01-01 | 11.0 | 12.0 | 10 mg/L | MG/L | 0 | 02,01
MI2030475 | 3 | 0 | 3 | 3 | 2020-04-01 | 2025-01-01 | 12.0 | 12.0 | 10 mg/L | MG/L | 0 | 01,02
AZ0413433 | 4 | 3 | 4 | 4 | 2017-01-01 | 2026-01-01 | 11.6 | 14.0 | 10 mg/L | MG/L | 0 | 01,02
NJ1106363 | 1 | 0 | 1 | 1 | 2020-01-01 | 2020-01-01 | 11.0 | 11.0 | 10 mg/L | MG/L | 0 | 01
AZ0413069 | 1 | 0 | 1 | 1 | 2026-01-01 | 2026-01-01 | 21.0 | 21.0 | 10 mg/L | MG/L | 1 | 01
NY5120183 | 4 | 0 | 4 | 3 | 2017-01-01 | 2024-04-01 | 12.45 | 13.2 | 10 mg/L | MG/L | 0 | 01,02
CO0263705 | 1 | 0 | 1 | 1 | 2026-01-01 | 2026-01-01 | 14.3 | 14.3 | 10 mg/L | MG/L | 1 | 02
CA5400882 | 12 | 0 | 12 | 5 | 2022-07-01 | 2026-01-01 | 11.0 | 11.8 | 10 mg/L | MG/L | 0 | 01
NC4064032 | 1 | 1 | 1 | 1 | 2015-01-01 | 2015-01-01 | 12.0 | 12.0 | 10 mg/L | MG/L | 0 | 01
TX0670036 | 6 | 3 | 6 | 2 | 2015-01-01 | 2016-04-01 | 31.5 | 36.0 | 10 mg/L | MG/L | 0 | 01
TX1380006 | 13 | 1 | 13 | 4 | 2015-01-01 | 2018-04-01 | 12.0 | 17.0 | 10 mg/L | MG/L | 0 | 01
WI7010362 | 1 | 0 | 1 | 1 | 2015-01-01 | 2015-01-01 | 24.0 | 24.0 | 10 mg/L | MG/L | 0 | 02
PA3390819 | 1 | 0 | 1 | 1 | 2021-07-01 | 2021-07-01 | 12.895 | 12.895 | 10 mg/L | MG/L | 0 | 02
IN2710122 | 5 | 0 | 5 | 5 | 2019-01-01 | 2026-01-01 | 10.5 | 10.83 | 10 mg/L | MG/L | 1 | 01
IA4500901 | 1 | 0 | 1 | 1 | 2016-01-01 | 2016-01-01 | 13.8 | 13.8 | 10 mg/L | MG/L | 0 | 01
KS2015704 | 8 | 0 | 8 | 3 | 2022-01-01 | 2024-04-01 | 11.0 | 11.0 | 10 mg/L | MG/L | 0 | 01
NC0285417 | 1 | 0 | 1 | 1 | 2020-01-01 | 2020-01-01 | 11.9 | 11.9 | 10 mg/L | MG/L | 0 | 01
KS2005709 | 35 | 15 | 35 | 12 | 2015-01-01 | 2026-01-01 | 16.0 | 26.0 | 10 mg/L | MG/L | 0 | 01
TX0560018 | 1 | 0 | 1 | 1 | 2015-07-01 | 2015-07-01 | 12.5 | 12.5 | 10 mg/L | MG/L | 0 | 01
MN1700016 | 3 | 0 | 3 | 3 | 2018-10-01 | 2022-10-01 | 11.0 | 11.0 | 10 mg/L | MG/L | 0 | 02
TX1520302 | 16 | 4 | 16 | 6 | 2020-04-01 | 2026-04-01 | 12.0 | 14.0 | 10 mg/L | MG/L | 1 | 01
CA2700772 | 8 | 0 | 8 | 7 | 2018-07-01 | 2024-07-01 | 12.5 | 14.0 | 10 mg/L | MG/L | 0 | 01
CA5403010 | 5 | 0 | 5 | 2 | 2016-01-01 | 2017-01-01 | 13.0 | 23.0 | 10 mg/L | MG/L | 0 | 01
CA2702317 | 3 | 0 | 3 | 3 | 2017-10-01 | 2019-07-01 | 13.0 | 14.0 | 10 mg/L | MG/L | 0 | 01
(1947 rows; csv has all)
