-- S07 NPDES informal: shape by agency, type, official flag; date sentinels; registry fill
AGENCY | ENF_TYPE_CODE | ENF_TYPE_DESC | OFFICIAL_FLG | N | ACTS | PERMITS | NO_REGISTRY | D0 | D1 | PRE1990 | FUTURE | NULLDATE
State | ONVS | Oral Notification of Violation | N | 92 | 92 | 47 | 0 | 2017-08-15 | 2025-05-20 | 0 | 0 | 0
EPA | PHEMLO | Other Response - Phone Call/ EMAIL | N | 87 | 85 | 50 | 0 | 2017-08-16 | 2024-12-19 | 0 | 0 | 2
EPA | LREO | Other Response - Letter to Regulated Entity | N | 82 | 82 | 77 | 0 | 2020-04-01 | 2026-06-12 | 0 | 0 | 0
EPA | CSNOT | Citizen Suit Notice | N | 82 | 82 | 80 | 0 | 1986-09-15 | 2002-11-20 | 73 | 0 | 0
EPA | UNDREVO | Other Response - Under Review | N | 77 | 75 | 32 | 0 | 2019-09-30 | 2024-09-30 | 0 | 0 | 0
EPA | ENFMTGO | Other Response - Enforcement Meeting | N | 72 | 14 | 53 | 0 | 2019-03-11 | 2024-11-07 | 0 | 0 | 0
EPA | NFA | No Further Action | N | 40 | 40 | 37 | 0 | 2013-09-02 | 2018-08-28 | 0 | 0 | 2
EPA | SCL | Show Cause Letter | Y | 19 | 19 | 19 | 0 | 2010-06-30 | 2014-11-04 | 0 | 0 | 0
State | CSNOT | Citizen Suit Notice | N | 17 | 17 | 14 | 0 | 1995-04-24 | 2009-09-21 | 0 | 0 | 0
State | SCL | Show Cause Letter | Y | 16 | 16 | 16 | 0 | 2006-09-06 | 2016-10-13 | 0 | 0 | 0
State | CSFO | Citizen Suit Final Order | N | 15 | 15 | 12 | 0 | 1992-06-29 | 2005-03-23 | 0 | 0 | 0
EPA | NOD | Notice of Determination | N | 8 | 8 | 8 | 0 | 2001-12-10 | 2016-01-06 | 0 | 0 | 0
EPA | CSFO | Citizen Suit Final Order | N | 7 | 7 | 1 | 0 | 2008-02-08 | 2010-06-11 | 0 | 0 | 0
State | SCLS | Show Cause Letter | N | 5 | 5 | 5 | 0 | 2020-08-06 | 2025-05-19 | 0 | 0 | 0
EPA | OAMC | Other Actions that meet Informal Enforcement Action Criteria | N | 4 | 2 | 2 | 0 | 2020-02-19 | 2020-02-20 | 0 | 0 | 0
EPA | IRLO | Other Response - Information Request Letter | N | 4 | 4 | 4 | 0 | 2022-10-27 | 2025-04-23 | 0 | 0 | 0
EPA | LTS | Other Response - Letter to State/Tribe | N | 3 | 3 | 3 | 0 | 2012-12-20 | 2020-03-09 | 0 | 0 | 0
State | CSNOTS | Citizen Suit Notice | N | 2 | 2 | 2 | 0 | 2022-04-20 | 2022-11-04 | 0 | 0 | 0
EPA | ONV | Oral Notification of Violation | N | 2 | 2 | 2 | 0 | 2011-06-29 | 2011-06-29 | 0 | 0 | 1
State | CSFOS | Citizen Suit Final Order | N | 1 | 1 | 1 | 0 | 2023-01-10 | 2023-01-10 | 0 | 0 | 0
(50 rows; csv has all)
