-- S08 CMS nursing homes: every Missouri row, all columns, for the address join
CMS_CERTIFICATION_NUMBER_CCN | PROVIDER_NUMBER | COUNTY_FIPS | PROVIDER_SSA_COUNTY_CODE | STATE | ZIP_CODE | PROVIDER_NAME | LEGAL_BUSINESS_NAME | PROVIDER_TYPE | OWNERSHIP_TYPE | ADDRESS | CITY | COUNTY_PARISH | URBAN | LOCATION | LATITUDE | LONGITUDE | GEOCODING_FOOTNOTE | PHONE_NUMBER | DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | DATE_OF_MOST_RECENT_HEALTH_INSPECTION | PROCESSING_DATE | PROVIDER_RESIDES_IN_HOSPITAL | CONTINUING_CARE_RETIREMENT_COMMUNITY | SPECIAL_FOCUS_STATUS | ABUSE_ICON | MOST_RECENT_HEALTH_INSPECTION_MORE_THAN_2_YEARS_AGO | WITH_A_RESIDENT_AND_FAMILY_COUNCIL | AUTOMATIC_SPRINKLER_SYSTEMS_IN_ALL_REQUIRED_AREAS | NUMBER_OF_CERTIFIED_BEDS | AVERAGE_NUMBER_OF_RESIDENTS_PER_DAY | NUMBER_OF_RESIDENTS_IN_CERTIFIED_BEDS | CHAIN_NAME | CHAIN_ID | NUMBER_OF_FACILITIES_IN_CHAIN | CHAIN_AVERAGE_OVERALL_5_STAR_RATING | CHAIN_AVERAGE_HEALTH_INSPECTION_RATING | CHAIN_AVERAGE_STAFFING_RATING | CHAIN_AVERAGE_QM_RATING | OVERALL_RATING | HEALTH_INSPECTION_RATING | QUALITY_MEASURE_RATING | LONG_STAY_QM_RATING | SHORT_STAY_QM_RATING | STAFFING_RATING | REPORTED_NURSE_AIDE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | TOTAL_NUMBER_OF_NURSE_STAFF_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND | REGISTERED_NURSE_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND | REPORTED_PHYSICAL_THERAPIST_STAFFING_HOURS_PER_RESIDENT_PER_DAY | NURSING_CASE_MIX_INDEX | NURSING_CASE_MIX_INDEX_RATIO | CASE_MIX_NURSE_AIDE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_WEEKEND_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_NURSE_AIDE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_WEEKEND_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | TOTAL_NURSING_STAFF_TURNOVER | REGISTERED_NURSE_TURNOVER | NUMBER_OF_ADMINISTRATORS_WHO_HAVE_LEFT_THE_NURSING_HOME | RATING_CYCLE_1_STANDARD_SURVEY_HEALTH_DATE | RATING_CYCLE_1_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES | RATING_CYCLE_1_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES | RATING_CYCLE_1_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES | RATING_CYCLE_1_HEALTH_DEFICIENCY_SCORE | RATING_CYCLE_1_NUMBER_OF_HEALTH_REVISITS | RATING_CYCLE_1_HEALTH_REVISIT_SCORE | RATING_CYCLE_1_TOTAL_HEALTH_SCORE | RATING_CYCLE_2_STANDARD_HEALTH_SURVEY_DATE | RATING_CYCLE_2_3_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES | RATING_CYCLE_2_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES | RATING_CYCLE_2_3_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES | RATING_CYCLE_2_3_HEALTH_DEFICIENCY_SCORE | RATING_CYCLE_2_3_NUMBER_OF_HEALTH_REVISITS | RATING_CYCLE_2_3_HEALTH_REVISIT_SCORE | RATING_CYCLE_2_3_TOTAL_HEALTH_SCORE | TOTAL_WEIGHTED_HEALTH_SURVEY_SCORE | NUMBER_OF_CITATIONS_FROM_INFECTION_CONTROL_INSPECTIONS | TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES | TOTAL_NUMBER_OF_FIRE_SAFETY_DEFICIENCIES | NUMBER_OF_FINES | TOTAL_AMOUNT_OF_FINES_IN_DOLLARS | NUMBER_OF_PAYMENT_DENIALS | TOTAL_NUMBER_OF_PENALTIES | OVERALL_RATING_BAND | HAS_FINANCIAL_PENALTY | _INGESTED_AT | _SOURCE_RUN_ID
265757 |  |  | 940 | MO | 63031 | BENTWOOD NURSING & REHAB | BENTWOOD HEALTHCARE LLC | Medicare and Medicaid | For profit - Limited Liability company | 1501 CHARBONIER ROAD | FLORISSANT | St. Louis | Y | 1501 CHARBONIER ROAD,FLORISSANT,MO,63031 | 38.804 | -90.351 |  | 3149212700 | 2003-04-16 |  | 2026-05-01 | N | N |  | Y | N | Resident | Yes | 116 | 99.1 |  | MGM HEALTHCARE | 348 | 33 | 2.4 | 2.2 | 1.8 | 3.9 | 1 | 1 | 2 | 4 | 1 | 1 | 2.14627 | 0.66951 | 0.29374 | 0.96325 | 3.10952 | 2.78291 | 0.19973 | 0.01819 | 1.60388 | 1.15248 | 2.68751 | 0.99149 | 0.78289 | 4.46189 | 3.9583 | 1.84932 | 0.57687 | 0.2531 | 2.67929 | 2.39787 | 77.7 | 71.4 | 3 | 2024-05-15 | 22 | 15 | 7 | 124.0 | 1 | 0.0 | 124.0 | 2022-05-06 | 31 | 24 | 7 | 380.0 | 1 | 0.0 | 380.0 | 188.0 |  |  |  | 2 | 107465.0 | 1 | 3 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265655 |  |  | 700 | MO | 65078 | GOLDEN AGE LIVING CENTER | GOLDEN AGE NURSING HOME DISTRICT | Medicare and Medicaid | Non profit - Other | 404 E THIRD STREET | STOVER | Morgan | N | 404 E THIRD STREET,STOVER,MO,65078 | 38.4415 | -92.984 |  | 5733774521 | 1996-08-01 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 61 | 53.4 |  |  |  |  |  |  |  |  | 5 | 5 | 3 | 2 | 5 | 4 | 3.16112 | 0.39936 | 0.48548 | 0.88484 | 4.04596 | 3.36443 | 0.36022 | 0.01236 | 1.15954 | 0.83319 | 1.94296 | 0.71681 | 0.566 | 3.22577 | 2.86169 | 3.7675 | 0.47597 | 0.5786 | 4.82207 | 4.00981 | 48.3 | 20.0 | 0 | 2025-01-30 | 3 | 2 | 1 | 16.0 | 1 | 0.0 | 16.0 | 2023-12-01 | 1 | 1 | 0 | 0.0 | 1 | 0.0 | 0.0 | 12.0 |  |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265174 |  |  | 940 | MO | 63136 | CHRISTIAN EXTENDED CARE & REHABILITATION | VILLAGE NORTH INC | Medicare and Medicaid | Non profit - Corporation | 11160 VILLAGE NORTH DRIVE | SAINT LOUIS | St. Louis | Y | 11160 VILLAGE NORTH DRIVE,SAINT LOUIS,MO,63136 | 38.777 | -90.247 |  | 3143558010 | 1982-09-23 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 60 | 52.9 |  | BJC HEALTHCARE | 783 | 4 | 4.3 | 4.3 | 3.8 | 3.0 | 5 | 5 | 3 | 3 | 4 | 3 | 2.52925 | 1.14489 | 0.59182 | 1.73671 | 4.26596 | 3.8159 | 0.35811 | 0.12068 | 1.54617 | 1.11101 | 2.59081 | 0.95581 | 0.75473 | 4.30135 | 3.81587 | 2.26065 | 1.0233 | 0.52897 | 3.81293 | 3.41066 | 44.8 | 42.9 | 0 | 2025-03-28 | 2 | 2 | 1 | 12.0 | 1 | 0.0 | 12.0 | 2023-10-13 | 5 | 5 | 0 | 28.0 | 1 | 0.0 | 28.0 | 16.0 | 0 |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265463 |  |  | 470 | MO | 64123 | PARKVIEW HEALTHCARE | PARKVIEW OPCO LLC | Medicare and Medicaid | For profit - Limited Liability company | 128 NORTH HARDESTY | KANSAS CITY | Jackson | Y | 128 NORTH HARDESTY,KANSAS CITY,MO,64123 | 39.113 | -94.519 |  | 8162412020 | 1991-09-01 |  | 2026-05-01 | N | N | SFF Candidate | Y | N | Resident | Yes | 120 | 95.3 |  |  |  |  |  |  |  |  | 1 | 1 | 3 | 3 |  | 2 | 2.08802 | 0.59003 | 0.46778 | 1.05782 | 3.14584 | 2.76589 | 0.14137 | 0.0 | 1.35074 | 0.97058 | 2.26334 | 0.835 | 0.65933 | 3.75767 | 3.33355 | 2.1363 | 0.60368 | 0.4786 | 3.21858 | 2.82984 | 43.6 | 23.1 | 3 | 2025-02-21 | 34 | 28 | 6 | 326.0 | 1 | 0.0 | 326.0 | 2023-04-26 | 38 | 22 | 17 | 736.0 | 2 | 368.0 | 1104.0 | 520.5 |  |  |  | 3 | 32111.0 | 0 | 3 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265586 |  |  | 940 | MO | 63136 | ATRIUM PLACE HEALTH AND REHABILITATION | REDMAN RD HEALTHCARE LLC | Medicare and Medicaid | For profit - Limited Liability company | 2600 REDMAN ROAD | SAINT LOUIS | St. Louis | Y | 2600 REDMAN ROAD,SAINT LOUIS,MO,63136 | 38.7804 | -90.252 |  | 3143558585 | 1994-06-15 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 120 | 98.6 |  | VERTICAL HEALTH SERVICES | 636 | 16 | 1.8 | 2.1 | 1.5 | 3.5 | 1 | 2 | 4 | 5 | 3 | 1 | 1.4578 | 0.63557 | 0.2406 | 0.87617 | 2.33397 | 1.86702 | 0.1685 | 0.0556 | 1.62165 | 1.16524 | 2.71727 | 1.00247 | 0.79157 | 4.51131 | 4.00214 | 1.24234 | 0.54163 | 0.20504 | 1.98902 | 1.59108 | 83.3 | 91.7 | 0 | 2024-08-02 | 14 | 10 | 7 | 92.0 | 1 | 0.0 | 92.0 | 2022-07-21 | 26 | 8 | 18 | 271.0 | 1 | 0.0 | 271.0 | 136.75 |  |  |  | 8 | 189778.0 | 1 | 9 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265503 |  |  | 150 | MO | 63701 | HEARTLAND CARE AND REHABILITATION CENTER | CAPE GIRARDEAU I INC | Medicare and Medicaid | For profit - Individual | 2525 BOUTIN DRIVE | CAPE GIRARDEAU | Cape Girardeau | Y | 2525 BOUTIN DRIVE,CAPE GIRARDEAU,MO,63701 | 37.3499 | -89.569 |  | 5733345225 | 1992-08-11 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 102 | 65.8 |  | CIRCLE B ENTERPRISES | 145 | 36 | 2.5 | 3.1 | 2.0 | 1.8 | 5 | 5 | 2 | 2 | 1 | 2 | 2.13442 | 0.6573 | 0.44068 | 1.09798 | 3.2324 | 2.80012 | 0.32788 | 0.02476 | 1.26998 | 0.91255 | 2.12801 | 0.78507 | 0.61991 | 3.53299 | 3.13423 | 2.32265 | 0.71527 | 0.47954 | 3.51746 | 3.04705 | 68.9 | 62.5 | 0 | 2025-11-17 | 2 | 2 | 0 | 8.0 | 1 | 0.0 | 8.0 | 2024-10-25 | 5 | 5 | 0 | 16.0 | 1 | 0.0 | 16.0 | 10.0 |  |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265431 |  |  | 911 | MO | 64763 | TRUMAN LAKE MANOR INC | TRUMAN LAKE MANOR, INC. | Medicare and Medicaid | For profit - Corporation | 600 EAST 7TH ST | LOWRY CITY | St. Clair | N | 600 EAST 7TH ST,LOWRY CITY,MO,64763 | 38.137 | -93.722 |  | 4176442248 | 1990-06-01 |  | 2026-05-01 | N | N |  | Y | Y | Both | Yes | 120 | 67.3 |  |  |  |  |  |  |  |  | 1 | 2 | 1 | 1 | 2 | 2 | 1.65455 | 0.58721 | 0.49522 | 1.08243 | 2.73697 | 2.28628 | 0.32396 | 0.0 | 1.16831 | 0.83949 | 1.95765 | 0.72223 | 0.57028 | 3.25016 | 2.88333 | 1.95713 | 0.6946 | 0.58578 | 3.23751 | 2.70439 | 73.3 | 40.0 | 0 | 2024-03-21 | 15 | 8 | 7 | 124.0 | 1 | 0.0 | 124.0 | 2022-01-27 | 16 | 14 | 2 | 120.0 | 1 | 0.0 | 120.0 | 123.0 | 0 |  |  | 0 | 0.0 | 0 | 0 | Low (1-2 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265583 |  |  | 930 | MO | 63640 | FARMINGTON PRESBYTERIAN MANOR | PRESBYTERIAN MANORS INC | Medicare and Medicaid | Non profit - Other | 500 CAYCE STREET | FARMINGTON | St. Francois | N | 500 CAYCE STREET,FARMINGTON,MO,63640 | 37.781 | -90.428 |  | 5737566768 | 1994-07-01 |  | 2026-05-01 | N | Y |  | N | N | Resident | Yes | 90 | 69.5 |  | PRESBYTERIAN MANORS OF MID-AMERICA | 413 | 14 | 3.6 | 3.5 | 3.9 | 3.1 | 4 | 4 | 3 | 3 | 3 | 3 | 2.30649 | 0.7444 | 0.8935 | 1.63789 | 3.94439 | 3.43889 | 0.33064 | 0.06961 | 1.263 | 0.90753 | 2.11631 | 0.78076 | 0.6165 | 3.51357 | 3.11701 | 2.52377 | 0.81452 | 0.97767 | 4.31595 | 3.76284 | 67.4 | 60.0 | 2 | 2025-01-30 | 4 | 4 | 0 | 20.0 | 1 | 0.0 | 20.0 | 2023-11-17 | 3 | 2 | 1 | 83.0 | 1 | 0.0 | 83.0 | 35.75 |  |  |  | 1 | 12649.0 | 0 | 1 | High (4-5 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265874 |  |  | 985 | MO | 63822 | WINCHESTER NURSING CENTER, INC | WINCHESTER NURSING CENTER, INC | Medicare and Medicaid | For profit - Corporation | 400 WINCHESTER DR | BERNIE | Stoddard | N | 400 WINCHESTER DR,BERNIE,MO,63822 | 36.6676 | -89.981 |  | 5732936702 | 2019-01-09 |  | 2026-05-01 | N | N |  | N | N |  | Yes | 60 | 52.5 |  | PARADIGM SENIOR MANAGEMENT | 623 | 8 | 3.3 | 4.4 | 1.0 | 2.7 | 4 | 5 | 2 | 1 | 3 | 1 | 2.24295 | 0.42727 | 0.66432 | 1.09159 | 3.33454 | 2.69857 | 0.3727 | 0.01515 | 1.47431 | 1.05937 | 2.4704 | 0.91139 | 0.71965 | 4.10144 | 3.63852 | 2.10247 | 0.40051 | 0.62271 | 3.12569 | 2.52955 | 56.1 | 58.3 |  | 2025-07-25 | 1 | 1 | 0 | 4.0 | 1 | 0.0 | 4.0 | 2024-05-09 | 6 | 6 | 0 | 24.0 | 1 | 0.0 | 24.0 | 9.0 |  |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265718 |  |  | 120 | MO | 64624 | GOLDEN AGE NURSING HOME | GOLDEN AGE NURSING HOME DISTRICT | Medicare and Medicaid | Government - County | 12498 SE HIGHWAY 116 | BRAYMER | Caldwell | Y | 12498 SE HIGHWAY 116,BRAYMER,MO,64624 | 39.5873 | -93.805 |  | 6606452243 | 2001-05-23 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 83 | 35.8 |  |  |  |  |  |  |  |  | 4 | 4 | 3 | 3 |  | 4 | 2.50345 | 0.44831 | 0.57279 | 1.02111 | 3.52456 | 2.94806 | 0.36404 | 0.00127 | 0.9429 | 0.67752 | 1.57995 | 0.58288 | 0.46025 | 2.62308 | 2.32703 | 3.66922 | 0.65707 | 0.83952 | 5.16581 | 4.32086 | 62.9 | 20.0 |  | 2025-09-04 | 4 | 4 | 0 | 24.0 | 1 | 0.0 | 24.0 | 2024-09-03 | 14 | 14 | 4 | 132.0 | 1 | 0.0 | 132.0 | 51.0 |  |  |  | 0 | 0.0 | 1 | 1 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265434 |  |  | 130 | MO | 65059 | RIVERVIEW NURSING CENTER | MOKANE NO 1 INC | Medicare and Medicaid | For profit - Individual | 10303 STATE ROAD C | MOKANE | Callaway | Y | 10303 STATE ROAD C,MOKANE,MO,65059 | 38.681 | -91.881 |  | 5736763136 | 1990-08-15 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 60 | 38.6 |  | CIRCLE B ENTERPRISES | 145 | 36 | 2.5 | 3.1 | 2.0 | 1.8 | 4 | 5 | 1 | 1 |  | 3 | 2.23658 | 0.53683 | 0.52239 | 1.05923 | 3.2958 | 2.494 | 0.4135 | 0.06386 | 1.33843 | 0.96174 | 2.24271 | 0.82739 | 0.65332 | 3.72343 | 3.30318 | 2.30933 | 0.55429 | 0.53939 | 3.40302 | 2.57513 | 51.4 | 20.0 | 0 | 2025-05-21 | 2 | 2 | 0 | 16.0 | 1 | 0.0 | 16.0 | 2024-04-04 | 2 | 0 | 2 | 8.0 | 0 | 0.0 | 8.0 | 14.0 | 0 |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265860 |  |  | 910 | MO | 63367 | COTTAGES OF LAKE ST LOUIS | FSC OF LAKE ST LOUIS LLC | Medicare | For profit - Limited Liability company | 2885 TECHNOLOGY DRIVE | LAKE SAINT LOUIS | St. Charles | Y | 2885 TECHNOLOGY DRIVE,LAKE SAINT LOUIS,MO,63367 | 38.7746 | -90.777 |  | 6366143510 | 2017-01-31 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 60 | 54.9 |  |  |  |  |  |  |  |  | 4 | 4 | 4 | 5 | 4 | 4 | 3.67794 | 1.41553 | 0.71893 | 2.13446 | 5.8124 | 5.4285 | 0.51495 | 0.05192 | 1.34506 | 0.9665 | 2.25382 | 0.83149 | 0.65656 | 3.74187 | 3.31954 | 3.77886 | 1.45438 | 0.73866 | 5.9719 | 5.57746 | 53.0 | 45.5 | 0 | 2025-07-24 | 5 | 4 | 2 | 36.0 | 1 | 0.0 | 36.0 | 2023-10-12 | 2 | 2 | 2 | 36.0 | 1 | 0.0 | 36.0 | 36.0 |  |  |  | 1 | 17696.0 | 0 | 1 | High (4-5 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265599 |  |  | 984 | MO | 63437 | CLARENCE CARE CENTER | CLARENCE NURSING HOME DISTRICT | Medicare and Medicaid | Government - County | 111 EAST STREET | CLARENCE | Shelby | N | 111 EAST STREET,CLARENCE,MO,63437 | 39.7438 | -92.254 |  | 6606992118 | 1994-11-18 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 60 | 33.6 |  |  |  |  |  |  |  |  | 3 | 3 | 2 | 3 | 1 | 4 | 2.89481 | 0.6064 | 0.53962 | 1.14602 | 4.04083 | 3.47941 | 0.34615 | 0.00932 | 1.0742 | 0.77187 | 1.79995 | 0.66405 | 0.52434 | 2.98834 | 2.65106 | 3.72422 | 0.78015 | 0.69423 | 5.19859 | 4.47632 | 46.7 | 42.9 |  | 2026-01-29 | 2 | 1 | 1 | 20.0 | 1 | 0.0 | 20.0 | 2024-01-25 | 15 | 13 | 2 | 108.0 | 3 | 76.0 | 184.0 | 61.0 |  |  |  | 0 | 0.0 | 1 | 1 | Average (3 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265368 |  |  | 983 | MO | 65438 | ROCK POINT NURSING CENTER | ROCK POINT NURSING CENTER LLC | Medicare and Medicaid | For profit - Corporation | 8477 NORTH STREET | BIRCH TREE | Shannon | N | 8477 NORTH STREET,BIRCH TREE,MO,65438 | 36.9955 | -91.497 |  | 5732923212 | 1989-05-17 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 86 | 69.6 |  | PARADIGM SENIOR MANAGEMENT | 623 | 8 | 3.3 | 4.4 | 1.0 | 2.7 | 4 | 5 | 3 | 3 |  | 1 | 2.14236 | 0.67989 | 0.23582 | 0.91572 | 3.05808 | 2.75607 | 0.3106 | 0.0 | 1.42749 | 1.02573 | 2.39194 | 0.88245 | 0.69679 | 3.97118 | 3.52297 | 2.07405 | 0.65821 | 0.2283 | 2.96057 | 2.66819 | 53.2 | 16.7 | 1 | 2025-01-09 | 4 | 4 | 0 | 16.0 | 1 | 0.0 | 16.0 | 2023-09-29 | 7 | 7 | 0 | 32.0 | 1 | 0.0 | 32.0 | 20.0 |  |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265754 |  |  | 100 | MO | 64505 | ADVANCED CARE OF ST JOSEPH | NORTH 18TH STREET HEALTHCARE LLC | Medicare and Medicaid | For profit - Limited Liability company | 3002 NORTH 18TH ST | SAINT JOSEPH | Buchanan | Y | 3002 NORTH 18TH ST,SAINT JOSEPH,MO,64505 | 39.7905 | -94.84 |  | 8163644200 | 2003-03-27 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 180 | 155.8 |  | VERTICAL HEALTH SERVICES | 636 | 16 | 1.8 | 2.1 | 1.5 | 3.5 | 2 | 2 | 5 | 5 | 3 | 1 | 1.8836 | 0.28321 | 0.44275 | 0.72596 | 2.60956 | 2.33831 | 0.28209 | 0.04439 | 1.83102 | 1.31569 | 3.06811 | 1.1319 | 0.89377 | 5.09378 | 4.51886 | 1.42166 | 0.21376 | 0.33417 | 1.96958 | 1.76485 | 51.0 | 30.8 | 1 | 2025-07-03 | 19 | 17 | 7 | 148.0 | 1 | 0.0 | 148.0 | 2024-06-20 | 26 | 12 | 14 | 160.0 | 1 | 0.0 | 160.0 | 151.0 | 0 |  |  | 1 | 29803.0 | 0 | 1 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
26E084 |  |  | 470 | MO | 64127 | MYERS NURSING & CONVALESCENT CENTER | Legal Business Name Not Available | Medicaid | For profit - Limited Liability company | 2315 WALROND AVENUE | KANSAS CITY | Jackson | Y | 2315 WALROND AVENUE,KANSAS CITY,MO,64127 | 39.0841 | -94.546 |  | 8162313180 | 1974-10-01 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 84 | 79.1 |  |  |  |  |  |  |  |  | 2 | 2 | 5 | 5 |  | 1 | 0.96151 | 0.34271 | 0.117 | 0.45971 | 1.42122 | 1.25248 | 0.13619 | 0.0 | 0.89364 | 0.64213 | 1.49741 | 0.55243 | 0.43621 | 2.48604 | 2.20545 | 1.48692 | 0.52999 | 0.18093 | 2.19784 | 1.9369 | 71.1 |  | 3 | 2025-10-10 | 12 | 11 | 1 | 80.0 | 0 | 0.0 | 80.0 | 2023-12-08 | 30 | 27 | 4 | 232.0 | 1 | 0.0 | 232.0 | 118.0 |  |  |  | 0 | 0.0 | 0 | 0 | Low (1-2 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265405 |  |  | 570 | MO | 64628 | LIFE CARE CENTER OF BROOKFIELD | BROOKFIELD MEDICAL INVESTORS, LLC | Medicare and Medicaid | For profit - Corporation | 315 HUNT STREET | BROOKFIELD | Linn | N | 315 HUNT STREET,BROOKFIELD,MO,64628 | 39.7815 | -93.062 |  | 6602583367 | 1989-12-01 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 120 | 87.6 |  | LIFE CARE CENTERS OF AMERICA | 311 | 194 | 3.5 | 2.9 | 3.3 | 4.5 | 2 | 1 | 5 | 5 | 5 | 4 | 2.42253 | 0.63284 | 0.53173 | 1.16457 | 3.58709 | 3.10776 | 0.29449 | 0.0334 | 1.25724 | 0.90339 | 2.10667 | 0.7772 | 0.61369 | 3.49756 | 3.1028 | 2.66287 | 0.69563 | 0.58448 | 3.94297 | 3.41608 | 46.2 | 9.1 | 0 | 2024-12-05 | 2 | 2 | 0 | 24.0 | 1 | 0.0 | 24.0 | 2023-04-20 | 34 | 30 | 4 | 483.0 | 2 | 242.0 | 725.0 | 199.25 |  |  |  | 1 | 45159.0 | 0 | 1 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265762 |  |  | 100 | MO | 64506 | ST JOSEPH MANOR HEALTH & REHABILITATION | ST. JOSEPH MANOR HEALTH & REHABILITATION LLC | Medicare and Medicaid | For profit - Limited Liability company | 1317 NORTH 36TH STREET | SAINT JOSEPH | Buchanan | Y | 1317 NORTH 36TH STREET,SAINT JOSEPH,MO,64506 | 39.7794 | -94.806 |  | 8166761630 | 2003-04-22 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 110 | 58.1 |  | MO OP HOLDCO, LLC | 790 | 9 | 2.1 | 2.3 | 2.2 | 3.1 | 1 | 2 | 2 | 2 | 2 | 1 | 2.55385 | 0.68051 | 0.28714 | 0.96765 | 3.5215 | 2.95092 | 0.17835 | 0.00912 | 1.29144 | 0.92797 | 2.16398 | 0.79834 | 0.63039 | 3.59271 | 3.18721 | 2.73287 | 0.72821 | 0.30727 | 3.76836 | 3.15777 | 50.0 | 40.0 | 0 | 2025-03-21 | 7 | 6 | 1 | 60.0 | 1 | 0.0 | 60.0 | 2024-01-29 | 25 | 20 | 5 | 307.0 | 1 | 0.0 | 307.0 | 121.75 |  |  |  | 1 | 10414.0 | 0 | 1 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
