-- S17 Eyeball the join: every insider open-market sale inside an overdue window (report past its extended deadline), with owner, relationship, price
CIK | RPT | W0 | W1 | ISSUER_NAME | FILING_DATE | TRANSACTION_DATE | TRANSACTION_CODE | SHARES | PRICE_PER_SHARE | VAL | OWNER_NAME | RELATIONSHIP | TITLE | REMARKS
1441082 | 10-K 20230630 | 2023-10-17 | 2023-10-22 | Healing Co Inc. | 2023-11-02 | 2023-10-18 | S | 500000.0 | 1.0 | 500000.0 | Argyropoulos Demetri | TenPercentOwner |  | The reporting person is no longer an owner of 10% or more of the Issuer's Common Stock (as of 5/30/2023). As a result, the reporting person is no longer subject to Section 16 in connection with his transactions in the equity securities of the Issuer and therefore will no longer report any such transactions on Form 4 or Form 5.
1418100 | 10-Q 20220630 | 2022-08-18 | 2023-09-07 | Avaya Holdings Corp. | 2022-12-20 | 2022-12-16 | S | 2356888.0 | 0.2 | 471377.60000000003 | King Theodore Walker Cheng-De | TenPercentOwner |  | 
1418100 | 10-Q 20220630 | 2022-08-18 | 2023-09-07 | Avaya Holdings Corp. | 2022-12-20 | 2022-12-16 | S | 2406030.0 | 0.18 | 433085.39999999997 | King Theodore Walker Cheng-De | TenPercentOwner |  | 
899715 | 10-K 20221231 | 2023-03-20 | 2024-02-20 | TANGER INC. | 2023-12-05 | 2023-12-01 | S | 10788.0 | 25.5 | 275094.0 | TANGER STEVEN B | Director,Officer | Executive Chair of the Board | 
1441082 | 10-K 20230630 | 2023-10-17 | 2023-10-22 | Healing Co Inc. | 2023-11-02 | 2023-10-18 | S | 62500.0 | 4.0 | 250000.0 | Argyropoulos Demetri | TenPercentOwner |  | The reporting person is no longer an owner of 10% or more of the Issuer's Common Stock (as of 5/30/2023). As a result, the reporting person is no longer subject to Section 16 in connection with his transactions in the equity securities of the Issuer and therefore will no longer report any such transactions on Form 4 or Form 5.
1883085 | 10-K 20231231 | 2024-04-03 | 2024-04-24 | Pagaya Technologies Ltd. | 2024-08-21 | 2024-04-16 | S | 14452.0 | 9.92 | 143363.84 | DAS SANJIV | Officer | President | The transactions reported herein are being reported late due to an inadvertent administrative error and not any error of the Reporting Person.
1787412 | 10-K 20220731 | 2022-11-17 | 2023-06-01 | WB Burgers Asia, Inc. | 2022-12-29 | 2022-11-29 | S | 4597701.0 | 0.03 | 137931.03 | White Knight Co., Ltd. | TenPercentOwner |  | Following the aforementioned transaction(s), White Knight Co., Ltd. now owns 525,575,514 shares of common stock in WB Burgers Asia, Inc. White Knight Co., Ltd. also remains the owner of 1,000,000 shares of Preferred Series A Stock of the issuer. Every share of Series A Preferred Stock has super voting rights that allows for 1,000 votes for every vote of Common Stock. White Knight Co., Ltd. remains the majority controlling shareholder of WB Burgers Asia, Inc.
1787412 | 10-K 20220731 | 2022-11-17 | 2023-06-01 | WB Burgers Asia, Inc. | 2022-12-29 | 2022-11-29 | S | 4597701.0 | 0.03 | 137931.03 | Ishizuka Koichi | Director,Officer,TenPercentOwner | CEO, CFO | 
1840225 | 10-K 20221231 | 2023-04-19 | 2023-10-31 | Fusion Acquisition Corp. II | 2023-04-25 | 2023-04-21 | S | 10100.0 | 10.24 | 103424.0 | COWEN AND COMPANY, LLC | TenPercentOwner |  | 
1840225 | 10-K 20221231 | 2023-04-19 | 2023-10-31 | Fusion Acquisition Corp. II | 2023-04-25 | 2023-04-21 | S | 10100.0 | 10.24 | 103424.0 | RCG LV Pearl LLC | TenPercentOwner |  | 
1840225 | 10-K 20221231 | 2023-04-19 | 2023-10-31 | Fusion Acquisition Corp. II | 2023-04-25 | 2023-04-21 | S | 10100.0 | 10.24 | 103424.0 | COWEN INC. | TenPercentOwner |  | 
1840225 | 10-K 20221231 | 2023-04-19 | 2023-10-31 | Fusion Acquisition Corp. II | 2023-04-25 | 2023-04-21 | S | 10100.0 | 10.24 | 103424.0 | Cowen Holdings, Inc. | TenPercentOwner |  | 
1840225 | 10-K 20221231 | 2023-04-19 | 2023-10-31 | Fusion Acquisition Corp. II | 2023-04-25 | 2023-04-21 | S | 10100.0 | 10.24 | 103424.0 | Cowen Financial Products LLC | TenPercentOwner |  | 
1441082 | 10-K 20230630 | 2023-10-17 | 2023-10-22 | Healing Co Inc. | 2023-11-02 | 2023-10-18 | S | 25000.0 | 4.0 | 100000.0 | Argyropoulos Demetri | TenPercentOwner |  | The reporting person is no longer an owner of 10% or more of the Issuer's Common Stock (as of 5/30/2023). As a result, the reporting person is no longer subject to Section 16 in connection with his transactions in the equity securities of the Issuer and therefore will no longer report any such transactions on Form 4 or Form 5.
1441082 | 10-K 20230630 | 2023-10-17 | 2023-10-22 | Healing Co Inc. | 2023-11-17 | 2023-10-18 | S | 50000.0 | 2.0 | 100000.0 | Argyropoulos Demetrios Elias | Other |  | The reporting person is no longer an owner of 10% or more of the Issuer's Common Stock (as of 5/30/2023). As a result, the reporting person is no longer subject to Section 16 in connection with his transactions in the equity securities of the Issuer and therefore will no longer report any such transactions on Form 4 or Form 5. This Form 5 is being filed solely to amend the Form 5 filed by the former reporting person on November 2, 2023 according to the explanation of responses above.
899715 | 10-K 20221231 | 2023-03-20 | 2024-02-20 | TANGER FACTORY OUTLET CENTERS, INC | 2023-05-19 | 2023-05-17 | S | 5000.0 | 19.95 | 99750.0 | REDDIN THOMAS | Director |  | 
91668 | 10-Q 20240531 | 2024-07-24 | 2024-08-12 | SOLITRON DEVICES INC | 2024-08-12 | 2024-08-12 | S | 5187.0 | 18.24 | 94610.87999999999 | Olesen Value Fund GP LLC | TenPercentOwner |  | 
91668 | 10-Q 20240531 | 2024-07-24 | 2024-08-12 | SOLITRON DEVICES INC | 2024-08-12 | 2024-08-12 | S | 5187.0 | 18.24 | 94610.87999999999 | Olesen Christian | TenPercentOwner |  | 
91668 | 10-Q 20240531 | 2024-07-24 | 2024-08-12 | SOLITRON DEVICES INC | 2024-08-12 | 2024-08-12 | S | 5187.0 | 18.24 | 94610.87999999999 | Olesen Value Fund L.P. | TenPercentOwner |  | 
91668 | 10-Q 20240531 | 2024-07-24 | 2024-08-12 | SOLITRON DEVICES INC | 2024-08-12 | 2024-08-12 | S | 5187.0 | 18.24 | 94610.87999999999 | Olesen Value Fund GP LLC | TenPercentOwner |  | 
(217 rows; 0.7s; qid 01c74ba9-040b-a028-0026-eed30133d816)
