-- S10 Ireland CRO: every normalised address hosting 250+ companies, with status, decade spread, 2025+ newcomers and biggest single day
A2 | ADDR | N | NORMAL | DISS | SOL | PRE1990 | Y1990S | Y2000_14 | Y2015_24 | Y2025P | D0 | D1 | MAXDAY | PEAKDAY
98LOWERBAGGOTSTREETDUBLIN2 | 98 LOWER BAGGOT STREET, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1496 | 26 | 1469 | 0 | 85 | 1345 | 62 | 4 | 0 | 1963-04-23 | 2021-09-09 | 26 | 1995-03-04
UNIT3DNORTHPOINTHOUSENORTHPOINTBUSINESSPARK | UNIT 3D NORTH POINT HOUSE, NORTH POINT BUSINESS PARK, NEW MALLOW ROAD CORK, CO. CORK,CORK | 1494 | 847 | 594 | 51 | 1 | 9 | 13 | 1356 | 115 | 1975-12-02 | 2026-07-29 | 13 | 2020-12-07
COLIEMOREHOUSECOLIEMOREROAD | COLIEMORE HOUSE, COLIEMORE ROAD, DALKEY,DUBLIN | 1486 | 734 | 722 | 26 | 0 | 3 | 350 | 951 | 182 | 1998-03-31 | 2026-08-07 | 11 | 2008-02-18
2CLANWILLIAMTERRACEDUBLIN2 | 2 CLANWILLIAM TERRACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1412 | 0 | 1412 | 0 | 118 | 1294 | 0 | 0 | 0 | 1974-11-07 | 1997-04-16 | 28 | 1992-04-16
32MOLESWORTHSTREETDUBLIN2 | 32 MOLESWORTH STREET, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02Y512 | 1312 | 953 | 282 | 10 | 6 | 10 | 193 | 986 | 117 | 1950-05-24 | 2026-08-05 | 9 | 2015-01-16
57DAMESTREETDUBLIN2 | 57 DAME STREET, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1265 | 22 | 1243 | 0 | 48 | 1173 | 24 | 20 | 0 | 1958-12-05 | 2023-09-20 | 22 | 1993-07-13
17DAMESTREETDUBLIN2 | 17 DAME STREET, DUBLIN 2., DUBLIN, DUBLIN, IRELAND | 1245 | 2 | 1241 | 0 | 660 | 549 | 36 | 0 | 0 | 1974-03-08 | 2014-12-05 | 21 | 1989-01-12
109LOWERBAGGOTSTREETDUBLIN2 | 109 LOWER BAGGOT STREET, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1162 | 47 | 1112 | 2 | 21 | 1020 | 91 | 30 | 0 | 1975-02-13 | 2024-09-26 | 15 | 1998-04-02
GROUNDFLOOR71LOWERBAGGOTSTREET | GROUND FLOOR, 71 LOWER BAGGOT STREET,DUBLIN, D02 P593 | 1122 | 799 | 301 | 15 | 1 | 6 | 15 | 981 | 119 | 1984-11-22 | 2026-08-04 | 6 | 2021-02-01
56FITZWILLIAMSQUAREDUBLIN2 | 56 FITZWILLIAM SQUARE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1118 | 1 | 1117 | 0 | 21 | 1075 | 14 | 7 | 1 | 1970-12-24 | 2025-08-18 | 18 | 1992-03-26
44FITZWILLIAMPLACEDUBLIN2 | 44 FITZWILLIAM PLACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1087 | 5 | 1062 | 0 | 178 | 279 | 612 | 17 | 1 | 1896-01-31 | 2025-01-31 | 4 | 1998-03-31
2729LOWERPEMBROKESTREETDUBLIN2 | 27-29 LOWER PEMBROKE STREET, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 1081 | 0 | 1081 | 0 | 2 | 1068 | 11 | 0 | 0 | 1988-03-10 | 2003-12-04 | 30 | 1995-12-20
POD2THEOLDSTATIONHOUSE | POD 2, THE OLD STATION HOUSE, 15A MAIN STREET, BLACKROCK,DUBLIN, A94T8P8 | 1061 | 893 | 146 | 21 | 0 | 1 | 0 | 899 | 161 | 1995-12-07 | 2026-07-22 | 8 | 2025-02-21
48FITZWILLIAMSQUAREDUBLIN2 | 48 FITZWILLIAM SQUARE, DUBLIN 2., DUBLIN, DUBLIN, IRELAND | 1040 | 4 | 1036 | 0 | 84 | 951 | 3 | 2 | 0 | 1959-03-23 | 2019-11-14 | 14 | 1989-04-15
FRIELSTAFFORD44FITZWILLIAMPLACE | FRIEL STAFFORD, 44 FITZWILLIAM PLACE, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02 P027 | 1028 | 14 | 623 | 2 | 99 | 93 | 445 | 391 | 0 | 1943-10-14 | 2024-05-28 | 8 | 2020-11-24
KANDOYHOUSE2FAIRVIEWSTRAND | KANDOY HOUSE, 2 FAIRVIEW STRAND, DUBLIN 3, DUBLIN 3, DUBLIN, D03Y1E2 | 976 | 674 | 284 | 17 | 0 | 0 | 50 | 841 | 85 | 2000-03-29 | 2026-08-07 | 16 | 2019-03-27
THESIDINGS4THFLOOR | THE SIDINGS, 4TH FLOOR, GRAND CANAL QUAY, ,DUBLIN 2, D02 E7K8 | 852 | 840 | 0 | 2 | 8 | 8 | 92 | 624 | 120 | 1962-04-24 | 2026-07-24 | 7 | 2006-05-16
2426CITYQUAYDUBLIN2 | 24-26 CITY QUAY, DUBLIN 2, DUBLIN, DUBLIN, IRELAND, D02NY19 | 841 | 18 | 811 | 0 | 145 | 240 | 437 | 19 | 0 | 1908-05-28 | 2022-07-15 | 6 | 2000-03-31
2528NORTHWALLQUAYDUBLIN1 | 25/28 NORTH WALL QUAY, DUBLIN 1, DUBLIN, DUBLIN, IRELAND | 832 | 13 | 805 | 1 | 66 | 335 | 347 | 81 | 3 | 1891-07-04 | 2026-07-01 | 14 | 2009-07-16
29EARLSFORTTERRACEDUBLIN2 | 29 EARLSFORT TERRACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 806 | 99 | 690 | 3 | 279 | 305 | 148 | 69 | 5 | 1934-07-28 | 2026-02-09 | 8 | 1995-03-22
SUITE441LOWERBAGGOTSTREET | SUITE 4, 41 LOWER BAGGOT STREET, DUBLIN 2, DUBLIN | 805 | 0 | 805 | 0 | 0 | 805 | 0 | 0 | 0 | 1991-04-15 | 1998-10-21 | 25 | 1998-04-01
1318CITYQUAYDUBLIN2 | 13-18 CITY QUAY, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02 ED70 | 802 | 219 | 516 | 5 | 58 | 62 | 400 | 277 | 5 | 1922-07-31 | 2026-03-30 | 7 | 2021-09-10
4LOWERHATCHSTREETDUBLIN2 | 4 LOWER HATCH STREET, DUBLIN 2., DUBLIN, DUBLIN, IRELAND | 761 | 7 | 754 | 0 | 79 | 674 | 4 | 2 | 2 | 1974-03-19 | 2025-09-10 | 8 | 1991-10-21
STRATTONHOUSEBISHOPSTOWNROAD | STRATTON HOUSE, BISHOPSTOWN ROAD, CORK, CORK | 751 | 29 | 720 | 1 | 22 | 679 | 24 | 25 | 1 | 1985-01-02 | 2025-08-13 | 46 | 1993-03-02
11ANGLESEASTREETDUBLIN2 | 11 ANGLESEA STREET, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 749 | 1 | 748 | 0 | 14 | 683 | 51 | 0 | 0 | 1972-05-16 | 2006-12-15 | 10 | 1992-05-26
LANDSCAPEHOUSEBALDONNELLBUSINESSPARK | LANDSCAPE HOUSE, BALDONNELL BUSINESS PARK, BALDONNELL, DUBLIN,DUBLIN 22, D22 P3K7 | 713 | 647 | 50 | 16 | 1 | 4 | 20 | 427 | 261 | 1981-07-27 | 2026-08-06 | 7 | 2025-12-19
GROUNDFLOORTWODOCKLANDCENTRAL | GROUND FLOOR, TWO DOCKLAND CENTRAL, GUILD STREET, NORTH DOCK, DUBLIN,DUBLIN 1, D01 K2C5 | 698 | 677 | 16 | 2 | 0 | 0 | 49 | 494 | 155 | 2004-04-21 | 2026-07-31 | 11 | 2020-11-04
17EARLSFORTTERRACEDUBLIN2 | 17 EARLSFORT TERRACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 697 | 0 | 697 | 0 | 63 | 622 | 12 | 0 | 0 | 1962-01-11 | 2005-05-24 | 7 | 1994-02-22
2NDFLOOR3CHRISTCHURCHSQUARE | 2ND FLOOR, 3 CHRISTCHURCH SQUARE, DUBLIN 8, DUBLIN | 669 | 0 | 669 | 0 | 6 | 663 | 0 | 0 | 0 | 1982-12-16 | 1999-10-19 | 12 | 1998-08-07
32FITZWILLIAMPLACEDUBLIN2 | 32 FITZWILLIAM PLACE, DUBLIN 2, DUBLIN 2, D02Y985 | 666 | 3 | 331 | 1 | 36 | 59 | 347 | 224 | 0 | 1940-04-19 | 2024-01-02 | 3 | 2019-05-02
RIVERSIDEONESIRJOHNROGERSONSQUAY | RIVERSIDE ONE, SIR JOHN ROGERSON'S QUAY, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02X576 | 628 | 378 | 235 | 5 | 27 | 72 | 237 | 235 | 57 | 1920-07-09 | 2026-07-31 | 9 | 2006-09-05
ARTHURCOXBUILDINGEARLSFORTTERRACE | ARTHUR COX BUILDING, EARLSFORT TERRACE, DUBLIN 2, DUBLIN | 590 | 3 | 576 | 0 | 57 | 327 | 195 | 11 | 0 | 1950-10-12 | 2016-08-29 | 10 | 2000-03-16
69TRINITYSTREETDUBLIN2 | 6-9 TRINITY STREET, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02EY47 | 587 | 237 | 333 | 15 | 3 | 11 | 204 | 357 | 12 | 1971-05-14 | 2026-05-27 | 4 | 2015-07-01
8INNSCOURTWINETAVERNSTREET | 8 INNS COURT, WINETAVERN STREET, DUBLIN 8, DUBLIN | 582 | 0 | 582 | 0 | 53 | 528 | 1 | 0 | 0 | 1971-09-03 | 2000-03-30 | 21 | 1994-03-03
5THFLOORTHEEXCHANGE | 5TH FLOOR, THE EXCHANGE, GEORGE'S DOCK, IFSC, DUBLIN 1, D01 W3P9 | 568 | 520 | 33 | 1 | 0 | 1 | 13 | 352 | 202 | 1998-12-15 | 2026-08-06 | 6 | 2022-09-23
LEEHOUSERIVERVIEWBUSINESSPARK | LEE HOUSE, RIVERVIEW BUSINESS PARK, BESSBORO ROAD MAHON CORK, CO. CORK,CORK | 555 | 9 | 546 | 0 | 0 | 5 | 70 | 480 | 0 | 1999-03-08 | 2018-10-03 | 98 | 2016-10-26
THEBLACKCHURCHSTMARYSPLACEDUBLIN7 | THE BLACK CHURCH ST. MARY'S PLACE, DUBLIN 7, DUBLIN 7, DUBLIN, IRELAND, D07P4AX | 554 | 178 | 363 | 13 | 0 | 0 | 259 | 295 | 0 | 2005-05-03 | 2020-12-10 | 5 | 2019-10-14
10EARLSFORTTERRACEDUBLIN2 | 10 EARLSFORT TERRACE, DUBLIN 2, D02 T380 | 549 | 432 | 102 | 9 | 26 | 33 | 162 | 200 | 128 | 1893-08-01 | 2026-07-30 | 10 | 2015-09-23
CHARTERHOUSE5PEMBROKEROW | CHARTER HOUSE, 5 PEMBROKE ROW, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02FW61 | 548 | 151 | 367 | 3 | 92 | 158 | 183 | 103 | 12 | 1944-12-30 | 2026-06-02 | 4 | 2004-10-28
3BURLINGTONROADDUBLIN4 | 3 BURLINGTON ROAD, DUBLIN 4, DUBLIN, DUBLIN, IRELAND | 539 | 4 | 524 | 0 | 114 | 345 | 74 | 6 | 0 | 1921-07-08 | 2021-02-02 | 6 | 1997-12-01
CENTURYHOUSEHAROLDSCROSSROAD | CENTURY HOUSE, HAROLD'S CROSS ROAD, DUBLIN 6W, DUBLIN | 516 | 80 | 427 | 1 | 64 | 179 | 190 | 82 | 0 | 1938-03-29 | 2024-05-01 | 3 | 1998-08-20
AVIATIONHOUSESHANNON | AVIATION HOUSE, SHANNON,CLARE, V14 AN29 | 506 | 365 | 130 | 0 | 2 | 14 | 341 | 145 | 4 | 1975-07-01 | 2026-04-07 | 20 | 2004-11-12
OFFICE212ALOWERMAINSTREET | OFFICE 2, 12A LOWER MAIN STREET, LUCAN,DUBLIN, K78 X5P8 | 499 | 399 | 88 | 11 | 0 | 0 | 7 | 335 | 157 | 2003-07-16 | 2026-08-04 | 4 | 2021-01-22
7THFLOORHUMEHOUSE | 7TH FLOOR, HUME HOUSE, BALLSBRIDGE DUBLIN 4, DUBLIN | 493 | 0 | 491 | 0 | 7 | 228 | 254 | 4 | 0 | 1970-02-20 | 2015-05-12 | 10 | 2000-03-08
22NORTHUMBERLANDROADDUBLIN4 | 22 NORTHUMBERLAND ROAD, DUBLIN 4, BALLSBRIDGE,DUBLIN, BALLSBRIDGE, DUBLIN, IRELAND, D04ED73 | 488 | 165 | 308 | 7 | 5 | 81 | 201 | 201 | 0 | 1978-11-28 | 2024-08-26 | 3 | 2015-10-05
UNIT26JBUILDING6500 | UNIT 26J, BUILDING 6500, CORK AIRPORT BUSINESS PARK CORK., CO. CORK,CORK | 488 | 382 | 103 | 3 | 0 | 1 | 308 | 159 | 20 | 1999-11-10 | 2026-07-29 | 18 | 2016-04-21
THIRDFLOOR2729LOWERPEMBROKESTREET | THIRD FLOOR, 27-29 LOWER PEMBROKE STREET, DUBLIN 2, DUBLIN | 485 | 0 | 484 | 0 | 1 | 484 | 0 | 0 | 0 | 1986-11-25 | 1994-08-19 | 24 | 1994-02-22
45NORTHUMBERLANDROADDUBLIN4 | 45 NORTHUMBERLAND ROAD, DUBLIN 4., BALLSBRIDGE,DUBLIN, BALLSBRIDGE, DUBLIN | 479 | 1 | 478 | 0 | 310 | 157 | 11 | 0 | 0 | 1934-09-27 | 2001-09-06 | 8 | 1990-04-05
22NORTHUMBERLANDROADBALLSBRIDGE | 22 NORTHUMBERLAND ROAD, BALLSBRIDGE,DUBLIN 4, D04ED73 | 470 | 207 | 253 | 1 | 7 | 97 | 150 | 129 | 87 | 1978-09-12 | 2026-07-31 | 4 | 2026-07-20
30HERBERTSTREETDUBLIN2 | 30 HERBERT STREET, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 464 | 23 | 436 | 0 | 34 | 252 | 165 | 13 | 0 | 1958-04-24 | 2020-08-19 | 15 | 2000-03-01
(136 rows; csv has all)
