family,class,n_members,slot,slot_label,members_ready,members_hole,status
accident,event,19,by_county_city,By county / city / zip,12,7,ready
accident,event,19,map_points,On a map (points),2,17,ready
accident,event,19,geo_concentration,Geographic concentration,12,7,ready
accident,event,19,mix_by_code,Mix by type/status/category,15,4,ready
accident,event,19,mix_over_time,Mix shifting over time,14,5,ready
accident,event,19,code_concentration,Does one category dominate,15,4,ready
accident,event,19,total_money,Total dollars,1,18,ready
accident,event,19,typical_money,Typical dollar size (median),1,18,ready
accident,event,19,money_distribution,Dollar distribution,1,18,ready
accident,event,19,money_top_share,Top 1% share of dollars,1,18,ready
accident,event,19,round_numbers,Suspiciously round amounts,1,18,ready
accident,event,19,size_distribution,Size distribution,5,14,ready
accident,event,19,per_noun_rate,Events per noun (the core ratio),10,9,ready
accident,event,19,zero_nouns,Nouns with zero events (never touched),10,9,ready
accident,event,19,repeaters,Repeat offenders / heaviest nouns,10,9,ready
accident,event,19,noun_concentration,Top 1% of nouns' share of events,10,9,ready
accident,event,19,per_person,Per person served,2,17,ready
accident,event,19,flag_rates,Yes/no flag rates,4,15,ready
action,event,38,how_many,How many are there,38,0,ready
action,event,38,row_count_vs_published,Rows held vs publisher total,38,0,ready
action,event,38,freshness,How fresh is it (last load),38,0,ready
action,event,38,grain_integrity,Is one row really one thing (dup check),34,4,ready
action,event,38,id_integrity,Are the IDs real (distinct/sentinel check),34,4,ready
action,event,38,rank_in_family,Rank among peers in its family,38,0,ready
action,event,38,share_of_family,Share of its family,38,0,ready
action,event,38,by_time,Over time,23,15,ready
action,event,38,first_last,Earliest and latest,23,15,ready
action,event,38,gaps,Missing periods in the record,23,15,ready
action,event,38,seasonality,By month / day-of-week,23,15,ready
action,event,38,by_state,By state,17,21,ready
action,event,38,by_county_city,By county / city / zip,17,21,ready
action,event,38,map_points,On a map (points),3,35,ready
action,event,38,geo_concentration,Geographic concentration,17,21,ready
action,event,38,mix_by_code,Mix by type/status/category,26,12,ready
action,event,38,mix_over_time,Mix shifting over time,23,15,ready
action,event,38,code_concentration,Does one category dominate,26,12,ready
action,event,38,total_money,Total dollars,9,29,ready
action,event,38,typical_money,Typical dollar size (median),9,29,ready
action,event,38,money_distribution,Dollar distribution,9,29,ready
action,event,38,money_top_share,Top 1% share of dollars,9,29,ready
action,event,38,round_numbers,Suspiciously round amounts,9,29,ready
action,event,38,size_distribution,Size distribution,12,26,ready
action,event,38,per_noun_rate,Events per noun (the core ratio),34,4,ready
action,event,38,zero_nouns,Nouns with zero events (never touched),34,4,ready
action,event,38,repeaters,Repeat offenders / heaviest nouns,34,4,ready
action,event,38,noun_concentration,Top 1% of nouns' share of events,34,4,ready
action,event,38,per_person,Per person served,2,36,ready
action,event,38,flag_rates,Yes/no flag rates,3,35,ready
aggregate,aggregate,56,how_many,How many are there,56,0,ready
aggregate,aggregate,56,row_count_vs_published,Rows held vs publisher total,56,0,ready
aggregate,aggregate,56,freshness,How fresh is it (last load),56,0,ready
aggregate,aggregate,56,grain_integrity,Is one row really one thing (dup check),38,18,ready
aggregate,aggregate,56,id_integrity,Are the IDs real (distinct/sentinel check),24,32,ready
aggregate,aggregate,56,rank_in_family,Rank among peers in its family,56,0,ready
aggregate,aggregate,56,share_of_family,Share of its family,56,0,ready
aggregate,aggregate,56,by_time,Over time,44,12,ready
aggregate,aggregate,56,first_last,Earliest and latest,44,12,ready
aggregate,aggregate,56,gaps,Missing periods in the record,44,12,ready
aggregate,aggregate,56,seasonality,By month / day-of-week,44,12,ready
aggregate,aggregate,56,by_state,By state,33,23,ready
aggregate,aggregate,56,by_county_city,By county / city / zip,33,23,ready
aggregate,aggregate,56,map_points,On a map (points),4,52,ready
aggregate,aggregate,56,geo_concentration,Geographic concentration,33,23,ready
aggregate,aggregate,56,mix_by_code,Mix by type/status/category,43,13,ready
aggregate,aggregate,56,mix_over_time,Mix shifting over time,39,17,ready
aggregate,aggregate,56,code_concentration,Does one category dominate,43,13,ready
aggregate,aggregate,56,total_money,Total dollars,13,43,ready
aggregate,aggregate,56,typical_money,Typical dollar size (median),13,43,ready
aggregate,aggregate,56,money_distribution,Dollar distribution,13,43,ready
aggregate,aggregate,56,money_top_share,Top 1% share of dollars,13,43,ready
aggregate,aggregate,56,round_numbers,Suspiciously round amounts,13,43,ready
aggregate,aggregate,56,size_distribution,Size distribution,23,33,ready
aggregate,aggregate,56,per_person,Per person served,8,48,ready
aggregate,aggregate,56,flag_rates,Yes/no flag rates,5,51,ready
asset,noun,15,how_many,How many are there,15,0,ready
asset,noun,15,row_count_vs_published,Rows held vs publisher total,15,0,ready
asset,noun,15,freshness,How fresh is it (last load),15,0,ready
asset,noun,15,grain_integrity,Is one row really one thing (dup check),15,0,ready
asset,noun,15,id_integrity,Are the IDs real (distinct/sentinel check),15,0,ready
asset,noun,15,rank_in_family,Rank among peers in its family,15,0,ready
asset,noun,15,share_of_family,Share of its family,15,0,ready
asset,noun,15,by_time,Over time,10,5,ready
asset,noun,15,first_last,Earliest and latest,10,5,ready
asset,noun,15,gaps,Missing periods in the record,10,5,ready
asset,noun,15,seasonality,By month / day-of-week,10,5,ready
asset,noun,15,births,New ones per period (first seen),10,5,ready
asset,noun,15,deaths,Disappeared per period (last seen),10,5,ready
asset,noun,15,age_distribution,How old the living ones are,10,5,ready
asset,noun,15,by_state,By state,13,2,ready
asset,noun,15,by_county_city,By county / city / zip,13,2,ready
asset,noun,15,map_points,On a map (points),7,8,ready
asset,noun,15,geo_concentration,Geographic concentration,13,2,ready
asset,noun,15,mix_by_code,Mix by type/status/category,12,3,ready
asset,noun,15,mix_over_time,Mix shifting over time,10,5,ready
asset,noun,15,code_concentration,Does one category dominate,12,3,ready
asset,noun,15,total_money,Total dollars,1,14,ready
asset,noun,15,typical_money,Typical dollar size (median),1,14,ready
asset,noun,15,money_distribution,Dollar distribution,1,14,ready
asset,noun,15,money_top_share,Top 1% share of dollars,1,14,ready
asset,noun,15,round_numbers,Suspiciously round amounts,1,14,ready
asset,noun,15,size_distribution,Size distribution,6,9,ready
asset,noun,15,per_person,Per person served,2,13,ready
asset,noun,15,flag_rates,Yes/no flag rates,3,12,ready
award,event+noun,20,how_many,How many are there,20,0,ready
award,event+noun,20,row_count_vs_published,Rows held vs publisher total,20,0,ready
award,event+noun,20,freshness,How fresh is it (last load),20,0,ready
award,event+noun,20,grain_integrity,Is one row really one thing (dup check),19,1,ready
award,event+noun,20,id_integrity,Are the IDs real (distinct/sentinel check),20,0,ready
award,event+noun,20,rank_in_family,Rank among peers in its family,20,0,ready
award,event+noun,20,share_of_family,Share of its family,20,0,ready
award,event+noun,20,by_time,Over time,19,1,ready
award,event+noun,20,first_last,Earliest and latest,19,1,ready
award,event+noun,20,gaps,Missing periods in the record,19,1,ready
award,event+noun,20,seasonality,By month / day-of-week,19,1,ready
award,event+noun,20,births,New ones per period (first seen),19,1,ready
award,event+noun,20,deaths,Disappeared per period (last seen),19,1,ready
award,event+noun,20,age_distribution,How old the living ones are,19,1,ready
award,event+noun,20,by_state,By state,11,9,ready
award,event+noun,20,by_county_city,By county / city / zip,11,9,ready
award,event+noun,20,map_points,On a map (points),0,20,hole
award,event+noun,20,geo_concentration,Geographic concentration,11,9,ready
award,event+noun,20,mix_by_code,Mix by type/status/category,16,4,ready
award,event+noun,20,mix_over_time,Mix shifting over time,16,4,ready
award,event+noun,20,code_concentration,Does one category dominate,16,4,ready
award,event+noun,20,total_money,Total dollars,17,3,ready
award,event+noun,20,typical_money,Typical dollar size (median),17,3,ready
award,event+noun,20,money_distribution,Dollar distribution,17,3,ready
award,event+noun,20,money_top_share,Top 1% share of dollars,17,3,ready
award,event+noun,20,round_numbers,Suspiciously round amounts,17,3,ready
award,event+noun,20,size_distribution,Size distribution,10,10,ready
award,event+noun,20,per_noun_rate,Events per noun (the core ratio),20,0,ready
award,event+noun,20,zero_nouns,Nouns with zero events (never touched),20,0,ready
award,event+noun,20,repeaters,Repeat offenders / heaviest nouns,20,0,ready
award,event+noun,20,noun_concentration,Top 1% of nouns' share of events,20,0,ready
award,event+noun,20,per_person,Per person served,2,18,ready
award,event+noun,20,flag_rates,Yes/no flag rates,4,16,ready
case,event+noun,44,how_many,How many are there,44,0,ready
case,event+noun,44,row_count_vs_published,Rows held vs publisher total,44,0,ready
case,event+noun,44,freshness,How fresh is it (last load),44,0,ready
case,event+noun,44,grain_integrity,Is one row really one thing (dup check),41,3,ready
case,event+noun,44,id_integrity,Are the IDs real (distinct/sentinel check),42,2,ready
case,event+noun,44,rank_in_family,Rank among peers in its family,44,0,ready
case,event+noun,44,share_of_family,Share of its family,44,0,ready
case,event+noun,44,by_time,Over time,36,8,ready
case,event+noun,44,first_last,Earliest and latest,36,8,ready
case,event+noun,44,gaps,Missing periods in the record,36,8,ready
case,event+noun,44,seasonality,By month / day-of-week,36,8,ready
case,event+noun,44,births,New ones per period (first seen),36,8,ready
case,event+noun,44,deaths,Disappeared per period (last seen),36,8,ready
case,event+noun,44,age_distribution,How old the living ones are,36,8,ready
case,event+noun,44,by_state,By state,31,13,ready
case,event+noun,44,by_county_city,By county / city / zip,31,13,ready
case,event+noun,44,map_points,On a map (points),12,32,ready
case,event+noun,44,geo_concentration,Geographic concentration,31,13,ready
case,event+noun,44,mix_by_code,Mix by type/status/category,31,13,ready
case,event+noun,44,mix_over_time,Mix shifting over time,29,15,ready
case,event+noun,44,code_concentration,Does one category dominate,31,13,ready
case,event+noun,44,total_money,Total dollars,10,34,ready
case,event+noun,44,typical_money,Typical dollar size (median),10,34,ready
case,event+noun,44,money_distribution,Dollar distribution,10,34,ready
case,event+noun,44,money_top_share,Top 1% share of dollars,10,34,ready
case,event+noun,44,round_numbers,Suspiciously round amounts,10,34,ready
case,event+noun,44,size_distribution,Size distribution,22,22,ready
case,event+noun,44,per_noun_rate,Events per noun (the core ratio),42,2,ready
case,event+noun,44,zero_nouns,Nouns with zero events (never touched),42,2,ready
case,event+noun,44,repeaters,Repeat offenders / heaviest nouns,42,2,ready
case,event+noun,44,noun_concentration,Top 1% of nouns' share of events,42,2,ready
case,event+noun,44,per_person,Per person served,3,41,ready
case,event+noun,44,flag_rates,Yes/no flag rates,2,42,ready
change,event,11,how_many,How many are there,11,0,ready
change,event,11,row_count_vs_published,Rows held vs publisher total,11,0,ready
change,event,11,freshness,How fresh is it (last load),11,0,ready
change,event,11,grain_integrity,Is one row really one thing (dup check),11,0,ready
change,event,11,id_integrity,Are the IDs real (distinct/sentinel check),11,0,ready
change,event,11,rank_in_family,Rank among peers in its family,11,0,ready
change,event,11,share_of_family,Share of its family,11,0,ready
change,event,11,by_time,Over time,9,2,ready
change,event,11,first_last,Earliest and latest,9,2,ready
change,event,11,gaps,Missing periods in the record,9,2,ready
change,event,11,seasonality,By month / day-of-week,9,2,ready
change,event,11,by_state,By state,8,3,ready
change,event,11,by_county_city,By county / city / zip,8,3,ready
change,event,11,map_points,On a map (points),2,9,ready
change,event,11,geo_concentration,Geographic concentration,8,3,ready
change,event,11,mix_by_code,Mix by type/status/category,8,3,ready
change,event,11,mix_over_time,Mix shifting over time,7,4,ready
change,event,11,code_concentration,Does one category dominate,8,3,ready
change,event,11,total_money,Total dollars,0,11,hole
change,event,11,typical_money,Typical dollar size (median),0,11,hole
change,event,11,money_distribution,Dollar distribution,0,11,hole
change,event,11,money_top_share,Top 1% share of dollars,0,11,hole
change,event,11,round_numbers,Suspiciously round amounts,0,11,hole
change,event,11,size_distribution,Size distribution,1,10,ready
change,event,11,per_noun_rate,Events per noun (the core ratio),11,0,ready
change,event,11,zero_nouns,Nouns with zero events (never touched),11,0,ready
change,event,11,repeaters,Repeat offenders / heaviest nouns,11,0,ready
change,event,11,noun_concentration,Top 1% of nouns' share of events,11,0,ready
change,event,11,per_person,Per person served,0,11,hole
change,event,11,flag_rates,Yes/no flag rates,4,7,ready
code,code,47,how_many,How many are there,47,0,ready
code,code,47,row_count_vs_published,Rows held vs publisher total,47,0,ready
code,code,47,freshness,How fresh is it (last load),47,0,ready
code,code,47,grain_integrity,Is one row really one thing (dup check),46,1,ready
code,code,47,id_integrity,Are the IDs real (distinct/sentinel check),45,2,ready
code,code,47,rank_in_family,Rank among peers in its family,47,0,ready
code,code,47,share_of_family,Share of its family,47,0,ready
code,code,47,by_time,Over time,23,24,ready
code,code,47,first_last,Earliest and latest,23,24,ready
code,code,47,gaps,Missing periods in the record,23,24,ready
code,code,47,seasonality,By month / day-of-week,23,24,ready
code,code,47,by_state,By state,9,38,ready
code,code,47,by_county_city,By county / city / zip,9,38,ready
code,code,47,map_points,On a map (points),3,44,ready
code,code,47,geo_concentration,Geographic concentration,9,38,ready
code,code,47,mix_by_code,Mix by type/status/category,24,23,ready
code,code,47,mix_over_time,Mix shifting over time,6,41,ready
code,code,47,code_concentration,Does one category dominate,24,23,ready
code,code,47,total_money,Total dollars,1,46,ready
code,code,47,typical_money,Typical dollar size (median),1,46,ready
code,code,47,money_distribution,Dollar distribution,1,46,ready
code,code,47,money_top_share,Top 1% share of dollars,1,46,ready
code,code,47,round_numbers,Suspiciously round amounts,1,46,ready
code,code,47,size_distribution,Size distribution,6,41,ready
code,code,47,per_person,Per person served,0,47,hole
code,code,47,flag_rates,Yes/no flag rates,10,37,ready
code,code,47,codes_defined,Codes defined,47,0,ready
code,code,47,codes_in_use,Codes actually used anywhere,47,0,ready
code,code,47,code_usage_concentration,Usage concentration,47,0,ready
code,code,47,orphan_codes,Values in data missing from vocabulary,47,0,ready
complaint,event,6,how_many,How many are there,6,0,ready
complaint,event,6,row_count_vs_published,Rows held vs publisher total,6,0,ready
complaint,event,6,freshness,How fresh is it (last load),6,0,ready
complaint,event,6,grain_integrity,Is one row really one thing (dup check),5,1,ready
complaint,event,6,id_integrity,Are the IDs real (distinct/sentinel check),6,0,ready
complaint,event,6,rank_in_family,Rank among peers in its family,6,0,ready
complaint,event,6,share_of_family,Share of its family,6,0,ready
complaint,event,6,by_time,Over time,4,2,ready
complaint,event,6,first_last,Earliest and latest,4,2,ready
complaint,event,6,gaps,Missing periods in the record,4,2,ready
complaint,event,6,seasonality,By month / day-of-week,4,2,ready
complaint,event,6,by_state,By state,4,2,ready
complaint,event,6,by_county_city,By county / city / zip,4,2,ready
complaint,event,6,map_points,On a map (points),0,6,hole
complaint,event,6,geo_concentration,Geographic concentration,4,2,ready
complaint,event,6,mix_by_code,Mix by type/status/category,6,0,ready
complaint,event,6,mix_over_time,Mix shifting over time,4,2,ready
complaint,event,6,code_concentration,Does one category dominate,6,0,ready
complaint,event,6,total_money,Total dollars,0,6,hole
complaint,event,6,typical_money,Typical dollar size (median),0,6,hole
complaint,event,6,money_distribution,Dollar distribution,0,6,hole
complaint,event,6,money_top_share,Top 1% share of dollars,0,6,hole
complaint,event,6,round_numbers,Suspiciously round amounts,0,6,hole
complaint,event,6,size_distribution,Size distribution,1,5,ready
complaint,event,6,per_noun_rate,Events per noun (the core ratio),6,0,ready
complaint,event,6,zero_nouns,Nouns with zero events (never touched),6,0,ready
complaint,event,6,repeaters,Repeat offenders / heaviest nouns,6,0,ready
complaint,event,6,noun_concentration,Top 1% of nouns' share of events,6,0,ready
complaint,event,6,per_person,Per person served,0,6,hole
complaint,event,6,flag_rates,Yes/no flag rates,4,2,ready
contribution,event,23,how_many,How many are there,23,0,ready
contribution,event,23,row_count_vs_published,Rows held vs publisher total,23,0,ready
contribution,event,23,freshness,How fresh is it (last load),23,0,ready
contribution,event,23,grain_integrity,Is one row really one thing (dup check),22,1,ready
contribution,event,23,id_integrity,Are the IDs real (distinct/sentinel check),23,0,ready
contribution,event,23,rank_in_family,Rank among peers in its family,23,0,ready
contribution,event,23,share_of_family,Share of its family,23,0,ready
contribution,event,23,by_time,Over time,22,1,ready
contribution,event,23,first_last,Earliest and latest,22,1,ready
contribution,event,23,gaps,Missing periods in the record,22,1,ready
contribution,event,23,seasonality,By month / day-of-week,22,1,ready
contribution,event,23,by_state,By state,18,5,ready
contribution,event,23,by_county_city,By county / city / zip,18,5,ready
contribution,event,23,map_points,On a map (points),0,23,hole
contribution,event,23,geo_concentration,Geographic concentration,18,5,ready
contribution,event,23,mix_by_code,Mix by type/status/category,17,6,ready
contribution,event,23,mix_over_time,Mix shifting over time,17,6,ready
contribution,event,23,code_concentration,Does one category dominate,17,6,ready
contribution,event,23,total_money,Total dollars,19,4,ready
contribution,event,23,typical_money,Typical dollar size (median),19,4,ready
contribution,event,23,money_distribution,Dollar distribution,19,4,ready
contribution,event,23,money_top_share,Top 1% share of dollars,19,4,ready
contribution,event,23,round_numbers,Suspiciously round amounts,19,4,ready
contribution,event,23,size_distribution,Size distribution,4,19,ready
contribution,event,23,per_noun_rate,Events per noun (the core ratio),23,0,ready
contribution,event,23,zero_nouns,Nouns with zero events (never touched),23,0,ready
contribution,event,23,repeaters,Repeat offenders / heaviest nouns,23,0,ready
contribution,event,23,noun_concentration,Top 1% of nouns' share of events,23,0,ready
contribution,event,23,per_person,Per person served,0,23,hole
contribution,event,23,flag_rates,Yes/no flag rates,13,10,ready
crosswalk,link,16,how_many,How many are there,16,0,ready
crosswalk,link,16,row_count_vs_published,Rows held vs publisher total,16,0,ready
crosswalk,link,16,freshness,How fresh is it (last load),16,0,ready
crosswalk,link,16,grain_integrity,Is one row really one thing (dup check),15,1,ready
crosswalk,link,16,id_integrity,Are the IDs real (distinct/sentinel check),12,4,ready
crosswalk,link,16,rank_in_family,Rank among peers in its family,16,0,ready
crosswalk,link,16,share_of_family,Share of its family,16,0,ready
crosswalk,link,16,by_time,Over time,7,9,ready
crosswalk,link,16,first_last,Earliest and latest,7,9,ready
crosswalk,link,16,gaps,Missing periods in the record,7,9,ready
crosswalk,link,16,seasonality,By month / day-of-week,7,9,ready
crosswalk,link,16,by_state,By state,5,11,ready
crosswalk,link,16,by_county_city,By county / city / zip,5,11,ready
crosswalk,link,16,map_points,On a map (points),4,12,ready
crosswalk,link,16,geo_concentration,Geographic concentration,5,11,ready
crosswalk,link,16,mix_by_code,Mix by type/status/category,8,8,ready
crosswalk,link,16,mix_over_time,Mix shifting over time,4,12,ready
crosswalk,link,16,code_concentration,Does one category dominate,8,8,ready
crosswalk,link,16,total_money,Total dollars,1,15,ready
crosswalk,link,16,typical_money,Typical dollar size (median),1,15,ready
crosswalk,link,16,money_distribution,Dollar distribution,1,15,ready
crosswalk,link,16,money_top_share,Top 1% share of dollars,1,15,ready
crosswalk,link,16,round_numbers,Suspiciously round amounts,1,15,ready
crosswalk,link,16,size_distribution,Size distribution,3,13,ready
crosswalk,link,16,per_person,Per person served,1,15,ready
crosswalk,link,16,flag_rates,Yes/no flag rates,1,15,ready
crosswalk,link,16,degree_out,Connections per left noun,16,0,ready
crosswalk,link,16,degree_in,Connections per right noun,16,0,ready
crosswalk,link,16,multiplicity,One-to-one or many-to-many,16,0,ready
dataset,noun,17,how_many,How many are there,17,0,ready
dataset,noun,17,row_count_vs_published,Rows held vs publisher total,17,0,ready
dataset,noun,17,freshness,How fresh is it (last load),17,0,ready
dataset,noun,17,grain_integrity,Is one row really one thing (dup check),15,2,ready
dataset,noun,17,id_integrity,Are the IDs real (distinct/sentinel check),15,2,ready
dataset,noun,17,rank_in_family,Rank among peers in its family,17,0,ready
dataset,noun,17,share_of_family,Share of its family,17,0,ready
dataset,noun,17,by_time,Over time,14,3,ready
dataset,noun,17,first_last,Earliest and latest,14,3,ready
dataset,noun,17,gaps,Missing periods in the record,14,3,ready
dataset,noun,17,seasonality,By month / day-of-week,14,3,ready
dataset,noun,17,births,New ones per period (first seen),14,3,ready
dataset,noun,17,deaths,Disappeared per period (last seen),14,3,ready
dataset,noun,17,age_distribution,How old the living ones are,14,3,ready
dataset,noun,17,by_state,By state,10,7,ready
dataset,noun,17,by_county_city,By county / city / zip,10,7,ready
dataset,noun,17,map_points,On a map (points),0,17,hole
dataset,noun,17,geo_concentration,Geographic concentration,10,7,ready
dataset,noun,17,mix_by_code,Mix by type/status/category,8,9,ready
dataset,noun,17,mix_over_time,Mix shifting over time,7,10,ready
dataset,noun,17,code_concentration,Does one category dominate,8,9,ready
dataset,noun,17,total_money,Total dollars,0,17,hole
dataset,noun,17,typical_money,Typical dollar size (median),0,17,hole
dataset,noun,17,money_distribution,Dollar distribution,0,17,hole
dataset,noun,17,money_top_share,Top 1% share of dollars,0,17,hole
dataset,noun,17,round_numbers,Suspiciously round amounts,0,17,hole
dataset,noun,17,size_distribution,Size distribution,4,13,ready
dataset,noun,17,per_person,Per person served,0,17,hole
dataset,noun,17,flag_rates,Yes/no flag rates,0,17,hole
document,noun,14,how_many,How many are there,14,0,ready
document,noun,14,row_count_vs_published,Rows held vs publisher total,14,0,ready
document,noun,14,freshness,How fresh is it (last load),14,0,ready
document,noun,14,grain_integrity,Is one row really one thing (dup check),10,4,ready
document,noun,14,id_integrity,Are the IDs real (distinct/sentinel check),8,6,ready
document,noun,14,rank_in_family,Rank among peers in its family,14,0,ready
document,noun,14,share_of_family,Share of its family,14,0,ready
document,noun,14,by_time,Over time,9,5,ready
document,noun,14,first_last,Earliest and latest,9,5,ready
document,noun,14,gaps,Missing periods in the record,9,5,ready
document,noun,14,seasonality,By month / day-of-week,9,5,ready
document,noun,14,births,New ones per period (first seen),9,5,ready
document,noun,14,deaths,Disappeared per period (last seen),9,5,ready
document,noun,14,age_distribution,How old the living ones are,9,5,ready
document,noun,14,by_state,By state,4,10,ready
document,noun,14,by_county_city,By county / city / zip,4,10,ready
document,noun,14,map_points,On a map (points),0,14,hole
document,noun,14,geo_concentration,Geographic concentration,4,10,ready
document,noun,14,mix_by_code,Mix by type/status/category,5,9,ready
document,noun,14,mix_over_time,Mix shifting over time,5,9,ready
document,noun,14,code_concentration,Does one category dominate,5,9,ready
document,noun,14,total_money,Total dollars,2,12,ready
document,noun,14,typical_money,Typical dollar size (median),2,12,ready
document,noun,14,money_distribution,Dollar distribution,2,12,ready
document,noun,14,money_top_share,Top 1% share of dollars,2,12,ready
document,noun,14,round_numbers,Suspiciously round amounts,2,12,ready
document,noun,14,size_distribution,Size distribution,3,11,ready
document,noun,14,per_person,Per person served,0,14,hole
document,noun,14,flag_rates,Yes/no flag rates,2,12,ready
enforcement,event,18,how_many,How many are there,18,0,ready
enforcement,event,18,row_count_vs_published,Rows held vs publisher total,18,0,ready
enforcement,event,18,freshness,How fresh is it (last load),18,0,ready
enforcement,event,18,grain_integrity,Is one row really one thing (dup check),17,1,ready
enforcement,event,18,id_integrity,Are the IDs real (distinct/sentinel check),17,1,ready
enforcement,event,18,rank_in_family,Rank among peers in its family,18,0,ready
enforcement,event,18,share_of_family,Share of its family,18,0,ready
enforcement,event,18,by_time,Over time,17,1,ready
enforcement,event,18,first_last,Earliest and latest,17,1,ready
enforcement,event,18,gaps,Missing periods in the record,17,1,ready
enforcement,event,18,seasonality,By month / day-of-week,17,1,ready
enforcement,event,18,by_state,By state,17,1,ready
enforcement,event,18,by_county_city,By county / city / zip,17,1,ready
enforcement,event,18,map_points,On a map (points),4,14,ready
enforcement,event,18,geo_concentration,Geographic concentration,17,1,ready
enforcement,event,18,mix_by_code,Mix by type/status/category,16,2,ready
enforcement,event,18,mix_over_time,Mix shifting over time,16,2,ready
enforcement,event,18,code_concentration,Does one category dominate,16,2,ready
enforcement,event,18,total_money,Total dollars,8,10,ready
enforcement,event,18,typical_money,Typical dollar size (median),8,10,ready
enforcement,event,18,money_distribution,Dollar distribution,8,10,ready
enforcement,event,18,money_top_share,Top 1% share of dollars,8,10,ready
enforcement,event,18,round_numbers,Suspiciously round amounts,8,10,ready
enforcement,event,18,size_distribution,Size distribution,4,14,ready
enforcement,event,18,per_noun_rate,Events per noun (the core ratio),17,1,ready
enforcement,event,18,zero_nouns,Nouns with zero events (never touched),17,1,ready
enforcement,event,18,repeaters,Repeat offenders / heaviest nouns,17,1,ready
enforcement,event,18,noun_concentration,Top 1% of nouns' share of events,17,1,ready
enforcement,event,18,per_person,Per person served,3,15,ready
enforcement,event,18,flag_rates,Yes/no flag rates,8,10,ready
facility,noun,142,how_many,How many are there,142,0,ready
facility,noun,142,row_count_vs_published,Rows held vs publisher total,142,0,ready
facility,noun,142,freshness,How fresh is it (last load),142,0,ready
facility,noun,142,grain_integrity,Is one row really one thing (dup check),140,2,ready
facility,noun,142,id_integrity,Are the IDs real (distinct/sentinel check),139,3,ready
facility,noun,142,rank_in_family,Rank among peers in its family,142,0,ready
facility,noun,142,share_of_family,Share of its family,142,0,ready
facility,noun,142,by_time,Over time,107,35,ready
facility,noun,142,first_last,Earliest and latest,107,35,ready
facility,noun,142,gaps,Missing periods in the record,107,35,ready
facility,noun,142,seasonality,By month / day-of-week,107,35,ready
facility,noun,142,births,New ones per period (first seen),107,35,ready
facility,noun,142,deaths,Disappeared per period (last seen),107,35,ready
facility,noun,142,age_distribution,How old the living ones are,107,35,ready
facility,noun,142,by_state,By state,136,6,ready
facility,noun,142,by_county_city,By county / city / zip,136,6,ready
facility,noun,142,map_points,On a map (points),74,68,ready
facility,noun,142,geo_concentration,Geographic concentration,136,6,ready
facility,noun,142,mix_by_code,Mix by type/status/category,115,27,ready
facility,noun,142,mix_over_time,Mix shifting over time,92,50,ready
