family,thing,class,n_models,subjects,example_models
facility,childcare,noun,3,portal_arc_atlanta_dataatla_1a7f4adc21; portal_arc_atlanta_dataatla_79e3c7bd36; portal_arc_atlanta_dataatla_a59db2e766,stg_portal_arc_atlanta_dataatla_1a7f4adc21__records; stg_portal_arc_atlanta_dataatla_79e3c7bd36__records; stg_portal_arc_atlanta_dataatla_a59db2e766__records
facility,envirofact,noun,1,environment,environment__fed_epa_envirofacts
facility,facility,noun,98,environment; health; immigration; fed_cms_dialysis; fed_cms_home_health,environment__fed_epa_echo; environment__fed_epa_frs_facilities; environment__fed_epa_frs_frs_facilities
facility,generator,noun,10,energy; fed_eia860_3_1_generator; fed_eia860_3_2_wind; fed_eia860_3_3_solar; fed_eia860_3_4_energy_storage,energy__fed_eia860_3_1_generator; energy__fed_eia860_3_2_wind; energy__fed_eia860_3_3_solar
facility,mine,noun,2,labor; fed_msha_mines,labor__fed_msha_mines; stg_fed_msha_mines__records
facility,nursing,noun,3,health; portal_arc_harris_county_op_d9a3089ed0; portal_arc_harris_county_op_f3d3a3ab57,health__fed_cms_nursing_home; stg_portal_arc_harris_county_op_d9a3089ed0__records; stg_portal_arc_harris_county_op_f3d3a3ab57__records
facility,plant,noun,4,energy; environment; fed_eia860_2_plant,energy__fed_eia860_2_plant; energy__fed_eia860_6_1_enviroassoc; environment__fed_epa_egrid_plant_2022
facility,site,noun,4,environment; fed_epa_aqs_sites; fed_hrsa_uds_service_delivery_sites,environment__fed_epa_aqs_sites; environment__fed_epa_sdwa_sdwa_site_visits; stg_fed_epa_aqs_sites__sites
facility,station,noun,2,environment; fed_wqp_monitoring_stations,environment__fed_wqp_monitoring_stations; stg_fed_wqp_monitoring_stations__stations
facility,tri,noun,1,environment,environment__fed_epa_tri_basic_2023
filing,(filing unspecified),event+noun,9,finance,finance__fed_sec_dera_sub_2024q1; finance__fed_sec_dera_sub_2024q2; finance__fed_sec_dera_sub_2024q3
filing,disclosure,event+noun,12,justice; environment; fed_dol_oflc; fed_fracfocus_disclosure_list; fed_fracfocus_registry,environment__fed_fracfocus_disclosure_list; environment__fed_fracfocus_registry; environment__fed_fracfocus_water_source
filing,edgar,event+noun,4,economics; finance,economics__fed_sec_edgar; economics__fed_us_sec_edgar; finance__fed_sec_edgar_financials
filing,fara,event+noun,1,foreign_influence,foreign_influence__fed_fara_bulk
filing,filing,event+noun,15,politics_lobbying; finance; ca_lobby; ca_lobby_cover; fed_dol_ebsa_form5500_schedule_sb,education__fed_senate_lda_filings; finance__fed_pcaob_form_ap_filings; finance__fed_sec_13f_submissions
filing,form,event+noun,4,energy; fed_eia861_short_form; fed_sec_insider_reportingowner; portal_soc_colorado_informa_f0e162d7a8,energy__fed_eia861_short_form; stg_fed_eia861_short_form__responses; stg_fed_sec_insider_reportingowner__records
filing,form5500,event+noun,1,economics,economics__fed_dol_form5500
filing,report,event+noun,19,finance; environment; politics_lobbying; health; immigration,environment__fed_phmsa_flagged_incidents; environment__fed_uscg_nrc_incident_reports; finance__fed_ncua_call_reports_foicu
filing,return,event+noun,2,fed_medsl_president_returns; fed_medsl_senate_returns,stg_fed_medsl_president_returns__records; stg_fed_medsl_senate_returns__records
filing,schedule,event+noun,1,labor,labor__fed_dol_ebsa_form5500_schedule_sb
filing,statement,event+noun,1,fed_sec_edgar_financials,stg_fed_sec_edgar_financials__records
filing,submission,event+noun,4,finance; fed_irs_527_orgs; fed_sec_insider_submission; irs527_8871_orgs,finance__fed_sec_13f_submission; stg_fed_irs_527_orgs__records; stg_fed_sec_insider_submission__records
inspection,assessment,event,2,intl_eu_socta_europol; intl_fatf_ratings,stg_intl_eu_socta_europol__records; stg_intl_fatf_ratings__records
inspection,audit,event,2,economics; intl_owid_milspend,economics__fed_fac_single_audit; stg_intl_owid_milspend__military_spending
inspection,evaluation,event,2,environment; fed_epa_rcra_evaluations,environment__fed_epa_rcra_evaluations; stg_fed_epa_rcra_evaluations__evaluations
inspection,inspection,event,5,environment; fed_dol_osha_inspection; portal_cka_western_pennsylv_6a4c3e0e78; portal_cka_wprdc_allegheny_da448e7083,environment__fed_epa_npdes_npdes_inspections; finance__fed_epa_icis_fec_icis_fec_epa_inspections; stg_fed_dol_osha_inspection__all
inspection,monitoring,event,1,portal_cka_california_open_3b70ad4f80,stg_portal_cka_california_open_3b70ad4f80__records
inspection,pce,event,1,environment,environment__fed_epa_icis_air_icis_air_fces_pces
instrument,future,noun,1,finance,education__fed_cftc_cot_futures
instrument,outstanding,noun,1,economics,economics__fed_treasury_debt_outstanding
instrument,penny,noun,2,economics; fed_treasury_debt_to_penny,economics__fed_treasury_debt_to_penny; stg_fed_treasury_debt_to_penny__debt_to_penny
instrument,ticker,noun,4,economics; finance; fed_sec_edgar_company_tickers; fed_sec_edgar_company_tickers_exchange,economics__fed_sec_edgar_company_tickers; finance__fed_sec_edgar_company_tickers_exchange; stg_fed_sec_edgar_company_tickers__company_tickers
loan,lar,event+noun,3,housing; fed_cfpb_hmda_historic; fed_cfpb_hmda_lar,housing__fed_cfpb_hmda_lar; stg_fed_cfpb_hmda_historic__lar_records; stg_fed_cfpb_hmda_lar__lar_records
loan,loan,event+noun,7,economics; fed_cfpb_hmda; fed_ed_fsa_datacenter; fed_hud_fha_sf_portfolio_snapshot; fed_sba_loans,economics__fed_sba_loans; economics__fed_sba_ppp; stg_fed_cfpb_hmda__loans
loan,mortgage,event+noun,1,fed_fhfa_nmdb,stg_fed_fhfa_nmdb__records
measurement,capture,event,2,investigations; open_data,investigations__xc_wayback_replay_doj_listing; open_data__xc_wayback_doj_epstein
measurement,count,event,2,fed_cdc_overdose; fed_usaspending_tas_filter_tree,stg_fed_cdc_overdose__records; stg_fed_usaspending_tas_filter_tree__tas_nodes
measurement,eia861,event,5,energy,energy__fed_eia861_dynamic_pricing; energy__fed_eia861_energy_efficiency; energy__fed_eia861_net_metering
measurement,emission,event,4,environment; portal_soc_new_york_state_o_c08efa40c8; xc_owid_co2,environment__fed_epa_air_emissions_poll_rpt_combined_emissions; environment__fed_epa_ghgrp_emission; stg_portal_soc_new_york_state_o_c08efa40c8__records
measurement,encounter,event,3,immigration; justice; fed_cbp_encounters,immigration__fed_cbp_encounters; justice__xc_wapo_fatal_force; stg_fed_cbp_encounters__records
measurement,estimate,event,6,portal_cka_houston_open_dat_1629ef6392; portal_cka_houston_open_dat_2e1926ecb2; portal_cka_houston_open_dat_399393985d; portal_cka_houston_open_dat_aa67e5b416; portal_cka_houston_open_dat_aeb065e230,stg_portal_cka_houston_open_dat_1629ef6392__records; stg_portal_cka_houston_open_dat_2e1926ecb2__records; stg_portal_cka_houston_open_dat_399393985d__records
measurement,gini,event,1,economics,economics__xc_owid_gini
measurement,ideology,event,3,xc_jcs_coa; xc_jcs_medians; xc_jcs_scotus,stg_xc_jcs_coa__records; stg_xc_jcs_medians__records; stg_xc_jcs_scotus__records
measurement,index,event,7,economics; fed_fhfa_hpi; fed_irs_990_efile_index; fed_usgs_wbd_huc8; xc_owid_ai_incidents_annual,economics__fed_irs_990_efile_index; stg_fed_fhfa_hpi__records; stg_fed_irs_990_efile_index__records
measurement,level,event,13,health; fed_medsl_house_returns; portal_cka_houston_open_dat_092dc52bc1; portal_cka_houston_open_dat_0a6665137f; portal_cka_houston_open_dat_405fbdb44a,health__fed_cms_facility_level_minimum_data_set_frequency; stg_fed_medsl_house_returns__records; stg_portal_cka_houston_open_dat_092dc52bc1__records
measurement,load,event,3,energy; fed_eia861_frame; fed_nih_reporter,energy__fed_eia861_frame; stg_fed_eia861_frame__respondents; stg_fed_nih_reporter__projects
measurement,measure,event,1,justice,justice__xc_vera_incarceration_trends
measurement,measurement,event,1,portal_cka_california_open_ac6c9e2b47,stg_portal_cka_california_open_ac6c9e2b47__records
measurement,observation,event,1,intl_it_istat,stg_intl_it_istat__istat_sdmx_observations
measurement,qcew,event,1,fed_bls_qcew,stg_fed_bls_qcew__records
measurement,rate,event,9,economics; finance; health; fed_cdc_drug_poisoning_county; fed_cdc_injury_violence_county,economics__fed_treasury_avg_interest_rates; education__fed_frb_h15_selected_rates; health__fed_cdc_suicide_rates
measurement,result,event,2,fed_fda_device_510k; fed_fda_establishment_reg,stg_fed_fda_device_510k__all; stg_fed_fda_establishment_reg__all
measurement,sample,event,2,environment; fed_epa_envirofacts,environment__fed_epa_sdwa_sdwa_lcr_samples; stg_fed_epa_envirofacts__facility_sample
measurement,score,event,2,health; intl_freedomhouse,health__fed_hrsa_hpsa_primary_care; stg_intl_freedomhouse__records
measurement,test,event,4,justice; environment; xc_nagix_dprk_missile_tests,environment__fed_epa_icis_air_icis_air_stack_tests; justice__intl_nti_cns_dprk_missile_tests; justice__xc_nagix_dprk_missile_tests
measurement,voyage,event,3,historical_records; history; fed_slavevoyages_intraamerican,historical_records__fed_slavevoyages_intraamerican; history__fed_slavevoyages_transatlantic; stg_fed_slavevoyages_intraamerican__intra_american_voyages
measurement,water,event,7,environment; fed_fracfocus_water_source; fed_usgs_water; portal_cka_analyze_boston_a6c2b4684a; portal_cka_california_open_0ad648012f,environment__fed_usgs_water; stg_fed_fracfocus_water_source__water_sources; stg_fed_usgs_water__records
membership,affiliation,link,2,health; justice,health__fed_cms_facility_affiliation; justice__fed_courtlistener_judge_political_affiliations
membership,association,link,1,fed_eia860_6_1_enviroassoc,stg_fed_eia860_6_1_enviroassoc__all
membership,member,link,7,politics; fed_fhfa_fhlb_membership,politics__member_bill_record; politics__member_crosswalk; politics__member_money_raised
membership,membership,link,2,finance; fed_finra_mpid_list,finance__fed_fhfa_fhlb_membership; stg_fed_finra_mpid_list__market_participants
natural_event,hazard,event,2,environment; intl_gem_hazard,environment__intl_gem_hazard; stg_intl_gem_hazard__records
natural_event,weather,event,1,environment,environment__fed_noaa_weather_api
organization,(organization unspecified),noun,3,education; fed_college_scorecard_institution; fed_ed_college_scorecard_institution,education__fed_ed_college_scorecard_institution; stg_fed_college_scorecard_institution__records; stg_fed_ed_college_scorecard_institution__institutions
organization,agency,noun,4,economics; fed_usaspending_assistance_full; fed_usaspending_contracts_full; fed_usaspending_toptier_agencies,economics__fed_usaspending_toptier_agencies; stg_fed_usaspending_assistance_full__records; stg_fed_usaspending_contracts_full__records
organization,authority,noun,2,energy; fed_eia_861_balancing_authority,energy__fed_eia_861_balancing_authority; stg_fed_eia_861_balancing_authority__all
organization,bank,noun,6,finance; economics; fed_fdic_failed_banks; fed_fdic_sod_branch_deposits; fed_occ_national_banks,economics__fed_fdic_failed_banks; finance__fed_fdic_bank_data; finance__fed_occ_national_banks
organization,bmf,noun,2,corporate_registry; fed_irs_eo_pr,corporate_registry__fed_irs_eo_bmf; stg_fed_irs_eo_pr__records
organization,borme,noun,2,corporate_registry; intl_es_borme,corporate_registry__intl_es_borme; stg_intl_es_borme__borme_corporate_acts
organization,business,noun,7,portal_arc_harris_county_op_2d6f9d0da7; portal_arc_open_data_dc_582a28d212; portal_arc_open_data_dc_f37f5ddc3d; portal_arc_open_data_raleig_df19dcbb03; portal_arc_tn_data_tennesse_655f6bcc6d,stg_portal_arc_harris_county_op_2d6f9d0da7__records; stg_portal_arc_open_data_dc_582a28d212__records; stg_portal_arc_open_data_dc_f37f5ddc3d__records
organization,charity,noun,9,economics; portal_soc_colorado_informa_239fba8b76; portal_soc_colorado_informa_46101be391; portal_soc_colorado_informa_6367a44c92; portal_soc_colorado_informa_a50da9b699,economics__fed_irs_soi_charities; stg_portal_soc_colorado_informa_239fba8b76__records; stg_portal_soc_colorado_informa_46101be391__records
organization,committee,noun,5,finance; fed_fec_bulk; fed_fec_bulk_committees; fed_fec_committees,finance__fed_fec_bulk_committees; finance__fed_fec_committees; stg_fed_fec_bulk__records
organization,company,noun,10,corporate_registry; economics; energy; finance; health,corporate_registry__intl_uk_companies_house; economics__xc_wikipedia_largest_us_companies; energy__fed_eia861_delivery_companies
organization,cro,noun,1,corporate_registry,corporate_registry__intl_ie_cro
organization,cu,noun,1,finance,finance__fed_ncua_federally_insured_cu_list
organization,district,noun,1,portal_cka_analyze_boston_bbe6f0fd04,stg_portal_cka_analyze_boston_bbe6f0fd04__records
organization,donee,noun,1,economics,economics__fed_irs_pub78_eligible_donees
organization,employer,noun,2,politics_lobbying; ca_lobby,politics__ca_lobby_employer; stg_ca_lobby__employer
organization,entity,noun,9,justice; review; corporate_registry; economics; politics_lobbying,case_queue; corporate_registry__fed_icij_offshoreleaks_entities; economics__intl_gleif
organization,ffi,noun,1,finance,finance__fed_fatca_ffi
organization,filer,noun,1,finance,finance__fed_sec_13f_filers
organization,firm,noun,2,politics_lobbying; ca_lobby,politics__ca_lobby_firm; stg_ca_lobby__firm
organization,funder,noun,2,reference; xc_crossref_funder_registry,reference__xc_crossref_funder_registry; stg_xc_crossref_funder_registry__funders
organization,gleif,noun,1,economics,economics__intl_gleif_repex
