family,thing,class,n_models,subjects,example_models
person,person,noun,5,politics_lobbying; fed_fjc_judges; fed_fjc_service; irs527; transport,politics__irs527_directors_officers; stg_fed_fjc_judges__people; stg_fed_fjc_service__people
place,address,noun,3,corporate_registry; fed_icij_offshoreleaks; portal_cka_virginia_open_da_039aacd655,corporate_registry__fed_icij_offshoreleaks_addresses; stg_fed_icij_offshoreleaks__addresses; stg_portal_cka_virginia_open_da_039aacd655__records
place,area,noun,7,environment; health; fed_hrsa_shortage_areas; portal_cka_houston_open_dat_48b03033d3; portal_cka_western_pennsylv_152133d5ed,environment__fed_epa_sdwa_sdwa_geographic_areas; health__fed_hrsa_shortage_areas; immigration__fed_epa_sdwa_sdwa_service_areas
place,boundary,noun,1,portal_cka_analyze_boston_0f7b6b1f80,stg_portal_cka_analyze_boston_0f7b6b1f80__records
place,community,noun,2,housing; fed_fema_nfip_community_status_book,housing__fed_fema_nfip_community_status_book; stg_fed_fema_nfip_community_status_book__communities
place,county,noun,8,health; economics; justice; fed_eia861_service_territory; portal_cka_western_pennsylv_20e1a330ce,economics__fed_bls_qcew; health__fed_cdc_drug_poisoning_county; health__fed_cdc_injury_violence_county
place,feature,noun,4,environment; fed_bia_tribal_geo; fed_epa_superfund_site_boundaries; fed_usgs_gnis_all_names,environment__fed_epa_superfund_site_boundaries; stg_fed_bia_tribal_geo__bia_geospatial_features; stg_fed_epa_superfund_site_boundaries__boundaries
place,huc8,noun,1,environment,environment__fed_usgs_wbd_huc8
place,location,noun,5,housing; portal_cka_western_pennsylv_f6a018a1cb; portal_cka_western_pennsylv_fbecf42e16; portal_cka_wprdc_allegheny_7b65ae0cff; portal_cka_wprdc_allegheny_b20a13551f,housing__fed_usda_rd_mfh_active_projects; stg_portal_cka_western_pennsylv_f6a018a1cb__records; stg_portal_cka_western_pennsylv_fbecf42e16__records
place,neighborhood,noun,1,fed_mapping_inequality,stg_fed_mapping_inequality__holc_neighborhood_grades
place,parcel,noun,1,portal_cka_virginia_open_da_ac3869ee0e,stg_portal_cka_virginia_open_da_ac3869ee0e__records
place,place,noun,417,fed_dhs_yearbook; fed_fra_safety; fed_usgs_3dep; intl_eu_sanctions; intl_ge_datagov,stg_fed_dhs_yearbook__places; stg_fed_fra_safety__places; stg_fed_usgs_3dep__places
place,territory,noun,2,energy; reference,energy__fed_eia861_service_territory; ref__dim_state
place,tree,noun,1,portal_cka_analyze_boston_db29ec5366,stg_portal_cka_analyze_boston_db29ec5366__records
post,comment,event,3,reference; fed_itis_comments; fed_itis_tu_comments_links,reference__fed_itis_comments; stg_fed_itis_comments__comments; stg_fed_itis_tu_comments_links__comment_links
post,post,event,1,xc_wapo_fatal_force,stg_xc_wapo_fatal_force__records
post,pr,event,1,economics,economics__fed_irs_eo_pr
product,chemical,noun,1,st_oehha_proposition_65_list,stg_st_oehha_proposition_65_list__chemical
product,device,noun,6,health; fed_fda_gudid; fed_fda_maude,health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer; health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_suppl; health__fed_fda_device_510k
product,drug,noun,4,health; fed_cms_nadac; fed_cms_partd_prescriber_drug,health__fed_cms_nadac; health__fed_fda_faers_drug; stg_fed_cms_nadac__records
product,food,noun,4,economics; intl_ipc_food_insecurity_global; portal_arc_open_data_raleig_5e5b26dc88,economics__intl_fao_faostat_food_security; economics__intl_ipc_food_insecurity_global; stg_intl_ipc_food_insecurity_global__records
product,substance,noun,1,fed_fda_drug_master_files,stg_fed_fda_drug_master_files__dmfs
program,fund,noun,2,finance,finance__fed_sec_closed_end_fund_information; finance__fed_sec_money_market_fund_information
program,plan,noun,1,portal_cka_open_data_sa_e846782f2c,stg_portal_cka_open_data_sa_e846782f2c__records
program,policy,noun,1,politics,politics__st_cannabis_policy_bundles
program,program,noun,9,health; environment; fed_cms_open_payments_gnrl; fed_eia861_demand_response; fed_eia861_energy_efficiency,environment__fed_epa_icis_air_icis_air_programs; health__fed_cms_medicare_diabetes_prevention_program; health__fed_cms_quality_payment_program_experience
program,system,noun,8,energy; environment; health; fed_eia861_distribution_systems; fed_fcc_licensing,energy__fed_eia861_distribution_systems; environment__fed_epa_sdwa_sdwa_pub_water_systems; health__fed_cms_fiscal_intermediary_shared_system_attending_and_rendering
provider,(provider unspecified),noun,2,health; fed_cms_nppes,health__fed_cms_nppes; stg_fed_cms_nppes__npi_providers
provider,hospital,noun,6,health; portal_arc_harris_county_op_87f4853c1a; portal_arc_wisconsin_open_d_5206358bdd; portal_arc_wisconsin_open_d_b2efa24715; portal_arc_wisconsin_open_d_d05399642c,health__fed_cms_hospital_compare; health__fed_cms_hospital_general; stg_portal_arc_harris_county_op_87f4853c1a__records
provider,npi,noun,1,health,health__fed_hrsa_uds_service_delivery_sites
provider,physician,noun,2,health,health__fed_cms_pending_initial_logging_and_tracking_non_physicians; health__fed_cms_pending_initial_logging_and_tracking_physicians
provider,prescriber,noun,2,health,health__fed_cms_part_d_prescribers; health__fed_cms_partd_prescribers
provider,provider,noun,27,health; fed_cms_hpt_mrf; fed_cms_medicare_provider; fed_cms_part_d_prescribers; portal_arc_harris_county_op_86ae12cfc0,health__fed_cms_medicare_inpatient_hospitals_by_provider; health__fed_cms_medicare_physician_other_practitioners_by_provider; health__fed_cms_medicare_physician_other_practitioners_by_provider_and_servi
recall,recall,event+noun,6,health; consumer_safety; fed_fda_device_enforcement; fed_fda_drug_enforcement; fed_nhtsa_recalls,consumer_safety__fed_nhtsa_recalls; health__fed_fda_device_enforcement; health__fed_fda_drug_enforcement
recall,retraction,event+noun,3,science_research; xc_retraction_watch_database,science_research__fed_retraction_watch; science_research__xc_retraction_watch_database; stg_xc_retraction_watch_database__retractions
registration,designation,event+noun,2,fed_hrsa_hpsa_primary_care; xc_uk_sanctions_list,stg_fed_hrsa_hpsa_primary_care__designations; stg_xc_uk_sanctions_list__designations
registration,enrollment,event+noun,8,health; fed_eia861_dynamic_pricing,health__fed_cms_federally_qualified_health_center_enrollments; health__fed_cms_home_health_agency_enrollments; health__fed_cms_hospital_enrollments
registration,license,event+noun,1,fed_fda_purple_book,stg_fed_fda_purple_book__licenses
registration,permit,event+noun,6,portal_cka_houston_open_dat_76e445329f; portal_cka_virginia_open_da_77706d86da; portal_cka_virginia_open_da_ae7dccb05b; portal_cka_western_pennsylv_ef682f7e59; portal_cka_wprdc_allegheny_5b37a5568e,stg_portal_cka_houston_open_dat_76e445329f__records; stg_portal_cka_virginia_open_da_77706d86da__records; stg_portal_cka_virginia_open_da_ae7dccb05b__records
registration,registration,event+noun,6,housing; science_research; fed_fara; fed_fara_bulk; fed_fema_ia_housing_registrations,housing__fed_fema_ia_housing_registrations; science_research__xc_osf_registrations; stg_fed_fara__records
registry,catalog,noun,1,fed_cisa_kev,stg_fed_cisa_kev__records
registry,inventory,noun,7,portal_arc_orange_county_op_05390f8d55; portal_arc_orange_county_op_0dea033879; portal_arc_orange_county_op_41e4e2185f; portal_arc_orange_county_op_43a1fe3fbe; portal_cka_analyze_boston_5ccb249b71,stg_portal_arc_orange_county_op_05390f8d55__records; stg_portal_arc_orange_county_op_0dea033879__records; stg_portal_arc_orange_county_op_41e4e2185f__records
registry,list,noun,5,justice; finance; health; fed_consolidated_screening_list,finance__fed_finra_mpid_list; health__st_oehha_proposition_65_list; justice__fed_consolidated_screening_list
registry,registry,noun,2,justice; transport,justice__state_mo_sex_offender_registry; transport__fed_faa_registry
role,combination,link,6,politics; consumer_safety; energy; fed_nhtsa_investigations,consumer_safety__fed_nhtsa_investigations; energy__intl_ember_elec; politics__fed_medsl_house_returns
role,employer-firm-session,link,2,politics_lobbying; ca_lobby,politics__ca_lobby_employer_firms; stg_ca_lobby__employer_firms
role,firm-filing-employer-period,link,2,politics_lobbying; ca_lobby,politics__ca_lobby_firm_employer; stg_ca_lobby__firm_employer
role,lobby,link,1,politics_lobbying,politics__tx_lobby_transportation
role,lobbyist-employer-session,link,2,politics_lobbying; ca_lobby,politics__ca_lobby_emp_lobbyist; stg_ca_lobby__emp_lobbyist
role,lobbyist-firm-session,link,2,politics_lobbying; ca_lobby,politics__ca_lobby_firm_lobbyist; stg_ca_lobby__firm_lobbyist
role,officer,link,2,corporate_registry; fed_icij_offshoreleaks,corporate_registry__fed_icij_offshoreleaks_officers; stg_fed_icij_offshoreleaks__officers
role,pair,link,2,finance; fed_itis_synonym_links,finance__fed_sec_insider_reportingowner; stg_fed_itis_synonym_links__synonyms
role,relationship,link,4,corporate_registry; economics; fed_cms_facility_affiliation; fed_icij_offshoreleaks,corporate_registry__fed_icij_offshoreleaks_relationships; economics__intl_gleif_relationships; stg_fed_cms_facility_affiliation__providers
role,service,link,5,health; politics; fed_noaa_weather_api; portal_cka_san_jose_open_da_00b8041d47,health__fed_cms_medicare_inpatient_hospitals_by_provider_and_service; health__fed_cms_medicare_outpatient_hospitals_by_provider_and_service; politics__fed_fjc_service
role,tenure,link,2,portal_cka_houston_open_dat_19cbd263cc; portal_cka_houston_open_dat_7a8148751c,stg_portal_cka_houston_open_dat_19cbd263cc__records; stg_portal_cka_houston_open_dat_7a8148751c__records
trade,sale,event,5,energy; fed_eia861_delivery_companies; fed_eia861_sales_ult_cust; fed_eia861_sales_ult_cust_cs,energy__fed_eia861_sales_ult_cust; energy__fed_eia861_sales_ult_cust_cs; stg_fed_eia861_delivery_companies__sales
trade,trade,event,2,economics; fed_usitc_dataweb,economics__intl_gfi_trade; stg_fed_usitc_dataweb__records
trade,tran,event,3,finance; fed_sec_insider_deriv_trans; fed_sec_insider_nonderiv_trans,finance__fed_sec_insider_deriv_trans; stg_fed_sec_insider_deriv_trans__records; stg_fed_sec_insider_nonderiv_trans__records
trade,transaction,event,7,economics; finance; health; fed_senate_stock_watcher,economics__fed_foreignassistance; economics__fed_usaspending_assistance_full; economics__fed_usaspending_contracts
unresolved,(unresolved unspecified),event,235,justice; health; open_data; reference; housing,cohort_queue; environment__fed_epa_icis_air_icis_air_titlev_certs; health__fed_cdc_anxiety_depression
violation,citation,event,1,justice,justice__fed_courtlistener_citations
violation,deficiency,event,2,health,health__fed_cms_nursing_home_deficiencies; health__fed_cms_nursing_home_fire_deficiencies
violation,violation,event,11,environment; labor; fed_epa_rcra_violations; fed_msha_violations; portal_cka_western_pennsylv_ddb61776d0,environment__fed_epa_npdes_npdes_cs_violations; environment__fed_epa_npdes_npdes_ps_violations; environment__fed_epa_npdes_npdes_se_violations
vote,(vote unspecified),event,3,politics; fed_voteview_rollcalls,politics__voteview_rollcalls; stg_fed_voteview_rollcalls__records; stg_fed_voteview_rollcalls__votes
vote,justice-vote,event,1,justice,justice__fed_scdb
vote,roll-call,event,2,fed_voteview_rollcall_meta; politics,stg_fed_voteview_rollcall_meta__records; stg_fed_voteview_rollcall_meta__rollcalls
vote,rollcall,event,1,politics,politics__fed_voteview_rollcall_meta
vote,vote,event,2,politics,politics__intl_voeten_unga_votes; politics__voteview_votes
