-- S16 SEC insiders 2024: every (owner, issuer) pair on 2024 filings, with fund flags and the issuer's SIC from DERA 2024 filings
OWNER_CIK | OWNER_NAME | ICIK | ISSUER_NAME | TICKER | RELS | TITLE | OWNER_ST | FILINGS | D0 | D1 | IS_FUND | SIC | AFS | MAX_FILING_ALL
0001237264 | MUNDKUR CHRISTINE | 721371 | CARDINAL HEALTH INC | CAH | Director |  | OH | 1 | 2024-11-07 | 2024-11-07 | 0 | 5122 | 1-LAF | 2025-03-31
0002032793 | Bekkers Timothy Albert-Michel-Alain | 1190935 | PIMCO CORPORATE & INCOME OPPORTUNITY FUND | PTY | Officer | Assistant Secretary | CA | 1 | 2024-08-21 | 2024-08-21 | 1 |  |  | 2025-03-31
0001236472 | DEANE JOHN D | 1692427 | NCS Multistage Holdings, Inc. | NCSM | Director |  | TX | 1 | 2024-03-08 | 2024-03-08 | 0 | 1389 | 4-NON | 2025-03-31
0001192128 | BESHAR LUKE M | 1359931 | Protara Therapeutics, Inc. | TARA | Director |  | NY | 1 | 2024-06-10 | 2024-06-10 | 0 | 2836 | 4-NON | 2025-03-31
0001654705 | Gerhardt Hans-Peter | 1363829 | Enstar Group LTD | ESGR | Director |  | D0 | 1 | 2024-04-03 | 2024-04-03 | 0 | 6331 | 1-LAF | 2025-03-31
0002027344 | Koch, Inc. | 1227654 | COMPASS MINERALS INTERNATIONAL INC | CMP | Director,TenPercentOwner |  | KS | 1 | 2024-08-02 | 2024-08-02 | 0 | 1400 | 1-LAF | 2025-03-31
0001999732 | Layman Sally-Anne | 1164727 | NEWMONT Corp /DE/ | NEM | Director |  | CO | 1 | 2024-04-30 | 2024-04-30 | 0 | 1040 | 1-LAF | 2025-03-31
0001848475 | Dignam Denise | 1627223 | Chemours Co | CC | Officer|Director,Officer | President & CEO | DE | 4 | 2024-03-05 | 2024-08-05 | 0 | 2800 | 1-LAF | 2025-03-31
0001839790 | Versant Vantage II GP, L.P. | 1544227 | Tempest Therapeutics, Inc. | TPST | TenPercentOwner |  | CA | 1 | 2024-08-12 | 2024-08-12 | 0 | 2834 | 4-NON | 2025-03-31
0001383961 | Fawcett Amelia C. | 93751 | STATE STREET CORP | STT | Director |  | MA | 1 | 2024-05-17 | 2024-05-17 | 0 | 6022 | 1-LAF | 2025-03-31
0001701072 | DePrey Mary P. | 1692063 | Schneider National, Inc. | SNDR | TenPercentOwner|Director,TenPercentOwner |  | WI | 3 | 2024-01-17 | 2024-05-01 | 0 | 4213 | 1-LAF | 2025-03-31
0001616181 | Johnson Susan S | 1710155 | National Vision Holdings, Inc. | EYE | Director |  | GA | 1 | 2024-06-18 | 2024-06-18 | 0 | 3851 | 1-LAF | 2025-03-31
0001782067 | Frazier William | 1729149 | VIEMED HEALTHCARE, INC. | VMD | Director,Officer | Chief Medical Officer | LA | 1 | 2024-08-26 | 2024-08-26 | 0 | 8090 | 2-ACC | 2025-03-31
0001715332 | Kotzin Brian L. | 1034842 | RIGEL PHARMACEUTICALS INC | RIGL | Director |  | CA | 1 | 2024-05-29 | 2024-05-29 | 0 | 2834 | 2-ACC | 2025-03-31
0001901344 | Carbonell Javier Gracia | 49826 | ILLINOIS TOOL WORKS INC | ITW | Officer | Executive Vice President | IL | 2 | 2024-02-13 | 2024-02-14 | 0 | 3560 | 1-LAF | 2025-03-31
0001641733 | Villavarayan Chris | 1616862 | Axalta Coating Systems Ltd. | AXTA | Director,Officer | CEO & President | PA | 1 | 2024-03-01 | 2024-03-01 | 0 | 2851 | 1-LAF | 2025-03-31
0001074773 | HOUGEN ELIZABETH L | 1817241 | Artiva Biotherapeutics, Inc. | ARTV | Director |  | CA | 1 | 2024-07-18 | 2024-07-18 | 0 | 2836 | 4-NON | 2025-03-31
0000903291 | BERMAN LYLE | 1490161 | Sow Good Inc. | SOWG | Director,TenPercentOwner|Director |  | TX | 4 | 2024-02-01 | 2024-04-17 | 0 | 2000 | 4-NON | 2025-03-31
0001932096 | Gundumogula Prasad | 1828852 | Mondee Holdings, Inc. | MOND | Director,Officer,TenPercentOwner | Chief Executive Officer | TX | 4 | 2024-01-03 | 2024-07-12 | 0 | 4700 | 2-ACC | 2025-03-31
0001896248 | Netter Zvika | 1835378 | Innovid Corp. | CTV | Director,Officer | Chief Executive Officer | NY | 3 | 2024-02-29 | 2024-05-22 | 0 | 7372 | 2-ACC | 2025-03-31
0001649101 | Advaithi Revathi | 866374 | FLEX LTD. | FLEX | Director,Officer | Chief Executive Officer | TX | 6 | 2024-05-09 | 2024-09-11 | 0 | 3672 | 1-LAF | 2025-03-31
0001962329 | Wu Lei | 1857816 | GigaCloud Technology Inc | GCT | Director,Officer,TenPercentOwner | Chief Executive Officer | CA | 23 | 2024-01-02 | 2024-05-21 | 0 | 5961 | 2-ACC | 2025-03-31
(71252 rows; csv has all)
