-- S10 NCUA list: full extract joined to the call-report roster (year opened, peer group, MDI) by charter number
CHARTER_NUMBER | YEAR_AND_QUARTER | CREDIT_UNION_NAME | STREET_MAILING_ADDRESS | CITY_MAILING_ADDRESS | STATE_MAILING_ADDRESS | ZIP_CODE_MAILING_ADDRESS | CREDIT_UNION_TYPE | NCUA_REGION | LOW_INCOME_DESIGNATION | MEMBERS | TOTAL_ASSETS | TOTAL_LOANS | TOTAL_DEPOSITS | RETURN_ON_AVERAGE_ASSETS | NET_WORTH_RATIO_EXCLUDES_CECL_TRANSITION_PROVISION | LOAN_TO_SHARE_RATIO | TOTAL_DEPOSITS_4_QUARTER_GROWTH | TOTAL_LOANS_4_QUARTER_GROWTH | TOTAL_ASSETS_4_QUARTER_GROWTH | MEMBERS_4_QUARTER_GROWTH | NET_WORTH_4_QUARTER_GROWTH_EXCLUDES_CECL_TRANSITION_PROVISION | NCUA_INTERNAL_ID_JOIN_NUMBER | _LOADED_AT | _SOURCE_RUN_ID | _SRC_SHA256 | F_CU | YEAR_OPENED | PEER_GROUP | ISMDI | LIMITED_INC | F_NAME | F_STATE | F_INSURED
10158 | 2026.1 | OK | 3900 SE Adams Rd | Bartlesville | OK | 74006 | FCU | 2 | No | 3532 | 26918003 | 17003596 | 22694795 | 0.6181555926090556 | 15.125093046464109 | 74.92288870641924 | 2.537013168997926 | -5.647893477025989 | 3.3241325042223213 | 0.8566533409480215 | 7.5555970017166185 | 4906 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10158 | 1955 | 3 | False | 0 | OK | OK | 1971-01-04
10164 | 2026.1 | HEART OF LOUISIANA | P O BOX 4030 | PINEVILLE | LA | 71360 | FCU | 2 | Yes | 16407 | 146423337 | 78770435 | 123289433 | 0.3892201729707135 | 16.206317576275428 | 63.89066206509361 | 4.499478886020092 | 10.258676877428808 | 4.87102715406551 | -0.7020516855292591 | 5.070062926036578 | 4909 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10164 | 1955 | 5 | False | 1 | HEART OF LOUISIANA | LA | 1971-01-04
10170 | 2026.1 | CITIZENS | P.O. Box 425 | Big Spring | TX | 79721 | FCU | 2 | No | 10679 | 205013778 | 125263531 | 177383039 | 1.5530064710903924 | 13.955305481956437 | 70.61753576112764 | -4.5599416518168905 | -1.2068116133095996 | -2.1248218421481058 | 0.9452689290103011 | 12.889903585296159 | 4912 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10170 | 1955 | 5 | False | 0 | CITIZENS | TX | 1971-01-04
10174 | 2026.1 | FIRSTLIGHT | 9983 Kenworthy St | El Paso | TX | 79924 | FCU | 2 | Yes | 98481 | 1628040073 | 1261474636 | 1445999488 | 0.7193721272607084 | 10.091018379987997 | 87.23894070977707 | 3.320289568489909 | -0.44820484585709197 | 3.443097276910523 | -1.3641417024728875 | 6.805624041262859 | 4916 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10174 | 1955 | 6 | True | 1 | FIRSTLIGHT | TX | 1971-03-08
10177 | 2026.1 | TAYCO EMPLOYEES | P.O. Box 762 | South Shore | KY | 41175 | FCU | 2 | Yes | 383 | 2018233 | 495096 | 970018 | 0.7783869028806423 | 51.88528777400825 | 51.039877610518566 | -8.335719395329367 | -18.947935373921354 | -2.8851988241708093 | -3.7688442211055273 | 2.711869726674765 | 4917 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10177 | 1955 | 2 | False | 1 | TAYCO EMPLOYEES | KY | 1971-01-04
10180 | 2026.1 | FORT MORGAN SCHOOLS | PO Box 547 | Fort Morgan | CO | 80701 | FCU | 3 | No | 445 | 5357139 | 3469903 | 4545193 | -1.3356952979021688 | 15.062965512001835 | 76.34225873356752 | -2.2230458992215207 | -12.060158615468875 | -1.9876039582295446 | -13.759689922480622 | -0.7624725755831729 | 4920 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10180 | 1955 | 2 | False | 0 | FORT MORGAN SCHOOLS | CO | 1971-01-04
10181 | 2026.1 | OUACHITA VALLEY | P O Box 1477 | West Monroe | LA | 71294 | FCU | 2 | Yes | 36568 | 462028662 | 293229484 | 417917700 | 1.4317786711886449 | 12.84453171002625 | 70.1644089254894 | 11.44471583939728 | 6.951578128515146 | 11.217190108751662 | 1.738864312939925 | 13.480972227063837 | 4921 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10181 | 1955 | 5 | False | 1 | OUACHITA VALLEY | LA | 1971-08-02
10184 | 2026.1 | FRIENDLY | 2000 Main St | Aliquippa | PA | 15001 | FCU | 1 | No | 4472 | 68263038 | 26242689 | 56640353 | 0.7707395252625237 | 17.014834587350187 | 46.33214238618887 | 1.905331760239548 | 0.2549553880599964 | 2.06339191226228 | -3.3707865168539297 | 1.94631889818897 | 4923 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10184 | 1955 | 4 | False | 0 | FRIENDLY | PA | 1971-04-13
1021 | 2026.1 | FIRST FINANCIAL | 391 US Highway 9 | Freehold | NJ | 07728 | FCU | 1 | No | 14455 | 175837590 | 106308717 | 162556059 | 0.30302783271497885 | 8.164749073278358 | 65.39818795680819 | -6.349990415274465 | -2.222370424889164 | -4.648851895491191 | -4.334877564526806 | 10.331561115687116 | 512 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 1021 | 1936 | 5 | False | 0 | FIRST FINANCIAL | NJ | 1971-01-04
1022 | 2026.1 | SOUTH CAROLINA | PO BOX 190012 | NORTH CHARLESTO | SC | 29419 | FCU | 2 | Yes | 156633 | 2570596817 | 1926216876 | 2074408738 | 0.9992283038877142 | 13.180722187130911 | 92.85618792066619 | 3.477135663907416 | -0.031220741226833937 | 1.7890970158596975 | 2.343739790651167 | 7.086686539809506 | 513 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 1022 | 1936 | 6 | False | 1 | SOUTH CAROLINA | SC | 1971-01-04
10221 | 2026.1 | GREAT FALLS REGIONAL | 34 Bates St | Lewiston | ME | 04240 | FCU | 1 | Yes | 4757 | 65786654 | 22888621 | 56986019 | 0.33282697703943376 | 13.16464886631869 | 40.16532721824277 | 3.399666158504999 | 5.694935970130621 | 3.97118863825221 | -2.079044874433922 | 9.639250340732342 | 4945 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10221 | 1955 | 4 | False | 1 | GREAT FALLS REGIONAL | ME | 1971-01-04
10223 | 2026.1 | EVERENCE | 2160 Lincoln Hwy E Ste 20 | Lancaster | PA | 17602 | FCU | 1 | Yes | 24692 | 450075796 | 351410091 | 414755191 | 0.9496979408285912 | 8.387071096798104 | 84.72711098629746 | 6.07005754837906 | 7.27326564395383 | 1.4604011749904 | 1.7849045714992462 | 10.543947880477322 | 4946 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10223 | 1955 | 5 | False | 1 | EVERENCE | PA | 1971-01-04
10225 | 2026.1 | BECCO BUFFALO | Evonik, 35 Sawyer Ave | Tonawanda | NY | 14150 | FCU | 1 | No | 144 | 990235 | 614625 | 744955 | -5.008853373123048 | 24.304129827768158 | 82.50498352249464 | -14.725066163609558 | -16.57142314186897 | -9.785084362814766 | -7.692307692307687 | 9.478146948578914 | 4947 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10225 | 1955 | 1 | False | 0 | BECCO BUFFALO | NY | 1971-06-16
10241 | 2026.1 | MAPLE | P O Box 61001 | Lafayette | LA | 70596 | FCU | 2 | Yes | 9464 | 72523103 | 51175529 | 61570762 | 0.8499657217175114 | 15.019293920724822 | 83.11660817191121 | -0.5682734647734389 | 0.5252915188586949 | 0.3132746904779049 | 2.2140619937358164 | 6.2480223209008035 | 4958 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10241 | 1955 | 4 | False | 1 | MAPLE | LA | 1971-01-04
10243 | 2026.1 | OAHE | PO Box 818 | Pierre | SD | 57501 | FCU | 3 | No | 3565 | 45020374 | 22833537 | 37669472 | 1.4430233693043268 | 15.850241492884978 | 60.61549522117008 | 8.963361503471322 | 1.8309108793331363 | 9.377965003180599 | -0.4468025691147681 | 11.529202293340024 | 4959 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10243 | 1955 | 3 | False | 0 | OAHE | SD | 1971-11-22
10253 | 2026.1 | AKRON | PO Box 456 | Akron | CO | 80720 | FCU | 3 | Yes | 234 | 473693 | 337601 | 406273 | -1.2320792143076005 | 14.488708931734267 | 83.09708004223761 | -13.660889800342147 | -20.54240942191008 | -12.927122030664373 | -0.8474576271186418 | -4.835064268777989 | 4965 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10253 | 1955 | 1 | False | 1 | AKRON | CO | 1971-03-05
10257 | 2026.1 | SENTINEL | PO BOX 700 | BOX ELDER | SD | 57719 | FCU | 3 | Yes | 9857 | 197021224 | 126226123 | 174206020 | 0.5635504212258551 | 10.776641505384212 | 72.45795696382939 | 1.6303274766028997 | 16.952157260055255 | 2.330500074132269 | 3.085128634176959 | 7.643672962902959 | 4967 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10257 | 1955 | 5 | False | 1 | SENTINEL | SD | 1971-01-04
10262 | 2026.1 | ALTAMAHA | PO Box 490 | Jesup | GA | 31598 | FCU | 2 | Yes | 10908 | 73779779 | 35415097 | 62106421 | 0.47032145493752675 | 14.004133842688793 | 57.023245631880805 | 2.162132570794606 | 1.573077721504279 | 2.8243958787334655 | 1.2061606977175732 | 2.8582171540614487 | 4970 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10262 | 1955 | 4 | False | 1 | ALTAMAHA | GA | 1971-01-04
10269 | 2026.1 | CHEROKEE COUNTY TEACHERS | P O DRAWER A | RUSK | TX | 75785 | FCU | 2 | Yes | 1746 | 13694120 | 9644586 | 10917421 | 0.8077299773499724 | 20.62798485773456 | 88.34124835893019 | -7.204336043176152 | -6.73905715473162 | -5.315302327719995 | -1.5228426395939132 | 2.449848981166891 | 4975 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10269 | 1955 | 3 | False | 1 | CHEROKEE COUNTY TEACHERS | TX | 1971-01-04
10274 | 2026.1 | W B H EMPLOYEES | 2501 Broadway St | Paducah | KY | 42001 | FCU | 2 | No | 2315 | 17038647 | 7356477 | 14630774 | -2.1509012406165606 | 13.7761994834449 | 50.28084638584398 | 1.6003323814795412 | -19.443726889891778 | -0.7315165059193496 | 2.8888888888888964 | -14.740856703873073 | 4977 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10274 | 1955 | 3 | False | 0 | W B H EMPLOYEES | KY | 1971-01-28
10283 | 2026.1 | THE FOCUS | 420 NE 10th St | Oklahoma City | OK | 73104 | FCU | 2 | Yes | 12341 | 162083663 | 123592229 | 146778297 | 0.06640110932148328 | 9.032741936489924 | 84.20334036168849 | -0.8856849373266251 | -0.018449212104332258 | -0.22430924978360522 | -0.8516108299188585 | 1.7772047714593953 | 4983 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10283 | 1955 | 5 | False | 1 | THE FOCUS | OK | 1971-01-04
10301 | 2026.1 | ROMNEY | 62 WEST MAIN STREET | ROMNEY | WV | 26757 | FCU | 1 | Yes | 1621 | 14016375 | 11054930 | 12672641 | 0.9135889153319208 | 9.57773318707583 | 87.23461826149735 | 5.25257887751045 | 0.9658441939659701 | 5.09578711834251 | 4.1773778920308535 | 3.979480633550536 | 4996 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10301 | 1955 | 3 | False | 1 | ROMNEY | WV | 1971-01-04
10308 | 2026.1 | ALTON MUNICIPAL EMPLOYEES | 3212 COLLEGE AVE | ALTON | IL | 62002 | FCU | 3 | Yes | 266 | 458107 | 327835 | 287791 | -1.841021407785804 | 36.87806560476046 | 113.914264170874 | -4.456934558589188 | -6.499021738510413 | -3.373746577740655 | 6.400000000000006 | -1.5965564240863928 | 5000 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10308 | 1955 | 1 | False | 1 | ALTON MUNICIPAL EMPLOYEES | IL | 1971-03-05
10319 | 2026.1 | FIRST POINT | 2430 HAMILTON AVE, SUITE 2 | HAMILTON | NJ | 08619 | FCU | 1 | No | 1186 | 25213038 | 6639332 | 24152802 | -0.47580344949230563 | 7.347408908041943 | 27.488868579306036 | -5.759009456756892 | -8.107314327995496 | -4.437836798506723 | -29.02453620586475 | 1.2731683956405337 | 5007 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10319 | 1955 | 3 | False | 0 | FIRST POINT | NJ | 1971-04-26
10323 | 2026.1 | I B E W 26 | 4371 PARLIAMENT PL STE C | LANHAM | MD | 20706 | FCU | 1 | No | 2892 | 30206156 | 18178973 | 27399693 | 0.4062655957798671 | 7.344780977758308 | 66.34736016932744 | 4.02274904302744 | 22.938261961882244 | 4.668914279595815 | 3.991370010787487 | 5.7881315361331565 | 5010 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10323 | 1955 | 3 | False | 0 | I B E W 26 | MD | 1971-01-04
10324 | 2026.1 | JACKSON COUNTY | 309 N Allen St | Edna | TX | 77957 | FCU | 2 | No | 710 | 9214257 | 5890436 | 8337866 | 0.6657160363011323 | 9.28565374288996 | 70.64680578939503 | 7.342496686529243 | -3.6310412034332273 | 7.693588845433963 | -2.0689655172413834 | 10.68945130320824 | 5011 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10324 | 1955 | 2 | False | 0 | JACKSON COUNTY | TX | 1971-01-04
10327 | 2026.1 | VICTORIA TEACHERS | 2207 Wildwood St | Victoria | TX | 77901 | FCU | 2 | Yes | 1391 | 18141883 | 5790877 | 12204179 | 0.30657712734774983 | 32.50038047318462 | 47.449951365020134 | -2.0309259523126233 | -5.04584410560911 | -0.5481726664137709 | 5.219364599092291 | 2.1837465934742006 | 5014 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10327 | 1955 | 3 | False | 1 | VICTORIA TEACHERS | TX | 1971-01-04
10335 | 2026.1 | COCONINO | 2800 S Woodlands Village Blvd | Flagstaff | AZ | 86001 | FCU | 3 | Yes | 9639 | 126546327 | 58960371 | 111809009 | 0.8537491237699505 | 10.665095795312968 | 52.73311294620275 | 2.7767989132643 | -1.4963522136818064 | 3.8603241225579232 | -1.7631471667346132 | 12.812308584252353 | 5019 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10335 | 1955 | 5 | False | 1 | COCONINO | AZ | 1971-01-04
1034 | 2026.1 | OLIVE VIEW EMPLOYEES | P O BOX 923071 | SYLMAR | CA | 91392 | FCU | 3 | Yes | 6213 | 75225960 | 34195003 | 60690113 | -2.240975050996206 | 19.244416422203187 | 56.34361399195286 | 16.56441162806299 | -3.7857186167935652 | 12.522013871390246 | 4.244966442953024 | -0.1225838788538991 | 521 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 1034 | 1936 | 4 | False | 1 | OLIVE VIEW EMPLOYEES | CA | 1971-01-04
10351 | 2026.1 | LA LOMA | PO Box 906 | Loma Linda | CA | 92354 | FCU | 3 | No | 6971 | 114333182 | 73499188 | 108257380 | 0.4687236086437626 | 9.523454879441735 | 67.8930046154821 | -0.6998691437325788 | 2.544288635086267 | 0.22177911085972113 | -45.243892859948154 | 6.983864879146262 | 5032 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10351 | 1955 | 5 | False | 0 | LA LOMA | CA | 1971-02-22
10353 | 2026.1 | ACCESS OF LOUISIANA | PO Box 1690 | Lake Charles | LA | 70602 | FCU | 2 | Yes | 3631 | 44701408 | 24998988 | 40186313 | 0.05611533907032855 | 9.681390796459924 | 62.20771733898553 | -7.011262850844579 | -9.764787343630932 | -6.356573258789366 | -3.6358811040339667 | -0.029960626147051972 | 5033 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10353 | 1955 | 3 | False | 1 | ACCESS OF LOUISIANA | LA | 1971-01-04
10362 | 2026.1 | NORTHERN REDWOOD | 1270 Giuntoli Ln | Arcata | CA | 95521 | FCU | 3 | Yes | 3167 | 24491763 | 12250984 | 22576655 | -1.7994866804888816 | 7.732701806725796 | 54.26394654123917 | 1.217833638055521 | -16.446473635557744 | 0.40752929288465634 | -1.6764979819931747 | -6.016903186554867 | 5039 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10362 | 1955 | 3 | False | 1 | NORTHERN REDWOOD | CA | 1972-01-03
10375 | 2026.1 | 1ST LIBERTY | P. O. Box 5002 | Great Falls | MT | 59403 | FCU | 3 | Yes | 14437 | 217527729 | 88043844 | 186170393 | 0.27752640366585546 | 14.040348391629648 | 47.29207613586549 | 2.191280078250779 | 4.127750609172187 | 2.9026343775173435 | -2.4131404623496056 | 0.9072305307231909 | 5047 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10375 | 1955 | 5 | False | 1 | 1ST LIBERTY | MT | 1971-01-04
