-- S14 EPA bridge: the top facilities by distinct cases, and the conclusions that cover the most sites
KIND | ID | NAME | CITY | ST | CASES | N_ROWS | C_MIN | C_MAX | NAMES
top_facility | 110070890659 | ENCHANTE ACCESSORIES | NEW YORK | NY | 29 | 29 | 09-2021-4314 | 09-2021-4409 | 1
top_facility | 110012708668 | US ARMY FORT DIX - JBMDL - DIX BIV 18 | LAKEHURST | NJ | 29 | 29 | 02-2002-1276 | 02-2013-8412 | 13
top_facility | 110009319996 | COMMENCEMENT BAY, NEAR SHORE/TIDE FLATS | PIERCE COUNTY | WA | 29 | 37 | 10-1988-0011 | 10-2014-0070 | 2
top_facility | 110043722629 | TAMINCO, INC | ALLENTOWN | PA | 28 | 28 | 04-2016-3277 | 05-2016-0015 | 1
top_facility | 110011276298 | EXXONMOBIL PRODUCTION COMPANY (J. R. BOX LEASE, WELL 26) | HOUSTON | TX | 28 | 28 | 06-2003-4503 | 06-2021-1798 | 19
top_facility | 110005782643 | BUNKER HILL MINING | SMELTERVILLE | ID | 28 | 42 | 10-1975-0002 | 10-2018-0384 | 3
top_facility | 110071523677 | AQUASURE CORPORATION | UPLAND | CA | 28 | 28 | 09-2023-4571 | 09-2024-4361 | 1
top_facility | 110054920573 | MAKHTESHIM AGAN OF NORTH AMERICA, INC | RALEIGH | NC | 27 | 27 | 02-2022-5083 | HQ-2016-5006 | 3
top_facility | 110043713265 | UNITED PHOSPHOROUS, INC. | KING OF PRUSSIA | PA | 27 | 27 | 04-2016-3013 | 06-2015-0310 | 3
top_facility | 110038433068 | ARYSTA LIFE SCIENCE | CARY | NC | 26 | 26 | 04-2009-3016 | 09-2020-0026 | 5
top_facility | 110070923716 | L&K DISTRIBUTORS INC. DBA BRAND NAME DISTRIBUTORS | BETHPAGE | NY | 26 | 26 | 02-2021-5087 | 02-2025-5038 | 1
top_facility | 110012183788 | AQUAFINE CORPORATION | VALENCIA | CA | 25 | 25 | 04-2021-1345 | 09-2015-4012 | 1
top_facility | 110009306526 | PORTLAND HARBOR | PORTLAND | OR | 25 | 26 | 10-2001-0240 | 10-2021-0011 | 1
top_facility | 110009324409 | DIAMOND ALKALI CO. | NEWARK | NJ | 24 | 26 | 02-1988-0641 | 02-2023-2011 | 1
top_facility | 110017418007 | INTERSTATE LEAD COMPANY INCORPORATED | LEEDS | AL | 24 | 41 | 04-1984-0020 | 04-2009-9032 | 1
top_facility | 110023164653 | BAYER CROPSCIENCE LP | RESEARCH TRIANGEL PARK | NC | 24 | 24 | 04-1997-0399 | HQ-2011-5041 | 5
top_facility | 110070814772 | UPS SUPPLY CHAIN SOLUTIONS, INC. | LOUISVILLE | KY | 24 | 24 | 03-2020-8025 | 09-2023-4563 | 2
top_facility | 110067367717 | NUFARM AMERICAS INC (PESTICIDE IMPORTER) | ALSIP | IL | 23 | 23 | 04-2016-3377 | 09-2017-4010 | 2
top_facility | 110071063822 | ACTIVE PURE TECHNOLOGIES LLC DBA AERUS LLC | DALLAS | TX | 23 | 23 | 04-2021-1475 | 04-2021-1497 | 1
big_conclusion | 2200000740 | CELLCO - FALLBROOK (REV) | HQ-2008-8002 | TX | 42 | 656 | 24TH STREET | WASHINGTON PLAZA | 649
big_conclusion | 2600010841 | CINGULAR WIRELESS LLC - HJWP | HQ-2007-6000 | FL | 37 | 643 | CINGULAR NETWORK TECHNOLOGY CENTER | CINGULAR WIRELESS LLC - YZWS | 643
big_conclusion | 60342 | ST. JOHNS NORTH | HQ-2005-8000 | MI | 25 | 431 | 11 MILE & HAGGERTY | ZEELAND | 429
big_conclusion | 3400004032 | AT&T WIRELESS BEELINE | HQ-2009-8001 | FL | 44 | 319 | A T & T | TELEPORT COMMUNICATIONSAMERICA - AT&T | 310
big_conclusion | 61421 | ARCHDIOCESE OF PHILADELPHIA (ST MARIA GORETTI HIGH SCHOOL) | 03-2005-0144 | PA | 1 | 243 | ARCHDIOCESE OF PHILADELPHIA | WEST PHILADELPHIA CATHOLIC HIGH SCHOOL | 219
big_conclusion | 1400002660 | AMERICAN TOWER CORPORATION (ATC) - CLARKSVILLE (FL) | HQ-2007-6001 | FL | 41 | 231 | AMERICAN TOWER CORP (ATC) | MAAMERICAN TOWER CORPORATION (ATC) - RTIN | 231
big_conclusion | 49101 | ALLTEL - ADA | HQ-2000-6004 | OH | 18 | 196 | ALLTEL | ALLTELL GEORGIA INC/GTE SOUTH | 115
big_conclusion | 3400018808 | DODGE PARK ELEMENTARY SCHOOL | 03-2014-0075 | MD | 1 | 192 | ACCOKEEK ACADEMY | YORKTOWN ELEMENTARY SCHOOL | 192
big_conclusion | 3600284100 | UNITED PARCEL SERVICE - MALVERN | 06-2021-0906 | AR | 6 | 184 | AUSTIN GATEWAY | UPS-GALLUP | 134
big_conclusion | 600004841 | BALTIMORE CITY SCHOOL DISTRICT (HAMPSTEAD HILL P S 47) | 03-2006-0238 | MD | 1 | 183 | BALTIMORE CITY SCHOOL DISTRICT | BALTIMORE CITY SCHOOL DISTRICT (YORKWOOD ELEMENTARY P S 219) | 181
big_conclusion | 1800017855 | NSTAR - 284 | 01-2009-9508 | MA | 1 | 177 | NSTAR | NSTAR YARMOUTH SERVICE CENTER | 172
big_conclusion | 3600010320 | TESI - CHARLESTON PLACE | 06-1996-0104 | LA | 1 | 170 | ACADIANA TREATMENT SYSTEMS, INC. - CAJUN ESTATES | TESI - WOODRIDGE ESTATES | 169
big_conclusion | 55584 | JEWEL FOOD STORES, INC. #3161 | 05-2003-0340 | IL | 2 | 169 | JEWEL FOOD STORE, INC. #3149 | JEWEL FOOD STORES, INC. #3721 | 169
big_conclusion | 3600024182 | PRASA PONCE WWTP | 02-2011-0007 | PR | 1 | 166 | PRASA  BARRANCAS WTP | PRASA YAUCO WWTP | 166
big_conclusion | 600004723 | BALTIMORE COUNTY SCHOOL DISTRICT (SCOTTS BRANCH ELEMENTARY SCH) | 03-2006-0237 | MD | 1 | 164 | BALTIMORE COUNTY PUBLIC SCHOOLS | BALTIMORE COUNTY SCHOOL DISTRICT (WOODMOOR ELEMENTARY SCHOOL) | 164
big_conclusion | 3600024013 | HESS #10605 | HQ-2015-8002 | GA | 6 | 163 | HESS # 10601 | HESS #46620 | 163
big_conclusion | 2600003361 | #387-V.DE NAVARRA | 02-2009-0011 | PR | 2 | 155 | #200-HYDE PARK | SIERRA BAYAMON | 155
big_conclusion | 1800016633 | AIRGAS EAST INC. | 05-2010-3855 | VA | 32 | 150 | AIRGAS CARBONIC AND DRY ICE INC. | AIRGAS, INC. (GREAT LAKES) | 18
big_conclusion | 2600003171 | GULF #49 | 02-2011-7504 | PR | 2 | 147 | GULF  #068 | GULF S/S #93 | 147
big_conclusion | 3600043885 | ABANICO SERVICE STATION | 02-2009-0011 | PR | 2 | 145 | #202-QUINTANA | SIERRA BAYAMON | 145
(60 rows; csv has all)
