-- S12 detail for the S10 hits: every e-filed index row (all return types) for revoked EINs (2019 on) that have a 990/990EZ/990PF
EIN | LEGAL_NAME | CITY | STATE | EXEMPTION_TYPE | D | PD | RD | TAX_PERIOD | SUB_DATE | SUB_DATE_RAW | RETURN_TYPE | OBJECT_ID | RETURN_ID | DLN | TAXPAYER_NAME
043669343 | AN UNFORGOTTEN CHILD  | LA HABRA HGTS | CA | 03 | 2024-05-15 | 2024-08-12 |  | 202212 | 2023-01-01 | 2023 | 990EZ | 202302879349200730 | 21968274 | 93492287007303 | AN UNFORGOTTEN CHILD
043680704 | PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC | FOLSOM | CA | 03 | 2021-11-15 | 2022-03-14 |  | 201806 | 2019-05-31 | 5/31/2019 8:50:32 PM | 990EZ | 201901199349200735 | 16368033 | 93492119007359 | PTA GOLD RIDGE ELEMENTARY
043680704 | PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC | FOLSOM | CA | 03 | 2021-11-15 | 2022-03-14 |  | 201906 | 2020-10-07 | 10/7/2020 6:28:24 PM | 990EZ | 202030649349200148 | 17357593 | 93492064001480 | PTA GOLD RIDGE ELEMENTARY
043680704 | PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC | FOLSOM | CA | 03 | 2021-11-15 | 2022-03-14 |  | 202006 | 2020-09-09 | 9/9/2020 6:24:39 PM | 990EZ | 202041949349200624 | 17287446 | 93492194006240 | PTA GOLD RIDGE ELEMENTARY
046109070 | KNIGHTS OF PYTHIAS DOMAIN OF MASS  | STOUGHTON | MA | 08 | 2025-05-15 | 2025-12-19 |  | 202104 | 2022-01-01 | 2022 | 990 | 202201789349301025 | 20228514 | 93493178010252 | KNIGHTS OF PYTHIAS DOMAIN OF T ES
046109070 | KNIGHTS OF PYTHIAS DOMAIN OF MASS  | STOUGHTON | MA | 08 | 2025-05-15 | 2025-12-19 |  | 202204 | 2023-01-01 | 2023 | 990 | 202310729349300506 | 21362172 | 93493072005063 | KNIGHTS OF PYTHIAS DOMAIN OF T ES
061755233 | MERIDIAN MEDICAL ASSOCIATES P C  | EDISON | NJ | 03 | 2025-05-15 | 2025-08-12 |  | 201512 | 2017-04-05 | 4/5/2017 2:18:50 AM | 990 | 201633199349300048 | 14252227 | 93493319000486 | MERIDIAN MEDICAL ASSOCIATES PC
061755233 | MERIDIAN MEDICAL ASSOCIATES P C  | EDISON | NJ | 03 | 2025-05-15 | 2025-08-12 |  | 201612 | 2018-01-05 | 1/5/2018 9:02:14 PM | 990 | 201703179349304355 | 15091797 | 93493317043557 | MERIDIAN MEDICAL ASSOCIATES PC
061755233 | MERIDIAN MEDICAL ASSOCIATES P C  | EDISON | NJ | 03 | 2025-05-15 | 2025-08-12 |  | 201712 | 2019-01-28 | 1/28/2019 12:17:34 PM | 990 | 201803189349302860 | 16037165 | 93493318028608 | MERIDIAN MEDICAL ASSOCIATES PC
(1608 rows; csv has all)
