SPECIALTY,N_PRESCRIBERS,TOTAL_PARTD_DRUG_COST,MEDIAN_PARTD_DRUG_COST,N_WITH_INDUSTRY_MONEY,PCT_PAID,TOTAL_INDUSTRY_DOLLARS,MEDIAN_INDUSTRY_DOLLARS_PAID_ONLY,MEDIAN_DRUG_COST_PAID,MEDIAN_DRUG_COST_UNPAID,N_IN_MEDICARE_PARTB,TOTAL_MEDICARE_PARTB_PYMT,N_EXCLUDED_LEIE
Certified Registered Nurse Anesthetist (CRNA),252,3573131.0,1043.0,186,73.8,272642.0,141.0,1289.0,621.0,178,5084677.0,0
Neurological Surgery,548,3207271.0,572.0,364,66.4,6180771.0,426.0,517.0,803.0,0,,0
Undersea and Hyperbaric Medicine,107,3012553.0,8338.0,81,75.7,212989.0,433.0,9025.0,6669.0,104,22921376.0,0
Surgery,459,2841066.0,1173.0,294,64.1,959996.0,1264.0,1224.0,1104.0,0,,0
Clinic or Group Practice,31,2509061.0,1440.0,16,51.6,684901.0,380.0,1581.0,1162.0,1,7191.0,0
Maxillofacial Surgery,748,2220831.0,1745.0,640,85.6,2293380.0,490.0,1838.0,1454.0,552,9740061.0,0
Plastic Surgery,1478,2120442.0,450.0,1249,84.5,81864745.0,861.0,439.0,510.0,0,,1
Pharmacy,90,1781705.0,6512.0,0,0.0,,,,6512.0,0,,0
Personal Emergency Response Attendant,55,1698026.0,1494.0,23,41.8,3941.0,97.0,1706.0,1198.0,0,,1
Licensed Professional Counselor,97,1570071.0,1792.0,26,26.8,54501.0,404.0,10859.0,868.0,2,9565.0,0
Thoracic Surgery (Cardiothoracic Vascular Surgery),316,1244908.0,778.0,161,50.9,1732696.0,487.0,806.0,738.0,0,,0
General Acute Care Hospital,52,1227020.0,2248.0,21,40.4,13434.0,190.0,12593.0,1523.0,0,,0
Oral & Maxillofacial Surgery,648,1212407.0,1357.0,563,86.9,702779.0,378.0,1411.0,995.0,0,,0
Colon & Rectal Surgery,105,1028969.0,904.0,60,57.1,34904.0,217.0,917.0,854.0,0,,0
"Neuromusculoskeletal Medicine, Sports Medicine",40,985709.0,1273.0,14,35.0,25570.0,96.0,7481.0,1189.0,0,,0
Chiropractic,46,912922.0,1080.0,14,30.4,3464.0,133.0,6523.0,848.0,21,289830.0,0
Licensed Clinical Social Worker,43,891678.0,706.0,5,11.6,5131.0,1063.0,62472.0,679.0,7,96698.0,0
Integrative Medicine,33,717225.0,3198.0,18,54.5,10729.0,125.0,5594.0,2493.0,0,,0
Midwife,143,692334.0,962.0,79,55.2,25200.0,132.0,1132.0,817.0,0,,0
Psychologist,30,526959.0,1333.0,2,6.7,236.0,118.0,43848.0,1288.0,0,,0
Acupuncturist,55,482694.0,1257.0,2,3.6,335.0,167.0,39909.0,1257.0,0,,0
Physical Medicine & Rehabilitation,57,476049.0,1327.0,26,45.6,76550.0,161.0,824.0,1436.0,0,,0
Military Health Care Provider,104,373003.0,1171.0,28,26.9,9514.0,84.0,991.0,1281.0,0,,0
Dental Hygienist,153,259050.0,1188.0,5,3.3,1000.0,227.0,277.0,1288.0,0,,0
Medical Toxicology,29,141549.0,1229.0,11,37.9,23297.0,118.0,1464.0,910.0,29,738475.0,0
Radiology,29,97691.0,676.0,5,17.2,1643.0,111.0,1723.0,628.0,0,,0
