schema,table,column,should_be,table_row_count,n_nonempty,n_double,n_date,n_ts_tz,fixed_width,has_leading_zero,error
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_LOAN_SUBSIDY_COST,number,19902879,19902879,19902879,17724570,17724570,0,17304905,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_NON_FEDERAL_FUNDING_AMOUNT,number,19902879,14052995,14052995,13889854,13889854,0,13298338,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_OBLIGATED_AMOUNT,number,19902879,19902879,19902879,17655283,17655283,0,4621376,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_OUTLAYED_AMOUNT_FOR_OVERALL_AWARD,number,19902879,4964256,4964256,2647685,2647685,0,354261,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TREASURY_ACCOUNTS_FUNDING_THIS_AWARD,number,19902879,6658166,0,0,0,0,6636154,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,USASPENDING_PERMALINK,number,19902879,19902879,0,7,7,0,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,ACTION_DATE,date,6325622,6325622,0,6325622,6325622,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,CURRENT_TOTAL_VALUE_OF_AWARD,number,6325622,6325622,6325622,0,0,0,123364,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,FEDERAL_ACTION_OBLIGATION,number,6325622,6325622,6325622,0,0,0,396212,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,HIGHLY_COMPENSATED_OFFICER_1_AMOUNT,number,6325622,1173061,1173061,0,0,0,2107,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,HIGHLY_COMPENSATED_OFFICER_2_AMOUNT,number,6325622,1158606,1158606,0,0,0,8488,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,LAST_MODIFIED_DATE,date,6325622,6325622,0,6325622,6325622,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PERIOD_OF_PERFORMANCE_CURRENT_END_DATE,date,6325622,6325622,0,6325622,6325622,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PERIOD_OF_PERFORMANCE_START_DATE,date,6325622,6325621,0,6325621,6325621,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,TOTAL_DOLLARS_OBLIGATED,number,6325622,6325622,6325622,0,0,0,131037,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,USASPENDING_PERMALINK,number,6325622,6325622,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,CONTRACTING_OFFICERS_DETERMINATION_OF_BUSINESS_SIZE,date,,19999520,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PARTNERSHIP_OR_LIMITED_LIABILITY_PARTNERSHIP,number,,20000000,0,0,0,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,PURCHASE_CARD_AS_PAYMENT_METHOD,number,,19085113,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,USASPENDING_PERMALINK,number,,19999994,0,84,84,0,0,
ECONOMICS,ECONOMICS__FED_US_USASPENDING_API,TREASURY_ACCOUNT_SYMBOL,number,300,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_ENTITYEXPIRATIONDATE,number,3382301,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_ENTITYEXPIRATIONREASON,number,3382301,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_OTHERREGISTRATIONAUTHORITYID,number,3382301,7053,9,8,8,0,2,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_REGISTRATIONAUTHORITYENTITYID,number,3382301,3089988,1550161,1550082,1550007,0,554871,
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_REGISTRATIONAUTHORITYID,number,3382301,3382301,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_INITIALREGISTRATIONDATE,number,3382301,3382301,0,3382301,3382301,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_LASTUPDATEDATE,number,3382301,3382301,0,3382301,3382301,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_MANAGINGLOU,number,3382301,3382301,0,0,0,1,5881,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_NEXTRENEWALDATE,number,3382301,3382301,0,3382301,3382301,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_OTHERVALIDATIONAUTHORITYID,number,3382301,64,1,1,1,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_VALIDATIONAUTHORITYENTITYID,number,3382301,286576,13996,13971,13969,0,14160,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_VALIDATIONAUTHORITYID,number,3382301,287295,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_OTHERVALIDATIONAUTHORITYID,number,3382301,4,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_VALIDATIONAUTHORITYENTITYID,number,3382301,21833,2207,2207,2207,0,1760,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_VALIDATIONAUTHORITYID,number,3382301,21876,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_OTHERVALIDATIONAUTHORITYID,number,3382301,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_VALIDATIONAUTHORITYENTITYID,number,3382301,1645,51,51,51,0,53,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_VALIDATIONAUTHORITYID,number,3382301,1646,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_OTHERVALIDATIONAUTHORITYID,number,3382301,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_VALIDATIONAUTHORITYENTITYID,number,3382301,85,10,10,10,0,12,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_VALIDATIONAUTHORITYID,number,3382301,85,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_OTHERVALIDATIONAUTHORITYID,number,3382301,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_VALIDATIONAUTHORITYENTITYID,number,3382301,5,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_VALIDATIONAUTHORITYID,number,3382301,5,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_OTHERVALIDATIONAUTHORITYID,number,3382301,7669,15,14,14,0,3,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYENTITYID,number,3382301,3086622,1550391,1550314,1550238,0,557847,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYID,number,3382301,3382301,0,0,0,1,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,REGISTRATION_MANAGINGLOU,number,484142,484142,0,0,0,1,623,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,REGISTRATION_VALIDATIONDOCUMENTS,number,484142,484142,0,0,0,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,REGISTRATION_VALIDATIONREFERENCE,number,484142,98332,117,115,115,0,65,
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,EMPLOYEES,number,100,100,100,100,100,0,0,
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,REVENUE_GROWTH,number,100,100,0,0,0,0,8,
ECONOMICS,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,REVENUE_USD_MILLIONS,number,100,100,100,100,100,0,0,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,ASSET_MGR_POSITIONS_LONG_ALL,number,34683,34683,34683,34683,34683,0,2575,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,ASSET_MGR_POSITIONS_SHORT_ALL,number,34683,34683,34683,34683,34683,0,4332,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,ASSET_MGR_POSITIONS_SPREAD_ALL,number,34683,34683,34683,34683,34683,0,6787,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,CHANGE_IN_ASSET_MGR_LONG_ALL,number,34683,34683,34037,34037,34037,0,3870,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,CHANGE_IN_ASSET_MGR_SHORT_ALL,number,34683,34683,34037,34037,34037,0,5822,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,CHANGE_IN_ASSET_MGR_SPREAD_ALL,number,34683,34683,34037,34037,34037,0,8906,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_ASSET_MGR_LONG_ALL,number,34683,34683,34683,0,0,0,4228,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_ASSET_MGR_SHORT_ALL,number,34683,34683,34683,0,0,0,6375,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_ASSET_MGR_SPREAD_ALL,number,34683,34683,34683,0,0,0,13968,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_DEALER_LONG_ALL,number,34683,34683,34683,0,0,0,4058,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_DEALER_SHORT_ALL,number,34683,34683,34683,0,0,0,2679,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_DEALER_SPREAD_ALL,number,34683,34683,34683,0,0,0,20516,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_LEV_MONEY_LONG_ALL,number,34683,34683,34683,0,0,0,1050,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_LEV_MONEY_SHORT_ALL,number,34683,34683,34683,0,0,0,993,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_LEV_MONEY_SPREAD_ALL,number,34683,34683,34683,0,0,0,12627,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_NONREPT_LONG_ALL,number,34683,34683,34683,0,0,0,3577,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_NONREPT_SHORT_ALL,number,34683,34683,34683,0,0,0,4134,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_OTHER_REPT_LONG_ALL,number,34683,34683,34683,0,0,0,9543,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_OTHER_REPT_SHORT_ALL,number,34683,34683,34683,0,0,0,9691,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_OTHER_REPT_SPREAD_ALL,number,34683,34683,34683,0,0,0,30954,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_TOT_REPT_LONG_ALL,number,34683,34683,34683,0,0,0,0,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OI_TOT_REPT_SHORT_ALL,number,34683,34683,34683,0,0,0,0,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,PCT_OF_OPEN_INTEREST_ALL,number,34683,34683,34683,0,0,1,0,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,TRADERS_ASSET_MGR_LONG_ALL,number,34683,34683,29703,29703,29703,0,2575,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,TRADERS_ASSET_MGR_SHORT_ALL,number,34683,34683,27282,27282,27282,0,4332,
EDUCATION,EDUCATION__FED_CFTC_COT_FINANCIAL,TRADERS_ASSET_MGR_SPREAD_ALL,number,34683,34683,25441,25441,25441,0,6787,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,CHANGE_IN_TOTAL_REPORTABLE_LONG_ALL,number,287053,287053,282500,282500,282500,0,10397,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,CHANGE_IN_TOTAL_REPORTABLE_SHORT_ALL,number,287053,287053,282500,282500,282500,0,10435,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_LONG_ALL,number,287053,287053,287053,0,0,0,15,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_LONG_OLD,number,287053,287053,287053,1,1,0,486,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_LONG_OTHER,number,287053,287053,287053,0,0,0,248196,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_SHORT_ALL,number,287053,287053,287053,0,0,0,12,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_SHORT_OLD,number,287053,287053,287053,1,1,0,489,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,OF_OI_TOTAL_REPORTABLE_SHORT_OTHER,number,287053,287053,287053,0,0,0,248249,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_LONG_ALL,number,287053,287053,287053,287053,287053,0,15,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_LONG_OLD,number,287053,287053,287053,287053,287053,0,486,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_LONG_OTHER,number,287053,287053,287053,287053,287053,0,248196,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_SHORT_ALL,number,287053,287053,287053,287053,287053,0,8,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_SHORT_OLD,number,287053,287053,287053,287053,287053,0,485,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TOTAL_REPORTABLE_POSITIONS_SHORT_OTHER,number,287053,287053,287053,287053,287053,0,248239,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_ALL,number,287053,287053,287053,287053,287053,0,0,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_OLD,number,287053,287053,287053,287053,287053,0,432,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_OTHER,number,287053,287053,287053,287053,287053,0,247302,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_LONG_ALL,number,287053,287053,287053,287053,287053,0,15,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_LONG_OLD,number,287053,287053,287053,287053,287053,0,486,
EDUCATION,EDUCATION__FED_CFTC_COT_FUTURES,TRADERS_TOTAL_REPORTABLE_LONG_OTHER,number,287053,287053,287053,287053,287053,0,248196,
