schema,table,column,ruling,reason,n_nonempty,pct_double,pct_date
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,FEDERAL_ACTION_OBLIGATION,cast_double,clean,19902879,1.000,0.930
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,GENERATED_PRAGMATIC_OBLIGATIONS,cast_double,clean,19902879,1.000,0.815
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_1_AMOUNT,ambiguous_number,both_parse,52054,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_2_AMOUNT,ambiguous_number,both_parse,51699,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_3_AMOUNT,ambiguous_number,both_parse,51428,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_4_AMOUNT,ambiguous_number,both_parse,50784,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_5_AMOUNT,ambiguous_number,both_parse,50654,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,INDIRECT_COST_FEDERAL_SHARE_AMOUNT,cast_double,clean,1087877,1.000,0.989
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,INITIAL_REPORT_DATE,cast_date,clean,19902879,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,LAST_MODIFIED_DATE,cast_date,clean,19902872,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,NON_FEDERAL_FUNDING_AMOUNT,ambiguous_number,both_parse,13891044,1.000,0.990
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OBLIGATED_AMOUNT_FROM_COVID_19_SUPPLEMENTALS_FOR_OVERALL_AWARD,cast_double,clean,1228974,1.000,0.562
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OBLIGATED_AMOUNT_FROM_IIJA_SUPPLEMENTAL_FOR_OVERALL_AWARD,cast_double,clean,133415,1.000,0.563
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ORIGINAL_LOAN_SUBSIDY_COST,cast_double,clean,19902879,1.000,0.885
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OUTLAYED_AMOUNT_FROM_COVID_19_SUPPLEMENTALS_FOR_OVERALL_AWARD,cast_double,clean,1191212,1.000,0.535
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OUTLAYED_AMOUNT_FROM_IIJA_SUPPLEMENTAL_FOR_OVERALL_AWARD,cast_double,clean,126101,1.000,0.414
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PERIOD_OF_PERFORMANCE_CURRENT_END_DATE,cast_date,clean,11845625,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PERIOD_OF_PERFORMANCE_START_DATE,cast_date,clean,11189048,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_FACE_VALUE_OF_LOAN,ambiguous_number,both_parse,19902879,1.000,0.995
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_LOAN_SUBSIDY_COST,cast_double,clean,19902879,1.000,0.891
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_NON_FEDERAL_FUNDING_AMOUNT,cast_double,clean,14052995,1.000,0.988
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_OBLIGATED_AMOUNT,cast_double,clean,19902879,1.000,0.887
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_OUTLAYED_AMOUNT_FOR_OVERALL_AWARD,cast_double,clean,4964256,1.000,0.533
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TREASURY_ACCOUNTS_FUNDING_THIS_AWARD,keep_text,low_cast,6658166,0.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,USASPENDING_PERMALINK,keep_text,low_cast,19902879,0.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,ACTION_DATE,cast_date,clean,6325622,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,CURRENT_TOTAL_VALUE_OF_AWARD,cast_double,clean,6325622,1.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,FEDERAL_ACTION_OBLIGATION,cast_double,clean,6325622,1.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,HIGHLY_COMPENSATED_OFFICER_1_AMOUNT,cast_double,clean,1173061,1.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,HIGHLY_COMPENSATED_OFFICER_2_AMOUNT,cast_double,clean,1158606,1.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,LAST_MODIFIED_DATE,cast_date,clean,6325622,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PERIOD_OF_PERFORMANCE_CURRENT_END_DATE,cast_date,clean,6325622,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PERIOD_OF_PERFORMANCE_START_DATE,cast_date,clean,6325621,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,TOTAL_DOLLARS_OBLIGATED,cast_double,clean,6325622,1.000,0.000
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,USASPENDING_PERMALINK,keep_text,low_cast,6325622,0.000,0.000
