== S15 odd_house_accounts_creatives (0.4s) 23 rows
             ADVERTISER_ID                                      ADVERTISER_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          GEO_TARGETING_INCLUDED  ADS  MIN_USD  MAX_USD   FIRST_DAY    LAST_DAY
11  AR13522503217748901889             REP. STEEL - US HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  NV-3 (2022 redistricting),Nevada,United States    1    30000    35000  2023-12-07  2024-01-02
12  AR07280544198984466433  REP. KEVIN MCCARTHY - U.S. HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   United States   11    66300    79200  2021-07-08  2023-10-03
13  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  90024,California,United States, 90025,California,United States, 90046,California,United States, 90049,California,United States, 90069,California,United States, 90077,California,United States, 90210,California,United States, 90265,California,United States, 90272,California,United States, 90290,California,United States, 90402,California,United States    4     4300     5100  2026-03-11  2026-04-03
14  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  91708,California,United States, 91709,California,United States, 91710,California,United States, 91730,California,United States, 91752,California,United States, 91761,California,United States, 91762,California,United States, 91763,California,United States, 91764,California,United States, 91766,California,United States, 91767,California,United States, 91768,California,United States, 91786,California,United States, 92335,California,United States, 92337,California,United States, 92880,California,United States    5    10400    13000  2024-12-20  2025-01-01
15  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  91768,California,United States    5     1600     2500  2024-12-24  2025-01-01
16  AR07280544198984466433  REP. KEVIN MCCARTHY - U.S. HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                FL-18 (2012 redistricting),Florida,United States, FL-20 (2012 redistricting),Florida,United States, FL-21 (2012 redistricting),Florida,United States, FL-22 (2012 redistricting),Florida,United States, FL-23 (2012 redistricting),Florida,United States, FL-24 (2012 redistricting),Florida,United States, FL-25 (2012 redistricting),Florida,United States, FL-26 (2012 redistricting),Florida,United States, FL-27 (2012 redistricting),Florida,United States    1     3000     3500  2021-08-23  2021-09-23
17  AR16196087374160068609           Rep. Goldman - US House of Representatives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             CA-34 (2022 redistricting),California,United States   10    59500    70500  2024-07-17  2024-09-05
18  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  91709,California,United States, 91761,California,United States, 91762,California,United States, 91764,California,United States, 91767,California,United States, 92335,California,United States, 92337,California,United States, 92880,California,United States    5    16700    19300  2026-01-19  2026-08-05
19  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  90024,California,United States, 90025,California,United States, 90046,California,United States, 90049,California,United States, 90069,California,United States, 90077,California,United States, 90210,California,United States, 90265,California,United States, 90272,California,United States, 90290,California,United States, 90402,California,United States, 91301,California,United States, 91302,California,United States, 91303,California,United States, 91304,California,United States, 91306,California,United States, 91307,California,United States, 91311,California,United States, 91316,California,United States, 91324,California,United States, 91325,California,United States, 91326,California,United States, 91335,California,United States, 91343,California,United States, 91344,California,United States, 91356,California,United States, 91364,California,United States, 91367,California,United States, 91401,California,United States, 91403,California,United States, 91411,California,United States, 91423,California,United States, 91436,California,United States, 91602,California,United States, 91604,California,United States, 91607,California,United States    2     8500    10000  2026-02-19  2026-03-11
20  AR07359836459274076161                          US House of Representatives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      80205,Colorado,United States, 80207,Colorado,United States    3    12000    14000  2026-03-05  2026-05-01
21  AR16196087374160068609           Rep. Goldman - US House of Representatives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               NY-10 (2022 redistricting),New York,United States    2    11500    13000  2023-12-20  2024-01-11
22  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  90802,California,United States, 90803,California,United States, 90804,California,United States, 90806,California,United States, 90807,California,United States, 90808,California,United States, 90810,California,United States, 90813,California,United States, 90814,California,United States, 90815,California,United States, 90822,California,United States, 90831,California,United States, 90840,California,United States    3     1500     2200  2024-08-14  2024-09-05
