table,key_type,n_rows,n_distinct
FED_SEC_DERA_SUB_2024Q2,CIK,6250,6250
FED_SEC_DERA_SUB_2025Q2,CIK,6081,6081
FED_SEC_DERA_SUB_2024Q3,CIK,6008,6008
FED_SEC_DERA_SUB_2025Q3,CIK,5909,5909
FED_SEC_DERA_SUB_2024Q4,CIK,5833,5833
FED_SEC_DERA_SUB_2025Q4,CIK,5786,5786
FED_SEC_DERA_SUB_2026Q1,CIK,5750,5750
FED_SEC_DERA_SUB_2025Q1,CIK,5672,5672
FED_SEC_DERA_SUB_2024Q1,CIK,5506,5506
FED_SEC_EDGAR_INSIDERS,CIK,5306,5306
FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS,CIK,2046,2046
FED_SEC_CLOSED_END_FUND_INFORMATION,CIK,973,973
FED_SEC_BUSINESS_DEVELOPMENT_COMPANY_REPORT,CIK,212,212
FED_COURTLISTENER_COURTS,CL_COURT_ID,3361,3361
FED_COURTLISTENER_DOCKETS,CL_COURT_ID,2199,2199
FED_COURTLISTENER_POSITIONS,CL_COURT_ID,1033,1033
FED_COURTLISTENER_JUDGES,CL_PERSON_ID,16191,16191
FED_COURTLISTENER_POSITIONS,CL_PERSON_ID,15613,15613
FED_COURTLISTENER_JUDGE_EDUCATIONS,CL_PERSON_ID,7398,7398
FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,CL_PERSON_ID,7226,7226
FED_COURTLISTENER_JUDGE_RACES,CL_PERSON_ID,6521,6521
FED_COURTLISTENER_FINANCIAL_DISCLOSURES,CL_PERSON_ID,3381,3381
FED_COURTLISTENER_DOCKETS,CL_PERSON_ID,3350,3350
FED_COURTLISTENER_ORIGINATING_COURT_INFO,CL_PERSON_ID,1520,1520
INT_UK_COMPANIES_HOUSE,COMPANY_NO,5734779,5734779
UK_COMPANIES_HOUSE_PSC,COMPANY_NO,5107915,5107915
FED_DEA_ARCOS_FULL,DEA_NO,149244,149244
FED_SBIR_STTR_AWARDS,DUNS,21594,21594
FED_NIH_REPORTER,DUNS,14919,14919
FED_IRS_EO_BMF,EIN,1983563,1983563
FED_IRS_BMF,EIN,1974830,1974830
FED_IRS_PUB78_ELIGIBLE_DONEES,EIN,1435544,1435544
FED_IRS_AUTO_REVOCATIONS,EIN,1187975,1187975
FED_IRS_REVOCATION,EIN,1187366,1187366
FED_IRS_990_EFILE_INDEX,EIN,899097,899097
FED_OSHA_ITA_300A_SUMMARY_2023,EIN,123206,123206
FED_OSHA_ITA_300A_SUMMARY_2024,EIN,114603,114603
FED_OSHA_ITA_300A_SUMMARY_2025,EIN,106218,106218
FED_FAC_SINGLE_AUDIT,EIN,68126,68126
FED_IRS_527_ORGS,EIN,58915,58915
IRS527_DIRECTORS_OFFICERS,EIN,58881,58881
FED_DOL_EBSA_FORM5500_SCHEDULE_SB,EIN,39581,39581
FED_OSHA_ITA_CASE_DETAIL_2023,EIN,33693,33693
FED_DOL_FORM5500,EIN,29069,29069
FED_PBGC_TRUSTEED_PENSION_PLANS,EIN,20835,20835
FED_OSHA_ITA_CASE_DETAIL_2024,EIN,20523,20523
FED_OSHA_ITA_CASE_DETAIL_2025,EIN,13387,13387
IRS527_RELATED_ENTITIES,EIN,8979,8979
FED_SEC_DERA_SUB_2024Q2,EIN,4744,4744
FED_SEC_DERA_SUB_2024Q3,EIN,4686,4686
FED_SEC_DERA_SUB_2024Q4,EIN,4663,4663
FED_SEC_DERA_SUB_2025Q2,EIN,4508,4508
FED_SEC_DERA_SUB_2025Q4,EIN,4501,4501
FED_SEC_DERA_SUB_2025Q3,EIN,4494,4494
FED_PBGC_TRUSTEED_PLANS,EIN,4431,4431
FED_SEC_DERA_SUB_2025Q1,EIN,4305,4305
FED_SEC_DERA_SUB_2024Q1,EIN,4238,4238
FED_SEC_DERA_SUB_2026Q1,EIN,4236,4236
IRS527_8872_REPORTS,EIN,4150,4150
FED_IRS_EO_PR,EIN,2587,2587
FED_COURTLISTENER_SCHOOLS,EIN,2569,2569
FED_IRS_SOI_CHARITIES,EIN,2450,2450
FED_IRS_990,EIN,200,200
FED_FEC_CANDIDATES,FEC_CAND_ID,19142,19142
FED_FEC_CAND_CMTE_LINKAGE,FEC_CAND_ID,15153,15153
FED_FEC_BULK_CANDIDATES,FEC_CAND_ID,13240,13240
FED_FEC_LEADERSHIP_PAC,FEC_CAND_ID,8076,8076
FED_FEC_BULK_SUMMARY,FEC_CAND_ID,5754,5754
FED_FEC_INDEPENDENT_EXPENDITURES,FEC_CAND_ID,2014,2014
FED_FEC_COMMITTEES,FEC_CMTE_ID,38693,38693
FED_FEC_PAC_SUMMARY,FEC_CMTE_ID,22899,22899
FED_FEC_BULK,FEC_CMTE_ID,20938,20938
FED_FEC_BULK_COMMITTEES,FEC_CMTE_ID,20007,20007
FED_FEC_CAND_CMTE_LINKAGE,FEC_CMTE_ID,16251,16251
FED_FEC_INDIV_CONTRIBUTIONS,FEC_CMTE_ID,12291,12291
FED_FEC_BULK_LINKAGES,FEC_CMTE_ID,11427,11427
FED_FEC_COMMITTEE_TO_CANDIDATE,FEC_CMTE_ID,10066,9376
FED_FEC_LEADERSHIP_PAC,FEC_CMTE_ID,8338,8338
FED_EPA_FRS_FULL,FRS_ID,5300149,5300149
FED_EPA_FRS_FRS_PROGRAM_LINKS,FRS_ID,3422891,3422891
FED_EPA_FRS_FRS_FACILITIES,FRS_ID,3277557,3277557
FED_EPA_ECHO,FRS_ID,3135553,3135553
FED_EPA_FRS_FRS_NAICS_CODES,FRS_ID,1672433,1672433
FED_EPA_FRS_FRS_SIC_CODES,FRS_ID,831499,831499
FED_EPA_ICIS_ICIS_AIR_FACILITIES,FRS_ID,266026,266026
FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FRS_ID,266026,266026
FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FRS_ID,162513,162513
FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,FRS_ID,156326,156326
FED_EPA_ICIS_FEC_CASE_FACILITIES,FRS_ID,113854,113854
FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FRS_ID,105113,105113
FED_EPA_TRI_BASIC_2023,FRS_ID,21760,21760
FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS,FRS_ID,14606,14606
FED_EPA_GHGRP_FACILITY,FRS_ID,13221,13221
FED_ICE_DETENTION_FACILITY_CODES,ICE_FACILITY,1490,1490
FED_ICE_DETENTION_STINTS,ICE_FACILITY,707,707
FED_VOTEVIEW_MEMBERS,ICPSR,12677,12677
FED_VOTEVIEW_ROLLCALLS,ICPSR,639,639
FED_NOAA_AIS,IMO,6630,6630
FED_OFAC_SDN,IMO,2030,2030
INTL_UK_SANCTIONS_LIST,IMO,657,657
INTL_GLEIF,LEI,3382301,3382301
INTL_GLEIF_REPEX,LEI,3142660,3142660
INTL_ISO_MIC_REGISTRY,LEI,1060,1060
FED_CFPB_HMDA,LEI,538,538
FED_MSHA_MINES,MINE_ID,91906,91906
FED_MSHA_VIOLATIONS,MINE_ID,31277,31277
FED_MSHA_ACCIDENTS,MINE_ID,13489,13489
FED_NCUA_CALL_REPORTS_FOICU,NCUA_CHARTER,4336,4336
FED_NCUA_CALL_REPORTS_FS220,NCUA_CHARTER,4336,4336
FED_NCUA_FEDERALLY_INSURED_CU_LIST,NCUA_CHARTER,4250,4250
FED_NCUA_CHARTER_MERGER_EVENTS,NCUA_CHARTER,53,53
FED_EPA_NPDES_ICIS_FACILITIES,NPDES_ID,1213737,1213737
FED_EPA_NPDES_NPDES_QNCR_HISTORY,NPDES_ID,690126,690126
FED_EPA_NPDES_NPDES_INSPECTIONS,NPDES_ID,286752,286752
FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,NPDES_ID,119300,119300
FED_EPA_NPDES_NPDES_SE_VIOLATIONS,NPDES_ID,76438,76438
FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS,NPDES_ID,49662,49662
FED_EPA_NPDES_NPDES_PS_VIOLATIONS,NPDES_ID,44872,44872
FED_EPA_NPDES_NPDES_CS_VIOLATIONS,NPDES_ID,10589,10589
FED_CMS_NPPES,NPI,9606683,9606683
FED_CMS_PECOS_PROVIDER_ENROLLMENT,NPI,2541258,2541258
FED_CMS_MEDICARE_FEE_FOR_SERVICE_PUBLIC_PROVIDER_ENROLLMENT,NPI,2541258,2541258
FED_CMS_FISCAL_INTERMEDIARY_SHARED_SYSTEM_ATTENDING_AND_RENDERING,NPI,2047826,2047826
FED_CMS_ORDER_AND_REFERRING,NPI,2018350,2018350
FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT,NPI,1681790,1681790
FED_CMS_PART_D_PRESCRIBERS,NPI,1416883,1416883
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,NPI,1296739,1296739
FED_CMS_MEDICARE_PROVIDER,NPI,1296739,1296739
FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,NPI,1207473,1207473
FED_CMS_PARTD_PRESCRIBER_DRUG,NPI,1057566,1057566
FED_CMS_OPEN_PAYMENTS,NPI,979136,979136
FED_CMS_FACILITY_AFFILIATION,NPI,940350,940350
FED_CMS_OPEN_PAYMENTS_2023,NPI,933619,933619
FED_CMS_OPEN_PAYMENTS_2022,NPI,856696,856696
FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,NPI,453202,453202
FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,NPI,381228,381228
FED_CMS_OPT_OUT_AFFIDAVITS,NPI,56455,56455
FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,NPI,55598,55598
FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,NPI,14421,14421
FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS,NPI,11467,11467
FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS,NPI,10269,10269
FED_CMS_HOSPITAL_ENROLLMENTS,NPI,8717,8717
FED_HHS_OIG_LEIE,NPI,8503,8503
FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS,NPI,7239,7239
FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS,NPI,6880,6880
FED_CMS_AMBULATORY_SPECIALTY_MODEL_PARTICIPANTS,NPI,6510,6510
FED_CMS_HOSPICE_ENROLLMENTS,NPI,6056,6056
FED_HRSA_UDS_SERVICE_DELIVERY_SITES,NPI,6047,6047
FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,NPI,5320,5320
FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS,NPI,1287,1287
FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM,NPI,307,307
FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,434040,434040
FED_EPA_ECHO,PWSID,430993,430993
FED_EPA_SDWA_SDWA_FACILITIES,PWSID,430916,430916
FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,PWSID,413877,413877
FED_EPA_SDWA_SDWA_SERVICE_AREAS,PWSID,378450,378450
FED_EPA_SDWA_SDWA_SITE_VISITS,PWSID,267052,267052
FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,PWSID,258445,258445
FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,PWSID,98555,98555
FED_EPA_SDWA_SDWA_LCR_SAMPLES,PWSID,89800,89800
FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,PWSID,42034,42034
FED_USASPENDING_CONTRACTS_FULL,UEI,420990,420990
FED_USASPENDING_ASSISTANCE_FULL,UEI,223721,223721
FED_USASPENDING_CONTRACTS,UEI,92833,92833
FED_FAC_SINGLE_AUDIT,UEI,59493,59493
FED_SAM_EXCLUSIONS_FULL_R2,UEI,38424,38424
FED_SBIR_STTR_AWARDS,UEI,17160,17160
FED_NIH_REPORTER,UEI,11903,11903
