-- S07 HUD projects: pull the whole table (35.6K rows) for local peer math
QUARTER | GSL | STATES | ENTITIES | SUMLEVEL | PROGRAM_LABEL | PROGRAM | SUB_PROGRAM | NAME | CODE | TOTAL_UNITS | TOTAL_OCCUPIED | PCT_OCCUPIED | NUMBER_REPORTED | PCT_REPORTED | MONTHS_SINCE_REPORT | PCT_MOVEIN | PEOPLE_PER_UNIT | PEOPLE_TOTAL | RENT_PER_MONTH | SPENDING_PER_MONTH | HH_INCOME | PERSON_INCOME | PCT_NOINCOME | PCT_LT5K | PCT_5K_LT10K | PCT_10K_LT15K | PCT_15K_LT20K | PCT_20K_LT25K | PCT_25K_LT30K | PCT_30K_LT40K | PCT_GE40K | PCT_WAGE_MAJOR | PCT_WELFARE_MAJOR | PCT_OTHER_MAJOR | PCT_MEDIAN | PCT_LT80_MEDIAN | PCT_LT50_MEDIAN | PCT_LT30_MEDIAN | PCT_2ADULTS | PCT_1ADULT | PCT_CHLDRN0_5 | PCT_CHLDRN6_12 | PCT_CHLDRN13_17 | PCT_0CHLDRN | PCT_FEMALE_HEAD | PCT_FEMALE_HEAD_CHILD | PCT_FEMALE_HEAD_CHILD0_5 | PCT_DISABLED_HEAD | PCT_DISABLED_LT62 | PCT_DISABLED_GE62 | PCT_DISABLED_MBR | PCT_DISABLED_ALL | PCT_LT62_HEAD | PCT_LT24_HEAD | PCT_AGE25_50 | PCT_AGE51_61 | PCT_AGE62PLUS | PCT_AGE85PLUS | PCT_MINORITY | PCT_BLACK_NONHSP | PCT_NATIVE_AMERICAN_NONHSP | PCT_ASIAN_PACIFIC_NONHSP | PCT_WHITE_NOTHSP | PCT_BLACK_HSP | PCT_WHT_HSP | PCT_OTH_HSP | PCT_HISPANIC | PCT_MULTI | MONTHS_WAITING | MONTHS_FROM_MOVEIN | PCT_UTILITY_ALLOW | AVE_UTIL_ALLOW | PCT_BED1 | PCT_BED2 | PCT_BED3 | PCT_OVERHOUSED | TPOVERTY | TMINORITY | TPCT_OWNSFD | FEDHSE | CBSA | PLACE | LATITUDE | LONGITUDE | STATE | PHA_TOTAL_UNITS | HA_SIZE | STD_ADDR | STD_CITY | STD_ZIP5 | STCTYTRT | _INGESTED_AT | _SOURCE_RUN_ID
31DEC2025 | Projects | AK Alaska | AK Alaska 800000094 176HD002 FIREWEED HOUSING DEVELOPMENT | 6 | 811/PRAC | 9 | 811/PRAC | FIREWEED HOUSING DEVELOPMENT | 800000094 176HD002 | 15.0000 | 11.0000 | 72.0000 | 11.0000 | 100.0000 | 7.0000 | 18 | 2.1000 | 23.0000 | 416.0000 | 487.0000 | 17416.0000 | 8329.0000 | -1 | 9 | -1 | 9 | 45 | 27 | 9 | -1 | -1 | 9 | 9 | 82 | 20 | 100 | 100 | 100 | 9 | 55 | -1 | 18 | 45 | 36 | 64 | 36 | -1 | 100 | 100 | -1 | 100 | 48 | 100 | -1 | 82 | 18 | -1 | -1 | 9 | -1 | -1 | -1 | 91 | -1 | 9 | -1 | 9 | 0 | -1.0000 | 79.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 7 | 23 | 58 |  | 11260 | 83080 | 61.5712 | -149.4458 | AK |  |  | 1075 S Check St Ste 202 | Wasilla | 99654 | 2170000900 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000094 176HD006 GLACIER VALLEY HOMES INC. | 6 | 811/PRAC | 9 | 811/PRAC | GLACIER VALLEY HOMES INC. | 800000094 176HD006 | 5.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 |  | 11260 | 83080 | 61.5712 | -149.4458 | AK |  |  | 1075 S Check St Ste 202 | Wasilla | 99654 | 2170000900 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000094 176HD020 SOUTH COLONY APARTMENTS | 6 | 811/PRAC | 9 | 811/PRAC | SOUTH COLONY APARTMENTS | 800000094 176HD020 | 4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 |  | 11260 | 83080 | 61.5712 | -149.4458 | AK |  |  | 1075 S Check St Ste 202 | Wasilla | 99654 | 2170000900 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000097 GLACIER VIEW | 6 | Project Based Section 8 | 5 | NC/SR | GLACIER VIEW | 800000097 | 30.0000 | 29.0000 | 95.0000 | 30.0000 | 100.0000 | 6.0000 | 17 | 1.2000 | 35.0000 | 572.0000 | 1045.0000 | 24300.0000 | 20829.0000 | -1 | 3 | -1 | 3 | 43 | 17 | 13 | 10 | 10 | 7 | -1 | 93 | 30 | 100 | 90 | 67 | -1 | 7 | -1 | 7 | 3 | 93 | 30 | 7 | -1 | 57 | 100 | 41 | 57 | 49 | 27 | -1 | 20 | 7 | 73 | -1 | 20 | 7 | 7 | 3 | 80 | -1 | 3 | -1 | 3 | 3 | -1.0000 | 96.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 8 | 29 | 74 |  | 99999 | 68560 | 60.1048 | -149.4476 | AK |  |  | 200 Lowell Canyon Rd | Seward | 99664 | 2122001300 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000098 GOLDEN TOWERS | 6 | Project Based Section 8 | 5 | NC/SR | GOLDEN TOWERS | 800000098 | 96.0000 | 85.0000 | 88.0000 | 85.0000 | 100.0000 | 6.0000 | 13 | 1.0000 | 87.0000 | 529.0000 | 878.0000 | 22597.0000 | 22078.0000 | -1 | 1 | -1 | 2 | 52 | 21 | 11 | 8 | 5 | 1 | -1 | 99 | 28 | 100 | 95 | 73 | -1 | -1 | -1 | -1 | -1 | 100 | 56 | -1 | -1 | 38 | -1 | 38 | 38 | 37 | -1 | -1 | -1 | -1 | 100 | 5 | 35 | 9 | 19 | 5 | 65 | -1 | 2 | -1 | 2 | 5 | -1.0000 | 81.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 25 | 45 | 27 |  | 21820 | 24230 | 64.8431 | -147.7135 | AK |  |  | 330 3rd Ave | Fairbanks | 99701 | 2090000100 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000099 17644019 GRUENING PARK APARTMENTS | 6 | Project Based Section 8 | 5 | LMSA | GRUENING PARK APARTMENTS | 800000099 17644019 | 56.0000 | 36.0000 | 64.0000 | 39.0000 | 100.0000 | 7.0000 | 15 | 2.7000 | 104.0000 | 709.0000 | 878.0000 | 29177.0000 | 10941.0000 | -1 | 5 | 5 | 8 | 15 | 13 | 8 | 18 | 28 | 46 | 8 | 46 | 27 | 100 | 92 | 59 | 15 | 51 | 15 | 44 | 31 | 31 | 56 | 49 | 10 | 13 | 10 | 22 | 15 | 7 | 79 | 5 | 59 | 15 | 21 | -1 | 74 | 3 | 64 | -1 | 26 | -1 | -1 | 8 | 8 | 15 | -1.0000 | 82.0000 | 100 | 46 | 15 | 33 | 51 | 10 | 13 | 55 | 32 |  | 27940 | 36400 | 58.3600 | -134.5100 | AK |  |  | 1800 Northwood Dr | Juneau | 99801 | 2110000400 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000101 176HD009 DOUGLAS TERRACE | 6 | 811/PRAC | 9 | 811/PRAC | DOUGLAS TERRACE | 800000101 176HD009 | 15.0000 | 14.0000 | 95.0000 | 14.0000 | 98.0000 | 8.0000 | 7 | 1.0000 | 14.0000 | 446.0000 | 1343.0000 | 18284.0000 | 18284.0000 | -1 | -1 | 7 | 21 | 50 | 7 | -1 | 14 | -1 | 7 | 7 | 86 | 21 | 100 | 100 | 86 | -1 | -1 | -1 | -1 | -1 | 100 | -1 | -1 | -1 | 100 | 100 | 100 | 100 | 100 | 36 | -1 | 21 | 14 | 64 | -1 | 43 | -1 | 29 | 7 | 57 | -1 | -1 | 7 | 7 | 14 | -1.0000 | 125.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 9 | 33 | 36 |  | 27940 | 36400 | 58.2859 | -134.4133 | AK |  |  | 2460 Douglas Hwy | Juneau | 99801 | 2110000600 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000102 17644014 JEWEL LAKE VILLAS | 6 | Project Based Section 8 | 5 | LMSA | JEWEL LAKE VILLAS | 800000102 17644014 | 123.0000 | 100.0000 | 81.0000 | 91.0000 | 91.0000 | 9.0000 | 14 | 2.9000 | 264.0000 | 515.0000 | 1550.0000 | 21609.0000 | 7449.0000 | -1 | 16 | 12 | 9 | 14 | 16 | 7 | 13 | 12 | 30 | -1 | 70 | 20 | 100 | 98 | 79 | 7 | 74 | 43 | 54 | 24 | 20 | 89 | 74 | 40 | 12 | 8 | 38 | 15 | 6 | 88 | 7 | 69 | 12 | 12 | -1 | 76 | 10 | 42 | 16 | 23 | 1 | 1 | 5 | 8 | 9 | -1.0000 | 65.0000 | -1 | -1 | 10 | 52 | 38 | 3 | 5 | 49 | 38 |  | 11260 | 03000 | 61.1389 | -149.9447 | AK |  |  | 8980 Blackberry St | Anchorage | 99502 | 2020002304 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000107 LITTLE DIPPER APARTMENTS | 6 | Project Based Section 8 | 5 | LMSA | LITTLE DIPPER APARTMENTS | 800000107 | 30.0000 | 24.0000 | 79.0000 | 11.0000 | 46.0000 | 9.0000 | 27 | 2.2000 | 24.0000 | 315.0000 | 1320.0000 | 13257.0000 | 6076.0000 | -1 | 18 | 27 | 9 | 27 | 9 | -1 | 9 | -1 | 18 | -1 | 82 | 15 | 100 | 100 | 91 | -1 | 45 | 36 | 27 | 36 | 55 | 55 | 45 | 36 | 18 | 13 | 33 | 18 | 8 | 73 | 27 | 45 | -1 | 27 | 9 | 73 | 18 | 27 | 9 | 27 | 9 | -1 | 9 | 18 | 0 | -1.0000 | 67.0000 | 100 | 86 | 18 | 64 | 18 | 27 | 14 | 60 | 21 |  | 21820 | 24230 | 64.8299 | -147.7237 | AK |  |  | 1910 Turner St | Fairbanks | 99701 | 2090000300 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000108 176EE007 MULDOON MANOR | 6 | 202/PRAC | 8 | 202/PRAC | MULDOON MANOR | 800000108 176EE007 | 19.0000 | 19.0000 | 98.0000 | 19.0000 | 100.0000 | 6.0000 | 5 | 1.1000 | 21.0000 | 517.0000 | 645.0000 | 22776.0000 | 20607.0000 | -1 | -1 | -1 | -1 | 42 | 32 | 11 | 16 | -1 | -1 | -1 | 100 | 25 | 100 | 100 | 74 | -1 | -1 | -1 | -1 | -1 | 100 | 74 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | -1 | -1 | -1 | -1 | 100 | 16 | 58 | 16 | 11 | 21 | 42 | -1 | -1 | 11 | 11 | 0 | -1.0000 | 92.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 7 | 59 | 41 |  | 11260 | 03000 | 61.2014 | -149.7340 | AK |  |  | 2040 Muldoon Rd | Anchorage | 99504 | 2020001731 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000111 176EE001 MOORE STREET SENIORS, INC. | 6 | 202/PRAC | 8 | 202/PRAC | MOORE STREET SENIORS, INC. | 800000111 176EE001 | 19.0000 | 19.0000 | 100.0000 | 18.0000 | 95.0000 | 5.0000 | 17 | 1.1000 | 19.0000 | 611.0000 | 683.0000 | 28482.0000 | 26982.0000 | -1 | -1 | -1 | 6 | 33 | 11 | 6 | 33 | 11 | 6 | -1 | 94 | 35 | 94 | 94 | 44 | -1 | -1 | -1 | -1 | -1 | 100 | 83 | -1 | -1 | 11 | -1 | 11 | 11 | 11 | -1 | -1 | -1 | -1 | 100 | 22 | 11 | -1 | -1 | -1 | 89 | -1 | 11 | -1 | 11 | 0 | -1.0000 | 57.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 9 | 45 | 41 |  | 21820 | 24230 | 64.8354 | -147.7702 | AK |  |  | 1420 Moore St | Fairbanks | 99701 | 2090000200 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000112 PETERSBURG ELDERLY HOUSING | 6 | Project Based Section 8 | 5 | NC/SR | PETERSBURG ELDERLY HOUSING | 800000112 | 24.0000 | 23.0000 | 95.0000 | 25.0000 | 100.0000 | 6.0000 | 16 | 1.1000 | 28.0000 | 507.0000 | 1211.0000 | 23047.0000 | 20578.0000 | -1 | -1 | -1 | 12 | 24 | 32 | 16 | 16 | -1 | 4 | -1 | 96 | 31 | 100 | 96 | 44 | -1 | -1 | -1 | -1 | -1 | 100 | 68 | -1 | -1 | 28 | 67 | 23 | 28 | 25 | 12 | -1 | 12 | -1 | 88 | 8 | 20 | 4 | 8 | 8 | 80 | -1 | -1 | -1 | 0 | 4 | -1.0000 | 103.0000 | -1 | -1 | 96 | 4 | -1 | -1 | 6 | 28 | 72 |  | 99999 | 60310 | 56.8133 | -132.9354 | AK |  |  | 16 N 12th St | Petersburg | 99833 | 2195000200 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
