id_system,n_tables,n_columns,domains,sample_columns,sample_tables
LEI (GLEIF),9,12,HOUSING:4;ECONOMICS:2;FINANCE:2;ENVIRONMENT:1,LEI;LEI_2018;LEI_2019;LEI_2020;MATCHED_LEI;ULTIMATE_PARENT_LEI,ECONOMICS.ECONOMICS__INTL_GLEIF;ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX;ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK;FINANCE.FINANCE__FED_FDIC_BANK_DATA;FINANCE.FINANCE__INTL_ISO_MIC_REGISTRY
CRD # (FINRA/IAPD),0,0,,,
SEC file #,6,7,FINANCE:3;EPSTEIN:1;LABOR:1;POLITICS:1,EFTA_FILE_NUMBER;FILE_NUM;FILE_NUMBER;PREV_FILE_NUM;REPORTING_FILE_NUMBER;ULS_FILE_NUMBER,EPSTEIN.FCT_LIBRARY_SNAPSHOT;FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE;FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES;FINANCE.FINANCE__FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS;LABOR.LABOR__FED_DOL_OLMS
NMLS ID (mortgage),0,0,,,
FDIC cert #,12,19,FINANCE:5;TRANSPORT:3;JUSTICE:2;ECONOMICS:1;IMMIGRATION:1,CERT;CERT_ISSUE_DATE;CERT_MAX_GR_WT;CERT_REASON_CODE;DATE_CERT_DENIED;DATE_CERT_GRANTED,ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS;FINANCE.FINANCE__FED_FDIC_BANK_DATA;FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS;FINANCE.FINANCE__FED_FHFA_FHLB_MEMBERSHIP;FINANCE.FINANCE__FED_OCC_NATIONAL_BANKS
RSSD ID (Fed),5,6,FINANCE:5,HOLDING_COMPANY_RSSD;RSSD;RSSDID;RSSD_ID,FINANCE.FINANCE__FED_FDIC_BANK_DATA;FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS;FINANCE.FINANCE__FED_NCUA_CALL_REPORTS_FOICU;FINANCE.FINANCE__FED_OCC_NATIONAL_BANKS;FINANCE.FINANCE__FED_OCC_THRIFTS
NCUA charter #,4,4,FINANCE:4,CHARTER_NUMBER;CU_NUMBER,FINANCE.FINANCE__FED_NCUA_CALL_REPORTS;FINANCE.FINANCE__FED_NCUA_CALL_REPORTS_FOICU;FINANCE.FINANCE__FED_NCUA_CALL_REPORTS_FS220;FINANCE.FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST
HMDA respondent / LEI,2,2,HOUSING:2,ARID_2017;RESPONDENT_ID,HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF;HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC
ABA routing #,3,19,POLITICS:2;ECONOMICS:1,ABA_RATING;ABA_RATING_1;ABA_RATING_2;ABA_RATING_3;ABA_RATING_4;ABA_RATING_5,ECONOMICS.ECONOMICS__INTL_GLEIF;POLITICS.POLITICS__FED_FJC_JUDGES;POLITICS.POLITICS__FED_FJC_SERVICE
DUNS,8,11,ECONOMICS:4;SCIENCE_RESEARCH:2;HEALTH:1;PROCUREMENT:1,DUNS;LABELER_DUNS_NUMBER;ORG_DUNS;RECIPIENT_DUNS;RECIPIENT_PARENT_DUNS,ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API;HEALTH.HEALTH__FED_FDA_GUDID
UEI (SAM),11,15,ECONOMICS:5;PROCUREMENT:2;SCIENCE_RESEARCH:2;ENVIRONMENT:1;FINDINGS:1,AUDITEE_UEI;ORG_UEI;PARENT_UEI;RECIPIENT_PARENT_UEI;RECIPIENT_UEI;UEI,ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT;ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API
CAGE code,4,4,ECONOMICS:2;PROCUREMENT:2,CAGE_CODE,ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS;PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK
PIID / award ID (contracts/grants),11,25,ECONOMICS:4;PROCUREMENT:3;JUSTICE:1;OPEN_DATA:1;REFERENCE:1,ASSISTANCE_AWARD_UNIQUE_KEY;AWARD_ID;AWARD_ID_FAIN;AWARD_ID_PIID;AWARD_ID_URI;CELLAR_URI,ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API;JUSTICE.JUSTICE__INTL_EURLEX_CELLAR
Solicitation / notice ID,4,12,ECONOMICS:2;PROCUREMENT:1;SCIENCE_RESEARCH:1,OPPORTUNITY_ID;SOLICITATION_CLOSE_DATE;SOLICITATION_DATE;SOLICITATION_IDENTIFIER;SOLICITATION_NUMBER;SOLICITATION_PROCEDURES,ECONOMICS.ECONOMICS__FED_GRANTS_GOV;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK;SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS
CFDA / ALN (assistance listing),5,7,ECONOMICS:3;SCIENCE:1;SCIENCE_RESEARCH:1,CFDA_CODE;CFDA_NUMBER;CFDA_NUMBERS;CFDA_TITLE,ECONOMICS.ECONOMICS__FED_GRANTS_GOV;ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API;SCIENCE.SCIENCE__FED_NSF_AWARDS;SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER
TAS (treasury account symbol),4,4,ECONOMICS:3;PROCUREMENT:1,TREASURY_ACCOUNTS_FUNDING_THIS_AWARD;TREASURY_ACCOUNT_SYMBOL,ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API;PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK
Agency codes (CGAC/toptier/subtier),10,19,ECONOMICS:6;ENVIRONMENT:1;HOUSING:1;PROCUREMENT:1;SCIENCE_RESEARCH:1,AGENCY_CODE;AWARDING_AGENCY_CODE;AWARDING_SUB_AGENCY_CODE;FUNDING_AGENCY_CODE;FUNDING_SUB_AGENCY_CODE;PRIMACY_AGENCY_CODE,ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS;ECONOMICS.ECONOMICS__FED_GRANTS_GOV;ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;ECONOMICS.ECONOMICS__FED_USASPENDING_TOPTIER_AGENCIES
NIH/NSF grant/project #,2,4,PROCUREMENT:1;SCIENCE_RESEARCH:1,APPL_ID;CORE_PROJECT_NUM;PROJECT_NUM;SUBAWARD_NUMBER,PROCUREMENT.PROCUREMENT__FED_USASPENDING_SUBAWARDS;SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER
FEC candidate/committee ID,28,41,POLITICS:16;FINANCE:9;FINDINGS:1;PUBLIC:1;UNCATEGORIZED:1,CANDIDATE_ID;CAND_ID;CAND_IDS;CMTE_ID;CMTE_IDS;COMMITTEE_ID,FINANCE.FINANCE__FED_FEC_BULK;FINANCE.FINANCE__FED_FEC_BULK_COMMITTEES;FINANCE.FINANCE__FED_FEC_CANDIDATES;FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE;FINANCE.FINANCE__FED_FEC_COMMITTEES
Bioguide ID,16,16,POLITICS:15;FINDINGS:1,BIOGUIDE;BIOGUIDE_ID;COSPONSOR_BIOGUIDE;SPONSOR_BIOGUIDE,FINDINGS.MEMBER_MONEY_VS_OUTPUT;POLITICS.POLITICS__BILLS;POLITICS.POLITICS__BILL_COSPONSORS;POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP;POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS
ICPSR / VoteView ID,7,8,POLITICS:7,ICPSR;ICPSRS;STATE_ICPSR,POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS;POLITICS.POLITICS__FED_VOTEVIEW_MEMBERS;POLITICS.POLITICS__MEMBER_CROSSWALK;POLITICS.POLITICS__MEMBER_SPINE;POLITICS.POLITICS__MEMBER_VOTING_RECORD
GovTrack/OpenSecrets/Thomas/LIS/Wikidata ID,4,18,POLITICS:2;JUSTICE:1;REFERENCE:1,BALLOTPEDIA;CONGRESSIONAL_REPRESENTATIVE_FULL_NAME_HTTPS_BALLOTPEDIA_ORG_UNITED_STATES_HOUSE_OF_REPRESENTATIVES;CONGRESSIONAL_REPRESENTATIVE_PARTY_HTTPS_BALLOTPEDIA_ORG_UNITED_STATES_HOUSE_OF_REPRESENTATIVES;CSPAN;GOVTRACK;MAPLIGHT,JUSTICE.JUSTICE__XC_MAPPING_POLICE_VIOLENCE;POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS;POLITICS.POLITICS__MEMBER_CROSSWALK;REFERENCE.REFERENCE__XC_ROR_RESEARCH_ORGANIZATIONS
LDA registrant/client ID,4,5,POLITICS:2;EDUCATION:1;FINANCE:1,CLIENT_ID;LOBBYIST_ID;MSRB_REGISTRANT_ID;REGISTRANT_ID,EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS;FINANCE.FINANCE__FED_MSRB_REGISTRANTS;POLITICS.POLITICS__CA_LOBBY_EMP_LOBBYIST;POLITICS.POLITICS__CA_LOBBY_FIRM_LOBBYIST
Committee code (Congress),1,1,POLITICS:1,COMMITTEE_CODE,POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP
Bill / public law #,4,5,POLITICS:4,BILL_NUMBER;LAW_NUMBER,POLITICS.POLITICS__BILLS;POLITICS.POLITICS__BILL_COSPONSORS;POLITICS.POLITICS__FED_VOTEVIEW_ROLLCALL_META;POLITICS.POLITICS__VOTEVIEW_ROLLCALLS
FJC judge NID,7,10,POLITICS:6;ENVIRONMENT:1,FJC_NID;NID;NID_HEIGHT_CATEGORY;NID_HEIGHT_FT;NID_ID;NID_STORAGE_ACRE_FT,ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS;POLITICS.POLITICS__FED_FJC_JUDGES;POLITICS.POLITICS__FED_FJC_SERVICE;POLITICS.POLITICS__FJC_APPOINTMENT;POLITICS.POLITICS__FJC_JUDGE
CourtListener person/court/cluster ID,11,16,JUSTICE:11,CLUSTER_ID;COURT_ID;DESCRIBED_OPINION_ID;DESCRIBING_OPINION_ID;FJC_COURT_ID;FROM_COURT_ID,JUSTICE.JUSTICE__FED_COURTLISTENER_CITATIONS;JUSTICE.JUSTICE__FED_COURTLISTENER_COURTHOUSES;JUSTICE.JUSTICE__FED_COURTLISTENER_COURTS;JUSTICE.JUSTICE__FED_COURTLISTENER_COURT_APPEALS_TO;JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS
Docket / case number,27,47,JUSTICE:11;FINANCE:4;LABOR:4;CONSUMER_SAFETY:1;ENERGY:1,CASE_NUMBER;CONSOLIDATED_DOCKET;DISTRICT_DOCKET;DISTRICT_DOCKET_DATE;DOCKET;DOCKET_DATE,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_CPSC_NEISS;ENERGY.ENERGY__FED_EIA860_2_PLANT;FINANCE.FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES;FINANCE.FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES;FINANCE.FINANCE__FED_FDIC_BANK_DATA
PACER / RECAP ID,2,5,JUSTICE:2,DATE_LAST_PACER_CONTACT;PACER_CASE_ID;PACER_COURT_ID;PACER_HAS_RSS_FEED;PACER_RSS_ENTRY_TYPES,JUSTICE.JUSTICE__FED_COURTLISTENER_COURTS;JUSTICE.JUSTICE__FED_COURTLISTENER_DOCKETS
SCDB justice code,4,4,POLITICS:3;JUSTICE:1,JUSTICE_CODE,JUSTICE.JUSTICE__FED_SCDB;POLITICS.POLITICS__FJC_SCOTUS_CROSSWALK;POLITICS.POLITICS__JUDGE_IDEOLOGY_SCOTUS;POLITICS.POLITICS__SCOTUS_JUSTICE
BOP register # / inmate ID,0,0,,,
ICE facility code / A-number,13,16,HEALTH:5;ECONOMICS:3;IMMIGRATION:3;HOUSING:1;SCIENCE:1,BLA_NUMBER;CFDA_NUMBER;CFDA_NUMBERS;DETENTION_FACILITY;DETENTION_FACILITY_CODE;DETENTION_FACILITY_NAME,ECONOMICS.ECONOMICS__FED_GRANTS_GOV;ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API;HEALTH.HEALTH__FED_CMS_HCRIS;HEALTH.HEALTH__FED_FDA_DEVICE_CLASSIFICATION
USCIS receipt #,0,0,,,
DOL 5500 ACK ID / plan #,6,11,LABOR:2;ECONOMICS:1;ENVIRONMENT:1;JUSTICE:1;REFERENCE:1,ACK_ID;CHANGE_TRACK_ID;CT_PN;CT_PN_WOF;LAST_RPT_PLAN_NUM;PLAN_NUM,ECONOMICS.ECONOMICS__FED_DOL_FORM5500;ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC;JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL;LABOR.LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB;LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS
DOL union LM file # / AFF,6,7,FINANCE:3;EPSTEIN:1;LABOR:1;POLITICS:1,EFTA_FILE_NUMBER;FILE_NUM;FILE_NUMBER;PREV_FILE_NUM;REPORTING_FILE_NUMBER;ULS_FILE_NUMBER,EPSTEIN.FCT_LIBRARY_SNAPSHOT;FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE;FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES;FINANCE.FINANCE__FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS;LABOR.LABOR__FED_DOL_OLMS
OSHA activity / establishment #,6,6,LABOR:6,ESTABLISHMENT_ID,LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2023;LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2024;LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2025;LABOR.LABOR__FED_OSHA_ITA_CASE_DETAIL_2023;LABOR.LABOR__FED_OSHA_ITA_CASE_DETAIL_2024
MSHA mine / controller / operator,3,7,LABOR:3,CONTROLLER_ID;CURRENT_CONTROLLER_ID;MINE_ID;VIOLATOR_ID,LABOR.LABOR__FED_MSHA_ACCIDENTS;LABOR.LABOR__FED_MSHA_MINES;LABOR.LABOR__FED_MSHA_VIOLATIONS
NLRB case #,0,0,,,
EEOC charge #,0,0,,,
WHD case ID,0,0,,,
NAICS,25,45,ENVIRONMENT:6;LABOR:6;ECONOMICS:5;ENERGY:1;FINANCE:1,C_30_PRIMARY_NAICS;C_31_NAICS_2;C_32_NAICS_3;C_33_NAICS_4;C_34_NAICS_5;C_35_NAICS_6,ECONOMICS.ECONOMICS__FED_SBA_LOANS;ECONOMICS.ECONOMICS__FED_SBA_PPP;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API
SIC,19,26,FINANCE:11;ENVIRONMENT:4;ECONOMICS:2;EDUCATION:1;LABOR:1,CARNEGIE_BASIC_CODE;C_24_PRIMARY_SIC;C_25_SIC_2;C_26_SIC_3;C_27_SIC_4;C_28_SIC_5,ECONOMICS.ECONOMICS__FED_SEC_EDGAR;ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR;EDUCATION.EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FRS_SIC_CODES;ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES
PSC (product/service code),3,9,ECONOMICS:2;PROCUREMENT:1,COUNTRY_OF_PRODUCT_OR_SERVICE_ORIGIN;COUNTRY_OF_PRODUCT_OR_SERVICE_ORIGIN_CODE;PRODUCT_OR_SERVICE_CODE;PRODUCT_OR_SERVICE_CODE_DESCRIPTION,ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS;ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL;PROCUREMENT.PROCUREMENT__FED_USASPENDING_BULK
FRS ID (EPA registry),19,20,ENVIRONMENT:16;FINANCE:3,C_3_FRS_ID;EPA_REGISTRY_ID;FRS_ID;REGISTRY_ID,ENVIRONMENT.ENVIRONMENT__EPA_PENALTY_GAP;ENVIRONMENT.ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS;ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO;ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS;ENVIRONMENT.ENVIRONMENT__FED_EPA_FRS_FACILITIES
TRI facility ID,2,2,ENVIRONMENT:2,C_2_TRIFD;TRI_FACILITY_ID,ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_BASIC_2023;ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY
RCRA handler ID,3,3,ENVIRONMENT:3,EPA_ID;HANDLER_ID,ENVIRONMENT.ENVIRONMENT__FED_EPA_ENVIROFACTS;ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_FACILITIES;ENVIRONMENT.ENVIRONMENT__FED_EPA_SUPERFUND_SITE_BOUNDARIES
NPDES permit ID,10,13,ENVIRONMENT:10,NPDES_ID;NPDES_VIOLATION_ID,ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES;ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS;ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS;ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS;ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS
PWSID (water system),9,10,ENVIRONMENT:8;IMMIGRATION:1,PWSID;SELLER_PWSID,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES;ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_FACILITIES;ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS;ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES;ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC
