schema,mart_table,column,raw_table,old_verdict,verdict,mart_rows,raw_rows,mart_non_blank,raw_non_blank,raw_top_values
ECONOMICS,ECONOMICS__FED_FDIC_FAILED_BANKS,_SOURCE_RUN_ID,LIBRARY_RAW.LANDING.FED_FDIC_FAILED_BANKS,ROW_SUBSET,MODEL_LOST_IT,3584,4115,0,4115,64073b09-5702-4fe1-b02a-c359d05236bb 4115
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,USG_SECTOR,LIBRARY_RAW.LANDING.FED_FOREIGNASSISTANCE,raw_also_empty,raw_also_empty,95658,95658,0,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,DAC_CATEGORY,LIBRARY_RAW.LANDING.FED_FOREIGNASSISTANCE,raw_also_empty,raw_also_empty,95658,95658,0,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,OBLIGATION_AMOUNT,LIBRARY_RAW.LANDING.FED_FOREIGNASSISTANCE,raw_also_empty,raw_also_empty,95658,95658,0,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,DISBURSEMENT_AMOUNT,LIBRARY_RAW.LANDING.FED_FOREIGNASSISTANCE,raw_also_empty,raw_also_empty,95658,95658,0,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,EIN,LIBRARY_RAW.LANDING.FED_FOREIGNASSISTANCE,raw_also_empty,raw_also_empty,95658,95658,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,AGENCY_NAME,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,OPPORTUNITY_STATUS,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,OPPORTUNITY_CATEGORY,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
ECONOMICS,ECONOMICS__FED_GRANTS_GOV,FUNDING_INSTRUMENT_TYPE,LIBRARY_RAW.LANDING.FED_GRANTS_GOV,raw_also_empty,raw_also_empty,100,100,0,0,
