model	relation	verdict	column	rows
justice__fed_courtlistener_judge_political_affiliations	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_judge_political_affiliations	UNIQUE	ID	8486
justice__fed_courtlistener_judge_races	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_judge_races	UNIQUE	ID	6542
justice__fed_courtlistener_opinion_clusters	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_opinion_clusters	UNIQUE	ID	10070727
justice__fed_courtlistener_oral_arguments	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_oral_arguments	UNIQUE	ID	102649
justice__fed_courtlistener_originating_court_info	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_originating_court_info	UNIQUE	ID	973419
justice__fed_courtlistener_parentheticals	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_parentheticals	UNIQUE	ID	6408887
justice__fed_courtlistener_race_codes	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_race_codes	UNIQUE	ID	8
justice__fed_courtlistener_schools	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_schools	UNIQUE	ID	6011
justice__fed_fjc_article_iii_judges	LIBRARY_MARTS.JUSTICE.justice__fed_fjc_article_iii_judges	UNIQUE	NID	4074
justice__intl_eu_socta_europol	LIBRARY_MARTS.JUSTICE.justice__intl_eu_socta_europol	UNIQUE	REPORT_TITLE	26
justice__intl_uk_sanctions_list	LIBRARY_MARTS.JUSTICE.justice__intl_uk_sanctions_list	NOTNULL	UNIQUE_ID	58336
open_data__intl_es_datosgob	LIBRARY_MARTS.OPEN_DATA.open_data__intl_es_datosgob	UNIQUE	DISTRIBUTION_URL	1000
politics__ca_lobby_chg_log	LIBRARY_MARTS.POLITICS.politics__ca_lobby_chg_log	NOTNULL	FILER_ID:13nulls	85765
politics__ca_lobby_cover	LIBRARY_MARTS.POLITICS.politics__ca_lobby_cover	PAIR	FILING_ID|AMEND_ID	568988
politics__fed_senate_efd_filings	LIBRARY_MARTS.POLITICS.politics__fed_senate_efd_filings	UNIQUE	FILING_ID	799
politics__fed_senate_lda_lobbyist_positions	LIBRARY_MARTS.POLITICS.politics__fed_senate_lda_lobbyist_positions	NOTNULL	FILING_UUID	140463
reference__census_cb_county	LIBRARY_MARTS.REFERENCE.reference__census_cb_county	UNIQUE	COUNTYNS	3235
reference__census_cb_state	LIBRARY_MARTS.REFERENCE.reference__census_cb_state	UNIQUE	STATEFP	56
reference__census_cb_zcta	LIBRARY_MARTS.REFERENCE.reference__census_cb_zcta	UNIQUE	ZCTA5CE20	33791
transport__fed_faa_adip_private_airports	LIBRARY_MARTS.TRANSPORT.transport__fed_faa_adip_private_airports	NOTNULL	UNNAMED_1:1nulls	3589
