source	landing_rows	view_rows	current_key	exact_dup_rows	unique_single_columns	best_near_columns	class
PORTAL_CKA_WESTERN_PENNSYLV_68A8A0027A	54088	27045	geometry order by _loaded_at desc) = 1	0		ACRES=27045, AREA=27045, FID=27045	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_7880B791DF	49574	24788	geoid20 order by _loaded_at desc) = 1	0		FID=24788, GEOID20=24788, GEOIDFQ20=24788	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_90A0A8B740	96713	79235	parcel_id order by _loaded_at desc) = 1	0		PARCEL_ID=79235, PRE_APPEAL_TOTAL=10217, CURRENT_BLDG_VALUE=10027	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_DDB61776D0	195963	19244	inspection_id order by _loaded_at desc) = 1	0		INSPECT_ID=175138, PLAN_ID=86168, ADDRESS=85863	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_EAC54ADE9A	43040	21521	dataspatial_wkb order by _loaded_at desc) = 1	0		SHAPE_LEN=21521, FID=21521, SHAPE_AREA=21521	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_1BA8209338	96713	79235	parcel_id order by _loaded_at desc) = 1	0		PARCEL_ID=79235, PRE_APPEAL_TOTAL=10217, CURRENT_BLDG_VALUE=10027	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_49ED6437BF	195963	19244	inspection_id order by _loaded_at desc) = 1	0		INSPECT_ID=175138, PLAN_ID=86168, ADDRESS=85863	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_99DBBB9235	43040	21521	dataspatial_wkb order by _loaded_at desc) = 1	0		SHAPE_LEN=21521, FID=21521, SHAPE_AREA=21521	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_54998E6EDA	54088	27045	geometry order by _loaded_at desc) = 1	0		ACRES=27045, AREA=27045, FID=27045	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_B1E95C9745	53636	26721	dataspatial_wkb order by _loaded_at desc) = 1	0		FID=26819, GLOBALID=26819, FID_2=26819	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	38625	19621	geometry order by _loaded_at desc) = 1	0		OBJECTID=35506, CARTEID=19681, GLOBALID=19626	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_CC3BD4AFC2	49574	24788	geoid20 order by _loaded_at desc) = 1	0		FID=24788, GEOID20=24788, GEOIDFQ20=24788	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_DA448E7083	7921	1001	inspection_id order by _loaded_at desc) = 1	0		VIOLATION_UID=6922, INSPECT_ID=1909, INSPECTION_ID=1001	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_FA5C68D20D	29348	14675	geometry order by _loaded_at desc) = 1	0		AREA=14675, ACRES=14675, FID=14675	B no single key, rows all differ
PORTAL_CKA_WPRDC_ALLEGHENY_DE448D04D4	177741	13904	state_county_fips_code, reporting_year, zip_code, primary_si	0		DOC_CTRL_NUM=13749, TRANSFER_AMT=8497, TOTAL_RELEASE=5228	B no single key, rows all differ
PORTAL_SOC_OPEN_DATA_BR_6083BC2934	199821	178879	lot_id order by _loaded_at desc) = 1	0		LOT_ID=178879, ADDRESS_POINT_ID=174091, ADDRESS_ID=174091	B no single key, rows all differ
PORTAL_SOC_TEXAS_OPEN_DATA_354E3ABF4F	42272	36066	site_zip_cd, nor_registration_date order by _loaded_at desc)	0	SWR_NUM_TXT	SWR_NUM_TXT=42272, RN_NUM_TXT=38961, SITE_DELIV_TXT=36200	A single unique column exists
PORTAL_SOC_TEXAS_OPEN_DATA_5410A1009F	884342	737577	outlet_zip_code, outlet_permit_issue_date order by _loaded_a	0		OUTLET_NAME=786462, OUTLET_ADDRESS=747923, TAXPAYER_NUMBER=700036	B no single key, rows all differ
PORTAL_SOC_TEXAS_OPEN_DATA_A415622C5D	1426095	1076829	loc_zip, permit_date order by _loaded_at desc) = 1	0		LOC_NAME=1215755, TP_NUMBER=1110168, TP_NAME=1093518	B no single key, rows all differ
XC_UK_SANCTIONS_LIST	57883	33828	_SRC_SHA256,	652		NAME_6=11651, UNIQUE_ID=6315, OFSI_GROUP_ID=5128	C exact copies in file, plus key too loose
