-- S28 Wayback (S25 rerun, regex fixed): every page that ever answered 404 or ended on 403/401, junk URL variants excluded, with dates
PATH | T0 | T1 | LAST_STATUS | FIRST_404 | LAST_200 | STATUSES
/court-records-edwards-v-maxwell-no-117-mc-00025-sdny-2016 | 2026-02-21 21:35:44 | 2026-03-05 03:07:09 | 404 | 2026-03-05 03:07:09 | 2026-02-22 13:45:53 | 403,404,200
/court-records-ve-v-nine-east-71st-street-no-119-cv-07625-sdny-2019 | 2026-03-05 03:07:09 | 2026-03-05 03:07:09 | 404 | 2026-03-05 03:07:09 |  | 404
/court-records-v-e-v-nine-east-71st-street-no-119-cv-07625-sdny-2019 | 2026-03-05 03:07:10 | 2026-03-05 03:07:10 | 404 | 2026-03-05 03:07:10 |  | 404
/data-set-24-files | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 404 | 2026-03-11 19:27:04 |  | 404
/data-set-25-files | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 404 | 2026-03-11 19:27:04 |  | 404
/data-set-26-files | 2026-03-11 19:27:06 | 2026-03-11 19:27:06 | 404 | 2026-03-11 19:27:06 |  | 404
/data-set-27-files | 2026-03-11 19:27:06 | 2026-03-11 19:27:06 | 404 | 2026-03-11 19:27:06 |  | 404
/data-set-28-files | 2026-03-11 19:27:07 | 2026-03-11 19:27:07 | 404 | 2026-03-11 19:27:07 |  | 404
/data-set-29-files | 2026-03-11 19:27:07 | 2026-03-11 19:27:07 | 404 | 2026-03-11 19:27:07 |  | 404
/data-set-30-files | 2026-03-11 19:27:08 | 2026-03-11 19:27:08 | 404 | 2026-03-11 19:27:08 |  | 404
/data-set-31-files | 2026-03-11 19:27:09 | 2026-03-11 19:27:09 | 404 | 2026-03-11 19:27:09 |  | 404
/data-set-32-files | 2026-03-11 19:27:10 | 2026-03-11 19:27:10 | 404 | 2026-03-11 19:27:10 |  | 404
/data-set-33-files | 2026-03-11 19:27:11 | 2026-03-11 19:27:11 | 404 | 2026-03-11 19:27:11 |  | 404
/data-set-34-files | 2026-03-11 19:27:12 | 2026-03-11 19:27:12 | 404 | 2026-03-11 19:27:12 |  | 404
/data-set-35-files | 2026-03-11 19:27:13 | 2026-03-11 19:27:13 | 404 | 2026-03-11 19:27:13 |  | 404
/data-set-36-files | 2026-03-11 19:27:14 | 2026-03-11 19:27:14 | 404 | 2026-03-11 19:27:14 |  | 404
/data-set-37-files | 2026-03-11 19:27:15 | 2026-03-11 19:27:15 | 404 | 2026-03-11 19:27:15 |  | 404
/data-set-38-files | 2026-03-11 19:27:16 | 2026-03-11 19:27:16 | 404 | 2026-03-11 19:27:16 |  | 404
/data-set-39-files | 2026-03-11 19:27:19 | 2026-03-11 19:27:19 | 404 | 2026-03-11 19:27:19 |  | 404
/data-set-40-files | 2026-03-11 19:27:19 | 2026-03-11 19:27:19 | 404 | 2026-03-11 19:27:19 |  | 404
/data-set-11-files?page=3482 | 2026-03-11 02:35:41 | 2026-06-03 03:26:13 | 200 | 2026-03-20 01:07:09 | 2026-06-03 03:26:13 | 404,200
/dat | 2026-02-19 03:47:23 | 2026-02-19 03:47:23 | 403 |  |  | 403
/data-set | 2026-02-19 03:47:23 | 2026-02-19 03:47:23 | 403 |  |  | 403
/data-set-1 | 2026-02-19 03:47:23 | 2026-02-19 03:47:23 | 403 |  |  | 403
/data-set-1-files?page=63 | 2026-01-17 00:15:03 | 2026-02-15 20:10:14 | 403 |  |  | 403
/data-set-10-files?pag= | 2026-02-19 03:47:23 | 2026-02-19 03:47:23 | 403 |  |  | 403
/data-set-11 | 2026-02-19 03:15:20 | 2026-02-19 03:15:20 | 403 |  |  | 403
/data-set-13-files | 2026-03-11 19:26:54 | 2026-03-11 19:26:54 | 403 |  |  | 403
/data-set-14-files | 2026-03-11 19:26:55 | 2026-03-11 19:26:55 | 403 |  |  | 403
/data-set-15-files | 2026-03-11 19:26:56 | 2026-03-11 19:26:56 | 403 |  |  | 403
/data-set-16-files | 2026-03-11 19:26:57 | 2026-03-11 19:26:57 | 403 |  |  | 403
/data-set-17-files | 2026-03-11 19:26:58 | 2026-03-11 19:26:58 | 403 |  |  | 403
/data-set-18-files | 2026-03-11 19:26:59 | 2026-03-11 19:26:59 | 403 |  |  | 403
/data-set-19-files | 2026-03-11 19:27:00 | 2026-03-11 19:27:00 | 403 |  |  | 403
/data-set-20-files | 2026-03-11 19:27:01 | 2026-03-11 19:27:01 | 403 |  |  | 403
/data-set-21-files | 2026-03-11 19:27:02 | 2026-03-11 19:27:02 | 403 |  |  | 403
/data-set-22-files | 2026-03-11 19:27:02 | 2026-03-11 19:27:02 | 403 |  |  | 403
/data-set-23-files | 2026-03-11 19:27:04 | 2026-03-11 19:27:04 | 403 |  |  | 403
/data-set-3-files?page=20 | 2025-12-21 07:18:49 | 2025-12-21 07:18:49 | 401 |  |  | 401
(65 rows; csv has all)
