-- S11 Toptier time check, rerun of S07 with casts that accept the real column types: contract obligations by agency and fiscal year, Oct-Jun window
AGENCY | FY | OBLIG_OCT_JUN | OBLIG_FULL | N | BAD_DATE | BAD_AMT | LAST_ACTION
Court Services and Offender Supervision Agency | 2021 | 10114427.15 | 37638930.00000001 | 359 | 0 | 0 | 2021-09-30
Court Services and Offender Supervision Agency | 2022 | 11697249.28 | 47336503.54 | 420 | 0 | 0 | 2022-09-30
Court Services and Offender Supervision Agency | 2023 | -6110397.48 | 29428732.949999996 | 506 | 0 | 0 | 2023-09-30
Court Services and Offender Supervision Agency | 2024 | 5861046.8100000005 | 39008341.56 | 416 | 0 | 0 | 2024-09-30
Court Services and Offender Supervision Agency | 2025 | 11810029.860000001 | 36968224.75 | 458 | 0 | 0 | 2025-09-30
Court Services and Offender Supervision Agency | 2026 | 15267281.839999998 | 22550112.27 | 310 | 0 | 0 | 2026-08-21
Defense Nuclear Facilities Safety Board | 2019 | 772668.24 | 6138138.14 | 43 | 0 | 0 | 2019-09-30
Defense Nuclear Facilities Safety Board | 2020 | 633069.22 | 3520671.65 | 21 | 0 | 0 | 2020-09-22
Defense Nuclear Facilities Safety Board | 2021 | 2833800.46 | 6503831.58 | 45 | 0 | 0 | 2021-09-29
Defense Nuclear Facilities Safety Board | 2022 | 3480850.15 | 7481001.090000001 | 56 | 0 | 0 | 2022-09-24
Defense Nuclear Facilities Safety Board | 2023 | 5857389.99 | 6718345.93 | 56 | 0 | 0 | 2023-09-26
Defense Nuclear Facilities Safety Board | 2024 | 3720242.1399999997 | 7332175.48 | 63 | 0 | 0 | 2024-09-27
(553 rows; csv has all)
