-- S16 Fisher Sand & Gravel DHS contract rows FY2025-FY2026: repeats, ceilings, dates (does $13.35B hold up?)
K | PIID | ACTION_DATE | AMT | AWARD_TOTAL | AWARD_VALUE | AWARD_TYPE | POP_ST | DESCR | SAME_ROWS
CONT_AWD_70B01C26F00000319_7014_70B01C26D00000012_7014 | 70B01C26F00000319 | 2026-05-04 | 345040000.0 | 345040000.0 | 345040000.0 | DELIVERY ORDER | CA | SOUTHWEST BORDER BARRIER DESIGN/BUILD PROJECT ELC-2 | 1
CONT_AWD_70B01C26F00000017_7014_70B01C26D00000012_7014 | 70B01C26F00000017 | 2026-05-13 | 50199611.7 | 1600999611.7 | 1600999611.7 | DELIVERY ORDER | AZ | ADDED CONSTRUCTION REQUIREMENTS | 1
CONT_AWD_70B01C26F00000377_7014_70B01C26D00000012_7014 | 70B01C26F00000377 | 2026-05-15 | 605040000.0 | 605040000.0 | 605040000.0 | DELIVERY ORDER | CA | BORDER WALL CONSTRUCTION-SW BORDER | 1
CONT_AWD_70B01C26F00000387_7014_70B01C26D00000012_7014 | 70B01C26F00000387 | 2026-05-26 | 14990000.0 | 14990000.0 | 14990000.0 | DELIVERY ORDER | CA | CONSTRUCTION FOR BORDER - SAN DIEGO CALIFORNIA (SDC) SECTOR POINT OF ENTRY (POE) TUNNEL, OTAY EAST | 1
CONT_AWD_70B01C26F00000405_7014_70B01C26D00000012_7014 | 70B01C26F00000405 | 2026-06-02 | 2594040000.0 | 2594040000.0 | 2594040000.0 | DELIVERY ORDER | TX | BORDER BARRIER DESIGN BUILD FOR BBT-5 | 1
CONT_AWD_70B01C26F00000017_7014_70B01C26D00000012_7014 | 70B01C26F00000017 | 2026-06-12 | 1232000000.0 | 2832999611.7 | 2832999611.7 | DELIVERY ORDER | AZ | ADDED CONSTRUCTION WORK | 1
CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014 | 70B03C24F00001029 | 2026-07-12 | 7568000.0 | 224697989.0 | 224697989.0 | DELIVERY ORDER | AZ | ADDED CONSTRUCTION REQUIREMENTS | 1
CONT_AWD_70B01C26F00000017_7014_70B01C26D00000012_7014 | 70B01C26F00000017 | 2026-07-27 | 495000.0 | 2833494611.7 | 2833494611.7 | DELIVERY ORDER | AZ | ADDED CONSTRUCTION REQUIREMENTS | 1
CONT_AWD_70B01C26F00000073_7014_70B01C26D00000012_7014 | 70B01C26F00000073 | 2026-08-10 | 0.0 | 1787500000.0 | 1787500000.0 | DELIVERY ORDER | NM | CNANGE THE CONTRACTING OFFICER REPRESENTATIVE | 1
(40 rows; csv has all)
