-- S13 NSF new grants by fiscal year, month and awarding office, FY2022-FY2026 (does the drop survive the Oct-Nov 2025 shutdown and span divisions?)
FY | MO | OFFICE | NEW_AWARDS | NEW_OBLIG | ALL_OBLIG | DEOBLIGATED
2022 | 7 | DIVISION OF ATMOSPHERIC AND | 61 | 21489988.0 | 90703106.0 | -313387.0
2023 | 8 | INNOVATION AND TECHNOLOGY ECOSYSTEMS | 26 | 36169345.0 | 38085354.0 | -219642.0
2022 | 9 | DIV OF CIVIL, MECHAN  MANUF INNOV | 65 | 39174746.0 | 38076026.0 | -7821233.0
2025 | 7 | DIVISION OF CHEMISTRY | 95 | 53915944.0 | 62500861.0 | -212882.0
2026 | 6 | DIV OF COMPUTER  COMM FOUNDATIONS | 6 | 1375376.0 | 2178411.0 | -689551.0
2024 | 8 | DIVISION OF MATERIALS RESEARCH | 38 | 14069513.0 | 78659840.0 | -429201.0
2025 | 7 | INTEGRATIVE AND COLLABORATIVE | 79 | 43253336.0 | 45519596.0 | 0.0
2023 | 9 | DIVISION OF MATERIALS RESEARCH | 94 | 75517451.0 | 81812686.0 | -393770.0
2023 | 7 | DIV OF BIOLOGICAL INFRASTRUCTURE | 39 | 34536292.0 | 59421166.0 | -142877.0
2025 | 12 | DIVISION OF CHEMISTRY | 28 | 7773210.0 | 9632231.0 | -280194.0
2026 | 4 | DIVISION OF CHEMICAL BIOENGINEERING | 60 | 25335099.0 | 23518608.0 | -2037848.0
2023 | 5 | DIVISION OF MATERIALS RESEARCH | 40 | 11147968.0 | 49562699.0 | -1280106.0
2022 | 2 | DIVISION OF MATERIALS RESEARCH | 14 | 5147695.0 | 13353774.0 | -179038.0
2024 | 1 | DIVISION OF UNDERGRADUATE EDUCATION | 25 | 16528731.0 | 12385588.0 | -6990720.0
2026 | 5 | DIVISION OF ENVIRONMENTAL BIOLOGY | 47 | 34310251.0 | 34100779.0 | -209472.0
2026 | 7 | DIVISION OF ENVIRONMENTAL BIOLOGY | 35 | 17622787.0 | 17622787.0 | 0.0
(2033 rows; csv has all)
