-- S11 USAspending R2: every action on the 34 awards tagged Ivanti EPMM/MobileIron or post-2023 Connect Secure, including actions whose text never says Ivanti
CONTRACT_AWARD_UNIQUE_KEY | AWARD_ID_PIID | ACTION_DATE | FEDERAL_ACTION_OBLIGATION | TOTAL_DOLLARS_OBLIGATED | CURRENT_TOTAL_VALUE_OF_AWARD | AWARDING_SUB_AGENCY_NAME | RECIPIENT_NAME | DESCR | PERIOD_OF_PERFORMANCE_START_DATE | PERIOD_OF_PERFORMANCE_CURRENT_END_DATE
CONT_AWD_697DCK23F00340_6920_697DCK22D00001_6920 | 697DCK23F00340 | 2023-03-07 | 49769.3 | 49769.3 | 49769.3 | Federal Aviation Administration | CDW GOVERNMENT LLC | TO OBTAIN ANNUAL MAINTENANCE FOR THE IVANTI VPN SUPPORT FROM THE FAA SAVES IT CONTRACT | 2023-03-07 | 2024-03-13
CONT_AWD_697DCK24F00337_6920_697DCK22D00001_6920 | 697DCK24F00337 | 2024-03-26 | 55121.88 | 55121.88 | 55121.88 | Federal Aviation Administration | CDW GOVERNMENT LLC | TO ACQUIRE ANNUAL MAINTENANCE ON OUR IVANTI (VPN) EQUIPMENT AND SOFTWARE | 2024-03-26 | 2025-03-13
CONT_AWD_75D30123F16586_7523_NNG15SD38B_8000 | 75D30123F16586 | 2023-05-11 | 11249.68 | 11249.68 | 11249.68 | Centers for Disease Control and Prevention | REDHAWK IT SOLUTIONS, LLC | PULSE SECURE | 2023-05-11 | 2024-06-09
CONT_AWD_75N97023F00037_7529_NNG15SC73B_8000 | 75N97023F00037 | 2023-03-29 | 171611.55 | 171611.55 | 171611.55 | National Institutes of Health | FOUR LLC | PULSE SECURE EQUIPMENT AND DEVICES | 2023-03-31 | 2024-03-30
CONT_AWD_75N97024F00053_7529_47QTCA19D00MP_4732 | 75N97024F00053 | 2024-06-28 | 1732030.57 | 1732030.57 | 1732030.57 | National Institutes of Health | FOUR POINTS TECHNOLOGY, L.L.C. | IVANTI/MOBILEIRON ENTERPRISE LICENSE AND SUPPORT SERVICES | 2024-07-01 | 2025-03-31
CONT_AWD_75N97024F00053_7529_47QTCA19D00MP_4732 | 75N97024F00053 | 2025-03-28 | 2122376.94 | 3854407.51 | 3854407.51 | National Institutes of Health | FOUR POINTS TECHNOLOGY, L.L.C. | IVANTI/MOBILEIRON ENTERPRISE LICENSE AND SUPPORT SERVICES | 2024-07-01 | 2026-03-31
CONT_AWD_75N97024F00053_7529_47QTCA19D00MP_4732 | 75N97024F00053 | 2026-03-31 | 1639360.54 | 5493768.05 | 5493768.05 | National Institutes of Health | FOUR POINTS TECHNOLOGY, L.L.C. | IVANTI/MOBILEIRON ENTERPRISE LICENSE AND SUPPORT SERVICES | 2024-07-01 | 2027-03-31
CONT_AWD_75N97025F00031_7529_NNG15SD72B_8000 | 75N97025F00031 | 2025-03-13 | 31805.68 | 31805.68 | 31805.68 | National Institutes of Health | COLOSSAL CONTRACTING LLC | US CITIZEN SUPPORT GOLD DIRECT IVANTI, ISA600 & ISA800 NEXT DAY DIRECT PROTECT KEY, KEEP YOUR HARD DIVE SERVICE FOR ISA600 & ISA800, AND IVANTI CONNECT SECURE. | 2025-04-04 | 2026-04-03
CONT_AWD_80NSSC23FB144_8000_NNG15SD72B_8000 | 80NSSC23FB144 | 2023-08-31 | 10630.97 | 10630.97 | 10630.97 | National Aeronautics and Space Administration | COLOSSAL CONTRACTING LLC | FY23 PULSE SECURE/IVANTI SUPPORT MAINTENANCE RENEWAL | 2023-08-14 | 2024-08-13
CONT_AWD_91990024F0017_9100_NNG15SD02B_8000 | 91990024F0017 | 2024-05-14 | 34311.52 | 34311.52 | 34311.52 | Department of Education | PANAMERICA COMPUTERS, INC. | PROCUREMENT OF IVANTI CONNECT SECURE.  THIS FIRM FIXED PRICE TASK ORDER IS TO DELIVER A CYBERSECURITY AND COMPLIANCE SOLUTION FOR THE ITACCI LABORATORY NETWORK (ITACCINET) THAT WILL PROVIDE ENHANCED S | 2024-05-30 | 2025-05-29
CONT_AWD_91990025P0035_9100_-NONE-_-NONE- | 91990025P0035 | 2025-08-15 | 17069.12 | 17069.12 | 17069.12 | Department of Education | DH TECHNOLOGIES, INC. | THE U.S. DEPARTMENT OF EDUCATION OFFICE OF INSPECTOR GENERAL (ED-OIG) TECHNOLOGY SERVICES (TS) DIVISION IS REQUESTING IVANTI CONNECT SECURE DEVICES.  IVANTI CONNECT SECURE PROVIDES A SEAMLESS, COST-EF | 2025-09-30 | 2026-09-29
CONT_AWD_91990025P0035_9100_-NONE-_-NONE- | 91990025P0035 | 2025-08-21 | 0.0 | 17069.12 | 17069.12 | Department of Education | DH TECHNOLOGIES, INC. | THE U.S. DEPARTMENT OF EDUCATION OFFICE OF INSPECTOR GENERAL (ED-OIG) TECHNOLOGY SERVICES (TS) DIVISION IS REQUESTING IVANTI CONNECT SECURE DEVICES.  IVANTI CONNECT SECURE PROVIDES A SEAMLESS, COST-EF | 2025-09-30 | 2026-05-29
CONT_AWD_FA221724FB005_9700_47QTCA19A000A_4732 | FA221724FB005 | 2024-02-20 | 3672.22 | 3672.22 | 3672.22 | Department of the Air Force | GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC. | AFLCMC/HBC IVANTI PULSESECURE SOFTWARE ANNUAL LICENSE RENEWAL FOR FISCAL YEAR 2024 (FY24), NEW FY24 COMMERCIAL DELIVERY ORDER (D.O.) AWARD | 2024-02-20 | 2024-02-26
CONT_AWD_FA872623FB049_9700_47QTCA21A001V_4732 | FA872623FB049 | 2023-04-28 | 2476462.03 | 2476462.03 | 2476462.03 | Department of the Air Force | N2GRATE GOVERNMENT TECHNOLOGY SOLUTIONS, LLC | PULSE SECURE 2301 RENEWAL | 2023-04-27 | 2024-04-24
CONT_AWD_FA872623FB049_9700_47QTCA21A001V_4732 | FA872623FB049 | 2023-06-28 | 0.0 | 2476462.03 | 2476462.03 | Department of the Air Force | N2GRATE GOVERNMENT TECHNOLOGY SOLUTIONS, LLC | PULSE SECURE 2301 RENEWAL | 2023-04-27 | 2024-04-24
CONT_AWD_HC102824F1207_9700_N6600119A0120_9700 | HC102824F1207 | 2024-09-05 | 40170.0 | 40170.0 | 40170.0 | Defense Information Systems Agency | CARAHSOFT TECHNOLOGY CORP | IVANTI MOBILEIRON SOFTWARE | 2024-09-05 | 2024-09-10
CONT_AWD_HC108423F0136_9700_NNG15SD80B_8000 | HC108423F0136 | 2023-05-10 | 1917500.0 | 1917500.0 | 1917500.0 | Defense Information Systems Agency | AUGUST SCHELL ENTERPRISES, INC. | IVANTI-MOBILEIRON EMM PLATINUM BUNDLE | 2023-06-01 | 2024-05-31
CONT_AWD_HC108424F0217_9700_NNG15SD80B_8000 | HC108424F0217 | 2024-05-16 | 7515500.0 | 7515500.0 | 7515500.0 | Defense Information Systems Agency | AUGUST SCHELL ENTERPRISES, INC. | MOBILEIRON SECURE UEM PREMIUM SUBSCRIPTION LICENSES FOR IVANTI (FORMERLY MOBILEIRON), AN ENDPOINT MANAGEMENT SOFTWARE THAT GRANTS AUTHORIZED USERS THE ABILITY TO ACCESS APPLICATIONS AND BUSINESS RESOU | 2024-05-16 | 2025-05-31
CONT_AWD_HC108424F0217_9700_NNG15SD80B_8000 | HC108424F0217 | 2025-05-07 | 0.0 | 7515500.0 | 7515500.0 | Defense Information Systems Agency | AUGUST SCHELL ENTERPRISES, INC. | IVANTI, FORMERLY MOBILEIRON SOFTWARE IN SUPPORT OF DISA DOD MOBILITY UNCLASSIFIED CAPABILITY. | 2024-05-16 | 2025-05-31
CONT_AWD_HC108425F0061_9700_NNG15SD80B_8000 | HC108425F0061 | 2024-11-26 | 987500.0 | 987500.0 | 987500.0 | Defense Information Systems Agency | AUGUST SCHELL ENTERPRISES, INC. | IVANTI (FORMERLY MOBILE IRON) LICENSES | 2024-11-26 | 2025-11-30
CONT_AWD_HC108425F0061_9700_NNG15SD80B_8000 | HC108425F0061 | 2025-01-29 | 0.0 | 987500.0 | 987500.0 | Defense Information Systems Agency | AUGUST SCHELL ENTERPRISES, INC. | IVANTI (FORMERLY MOBILEIRON) LICENSES HC108425F0061_P00001 CORRECT CLIN TO DELIVERY DATE VICE POP | 2024-11-26 | 2024-12-01
CONT_AWD_HC108425F0096_9700_NNG15SD80B_8000 | HC108425F0096 | 2025-01-02 | 592500.0 | 592500.0 | 592500.0 | Defense Information Systems Agency | AUGUST SCHELL ENTERPRISES, INC. | IVANTI (MOBILEIRON) LICENSES | 2025-01-02 | 2026-01-14
CONT_AWD_HC108425F0287_9700_N6600119A0120_9700 | HC108425F0287 | 2025-05-23 | 8043000.0 | 10718000.0 | 10718000.0 | Defense Information Systems Agency | CARAHSOFT TECHNOLOGY CORP | PROCUREMENT OF IVANTI SUBSCRIPTION LICENSES RENEWALS AND ANNUAL MAINTENANCE AN ENDPOINT MANAGEMENT SOFTWARE THAT GRANTS AUTHORIZED USERS THE ABILITY TO ACCESS APPLICATIONS AND BUSINESS RESOURCES ON TH | 2025-06-01 | 2026-05-31
CONT_AWD_HC108425F0287_9700_N6600119A0120_9700 | HC108425F0287 | 2026-04-29 | 2675000.0 | 10718000.0 | 10718000.0 | Defense Information Systems Agency | CARAHSOFT TECHNOLOGY CORP | MOBILEIRON SECURE UNIFIED ENDPOINT MANAGEMENT PREMIUM PER DEVICE EXERCISE OPTION PERIOD 1 (4-MONTH) | 2025-06-01 | 2026-06-01
CONT_AWD_HQ042323F0075_9700_N6600119A0120_9700 | HQ042323F0075 | 2023-06-27 | 220842.71 | 220842.71 | 220842.71 | Defense Finance and Accounting Service | CARAHSOFT TECHNOLOGY CORP | PULSE SECURE LICENSE SUPPORT | 2023-07-01 | 2024-06-30
CONT_AWD_HT940625F0043_9700_47QTCA19D000A_4732 | HT940625F0043 | 2025-07-09 | 14335.9 | 14335.9 | 14335.9 | Defense Health Agency | KAMBRIAN CORPORATION | IVANTI MOBILEIRON CLOUD SUBSCRIPTION SERVICES | 2025-08-01 | 2026-07-31
CONT_AWD_N0017825FS629_9700_N6600119A0120_9700 | N0017825FS629 | 2024-12-27 | 15506.4 | 31012.8 | 31012.8 | Department of the Navy | CARAHSOFT TECHNOLOGY CORP | MI-UEM-D-1YMC-D | 2024-12-27 | 2025-12-18
CONT_AWD_N0017825FS629_9700_N6600119A0120_9700 | N0017825FS629 | 2025-03-12 | 0.0 | 31012.8 | 31012.8 | Department of the Navy | CARAHSOFT TECHNOLOGY CORP | MI-UEM-D-1YMC-D | 2024-12-27 | 2025-12-26
CONT_AWD_N0017825FS629_9700_N6600119A0120_9700 | N0017825FS629 | 2025-12-09 | 15506.4 | 31012.8 | 31012.8 | Department of the Navy | CARAHSOFT TECHNOLOGY CORP | IVANTI MOBILEIRON SOFTWARE | 2024-12-27 | 2026-12-26
CONT_AWD_N0023222F0021_9700_47QSEA19D00BV_4732 | N0023222F0021 | 2022-05-10 | 0.0 | 15436.4 | 15436.4 | Department of the Navy | ASE DIRECT, INC. | MOBILEIRON CLOUD SUBSCRIPTION LICENSE | 2022-08-01 | 2023-07-31
CONT_AWD_N0023222F0021_9700_47QSEA19D00BV_4732 | N0023222F0021 | 2022-07-19 | 15436.4 | 15436.4 | 15436.4 | Department of the Navy | ASE DIRECT, INC. | SUBSCRIPTION IVANTI MOBILEIRON LICENSE | 2022-08-01 | 2023-07-31
CONT_AWD_N0023223P0010_9700_-NONE-_-NONE- | N0023223P0010 | 2023-05-04 | 15436.4 | 15436.4 | 15436.4 | Department of the Navy | ASE DIRECT, INC. | SUBSCRIPTION: IVANTI MOBILEIRON SECURE, SKU:MI-UEM-D-1YMC-D | 2023-08-01 | 2024-07-31
CONT_AWD_SP470120F0099_9700_NNG15SD06B_8000 | SP470120F0099 | 2020-06-15 | 591924.11 | 611634.04 | 611634.04 | Defense Logistics Agency | 4 STAR TECHNOLOGIES, INC. | 8507436646!ADP SUPPORT EQUIPMENT | 2020-06-15 | 2021-06-14
CONT_AWD_SP470120F0099_9700_NNG15SD06B_8000 | SP470120F0099 | 2020-09-25 | 256251.89 | 611634.04 | 611634.04 | Defense Logistics Agency | 4 STAR TECHNOLOGIES, INC. | 8507436646!ADP SUPPORT EQUIPMENT | 2020-06-15 | 2021-06-14
CONT_AWD_SP470120F0099_9700_NNG15SD06B_8000 | SP470120F0099 | 2021-02-11 | 19709.93 | 611634.04 | 611634.04 | Defense Logistics Agency | 4 STAR TECHNOLOGIES, INC. | ADDITIONAL SUPPORT - PULSE SECURE | 2020-06-15 | 2021-09-01
CONT_AWD_SP470120F0099_9700_NNG15SD06B_8000 | SP470120F0099 | 2021-02-11 | 0.0 | 611634.04 | 611634.04 | Defense Logistics Agency | 4 STAR TECHNOLOGIES, INC. | ADMINISTRATIVE MOD - PULSE SECURE | 2020-06-15 | 2021-06-14
CONT_AWD_SP470120F0099_9700_NNG15SD06B_8000 | SP470120F0099 | 2025-09-16 | -256251.89 | 611634.04 | 611634.04 | Defense Logistics Agency | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE HARDWARE/SOFTWARE MAINTENANCE | 2020-06-15 | 2025-09-16
CONT_AWD_SP470123F0162_9700_NNG15SD06B_8000 | SP470123F0162 | 2023-08-01 | 610564.21 | 610564.21 | 610564.21 | Defense Logistics Agency | 4 STAR TECHNOLOGIES, INC. | PULSE SECURE (IVANTI) HW/SW MAINTENANCE SUPPORT | 2023-08-02 | 2024-08-01
CONT_AWD_W9124D23F0465_9700_W52P1J16D0013_9700 | W9124D23F0465 | 2023-09-11 | 245750.0 | 245750.0 | 245750.0 | Department of the Army | CDW GOVERNMENT LLC | PULSE SECURE HARDWARE MAINT. | 2023-09-26 | 2024-09-25
CONT_AWD_W9124D24F0065_9700_W52P1J16D0014_9700 | W9124D24F0065 | 2023-12-28 | 611215.98 | 611215.98 | 611215.98 | Department of the Army | IRON BOW TECHNOLOGIES, LLC | RSN IVANTI VIRTUAL PRIVATE NETWORK (VPN) IN SUPPORT OF HRC. | 2024-01-29 | 2025-01-28
(61 rows; csv has all)
