db,schema,table,column,ordinal,dtype,charlen,numprec,numscale,nullable,comment
LIBRARY_META,AUDIT,COLUMN_HEALTH,TABLE_NAME,3,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,COLUMN_NAME,4,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,DATA_TYPE,5,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,TOTAL_ROWS,6,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,NULL_COUNT,7,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,NULL_PCT,8,FLOAT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,EMPTY_COUNT,9,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,EMPTY_PCT,10,FLOAT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,PLACEHOLDER_COUNT,11,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,PLACEHOLDER_PCT,12,FLOAT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,USABLE_COUNT,13,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,USABLE_PCT,14,FLOAT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,DISTINCT_COUNT,15,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,DISTINCT_RATIO,16,FLOAT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,TOP_VALUES,17,VARIANT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,MIN_LENGTH,18,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,MAX_LENGTH,19,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,AVG_LENGTH,20,FLOAT,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,DETECTED_PATTERN,21,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,LOOKS_LIKE_KEY,22,BOOLEAN,,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,USABILITY_GRADE,23,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,COLUMN_HEALTH,AUDITED_AT,24,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,RUN_ID,1,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,SCHEMA_NAME,2,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,TABLE_NAME,3,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,COLUMN_NAME,4,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,DETECTED_KEY_TYPE,5,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,VALID_FORMAT_COUNT,6,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,INVALID_FORMAT_COUNT,7,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,FORMAT_PASS_RATE,8,FLOAT,,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,REFERENCE_TABLE,9,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,REFERENCE_MATCHED,10,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,REFERENCE_MATCH_RATE,11,FLOAT,,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,VERDICT,12,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,SAMPLE_VALUES,13,VARIANT,,,,YES,
LIBRARY_META,AUDIT,KEY_VALIDATION,AUDITED_AT,14,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,RUN_ID,1,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,SCHEMA_NAME,2,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,TABLE_NAME,3,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,ROW_COUNT,4,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,COLUMN_COUNT,5,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,USABLE_COLUMN_COUNT,6,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,USABLE_COLUMN_PCT,7,FLOAT,,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,KEY_COLUMN_COUNT,8,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,DEAD_COLUMN_COUNT,9,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,INBOUND_EDGES,10,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,OUTBOUND_EDGES,11,NUMBER,,38,0,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,IS_ORPHAN,12,BOOLEAN,,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,SOURCE_FRESHNESS_STATE,13,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,DATA_THROUGH,14,DATE,,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,DOMAIN,15,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,TABLE_GRADE,16,TEXT,16777216,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,ISSUES,17,VARIANT,,,,YES,
LIBRARY_META,AUDIT,TABLE_VITALS,AUDITED_AT,18,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,AUDIT,V_AUDIT_SCORECARD,SECTION,1,TEXT,20,,,YES,
LIBRARY_META,AUDIT,V_AUDIT_SCORECARD,DETAIL,2,OBJECT,,,,YES,
LIBRARY_META,BUILD,DEFECTS,DEFECT_ID,1,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,DEFECTS,TITLE,2,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,DEFECTS,AREA,3,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,DEFECTS,SEVERITY,4,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,DEFECTS,DESCRIPTION,5,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,VERIFY_METHOD,6,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,EVIDENCE_SQL,7,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,SOURCE_AUDIT,8,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,FOUND_AT,9,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,DEFECTS,STATUS,10,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,LAST_VERIFIED_AT,11,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,DEFECTS,LAST_VERDICT,12,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,LAST_ROWCOUNT,13,NUMBER,,38,0,YES,
LIBRARY_META,BUILD,DEFECTS,CLOSED_AT,14,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,DEFECTS,CLOSED_BY,15,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,DEFECTS,NOTES,16,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PARKED,PARKED_ID,1,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,PARKED,TITLE,2,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,PARKED,HEAT,3,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PARKED,NOTE,4,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PARKED,RAISED_AT,5,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,PARKED,STATUS,6,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PARKED,SUPERSEDED_BY,7,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,ACTION_ID,1,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,PENDING_ACTIONS,SEQ,2,NUMBER,,38,0,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,SCRIPT_PATH,3,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,PENDING_ACTIONS,DESCRIPTION,4,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,DEPENDS_ON,5,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,REVERSIBLE,6,BOOLEAN,,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,REQUIRES_HUMAN,7,BOOLEAN,,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,STATUS,8,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,PREVIEWED_AT,9,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,APPLIED_AT,10,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,APPLIED_BY,11,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,VERIFY_SQL,12,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,PENDING_ACTIONS,NOTES,13,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,POLICY,POLICY_KEY,1,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,POLICY,STATEMENT,2,TEXT,16777216,,,NO,
LIBRARY_META,BUILD,POLICY,RATIONALE,3,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,POLICY,DECIDED_AT,4,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,POLICY,STATUS,5,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,POLICY,SUPERSEDED_BY,6,TEXT,16777216,,,YES,
LIBRARY_META,BUILD,POLICY,RECORDED_AT,7,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,BUILD,V_BUILD_STATE,METRIC,1,TEXT,28,,,YES,
LIBRARY_META,BUILD,V_BUILD_STATE,VALUE,2,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,ENTITY_ID,1,TEXT,36,,,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,ENTITY_TYPE,2,TEXT,12,,,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,DISPLAY_LABEL,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,DOMAIN_COUNT,4,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,SOURCE_COUNT,5,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,DOMAINS,6,ARRAY,,,,YES,
LIBRARY_META,CONNECT,BRIDGE_ENTITIES,SOURCES,7,ARRAY,,,,YES,
LIBRARY_META,CONNECT,CLUSTER_ASSIGNMENTS,SOURCE_TABLE,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CLUSTER_ASSIGNMENTS,CLUSTER_ID,2,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CLUSTER_ASSIGNMENTS,CLUSTER_LABEL,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CLUSTER_ASSIGNMENTS,DOMAIN,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,A,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,B,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,KEY,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,TIER,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,A_COL,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,B_COL,6,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,MATCHED,7,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,A_DISTINCT,8,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,B_DISTINCT,9,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,MATCH_RATE,10,FLOAT,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,CONFIDENCE,11,FLOAT,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,SAMPLE,12,VARIANT,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,RUN_ID,13,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES,BUILT_AT,14,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,A,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,B,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,KEY,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,TIER,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,MATCHED,5,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,A_DISTINCT,6,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,B_DISTINCT,7,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,MATCH_RATE,8,FLOAT,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,CONFIDENCE,9,FLOAT,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,SAMPLE,10,VARIANT,,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,RUN_ID,11,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_EDGES_INC,BUILT_AT,12,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,CONNECT_NODES,NODE_ID,1,TEXT,32,,,YES,
LIBRARY_META,CONNECT,CONNECT_NODES,KEY_TYPE,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_NODES,KEY_VALUE,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_NODES,TABLE_NAME,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_NODES,RUN_ID,5,TEXT,16,,,YES,
LIBRARY_META,CONNECT,CONNECT_NODES,BUILT_AT,6,TIMESTAMP_LTZ,,,,YES,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,TABLE_NAME,1,TEXT,16777216,,,NO,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,SOURCE_ID,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,CONTENT_KEY,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,LAST_CHANGE_AT,4,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,N_SUCCESS,5,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,KEYSET_DERIVED_AT,6,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,CONNECT_WATERMARK,BUILT_AT,7,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,CROSSWALK_SCRATCH,KEY_A,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CROSSWALK_SCRATCH,KEY_B,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CROSSWALK_SCRATCH,VAL_A,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CROSSWALK_SCRATCH,VAL_B,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,CROSSWALK_SCRATCH,SRC,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,DOMAIN_A,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,DOMAIN_B,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,ENTITY_TYPE,3,TEXT,12,,,YES,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,TOTAL_SHARED_ENTITIES,4,NUMBER,,30,0,YES,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,SOURCE_PAIRS,5,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,DOMAIN_OVERLAP_MATRIX,MAX_PAIR_OVERLAP,6,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,ENTITY_ID,1,TEXT,36,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,ENTITY_TYPE,2,TEXT,12,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,KEY_TYPE,3,TEXT,12,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,KEY_VALUE,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,CANONICAL_NAME,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,NAME_NORM,6,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,CANONICAL_ADDR,7,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,NAME_SOURCE,8,TEXT,68,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,RUN_ID,9,TEXT,16,,,YES,
LIBRARY_META,CONNECT,ENTITY_GOLDEN,BUILT_AT,10,TIMESTAMP_LTZ,,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,ENTITY_ID,1,TEXT,36,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,ENTITY_TYPE,2,TEXT,12,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,KEY_TYPE,3,TEXT,12,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,KEY_VALUE,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,SOURCE_TABLE,5,TEXT,68,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,DOMAIN,6,TEXT,10,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,DISPLAY_LABEL,7,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,ROW_COUNT,8,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,PREVIEW,9,OBJECT,,,,YES,
LIBRARY_META,CONNECT,ENTITY_INDEX,DISPLAY_NORM,10,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_LINKS,LEFT_REF,1,TEXT,16777216,,,NO,
LIBRARY_META,CONNECT,ENTITY_LINKS,RIGHT_REF,2,TEXT,16777216,,,NO,
LIBRARY_META,CONNECT,ENTITY_LINKS,LEFT_SRC,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_LINKS,RIGHT_SRC,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_LINKS,METHOD,5,TEXT,16777216,,,NO,
LIBRARY_META,CONNECT,ENTITY_LINKS,SCORE,6,FLOAT,,,,NO,
LIBRARY_META,CONNECT,ENTITY_LINKS,BAND,7,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_LINKS,NPI_MATCH,8,BOOLEAN,,,,YES,
LIBRARY_META,CONNECT,ENTITY_LINKS,EVIDENCE,9,VARIANT,,,,YES,
LIBRARY_META,CONNECT,ENTITY_LINKS,CREATED_AT,10,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,ENTITY_ID,1,TEXT,36,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,KEY_TYPE,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,KEY_VALUE,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,ENTITY_TYPE,4,TEXT,12,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,MEMBER_TABLES,5,ARRAY,,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,SOURCE_COUNT,6,NUMBER,,18,0,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,RUN_ID,7,TEXT,16,,,YES,
LIBRARY_META,CONNECT,ENTITY_MAP,BUILT_AT,8,TIMESTAMP_LTZ,,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,KEY_A,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,VALUE_A,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,KEY_B,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,VALUE_B,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,SOURCE_TABLE,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,RELATION,6,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,FANOUT,7,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,RUN_ID,8,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,ENTITY_XREF,BUILT_AT,9,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,NPI,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,L_LAST,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,L_FIRST,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,R_LAST,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,R_FIRST,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,PLACE,6,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,LABEL,7,BOOLEAN,,,,YES,
LIBRARY_META,CONNECT,GOLD_PAIRS,SCORE,8,NUMBER,,14,3,YES,
LIBRARY_META,CONNECT,KEYSET_LIVE,TABLE_NAME,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,KEYSET_LIVE,KEY,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,KEYSET_LIVE,VAL,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,KEYSET_SCRATCH,TABLE_NAME,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,KEYSET_SCRATCH,KEY,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,KEYSET_SCRATCH,VAL,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,LEAD_ID,1,TEXT,16777216,,,NO,
LIBRARY_META,CONNECT,LEADS,RULE_NAME,2,TEXT,16777216,,,NO,
LIBRARY_META,CONNECT,LEADS,LEFT_ENTITY_ID,3,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,RIGHT_ENTITY_ID,4,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,LEFT_KEY_TYPE,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,LEFT_KEY_VALUE,6,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,RIGHT_KEY_TYPE,7,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,RIGHT_KEY_VALUE,8,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,TITLE,9,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,SCORE,10,FLOAT,,,,YES,
LIBRARY_META,CONNECT,LEADS,EVIDENCE,11,VARIANT,,,,YES,
LIBRARY_META,CONNECT,LEADS,EVIDENCE_COUNT,12,NUMBER,,38,0,YES,
LIBRARY_META,CONNECT,LEADS,FIRST_SEEN,13,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,LEADS,LAST_SEEN,14,TIMESTAMP_NTZ,,,,YES,
LIBRARY_META,CONNECT,LEADS,RUN_ID,15,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,STATUS,16,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,COMPILED_SQL,17,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,SQL_SHA256,18,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,LEADS,AS_OF_DATE,19,DATE,,,,YES,
LIBRARY_META,CONNECT,LEADS,SOURCE_SNAPSHOTS,20,VARIANT,,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,MODEL_VERSION,1,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,FIELD,2,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,M,3,FLOAT,,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,U,4,FLOAT,,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,SURNAME_MODE,5,TEXT,16777216,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,START_BITS,6,FLOAT,,,,YES,
LIBRARY_META,CONNECT,MATCH_MODEL,CREATED_AT,7,TIMESTAMP_NTZ,,,,YES,
