db,schema,table,type,row_count,bytes,created,last_altered,comment
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CDC_WONDER__RECORDS,VIEW,,,2026-08-09 18:35:46.872000-07:00,2026-08-09 18:35:47.128000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CFPB_COMPLAINTS__COMPLAINTS,VIEW,,,2026-07-30 11:51:10.477000-07:00,2026-07-30 11:51:10.894000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CFPB_HMDA_ARID2017_LEI_XREF__XREF,VIEW,,,2026-08-10 10:14:20.313000-07:00,2026-08-10 10:14:20.569000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CFPB_HMDA_HISTORIC__LAR_RECORDS,VIEW,,,2026-08-10 07:05:37.886000-07:00,2026-08-10 07:05:38.415000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CFPB_HMDA_LAR__LAR_RECORDS,VIEW,,,2026-08-10 10:14:19.176000-07:00,2026-08-10 10:14:19.788000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CFPB_HMDA__LOANS,VIEW,,,2026-08-09 22:11:31.488000-07:00,2026-08-09 22:11:31.941000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CFPB_HMDA__RECORDS,VIEW,,,2026-07-30 11:51:11.604000-07:00,2026-07-30 11:51:12.111000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CISA_KEV__RECORDS,VIEW,,,2026-07-30 11:51:11.849000-07:00,2026-07-30 11:51:12.231000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CLINICALTRIALS__CLINICAL_TRIALS,VIEW,,,2026-07-30 11:51:11.848000-07:00,2026-07-30 11:51:12.231000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_DIALYSIS__FACILITIES,VIEW,,,2026-07-30 11:51:13.440000-07:00,2026-07-30 11:51:14.047000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_FACILITY_AFFILIATION__PROVIDERS,VIEW,,,2026-07-30 11:51:14.690000-07:00,2026-07-30 11:51:15.085000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_HCRIS__HOSPITAL_COST_REPORT,VIEW,,,2026-07-30 11:51:14.922000-07:00,2026-07-30 11:51:15.429000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_HOME_HEALTH__FACILITIES,VIEW,,,2026-07-30 11:51:14.884000-07:00,2026-07-30 11:51:15.416000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_HOSPICE__FACILITIES,VIEW,,,2026-07-30 11:51:16.671000-07:00,2026-07-30 11:51:17.039000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_HOSPITAL_COMPARE__FACILITIES,VIEW,,,2026-07-30 11:51:17.655000-07:00,2026-07-30 11:51:18.601000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_HOSPITAL_GENERAL__FACILITIES,VIEW,,,2026-07-30 11:51:18.097000-07:00,2026-07-30 11:51:18.574000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_HPT_MRF__PROVIDERS,VIEW,,,2026-07-30 11:51:18.192000-07:00,2026-07-30 11:51:18.613000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_IRF__FACILITIES,VIEW,,,2026-07-30 11:51:19.654000-07:00,2026-07-30 11:51:20.010000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_LTCH__FACILITIES,VIEW,,,2026-07-30 11:51:21.250000-07:00,2026-07-30 11:51:21.567000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_MAIN__RECORDS,VIEW,,,2026-07-30 11:51:21.250000-07:00,2026-07-30 11:51:21.569000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_MEDICARE_PROVIDER__PROVIDERS,VIEW,,,2026-07-30 11:51:21.243000-07:00,2026-07-30 11:51:21.777000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_NADAC__RECORDS,VIEW,,,2026-07-30 11:51:22.626000-07:00,2026-07-30 11:51:23.012000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_NPPES__NPI_PROVIDERS,VIEW,,,2026-07-30 12:21:08.012000-07:00,2026-07-30 12:21:09.159000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_NURSING_HOME__NURSING_HOME_FACILITIES,VIEW,,,2026-08-08 07:18:11.726000-07:00,2026-08-08 07:18:12.549000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT__RECIPIENT_PROFILES,VIEW,,,2026-08-10 07:05:38.021000-07:00,2026-08-10 07:05:38.448000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_PART_D_PRESCRIBERS__PROVIDERS,VIEW,,,2026-07-30 11:51:26.223000-07:00,2026-07-30 11:51:26.782000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CMS_POS_OTHER__FACILITIES,VIEW,,,2026-07-30 11:51:27.448000-07:00,2026-07-30 11:51:28.759000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_COLLEGE_SCORECARD_INSTITUTION__RECORDS,VIEW,,,2026-08-18 09:11:37.923000-07:00,2026-08-18 09:11:45.087000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CONGRESS_COMMITTEE_MEMBERSHIP__PEOPLE,VIEW,,,2026-07-30 11:51:27.806000-07:00,2026-07-30 11:51:28.486000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CONGRESS_COMMITTEE_MEMBERSHIP__RECORDS,VIEW,,,2026-07-06 07:02:47.553000-07:00,2026-07-06 07:02:47.781000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CONSOLIDATED_SCREENING_LIST__ENTRIES,VIEW,,,2026-08-09 21:06:00.204000-07:00,2026-08-09 21:06:00.510000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_CONSOLIDATED_SCREENING_LIST__SCREENED_PARTY,VIEW,,,2026-08-05 15:01:20.932000-07:00,2026-08-05 15:01:21.290000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DAVID_RUMSEY__RECORDS,VIEW,,,2026-07-30 11:51:29.817000-07:00,2026-07-30 11:51:30.147000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DENSHO_DDR__RECORDS,VIEW,,,2026-07-30 11:51:31.093000-07:00,2026-07-30 11:51:31.453000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DHS_HIFLD__FACILITIES,VIEW,,,2026-08-09 22:12:53.742000-07:00,2026-08-09 22:12:54.014000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DHS_HIFLD__RECORDS,VIEW,,,2026-07-30 11:51:31.360000-07:00,2026-07-30 11:51:31.746000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DHS_OHSS__RECORDS,VIEW,,,2026-07-30 11:51:32.406000-07:00,2026-07-30 11:51:33.631000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DHS_YEARBOOK__PLACES,VIEW,,,2026-07-30 11:51:32.703000-07:00,2026-07-30 11:51:33.065000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DHS_YEARBOOK__RECORDS,VIEW,,,2026-07-06 07:02:48.643000-07:00,2026-07-06 07:02:48.866000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOCSOUTH__RECORDS,VIEW,,,2026-07-30 11:51:34.042000-07:00,2026-07-30 11:51:34.396000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOJ_CRT_CASES__CRT_CASES,VIEW,,,2026-07-30 11:51:34.336000-07:00,2026-07-30 11:51:34.664000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOJ_EPSTEIN_LIBRARY__RECORDS,VIEW,,,2026-07-30 11:51:35.703000-07:00,2026-07-30 11:51:36.529000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOJ_FCA_SETTLEMENTS__FCA_SETTLEMENTS,VIEW,,,2026-07-30 11:51:36.266000-07:00,2026-07-30 11:51:36.585000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOL_EBSA_FORM5500_SCHEDULE_SB__FILINGS,VIEW,,,2026-08-10 10:14:19.180000-07:00,2026-08-10 10:14:19.714000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOL_FORM5500__RECORDS,VIEW,,,2026-07-30 11:51:37.002000-07:00,2026-07-30 11:51:37.588000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOL_OFLC__RECORDS,VIEW,,,2026-07-30 11:51:37.253000-07:00,2026-07-30 11:51:38.104000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOL_OLMS__FILINGS,VIEW,,,2026-08-18 09:28:13.225000-07:00,2026-08-18 09:28:14.272000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_DOT_BTS__RECORDS,VIEW,,,2026-07-30 11:51:39.202000-07:00,2026-07-30 11:51:39.551000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EAC_EAVS__RECORDS,VIEW,,,2026-07-30 11:51:40.115000-07:00,2026-07-30 11:51:41.211000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_ED_COLLEGE_SCORECARD_INSTITUTION__INSTITUTIONS,VIEW,,,2026-08-10 10:14:19.134000-07:00,2026-08-10 10:14:20.149000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_ED_EDFACTS__RECORDS,VIEW,,,2026-07-30 11:51:40.653000-07:00,2026-07-30 11:51:41.030000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_ED_FSA_DATACENTER__RECORDS,VIEW,,,2026-07-30 11:51:41.762000-07:00,2026-07-30 11:51:42.111000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_ED_NCES_CIP_CODES__CIP_CODES,VIEW,,,2026-08-10 10:14:19.357000-07:00,2026-08-10 10:14:19.669000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_1_UTILITY__ALL,VIEW,,,2026-08-10 08:34:15.075000-07:00,2026-08-10 08:34:15.352000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_2_PLANT__ALL,VIEW,,,2026-08-10 08:34:15.256000-07:00,2026-08-10 08:34:15.990000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_3_1_GENERATOR__ALL,VIEW,,,2026-08-10 08:34:15.374000-07:00,2026-08-10 08:34:15.770000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_3_2_WIND__ALL,VIEW,,,2026-08-10 08:34:15.871000-07:00,2026-08-10 08:34:16.156000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_3_3_SOLAR__ALL,VIEW,,,2026-08-10 08:34:15.210000-07:00,2026-08-10 08:34:15.875000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_3_4_ENERGY_STORAGE__ALL,VIEW,,,2026-08-10 08:34:14.961000-07:00,2026-08-10 08:34:15.653000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_3_5_MULTIFUEL__ALL,VIEW,,,2026-08-10 08:34:15.201000-07:00,2026-08-10 08:34:15.691000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_4_OWNER__ALL,VIEW,,,2026-08-10 08:34:15.904000-07:00,2026-08-10 08:34:16.214000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_6_1_ENVIROASSOC__ALL,VIEW,,,2026-08-10 08:34:14.997000-07:00,2026-08-10 08:34:15.312000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA860_6_2_ENVIROEQUIP__ALL,VIEW,,,2026-08-10 08:34:16.197000-07:00,2026-08-10 08:34:16.531000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_ADVANCED_METERS__METER_COUNTS,VIEW,,,2026-08-10 08:34:15.341000-07:00,2026-08-10 08:34:15.663000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_BALANCING_AUTHORITY__ALL,VIEW,,,2026-08-10 08:34:15.358000-07:00,2026-08-10 08:34:15.594000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_DELIVERY_COMPANIES__SALES,VIEW,,,2026-08-10 08:34:15.353000-07:00,2026-08-10 08:34:15.663000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_DEMAND_RESPONSE__PROGRAMS,VIEW,,,2026-08-10 08:34:15.076000-07:00,2026-08-10 08:34:15.438000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_DISTRIBUTION_SYSTEMS__CIRCUITS,VIEW,,,2026-08-10 08:34:15.504000-07:00,2026-08-10 08:34:15.784000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_DYNAMIC_PRICING__ENROLLMENT,VIEW,,,2026-08-10 08:34:15.545000-07:00,2026-08-10 08:34:15.965000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_ENERGY_EFFICIENCY__PROGRAMS,VIEW,,,2026-08-10 08:34:15.626000-07:00,2026-08-10 08:34:15.952000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_FRAME__RESPONDENTS,VIEW,,,2026-08-10 08:34:15.472000-07:00,2026-08-10 08:34:15.774000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_MERGERS__MERGERS,VIEW,,,2026-08-10 08:34:15.123000-07:00,2026-08-10 08:34:15.581000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_NET_METERING__CAPACITY,VIEW,,,2026-08-10 08:34:15.480000-07:00,2026-08-10 08:34:16.167000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_NON_NET_METERING_DISTRIBUTED__CAPACITY,VIEW,,,2026-08-10 08:34:16.257000-07:00,2026-08-10 08:34:16.895000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_OPERATIONAL_DATA__OPERATIONS,VIEW,,,2026-08-10 08:34:15.377000-07:00,2026-08-10 08:34:15.714000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_RELIABILITY__RELIABILITY_METRICS,VIEW,,,2026-08-10 08:34:15.403000-07:00,2026-08-10 08:34:16.098000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_SALES_ULT_CUST_CS__FACILITY_SALES,VIEW,,,2026-08-10 08:34:15.487000-07:00,2026-08-10 08:34:15.845000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_SALES_ULT_CUST__SALES,VIEW,,,2026-08-10 08:34:15.914000-07:00,2026-08-10 08:34:16.522000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_SERVICE_TERRITORY__COUNTIES,VIEW,,,2026-08-10 08:34:15.370000-07:00,2026-08-10 08:34:15.632000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_SHORT_FORM__RESPONSES,VIEW,,,2026-08-10 08:34:15.382000-07:00,2026-08-10 08:34:15.679000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA861_UTILITY_DATA__UTILITY_PROFILE,VIEW,,,2026-08-10 08:34:15.173000-07:00,2026-08-10 08:34:15.748000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EIA_861_BALANCING_AUTHORITY__ALL,VIEW,,,2026-08-20 09:32:09.877000-07:00,2026-08-20 09:32:10.279000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EOIR_CASE_DATA__RECORDS,VIEW,,,2026-07-30 11:51:42.091000-07:00,2026-07-30 11:51:42.365000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_AQS_SITES__SITES,VIEW,,,2026-08-10 10:14:19.190000-07:00,2026-08-10 10:14:19.505000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_ECHO__RECORDS,VIEW,,,2026-07-30 11:51:43.663000-07:00,2026-07-30 11:51:44.236000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_ENVIROFACTS__FACILITY_SAMPLE,VIEW,,,2026-08-09 22:11:31.677000-07:00,2026-08-09 22:11:31.957000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_ENVIROFACTS__RECORDS,VIEW,,,2026-07-30 11:51:43.801000-07:00,2026-07-30 11:51:44.156000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_FRS_FRS_FACILITIES__FACILITIES,VIEW,,,2026-08-10 07:05:37.878000-07:00,2026-08-10 07:05:38.145000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_GHGRP_EMISSION__EMISSIONS,VIEW,,,2026-08-10 08:34:14.976000-07:00,2026-08-10 08:34:15.300000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_GHGRP_FACILITY__FACILITIES,VIEW,,,2026-08-10 08:34:15.319000-07:00,2026-08-10 08:34:15.631000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_RCRA_ENFORCEMENTS__ENFORCEMENTS,VIEW,,,2026-08-10 07:05:37.722000-07:00,2026-08-10 07:05:38.425000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_RCRA_EVALUATIONS__EVALUATIONS,VIEW,,,2026-08-10 07:05:37.881000-07:00,2026-08-10 07:05:38.216000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_RCRA_FACILITIES__FACILITIES,VIEW,,,2026-08-10 07:05:37.908000-07:00,2026-08-10 07:05:38.279000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_RCRA_RCRA_NAICS__NAICS_CODES,VIEW,,,2026-08-10 07:05:37.800000-07:00,2026-08-10 07:05:38.104000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_RCRA_VIOLATIONS__VIOLATIONS,VIEW,,,2026-08-10 07:05:38.570000-07:00,2026-08-10 07:05:38.872000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_RCRA_VIOSNC_HISTORY__MONTHLY_STATUS,VIEW,,,2026-08-10 07:05:38.002000-07:00,2026-08-10 07:05:38.380000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_SUPERFUND_SITE_BOUNDARIES__BOUNDARIES,VIEW,,,2026-08-10 16:36:54.334000-07:00,2026-08-10 16:36:54.794000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_EPA_TRI_FACILITY__FACILITIES,VIEW,,,2026-08-10 10:14:19.386000-07:00,2026-08-10 10:14:19.726000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_FAA_AIRCRAFT_REGISTRY__AIRCRAFT,VIEW,,,2026-08-09 21:06:40.185000-07:00,2026-08-09 21:06:40.484000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_FAA_AIRCRAFT_REGISTRY__ALL,VIEW,,,2026-08-09 18:35:46.706000-07:00,2026-08-09 18:35:47.092000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_FAA_DATA_PORTAL__RECORDS,VIEW,,,2026-07-30 11:51:44.906000-07:00,2026-07-30 11:51:45.205000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_FAA_REGISTRY__RECORDS,VIEW,,,2026-07-30 11:51:46.722000-07:00,2026-07-30 11:51:47.042000-07:00,
LIBRARY_STAGING,DBT_CROGERS,STG_FED_FARA_BULK__FARA_REGISTRATIONS,VIEW,,,2026-07-30 11:51:47.443000-07:00,2026-07-30 11:51:47.801000-07:00,
