schema,table,column,should_be,table_row_count
HEALTH,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES,MEASURE_SCORE,number,12456456
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,ARBITRATION,number,10857396
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,FILE_DATE_USE,date,10857396
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,FILING_MAGISTRATE,number,10857396
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,TAPE_YEAR,date,10857396
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,TERM_ARBITRATION,number,10857396
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,TERM_DATE_USE,date,10857396
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,TERM_MAGISTRATE,number,10857396
ENVIRONMENT,ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,REPORTING_YEAR,date,10411826
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,REGISTRATION_NUMBER,number,7000000
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,ASSET_CASE,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,CHAPTER11_FUTURE_PAYMENTS,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,CLOSING_CALENDAR_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,CLOSING_FISCAL_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,COUNT_MONTHLY_INCOME,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,DEBTOR1_FINAL_DISPOSITION_CALENDAR_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,DEBTOR1_FINAL_DISPOSITION_FISCAL_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,DEBTOR2_FINAL_DISPOSITION_CALENDAR_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,DEBTOR2_FINAL_DISPOSITION_FISCAL_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,DOCKET_GENERATION,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,ESTIMATED_ASSETS,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,ESTIMATED_LIABILITIES,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,FILING_CALENDAR_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,FILING_FISCAL_YEAR,date,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,JOINT_ADMINISTRATION_LEAD,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,ORIGINAL_ASSET_CASE,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,ORIGINAL_ESTIMATED_ASSETS,number,6965441
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,ORIGINAL_ESTIMATED_LIABILITIES,number,6965441
ENVIRONMENT,ENVIRONMENT__FED_USGS_WATER,DATETIME,date,6694816
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,ACTION_DATE,date,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,CURRENT_TOTAL_VALUE_OF_AWARD,number,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,FEDERAL_ACTION_OBLIGATION,number,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,HIGHLY_COMPENSATED_OFFICER_1_AMOUNT,number,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,HIGHLY_COMPENSATED_OFFICER_2_AMOUNT,number,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,LAST_MODIFIED_DATE,date,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PERIOD_OF_PERFORMANCE_CURRENT_END_DATE,date,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,PERIOD_OF_PERFORMANCE_START_DATE,date,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,TOTAL_DOLLARS_OBLIGATED,number,6325622
ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS,USASPENDING_PERMALINK,number,6325622
JUSTICE,JUSTICE__FED_FJC_IDB_CRIMINAL,FISCAL_YEAR,date,6299908
JUSTICE,JUSTICE__FED_FJC_IDB_CRIMINAL,TAPE_YEAR,date,6299908
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,DEATH_DT,date,5811086
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,EVENT_DT,date,5811086
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,FDA_DT,date,5811086
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,INIT_FDA_DT,date,5811086
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,MFR_DT,date,5811086
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,MFR_NUM,number,5811086
HEALTH,HEALTH__FED_FDA_FAERS_DEMO,REPT_DT,date,5811086
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,ACCOUNT_CATEGORY,number,5734780
ECONOMICS,ECONOMICS__FED_IRS_990_EFILE_INDEX,SUB_DATE_RAW,date,5544626
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_ENTITYEXPIRATIONDATE,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_ENTITYEXPIRATIONREASON,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_OTHERREGISTRATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_REGISTRATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,ENTITY_REGISTRATIONAUTHORITY_REGISTRATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_INITIALREGISTRATIONDATE,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_LASTUPDATEDATE,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_MANAGINGLOU,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_NEXTRENEWALDATE,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_OTHERVALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_VALIDATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_1_VALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_OTHERVALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_VALIDATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_VALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_OTHERVALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_VALIDATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_VALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_OTHERVALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_VALIDATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_VALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_OTHERVALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_VALIDATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_VALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_OTHERVALIDATIONAUTHORITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYENTITYID,number,3382301
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYID,number,3382301
HOUSING,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,APPLICANT_AGE,number,3080000
HOUSING,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,CENSUS_YEAR,date,3080000
HOUSING,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,REGISTRATION_METHOD,number,3080000
IMMIGRATION,IMMIGRATION__FED_ICE_DETENTION_STINTS,FINAL_CHARGE,number,2571975
IMMIGRATION,IMMIGRATION__FED_ICE_DETENTION_STINTS,MSC_CHARGE,number,2571975
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,MODEL_YEAR,date,2227941
ECONOMICS,ECONOMICS__FED_SBA_LOANS,BUSINESS_AGE,number,2174502
SCIENCE_RESEARCH,SCIENCE_RESEARCH__FED_NIH_REPORTER,CORE_PROJECT_NUM,number,2122611
SCIENCE_RESEARCH,SCIENCE_RESEARCH__FED_NIH_REPORTER,PROJECT_NUM,number,2122611
SCIENCE_RESEARCH,SCIENCE_RESEARCH__FED_NIH_REPORTER,SPENDING_CATEGORIES,number,2122611
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ACCOUNTING_PERIOD_MONTH,number,1983563
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,GROUP_EXEMPTION_NUM,number,1983563
ECONOMICS,ECONOMICS__FED_IRS_BMF,RULING_DATE,date,1974830
HEALTH,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,CUMULATIVE_YTD_CURRENT_MMWR_YEAR,date,1932840
HEALTH,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,CUMULATIVE_YTD_PREVIOUS_MMWR_YEAR,date,1932840
HEALTH,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,CURRENT_MMWR_YEAR,date,1932840
HEALTH,HEALTH__FED_CDC_NNDSS_WEEKLY_2024,REPORTING_AREA,number,1932840
HEALTH,HEALTH__FED_HRSA_NPDB,PAYMENT_NUMBER,number,1911185
JUSTICE,JUSTICE__FED_COURTLISTENER_INVESTMENTS,TRANSACTION_DATE_RAW,date,1901599
ENVIRONMENT,ENVIRONMENT__FED_NOAA_STORM_EVENTS,TOR_LENGTH,number,1780730
ENVIRONMENT,ENVIRONMENT__FED_NOAA_STORM_EVENTS,TOR_WIDTH,number,1780730
POLITICS,POLITICS__FED_FCC_LICENSING,ELIGIBILITY_RULE_NUM,number,1689338
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,FIRST_SERVED_TIMESTAMP,date,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,LAST_SERVED_TIMESTAMP,date,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_ARS,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_AUD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_BGN,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_BRL,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_CLP,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_CZK,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_DKK,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_EUR,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_GBP,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_HUF,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_ILS,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_INR,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_MXN,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_NZD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_PLN,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_RON,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_SEK,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_TWD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_USD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MAX_ZAR,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_ARS,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_AUD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_BGN,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_BRL,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_CLP,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_CZK,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_DKK,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_EUR,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_GBP,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_HUF,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_ILS,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_INR,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_MXN,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_NZD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_PLN,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_RON,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_SEK,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_TWD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_USD,number,1562870
EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,SPEND_RANGE_MIN_ZAR,number,1562870
OPEN_DATA,OPEN_DATA__XC_WAYBACK_DOJ_EPSTEIN,CAPTURE_TIMESTAMP_RAW,date,1537352
HEALTH,HEALTH__FED_CMS_PART_D_PRESCRIBERS,BENE_AVG_AGE,number,1416883
HEALTH,HEALTH__FED_CMS_PART_D_PRESCRIBERS,BENE_AVG_RISK_SCRE,number,1416883
HEALTH,HEALTH__FED_CMS_PART_D_PRESCRIBERS,OPIOID_LA_PRSCRBR_RATE,number,1416883
HEALTH,HEALTH__FED_CMS_PART_D_PRESCRIBERS,OPIOID_PRSCRBR_RATE,number,1416883
HEALTH,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,BENE_AVG_AGE,number,1296739
HEALTH,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,BENE_AVG_RISK_SCRE,number,1296739
HEALTH,HEALTH__FED_CMS_MEDICARE_PROVIDER,BENE_AVG_AGE,number,1296739
HEALTH,HEALTH__FED_CMS_MEDICARE_PROVIDER,BENE_AVG_RISK_SCRE,number,1296739
JUSTICE,JUSTICE__INTL_OPENSANCTIONS_DEFAULT,BIRTH_DATE,date,1281846
JUSTICE,JUSTICE__INTL_OPENSANCTIONS_DEFAULT,COUNTRIES,number,1281846
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,REVOCATION_DATE,date,1187367
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,REVOCATION_POSTING_DATE,date,1187367
TRANSPORT,TRANSPORT__FED_FRA_CASUALTIES,INCIDENT_MONTH,date,1150788
ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,SRC_YEAR,date,1029020
JUSTICE,JUSTICE__FED_FJC_IDB_APPELLATE,TAPE_YEAR,date,988183
JUSTICE,JUSTICE__FED_FJC_IDB_APPELLATE,TERMINATION_OR_PROCEDURAL_SUBMISSION,date,988183
ECONOMICS,ECONOMICS__FED_SBA_PPP,BUSINESS_AGE,number,968524
LABOR,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,ANNUAL_AVERAGE_EMPLOYEES,number,890934
LABOR,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,NAICS_YEAR,date,890934
LABOR,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,TOTAL_HOURS_WORKED,number,890934
FINANCE,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,FILE_NUM,number,866730
FINANCE,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,IMAGE_NUM,number,866730
FINANCE,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,TRANSACTION_DT,date,866730
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,COUNTRIES,number,814344
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,COUNTRIES,number,771315
LABOR,LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,ANNUAL_AVERAGE_EMPLOYEES,number,688649
LABOR,LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,NAICS_YEAR,date,688649
LABOR,LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,TOTAL_HOURS_WORKED,number,688649
