===== q09 (stmt 9) 131 rows
K | A | B | C | D | E | F | G1 | H | I | J
kid | 5493007XYP6TMCO8L243 | إل إم إي تريدينغ م.د.م.س | AE | LAPSED | 2026-06-06 00:05:35.370 Z | 2026-06-05 00:00:00.000 Z | 213800WAVVOPS85N2205 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 5493007XYP6TMCO8L243 | إل إم إي تريدينغ م.د.م.س | AE | LAPSED | 2026-06-06 00:05:35.370 Z | 2026-06-05 00:00:00.000 Z | 213800WAVVOPS85N2205 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 254900O7XOB7N7LENG84 | س بي ال انترناشيونال تريدينغ ش.م.ح | AE | LAPSED | 2026-06-11 13:30:00.024 Z | 2026-06-10 14:36:29.273 Z | 5493001KJTIIGC8Y1R12 | 3358008I6IEH1VUCXE19 | SBL ENERGY LIMITED [IN] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 254900O7XOB7N7LENG84 | س بي ال انترناشيونال تريدينغ ش.م.ح | AE | LAPSED | 2026-06-11 13:30:00.024 Z | 2026-06-10 14:36:29.273 Z | 5493001KJTIIGC8Y1R12 | 3358008I6IEH1VUCXE19 | SBL ENERGY LIMITED [IN] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 485100TJJ5MAH4VCVF30 | ЛУКОЙЛ Нефтохим Бургас АД | BG | LAPSED | 2020-02-07 00:00:00.000 Z | 2019-08-13 00:00:00.000 Z | 48510000JZ17NWGUA510 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 5493008CGNE47EJ89474 | EIGER SHIPPING SA | CH | LAPSED | 2025-11-17 13:36:01.070 Z | 2019-05-04 09:29:00.000 Z | 213800WAVVOPS85N2205 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300NGFIWUC9NJRJ44 | STEPPE TRADING SA | CH | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-07-09 23:17:00.000 Z | 213800WAVVOPS85N2205 | 213800JSZ2UUK4QQK694 | Публичное акционерное общество "Акционерная финансовая корпорация "Система" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 506700AUNEQF0C694855 | Sber Trading Swiss AG | CH | LAPSED | 2024-04-22 05:00:23.000 Z | 2022-07-13 00:00:00.000 Z | 506700LOLO7M6V0E4247 | 549300WE6TAF5EEWQS81 | Публичное акционерное общество "Сбербанк России" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 5493009Q8TVWEGQE5H68 | ABIGROVE LIMITED | CY | LAPSED | 2023-08-25 14:30:57.637 Z | 2022-08-02 00:00:00.000 Z | 213800WAVVOPS85N2205 | 213800OKDPTV6K4ONO53 | Публичное акционерное общество "Северсталь" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 9845007AC47F8H858B51 | AC MANAGEMENT COMPANY LIMITED | CY | LAPSED | 2023-01-03 17:36:21.000 Z | 2024-01-03 17:36:23.000 Z | 529900T8BM49AURSDO55 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300TBS8P1G7YT9554 | DAFNE LINE SHIPPING COMPANY LIMITED | CY | LAPSED | 2023-09-01 14:55:05.233 Z | 2022-12-07 00:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300DV9MBCETFDQK65 | GLOBAL CHALLENGE SHIPPING COMPANY LIMITED | CY | LAPSED | 2023-08-28 13:22:47.630 Z | 2022-12-07 00:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 8945000DJDGSDZ0FHT68 | LUKOIL INVESTMENTS CYPRUS LTD | CY | LAPSED | 2021-11-12 19:20:21.000 +0100 | 2019-02-02 10:17:04.000 +0100 | 529900F6BNUR3RJ2WH29 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 213800FEEFIWRLXDF608 | MEGAFON INVESTMENTS (CYPRUS) LIMITED | CY | LAPSED | 2021-05-06 15:23:55.863 Z | 2019-08-21 00:00:00.000 Z | 213800WAVVOPS85N2205 | 213800HE6VDVJWT85874 | ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "МЕГАФОН" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300W88RLKPUPT5X89 | MELSONDA HOLDINGS LIMITED | CY | LAPSED | 2023-09-01 13:35:30.240 Z | 2023-02-08 00:00:00.000 Z | 213800WAVVOPS85N2205 | 213800OKDPTV6K4ONO53 | Публичное акционерное общество "Северсталь" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300L1G21ZCED8UN98 | SBGB CYPRUS LIMITED | CY | LAPSED | 2023-08-28 13:04:28.633 Z | 2023-03-09 00:00:00.000 Z | 213800WAVVOPS85N2205 | 549300WE6TAF5EEWQS81 | Публичное акционерное общество "Сбербанк России" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | F68F5WN6OGTEHIP5ZT82 | SIB (CYPRUS) LIMITED | CY | LAPSED | 2023-09-05 16:02:05.020 Z | 2023-06-14 00:00:00.000 Z | 213800WAVVOPS85N2205 | 549300WE6TAF5EEWQS81 | Публичное акционерное общество "Сбербанк России" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 2549005D4COOXVIAJQ13 | TSP FINANCE COMPANY LTD | CY | LAPSED | 2025-12-24 13:30:00.020 Z | 2025-12-23 14:31:59.305 Z | 5493001KJTIIGC8Y1R12 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 254900XHIMTHLHK4JK65 | VTB Leasing (Europe) Limited | CY | LAPSED | 2022-05-05 12:27:15.574 Z | 2019-03-07 13:52:20.571 Z | 5493001KJTIIGC8Y1R12 | 253400V1H6ART1UQ0N98 | Банк ВТБ (публичное акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 315700X5BHKRJJG1TP95 | PILSEN STEEL s.r.o. | CZ | LAPSED | 2026-05-19 12:01:53.000 +0200 | 2021-05-17 00:00:00.000 +0100 | 315700LK78Z7C0WMIL03 | 25340076UP17XECUF417 | государственная корпорация развития "ВЭБ.РФ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300BKWHXYEXPV0328 | SBERBANK CIB (UK) LIMITED | GB | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-09-22 14:41:00.000 Z | 213800WAVVOPS85N2205 | 549300WE6TAF5EEWQS81 | Публичное акционерное общество "Сбербанк России" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 74OG4PIVJ3TT4O5NSN12 | VTB CAPITAL PLC | GB | LAPSED | 2023-06-16 00:11:29.920 Z | 2023-06-15 00:00:00.000 Z | 213800WAVVOPS85N2205 | 253400V1H6ART1UQ0N98 | Банк ВТБ (публичное акционерное общество) [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 74OG4PIVJ3TT4O5NSN12 | VTB CAPITAL PLC | GB | LAPSED | 2023-06-16 00:11:29.920 Z | 2023-06-15 00:00:00.000 Z | 213800WAVVOPS85N2205 | 253400V1H6ART1UQ0N98 | Банк ВТБ (публичное акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 254900LNPJ6HZDLTSJ15 | VTBC Asset Management International Limited | GG | LAPSED | 2022-09-28 13:33:52.556 Z | 2022-09-27 14:58:29.179 Z | 5493001KJTIIGC8Y1R12 | 253400V1H6ART1UQ0N98 | Банк ВТБ (публичное акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 213800IJGJFB3GND1T26 | ΤΡΑΠΕΖΑ ΣΑΝΤΕΡΑΤ ΙΡΑΝ | GR | LAPSED | 2024-10-25 00:05:26.890 Z | 2024-10-24 00:00:00.000 Z | 213800WAVVOPS85N2205 | 549300KBNGV4NYY3GE68 | BANK SADERAT IRAN [IR] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 529900YLHSF7E5PF9A73 | V-Dat Informatikai Szolgáltató és Kereskedelmi Korlátolt Felelősségü Társaság | HU | LAPSED | 2021-07-20 07:13:49.000 +0200 | 2020-04-04 15:49:17.000 +0200 | 5299000J2N45DDNE4Y28 | 549300WE6TAF5EEWQS81 | Публичное акционерное общество "Сбербанк России" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 253400N4L3NZNN7L9P55 | UNIVERSAL TELECOM MANAGEMENT | KY | LAPSED | 2024-03-27 09:15:32.250 +0300 | 2018-11-20 13:12:39.203 +0300 | 253400M18U5TB02TW421 | 253400WSS48YWMBUA688 | "Газпромбанк" (Акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 25490071D47DFCHOZ745 | VTB Capital Russia & CIS Equity Fund Ltd. | KY | LAPSED | 2022-05-05 12:27:15.574 Z | 2018-10-09 19:11:01.587 Z | 5493001KJTIIGC8Y1R12 | 253400V1H6ART1UQ0N98 | Банк ВТБ (публичное акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 2549003TD6LLFXE2E197 | VTB Capital Russia & CIS Fixed Income Fund Ltd. | KY | LAPSED | 2022-05-04 18:15:43.209 Z | 2018-10-11 11:34:34.307 Z | 5493001KJTIIGC8Y1R12 | 253400V1H6ART1UQ0N98 | Банк ВТБ (публичное акционерное общество) [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 213800WHCGP3NLXKU688 | ALFA-BANK JSC SB | KZ | LAPSED | 2025-07-18 12:57:57.540 Z | 2023-01-17 00:00:00.000 Z | 213800WAVVOPS85N2205 | 253400QWEQNERA6RJS29 | АКЦИОНЕРНОЕ ОБЩЕСТВО "АЛЬФА-БАНК" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 54930092VOQEBHRVRR40 | ALBUS SHIPPING LIMITED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2023-01-11 21:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300HP592ZBPX8ZQ58 | BORERAY SHIPPING LIMITED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-08-18 18:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300UHLMV4C8PJXC82 | ENSAY SHIPPING LIMITED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-08-18 18:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300IK6JC36UQF2U15 | HEADLINER MARITIME S.A. | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-05-17 18:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300TQK1L0OB4BLA83 | PABBAY SHIPPING LIMITED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-08-18 18:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300D5RCZXC01LFR21 | PURPOSEFUL CORPORATION | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-08-18 18:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 5493008SD1AMV0GACM32 | SCALPAY SHIPPING LIMITED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-08-18 18:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300T8W114GXW7VJ40 | SERAFINA ENTERPRISES INCORPORATED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-12-07 21:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300T8W114GXW7VJ40 | SERAFINA ENTERPRISES INCORPORATED | LR | LAPSED | 2023-07-31 17:11:36.903 Z | 2022-12-07 21:00:00.000 Z | 213800WAVVOPS85N2205 | 253400DYLWR5A6YAWJ69 | публичное акционерное общество "Современный коммерческий флот" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300X9D1GFNNYNLM74 | Burlington Properties S.A. | LU | LAPSED | 2023-08-09 12:04:00.000 Z | 2018-12-19 18:39:00.000 Z | 549300O897ZC5H7CY412 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300X9D1GFNNYNLM74 | Burlington Properties S.A. | LU | LAPSED | 2023-08-09 12:04:00.000 Z | 2018-12-19 18:39:00.000 Z | 549300O897ZC5H7CY412 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300JPG0LATOO6U958 | IFI Estates S.A. | LU | LAPSED | 2023-08-09 12:13:00.000 Z | 2018-12-20 08:39:00.000 Z | 549300O897ZC5H7CY412 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300JPG0LATOO6U958 | IFI Estates S.A. | LU | LAPSED | 2023-08-09 12:13:00.000 Z | 2018-12-20 08:39:00.000 Z | 549300O897ZC5H7CY412 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300UOZWP600U87905 | VH Estates S.A. | LU | LAPSED | 2023-08-09 11:18:00.000 Z | 2018-12-19 18:36:00.000 Z | 549300O897ZC5H7CY412 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300UOZWP600U87905 | VH Estates S.A. | LU | LAPSED | 2023-08-09 11:18:00.000 Z | 2018-12-19 18:36:00.000 Z | 549300O897ZC5H7CY412 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 259400K9K1EPHLZ2NJ95 | SIA "Severstal Distribution" | LV | LAPSED | 2024-09-07 11:06:24.000 +0200 | 2023-03-09 12:29:51.000 +0100 | 259400L3KBYEVNHEJF55 | 213800OKDPTV6K4ONO53 | Публичное акционерное общество "Северсталь" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 259400K9K1EPHLZ2NJ95 | SIA "Severstal Distribution" | LV | LAPSED | 2024-09-07 11:06:24.000 +0200 | 2023-03-09 12:29:51.000 +0100 | 259400L3KBYEVNHEJF55 | 213800OKDPTV6K4ONO53 | Публичное акционерное общество "Северсталь" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 724500W9R73O6ROR3K41 | LUKOIL Netherlands B.V. | NL | LAPSED | 2019-03-20 08:59:30.822 +0100 | 2019-05-08 14:56:26.617 +0200 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 724500W9R73O6ROR3K41 | LUKOIL Netherlands B.V. | NL | LAPSED | 2019-03-20 08:59:30.822 +0100 | 2019-05-08 14:56:26.617 +0200 | 724500A93Z8V1MJK5349 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300A5FRPFRLEC5B51 | LUKOIL ASIA PACIFIC PTE LTD | SG | LAPSED | 2026-04-15 11:46:28.000 Z | 2023-03-22 00:00:00.000 Z | 52990034RLKT0WSOAM90 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | OFN0ZNNV5C429N1M2228 | LUKOIL PAN AMERICAS, LLC | US | LAPSED | 2023-08-04 15:18:06.840 Z | 2022-05-20 12:03:00.000 Z | 5493001KJTIIGC8Y1R12 | 549300LCJ1UJXHYBWI24 | Публичное акционерное общество "Нефтяная компания "ЛУКОЙЛ" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 254900BMQPJ6UW1W1A04 | Integracion Afap S.A. | UY | LAPSED | 2022-05-05 12:27:15.574 Z | 2018-12-27 15:11:44.112 Z | 5493001KJTIIGC8Y1R12 | 52990049IEUGB01L0409 | Banco de Desarrollo Economico y Social de Venezuela [VE] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 5493005HEI4KQBOLWW87 | Cambay Services Limited | VG | LAPSED | 2023-08-03 19:54:58.478 +0200 | 2019-09-07 02:30:00.000 +0200 | 39120001KULK7200U106 | 213800OKDPTV6K4ONO53 | Публичное акционерное общество "Северсталь" [RU] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300TI4Z3BV40ZZS46 | Rayblue International Corp. | VG | LAPSED | 2023-08-03 20:23:37.246 +0200 | 2018-12-20 09:47:00.000 +0100 | 39120001KULK7200U106 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300TI4Z3BV40ZZS46 | Rayblue International Corp. | VG | LAPSED | 2023-08-03 20:23:37.246 +0200 | 2018-12-20 09:47:00.000 +0100 | 39120001KULK7200U106 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 549300A111N4Z3HU2S06 | SGI Investment Group Ltd. | VG | LAPSED | 2023-12-13 01:30:04.000 +0100 | 2023-12-13 13:13:25.000 +0100 | 5299000J2N45DDNE4Y28 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 549300A111N4Z3HU2S06 | SGI Investment Group Ltd. | VG | LAPSED | 2023-12-13 01:30:04.000 +0100 | 2023-12-13 13:13:25.000 +0100 | 5299000J2N45DDNE4Y28 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_ULTIMATELY_CONSOLIDATED_BY
kid | 5493000HYVYGGJD6WD50 | Watertight International Inc. | VG | LAPSED | 2023-08-03 19:48:39.779 +0200 | 2018-12-20 09:53:00.000 +0100 | 39120001KULK7200U106 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_DIRECTLY_CONSOLIDATED_BY
kid | 5493000HYVYGGJD6WD50 | Watertight International Inc. | VG | LAPSED | 2023-08-03 19:48:39.779 +0200 | 2018-12-20 09:53:00.000 +0100 | 39120001KULK7200U106 | 5493009YJ817TFZ7IY48 | Swiru Holding AG [CH] | IS_ULTIMATELY_CONSOLIDATED_BY
