-- S12 NTSB injury: per-aircraft injury pivot for US Part 121 flights, every balloon, and every aircraft with a lap child - extract for local math
EV_ID | NTSB_NO | EV_TYPE | EV_DATE | EV_CITY | EV_STATE | EV_COUNTRY | EV_HIGHEST_INJURY | AIRCRAFT_KEY | FAR_PART | ACFT_CATEGORY | ACFT_MAKE | ACFT_MODEL | REGIS_NO | DAMAGE | PHASE_FLT_SPEC | OPER_NAME | OWNER_ACFT | OPER_SCHED | OPER_PAX_CARGO | SITE_SEEING | TYPE_FLY | EV_ID | AIRCRAFT_KEY | CABI_F | CABI_S | CABI_M | CABI_N | FLIG_F | FLIG_S | FLIG_M | FLIG_N | PASS_F | PASS_S | PASS_M | PASS_N | LAPC_F | LAPC_S | LAPC_M | LAPC_N | LCHG
20081124X34243 | DCA08CA041 | ACC | 2008-02-17 | Washington | DC | USA | NONE | 1 | 121 | AIR | EMBRAER | ERJ170 | N828MD | MINR | None | REPUBLIC AIRLINES INC | Wells Fargo Bank | SCHD | PAX | N | None | 20081124X34243 | 1 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 76.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-11-03
20081124X34243 | DCA08CA041 | ACC | 2008-02-17 | Washington | DC | USA | NONE | 2 | 121 | AIR | AIRBUS | A319 | N752US | SUBS | None | US AIRWAYS INC | Wells Fargo Bank | SCHD | PAX | N | None | 20081124X34243 | 2 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 46.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-11-03
20080228X00243 | DFW08IA073 | INC | 2008-02-18 | Austin | TX | USA | NONE | 1 | 121 | AIR | McDonnell Douglas | MD-88 | N935DL | MINR | None | None | DELTA AIR LINES INC | SCHD | PAX | N | None | 20080228X00243 | 1 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 142.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080413X00464 | NYC08CA115 | ACC | 2008-02-23 | Valdosta | GA | USA | SERS | 1 | 121 | AIR | Boeing | 737-700 | N551WN | None | None | Southwest Airlines Co. | Wells Fargo Bank NW NA Trustee | SCHD | PAX | N | None | 20080413X00464 | 1 | 0.0000 | 1.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 98.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2023-06-12
20080305X00267 | LAX08IA065 | INC | 2008-02-24 | Las Vegas | NV | USA | MINR | 1 | 121 | AIR | BOEING | 737-300 | N648SW | None | None | Southwest Airlines Co. | Southwest Airlines Co. | SCHD | PAX | N | None | 20080305X00267 | 1 | 0.0000 | 0.0000 | 1.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 5.0000 | 132.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080312X00305 | DCA08IA044 | INC | 2008-02-26 | Jackson | WY | USA | MINR | 1 | 121 | AIR | Airbus Industrie | A320 | N442UA | MINR | None | United Air Lines | United Air Lines | SCHD | PAX | N | None | 20080312X00305 | 1 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 1.0000 | 118.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080307X00283 | DFW08IA074 | INC | 2008-03-01 | Dallas | TX | USA | NONE | 1 | 121 | AIR | BOEING | 737-7H4 | N741SA | MINR | None | SOUTHWEST AIRLINES CO | SOUTHWEST AIRLINES CO | SCHD | PAX | N | None | 20080307X00283 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 102.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080307X00283 | DFW08IA074 | INC | 2008-03-01 | Dallas | TX | USA | NONE | 2 | 121 | AIR | BOEING | 737-3H4 | N652SW | MINR | None | SOUTHWEST AIRLINES CO | SOUTHWEST AIRLINES CO | SCHD | PAX | N | None | 20080307X00283 | 2 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 132.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080509X00640 | DCA08IA048 | INC | 2008-03-22 | Richmond | VA | USA | NONE | 1 | 121 | AIR | Boeing | 757-200 | N921UW | MINR | None | US AIRWAYS INC | US Bank NA Trustee | SCHD | PAX | N | None | 20080509X00640 | 1 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 174.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2024-07-03
20080331X00404 | SEA08IA096 | INC | 2008-03-26 | Page | AZ | USA | NONE | 1 | 121 | AIR | Raytheon Aircraft Company | 1900D | N261GL | MINR | None | Great Lakes Aviation | Great Lakes Aviation | SCHD | PAX | N | None | 20080331X00404 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 11.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080404X00426 | DFW08IA087 | INC | 2008-03-27 | Houston | TX | USA | NONE | 1 | 121 | AIR | BOEING | 737-524 | N23661 | MINR | None | Continental Airlines Inc | Continental Airlines Inc | SCHD | PAX | N | None | 20080404X00426 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 113.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080403X00416 | DFW08LA088 | ACC | 2008-03-30 | Questa | NM | USA | SERS | 1 | 091 | BALL | Balloon Works | Firefly 9 | N72345 | DEST | None | None | Pueblo Balloon Company | None | None | Y | AOBV | 20080403X00416 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 5.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080722X01094 | NYC08CA156 | ACC | 2008-04-07 | Miami | FL | USA | SERS | 1 | 121 | AIR | Boeing | 737-823 | N947AN | None | None | None | American Airlines Inc. | SCHD | PAX | N | None | 20080722X01094 | 1 | 0.0000 | 1.0000 | 1.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 142.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080515X00681 | LAX08CA112 | ACC | 2008-04-13 | Buckeye | AZ | USA | SERS | 1 | 091 | BALL | Ultramagic | N-250 | N35EX | None | None | Hot Air Expeditions | Mars Leasing Co Inc | None | None | Y | OWRK | 20080515X00681 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 10.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20081003X63355 | ENG08IA022 | INC | 2008-04-20 | Newark | NJ | USA | NONE | 1 | 121 | AIR | BOEING | 747 | N704CK | MINR | None | KALITTA AIR LLC | Kalitta Air | SCHD | CARG | N | None | 20081003X63355 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 5.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080506X00598 | CHI08IA119 | INC | 2008-04-24 | Minneapolis | MN | USA | NONE | 1 | 121 | AIR | BOMBARDIER INC | CL600-2D24 | N918XJ | None | None | MESABA AVIATION INC | NORTHWEST AIRLINES INC | SCHD | PAX | N | None | 20080506X00598 | 1 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 76.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080506X00609 | SEA08LA119 | ACC | 2008-05-03 | Phoenix | AZ | USA | SERS | 1 | 091 | BALL | Cameron Balloons | C-100 | N6004K | MINR | None | Dwayne D Osborne | Sandra K Carter | None | None | N | PERS | 20080506X00609 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 1.0000 | 1.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080723X01111 | DCA08FA062 | ACC | 2008-05-19 | Pacific Ocean | None | USA | SERS | 1 | 121 | AIR | MCDONNELL DOUGLAS | DC10 | N720AX | None | None | Omni Air International | Omni DC-10 Leasing LLC | NSCH | PAX | N | None | 20080723X01111 | 1 | 0.0000 | 1.0000 | 2.0000 | 6.0000 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 2.0000 | 148.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20081003X63358 | ENG08IA027 | INC | 2008-05-21 | Miami | FL | USA | NONE | 1 | 129 | AIR | BOEING | MD-11F | EI-UPO | MINR | None | Alitalia Airlines | Alitalia Airlines | SCHD | CARG | N | None | 20081003X63358 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20081003X16303 | DCA08FA064 | ACC | 2008-05-27 | Dallas | TX | USA | SERS | 1 | 121 | AIR | EMBRAER | 140 | N816AE | None | None | American Airlines | American Airlines | SCHD | PAX | N | None | 20081003X16303 | 1 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 1.0000 | 0.0000 | 20.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080703X00974 | DCA08FA075 | ACC | 2008-06-14 | Raymond | PA | USA | NONE | 1 | 121 | AIR | DOUGLAS | MD-10 | N554FE | SUBS | None | FEDERAL EXPRESS CORP | FEDERAL EXPRESS CORP | NSCH | CARG | N | None | 20080703X00974 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20100608X35931 | ENG08IA051 | INC | 2008-06-27 | Phoenix (PHX) | AZ | USA | NONE | 1 | 121 | AIR | BOEING | 737 | N514AU | MINR | None | US AIRWAYS INC | 737 PORTFOLIO TRUST | SCHD | PAX | N | None | 20100608X35931 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080701X00963 | DCA08MA076 | ACC | 2008-06-28 | San Francisco | CA | USA | NONE | 1 | 121 | AIR | BOEING | 767 | N799AX | DEST | None | ABX Air | ABX Air, Inc | NSCH | CARG | N | None | 20080701X00963 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2024-12-11
20080720X01081 | NYC08LA234 | ACC | 2008-06-28 | Charlotte | NC | USA | NONE | 1 | 121 | AIR | Bombardier, Inc. | CL-600-2C10 | N725PS | SUBS | None | PSA Airlines Inc. | Wells Fargo Bank Northwest NA Trustee | SCHD | PAX | N | None | 20080720X01081 | 1 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 60.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080720X01081 | NYC08LA234 | ACC | 2008-06-28 | Charlotte | NC | USA | NONE | 2 | 121 | AIR | Bombardier, Inc. | CL-600-2B19 | N228PS | SUBS | None | PSA AIRLINES INC | Wells Fargo Bank Northwest NA Trustee | SCHD | PAX | N | None | 20080720X01081 | 2 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 45.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080917X01477 | LAX08CA209 | ACC | 2008-07-02 | Boulder | CO | USA | MINR | 1 | 091 | BALL | AEROSTAR INTERNATIONAL INC | S-77A | N9014W | SUBS | None | Tommy Cederlund | COLORADO ROCKY BALLOONING LLC | None | None | Y | AOBV | 20080917X01477 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 2.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080709X00995 | OPS08IA007 | INC | 2008-07-03 | Seattle | WA | USA | NONE | 1 | 121 | AIR | Boeing | 737-700 | N339AT | None | None | None | AirTran Holdings, Inc. | SCHD | PAX | N | None | 20080709X00995 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 120.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080709X00995 | OPS08IA007 | INC | 2008-07-03 | Seattle | WA | USA | NONE | 2 | 121 | AIR | Airbus Industrie | A330-200 | N857NW | None | None | None | NORTHWEST AIRLINES INC | SCHD | PAX | N | None | 20080709X00995 | 2 | 0.0000 | 0.0000 | 0.0000 | 9.0000 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 177.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080709X00994 | OPS08IA008 | INC | 2008-07-06 | New York | NY | USA | NONE | 2 | 129 | AIR | Boeing | 767-300 | CC-CXD | None | None | LAN Chile | None | SCHD | PAX | N | None | 20080709X00994 | 2 | 0.0000 | 0.0000 | 0.0000 | 10.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 156.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080709X00994 | OPS08IA008 | INC | 2008-07-06 | New York | NY | USA | NONE | 1 | 129 | AIR | Boeing | 737-300 | VP-CKW | None | None | CAYMAN AIRWAYS LTD | None | SCHD | PAX | N | None | 20080709X00994 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 112.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080808X01189 | CHI08IA182 | INC | 2008-07-07 | St. Louis | MO | USA | NONE | 1 | 121 | AIR | MCDONNELL DOUGLAS | MD-81 | N804ME | MINR | None | Midwest Airlines, Inc. | Midwest Airlines, Inc. | NSCH | PAX | N | None | 20080808X01189 | 1 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 43.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080908X01413 | MIA08CA146 | ACC | 2008-07-19 | Jamestown | RI | USA | SERS | 1 | 091 | BALL | Firefly | 7-15 | N2131Y | None | None | None | Randolph Riley | None | None | Y | OWRK | 20080908X01413 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 1.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080728X01118 | OPS08IA011 | INC | 2008-07-21 | Chicago | IL | USA | NONE | 2 | 121 | AIR | Embraer | 145 | N672AE | None | None | None | AMERICAN EAGLE AIRLINES | SCHD | PAX | N | None | 20080728X01118 | 2 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 43.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080729X01123 | DEN08IA123 | INC | 2008-07-24 | Denver | CO | USA | NONE | 1 | 129 | AIR | Airbus Industrie | A319-114 | C-FYJP | MINR | None | Centre Air Canada | Centre Air Canada | SCHD | PAX | N | None | 20080729X01123 | 1 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 94.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080812X01218 | ANC08IA092 | INC | 2008-07-29 | Anchorage | AK | USA | NONE | 1 | 121 | AIR | Saab-Scania AB (Saab) | SAAB 340B | N364PX | None | None | PENINSULA AIRWAYS INC | Turbo Lease | SCHD | PAX | N | None | 20080812X01218 | 1 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 6.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080822X01291 | CHI08CA227 | ACC | 2008-07-31 | Cook | MN | USA | NONE | 1 | 091 | BALL | Head Balloons, Inc. | AX9-118 | N3106K | DEST | None | None | None | None | None | N | PERS | 20080822X01291 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20081003X16340 | ENG08IA038 | INC | 2008-08-06 | Las Vegas | NV | USA | NONE | 1 | 121 | AIR | BOEING | 757 | N666DN | None | None | DELTA AIR LINES INC | Wilmington Trust Company | SCHD | PAX | N | None | 20081003X16340 | 1 | 0.0000 | 0.0000 | 0.0000 | 4.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 166.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2024-07-11
20081003X17330 | DFW08CA215 | ACC | 2008-08-14 | St. Louis | MO | USA | NONE | 1 | 121 | AIR | EMBRAER | EMB-145LR | N814HK | SUBS | None | TRANS STATES AIRLINES | Trans States Airlines | SCHD | PAX | N | None | 20081003X17330 | 1 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 33.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080822X01296 | SEA08LA182 | ACC | 2008-08-16 | San Francisco | CA | USA | SERS | 1 | 129 | AIR | BOEING | 777-300 | B-16710 | None | None | Eva Air | Eva Air | SCHD | PAX | N | None | 20080822X01296 | 1 | 0.0000 | 0.0000 | 0.0000 | 12.0000 | 0.0000 | 0.0000 | 0.0000 | 5.0000 | 0.0000 | 0.0000 | 0.0000 | 294.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080915X01460 | DFW08LA206 | ACC | 2008-08-17 | Mountain Grove | MO | USA | FATL | 1 | 091 | BALL | Balloon Works | Firefly 7-15 | N90897 | SUBS | None | None | Widwest Plumbing | None | None | N | PERS | 20080915X01460 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080829X01354 | OPS08IA014 | INC | 2008-08-28 | Atlantic Ocean | None | USA | NONE | 1 | 129 | AIR | Boeing | B744 | UKNOWN | None | None | TRANSAERO AIRLINES | Unknown | SCHD | PAX | N | None | 20080829X01354 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20080829X01354 | OPS08IA014 | INC | 2008-08-28 | Atlantic Ocean | None | USA | NONE | 2 | 121 | AIR | Boeing | B737-800 | N395DN | None | None | None | DELTA AIRLINES INC DFW BASE MAINTENANCE | SCHD | PAX | N | None | 20080829X01354 | 2 | 0.0000 | 0.0000 | 0.0000 | 3.0000 | 0.0000 | 0.0000 | 0.0000 | 2.0000 | 0.0000 | 0.0000 | 0.0000 | 152.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
20081003X42122 | MIA08CA176 | ACC | 2008-08-31 | Anderson | SC | USA | SERS | 1 | 091 | BALL | Cameron | ZL-60 | N61ZL | SUBS | None | Charles L. Walz | Charles L. Walz | None | None | N | PERS | 20081003X42122 | 1 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 1.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 2020-09-25
