-- S11 NTSB injury: people by kind of flight, aircraft category, year, US or not, person category and injury level (TOTL left out)
CTRY | GRP | CAT | YR | WHO | LVL | PEOPLE | AIRCRAFT | AIRCRAFT_WITH_ANY
US | 121 airline | AIR | 2008 | Flig | NONE | 121.0000 | 60 | 55
US | 121 airline | AIR | 2008 | Flig | SERS | 1.0000 | 60 | 1
US | 121 airline | AIR | 2008 | Pass | FATL | 0.0000 | 1 | 0
US | 121 airline | AIR | 2008 | Pass | MINR | 130.0000 | 7 | 6
US | 121 airline | AIR | 2008 | Pass | NONE | 4712.0000 | 53 | 51
US | 121 airline | AIR | 2008 | Pass | SERS | 6.0000 | 3 | 2
US | 121 airline | AIR | 2009 | Cabi | FATL | 2.0000 | 1 | 1
US | 121 airline | AIR | 2009 | Cabi | MINR | 19.0000 | 7 | 7
US | 121 airline | AIR | 2009 | Cabi | NONE | 113.0000 | 33 | 33
US | 121 airline | AIR | 2009 | Cabi | SERS | 9.0000 | 9 | 9
US | 121 airline | AIR | 2009 | Flig | FATL | 2.0000 | 42 | 1
US | 121 airline | AIR | 2009 | Flig | MINR | 3.0000 | 42 | 2
US | 121 airline | AIR | 2009 | Flig | NONE | 102.0000 | 42 | 38
US | 121 airline | AIR | 2009 | Flig | SERS | 2.0000 | 42 | 2
US | 121 airline | AIR | 2009 | Pass | FATL | 45.0000 | 2 | 1
US | 121 airline | AIR | 2009 | Pass | MINR | 10.0000 | 7 | 6
US | 121 airline | AIR | 2009 | Pass | NONE | 3893.0000 | 35 | 34
US | 121 airline | AIR | 2009 | Pass | SERS | 9.0000 | 6 | 5
US | 121 airline | AIR | 2010 | Cabi | MINR | 13.0000 | 4 | 4
US | 121 airline | AIR | 2010 | Cabi | NONE | 136.0000 | 44 | 44
US | 121 airline | AIR | 2010 | Cabi | SERS | 9.0000 | 9 | 9
(7073 rows; csv has all)
