n,company,domain,table,col,rows,distinct,sample
10,BANK OF AMERICA NATIONAL ASSOCIATION,money,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,4,1,BANK OF AMERICA NATIONAL  ASSOCIATION - PA DATA CENTER
11,GENERAL MOTORS,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,473,2,"GENERAL MOTORS COMPANY | GENERAL MOTORS FINANCIAL COMPANY, INC."
12,OZINGA BROS,environment,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,ADMIN_NAME,1,1,OZINGA BROS
13,UNITED TECHNOLOGIES,politics,POLITICS__FED_FEC_PAC_SUMMARY,COMMITTEE_NAME,3,3,PENN UNITED TECHNOLOGIES INC - CHRISTIAN HERITAGE PAC | UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE | UNITED TECHNOLOGIES CORPORATION
14,YALE NEW HAVEN HEALTH,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,EMPLOYER_NAME,1,1,YALE NEW HAVEN HEALTH
15,ASTELLAS PHARMA,health,HEALTH__FED_CLINICALTRIALS,LEAD_SPONSOR_NAME,916,13,"ASTELLAS PHARMA KOREA, INC. | ASTELLAS PHARMA S.R.O. | ASTELLAS PHARMA INTERNATIONAL B.V. | ASTELLAS PHARMA S.A.S. | ASTELLAS PHARMA INC | ASTELLAS PHARMA TAIWAN, INC."
16,ADVENTIST HEALTH SYSTEM,environment,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,3,3,ADVENTIST HEALTH SYSTEM UNPLATTED EASTERN PROPERTY | ADVENTIST HEALTH SYSTEM WEST | ADVENTIST HEALTH SYSTEM UNPLAT
17,COCA COLA ENTERPRISES,politics,POLITICS__IRS527_8871_ORGS,ORGANIZATION_NAME,2,1,COCA-COLA ENTERPRISES INC. EMPLOYEES PAC
18,GENERAL DYNAMICS,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_PARENT_NAME,53,1,GENERAL DYNAMICS CORP
19,CRH AMERICAS,politics,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,220,4,"CRH AMERICAS, INC | CRH AMERICAS MATERIALS INC | CRH AMERICAS MATERIALS, INC | CRH AMERICAS MATERIALS, INC."
20,HUNTINGTON NATIONAL BANK THE,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,24,1,"HUNTINGTON NATIONAL BANK, THE"
21,ERNST & YOUNG,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,244,180,"FARMERS COOPERATIVE CO. V. ERNST & YOUNG INC. (IN RE PETITION OF BIG SKY FARMS INC.) | ERNST & YOUNG V. DEPOSITORS ECONOMIC PROTECTION CORP. | REILLY V. ERNST & YOUNG, LLP | GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO V. ERNST & YOUNG | COHEN EX REL. FRIEDMAN'S CREDITOR TRUST V. ERNST & YOUNG, LLP (IN RE FRIEDMAN'S, INC.) | TRAVELERS CASUALTY & SURETY CO. V. ERNST & YOUNG LLP"
22,ALTRIA CLIENT,money,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES,RECIPIENT_NAME,28,13,"ALTRIA CLIENT SERVICES ""IN-KIND OFFSET"" | ALTRIA CLIENT SERVICES INC. | ALTRIA CLIENT SERVICES INC.-IN-KIND | ALTRIA CLIENT SERVICES, | ALTRIA CLIENT SERVICES-IN-KIND | ALTRIA CLIENT SERVICES"
23,VIIV HEALTHCARE,companies,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,1,1,VIIV HEALTHCARE TRADING SERVICES UK LIMITED
24,AMGEN,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME,621,382,"GARY JAFFE V. AMGEN INC | WHOLEY V. AMGEN INC. | JANE DOE V. AMGEN INC. | KURNIK V. AMGEN INC | SIMONIAN V. AMGEN, INC. | FOTI V. AMGEN INC"
25,GENENTECH,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,6,1,GENENTECH INC
26,KOCH,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,101,1,KOCH INC
27,REGENTS OF THE UNIVERSITY OF CALIFORNIA,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,COMPANY_NAME,17,1,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA
28,FAIRVIEW HEALTH,immigration,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_2,1,1,FAIRVIEW HEALTH SERVICES
29,HEALTH NET,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION,EMPLOYER_NAME,1,1,WM F RYAN COMMUNITY HEALTH NET
30,BOEING,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,16,1,BOEING
31,MARTIN MARIETTA MATERIALS,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,MARTIN MARIETTA MATERIALS INC
32,BECTON DICKINSON,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,10,1,BECTON DICKINSON & CO
33,CITY OF CHICAGO,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,2343,39,"CITY OF CHICAGO - DEPARTMENT OF AVIATION | CITY OF CHICAGO, ILLINOIS | BOARD OF EDUCATION OF THE CITY OF CHICAGO 299 | BOARD OF EDUCATION - CITY OF CHICAGO | CITY OF CHICAGO, IL | CHICAGO TRANSIT AUTHORITY  CITY OF CHICAGO"
34,HARTFORD INSURANCE,environment,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,5,3,HARTFORD INSURANCE GROUP PRINTING | HARTFORD INSURANCE | HARTFORD INSURANCE GROUP
35,NEUROCRINE BIOSCIENCES,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,PARENT_LEGAL_NAME,3,1,"NEUROCRINE BIOSCIENCES, INC."
36,CARGILL,transport,TRANSPORT__FED_FRA_CROSSING_INCIDENTS,HIGHWAY_NAME,1,1,PRIVATE-CARGILL INC
37,HEALTH NET,money,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,9,5,"HEALTH NET, INC. | HEALTH NET INC | HEALTH NET | HEALTH NET OF CALIFORNIA, INC. | HEALTH NET, INC. PAC"
38,HALLIBURTON ENERGY,environment,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,CLAIMANT_COMPANY,2557,11,"HALLIBURTON ENERGY SERVICES, INC | HALLIBURTON ENERGY SERVICES
 | HALLIBURTON ENERGY SERVICES, INC, | HALLIBURTON ENERGY SERVICES, LLC | HALLIBURTON ENERGY SERVUCES | HALLIBURTON ENERGY SERVISES"
39,GENERAL ELECTRIC,money,ECONOMICS__FED_SBA_PPP,SERVICING_LENDER_NAME,36,2,GENERAL ELECTRIC EMPL FCU | GENERAL ELECTRIC CU
40,KAISER FOUNDATION HEALTH PLAN,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,COMPANY_NAME,92,1,KAISER FOUNDATION HEALTH PLAN
41,CISCO SYSTEMS,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME,1,1,CISCO SYSTEMS INC
42,MR COOPER,environment,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,2,1,MR COOPER
43,ARCHER DANIELS MIDLAND,politics,POLITICS__CA_LOBBY_CHG_LOG,FILER_FULL_NAME,2,2,ARCHER DANIELS MIDLAND | ARCHER DANIELS MIDLAND COMPANY
44,PROVIDENCE HEALTH,health,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,PROVIDER_NAME,111,2,PROVIDENCE HEALTH CARE CENTER | PROVIDENCE HEALTH & REHAB CENTER
45,ABBVIE,health,HEALTH__FED_FDA_ESTABLISHMENT_REG,OWNER_OPERATOR_FIRM_NAME,86,2,"ABBVIE INC. | ABBVIE, INC."
46,BRISTOL MYERS SQUIBB,environment,ENERGY__FED_EIA860_3_5_MULTIFUEL,PLANT_NAME,4,2,BRISTOL MYERS SQUIBB NEW BRUNSWICK | BRISTOL MYERS SQUIBB LAWRENCEVILLE
47,WALMART STORES EAST,health,HEALTH__FED_CMS_NPPES,PARENT_ORGANIZATION_LBN,1,1,"WALMART STORES EAST, LP"
48,LEIDOS,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_NAME_RAW,47,1,"LEIDOS, INC."
49,MAYO CLINIC,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,370,8,MAYO CLINIC ROCHESTER (1702) | RESIDENCE INN BY MARRIOTT PHOENIX DESERT VIEW AT MAYO CLINIC | MAYO CLINIC MEDICAL TRANSPORTATION | MAYO CLINIC COLLEGE OF MEDICINE | MAYO CLINIC LABORATORIES | MAYO CLINIC ROCHESTER
50,U S BANCORP,money,ECONOMICS__FED_DOL_FORM5500,ADMIN_NAME,2,1,"U.S BANCORP FUND SERVICES, LLC"
51,CISCO SYSTEMS,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_DOING_BUSINESS_AS_NAME,1,1,CISCO SYSTEMS
52,WASTE MANAGEMENT,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,COMPANY_NAME,24,14,CASELLA WASTE MANAGEMENT OF MASSACHUSETTES | CASELLA WASTE MANAGEMENT OF NY INC | CASELLA WASTE MANAGEMENT/PLATTSBURGH | MONTEREY REGIONAL WASTE MANAGEMENT DISTRICT | POPE DOUGLAS SOLID WASTE MANAGEMENT | CARROLL COUNTY SOLID WASTE MANAGEMENT COMMISSION
53,PPG INDUSTRIES,companies,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,2,2,PPG INDUSTRIES (UK) PENSION TRUSTEE LIMITED | PPG INDUSTRIES (UK) LIMITED
54,LOCKHEED MARTIN,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,592,22,"LOCKHEED MARTIN SERVICES | LOCKHEED-MARTIN ADVANCED | LOCKHEED MARTIN MARITIME SYSTE | LOCKHEED MARTIN ACULIGHT CORPORATION | LOCKHEED MARTIN SERVICES  INC. | LOCKHEED MARTIN SERVICES, INC"
55,SIERRA NEVADA,environment,ENERGY__FED_EIA860_3_3_SOLAR,UTILITY_NAME,1,1,SIERRA NEVADA BREWING CO
56,KOCH INDUSTRIES,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,71,44,"TOSCO CORPORATION V. KOCH INDUSTRIES | KOCH INDUSTRIES, INC., CROSS-APPELLANT V. SUN COMPANY, INC., CROSS-APPELLEES, AND CHAMPLIN REFINING & CHEMICALS, INC., D | FED. SEC. L. REP. P 94,491 KOCH INDUSTRIES, INC. V. IRWIN LYON VOSKO, AND ARTHUR YOUNG & COMPANY, A PARTNERSHIP | EXPANDING ENERGY, INC. V. KOCH INDUSTRIES, INC. | INTERNATIONAL ALLIANCE GROUP AND TRITEN CORPORATION V. KOCH INDUSTRIES, IN"
57,NUCOR,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,2,1,NUCOR CORP
58,HUMANA,immigration,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_2,7,4,"HUMANA | HUMANA INC. | HUMANA, INC. | HUMANA INC"
59,CHEMONICS INTERNATIONAL,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,3,3,"ENVIRONMENT INTERNATIONAL LTD V. CHEMONICS INTERNATIONAL INC | LADD V. CHEMONICS INTERNATIONAL, INC. | ZENITH CAREX INTERNATIONAL LIMITED V. CHEMONICS INTERNATIONAL, INC."
60,SANOFI AVENTIS,health,HEALTH__FED_CMS_OPEN_PAYMENTS,APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_MAKING_PAYMENT_NAME,41766,1,SANOFI-AVENTIS U.S. LLC
61,PACIFICORP,environment,ENERGY__FED_EIA861_DEMAND_RESPONSE,UTILITY_NAME,3,1,PACIFICORP
62,NORTHWELL,health,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,DOING_BUSINESS_AS_NAME_OWNER,2,1,NORTHWELL INC.
63,KPMG,companies,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,2,2,KPMG HOLDING LIMITED | KPMG
64,UST GLOBAL,money,ECONOMICS__FED_IRS_990_EFILE_INDEX,TAXPAYER_NAME,9,1,UST GLOBAL FOUNDATION INC
65,ELI LILLY,environment,ENERGY__FED_EIA860_2_PLANT,UTILITY_NAME,1,1,ELI LILLY AND COMPANY
66,NATIONAL ASSOCIATION OF BROADCASTERS,justice,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,2,1,NATIONAL ASSOCIATION OF BROADCASTERS V. FCC
67,UNITED TECHNOLOGIES,environment,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,RESPONSIBLE_COMPANY,12,7,UNITED TECHNOLOGIES | UNITED TECHNOLOGIES CORP | UNITED TECHNOLOGIES AEROSPACE SYSTEMS | UNITED TECHNOLOGIES AUTO | UNITED TECHNOLOGIES CORPORATION | UNITED TECHNOLOGIES/PRATT
68,ELI LILLY,money,ECONOMICS__XC_WIKIPEDIA_LARGEST_US_COMPANIES,NAME,1,1,ELI LILLY
69,SANOFI AVENTIS,health,HEALTH__FED_FDA_ESTABLISHMENT_REG,OWNER_OPERATOR_FIRM_NAME,1,1,SANOFI-AVENTIS U.S. LLC
70,SPECIALIZED LOAN SERVICING,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,208,2,SPECIALIZED LOAN SERVICING LLC | SPECIALIZED LOAN SERVICING L
71,PRUDENTIAL FINANCIAL,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,2602,1,"PRUDENTIAL FINANCIAL, INC."
72,PRICEWATERHOUSECOOPERS,money,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES,RECIPIENT_NAME,5,1,PRICEWATERHOUSECOOPERS
73,AMERICAN EXPRESS,money,FINANCE__FED_FATCA_FFI,INSTITUTION_NAME,27,27,"AMERICAN EXPRESS SERVICES EUROPE LIMITED | AMERICAN EXPRESS EUROPE, S.A. - BRANCH - AUSTRIA | AMERICAN EXPRESS INTERNATIONAL (TAIWAN), INC. | AMERICAN EXPRESS (THAI) COMPANY LIMITED | AMERICAN EXPRESS SAUDI ARABIA (C) JSC | AMERICAN EXPRESS TOKUMEI KUMIAI"
74,LOCKHEED MARTIN,environment,ENERGY__FED_EIA860_2_PLANT,UTILITY_NAME,4,4,LOCKHEED MARTIN SOLAR SYSTEM | LOCKHEED MARTIN RMS SYRACUSE | LOCKHEED MARTIN RMS | LOCKHEED MARTIN CORPORATION
75,WEYERHAEUSER,environment,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,64,7,WEYERHAEUSER | WEYERHAEUSER CO  * | WEYERHAEUSER COMPANY | WEYERHAEUSER CORPORATION | WEYERHAEUSER CO. | WEYERHAEUSER INC.
76,GILEAD SCIENCES,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,MATCHED_LEGAL_NAME,40,1,"GILEAD SCIENCES, INC."
77,ECOLAB,environment,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_17_STANDARD_PARENT_CO_NAME,117,1,ECOLAB INC
78,WEGMANS FOOD MARKETS,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,COMPANY_NAME,1705,1,WEGMANS FOOD MARKETS INC
79,GENERAL MOTORS,companies,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,4,4,GENERAL MOTORS IT SERVICES (IRELAND) LIMITED | GENERAL MOTORS (IRELAND) LIMITED TO PRO | GENERAL MOTORS ACCEPTANCE CORPORATION (IRELAND) LIMITED | APP GENERAL MOTORS LIMITED
80,GOLDMAN SACHS,politics,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,76,3,GOLDMAN SACHS & CO | GOLDMAN SACHS GROUP INC | GOLDMAN SACHS
81,TITAN AMERICA,labor,LABOR__FED_MSHA_ACCIDENTS,CONTROLLER_NAME,2,1,TITAN AMERICA S A
82,AMERICAN BANKERS ASSOCIATION,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,5,1,AMERICAN BANKERS ASSOCIATION
83,BARCLAYS BANK DELAWARE,environment,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,1,1,BARCLAYS BANK DELAWARE
84,GLAXOSMITHKLINE,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,3,2,GLAXOSMITHKLINE INC | GLAXOSMITHKLINE LLC
85,TRACTOR SUPPLY,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,COMPANY_NAME,1973,1,TRACTOR SUPPLY COMPANY
86,OCCIDENTAL PETROLEUM,politics,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,103,1,OCCIDENTAL PETROLEUM CORPORATION
87,DOVER,environment,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,7,5,C LEE COOK DOVER CORP | DOVER CORP NORRIS DIV PUMP PLANT | DOVER CORP OPW DIVISION | DOVER CORP NORRIS DIV ELWOOD PLANT | DOVER CORP
88,PROVIDENCE HEALTH,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_NAME_RAW,1,1,PROVIDENCE HEALTH & SERVICES-WASHINGTON
89,LEGGETT & PLATT,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,37,1,LEGGETT & PLATT INC
90,CITIBANK,consumer,CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS,COMPANY,140887,1,"CITIBANK, N.A."
91,NEUROCRINE BIOSCIENCES,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,119,1,"NEUROCRINE BIOSCIENCES, INC."
92,GENERAL DYNAMICS,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,506,368,"HOLMES V. GENERAL DYNAMICS CORP. | LOCAL UNION 1302, UNITED BROTHERHOOD OF CARPENTERS & JOINERS V. ELECTRIC BOAT DIVISION, GENERAL DYNAMICS CORP. | GENERAL DYNAMICS CORPORATION V. CHARLES SACCHETTI, DECEASED, AND DIRECTOR, OFFICE OF WORKERS' COMPENSATION PROGRAMS, UNI | O'REILLY V. GENERAL DYNAMICS CORP. | MABUS V. GENERAL DYNAMICS C4 SYSTEMS, INC. | EQUAL EMPLOYMENT OPPORTUNITY COMMISSION V. GENE"
93,TEVA PHARMACEUTICALS,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,20,7,"TEVA PHARMACEUTICALS USA INC | TEVA PHARMACEUTICALS/ARANA THERAPEUTICS | TEVA PHARMACEUTICALS USA, INC. DBA BARR LABORATORIES, INC. | TEVA PHARMACEUTICALS USA, INC | TEVA PHARMACEUTICALS | TEVA PHARMACEUTICALS NEW BRITAIN DISTRIBUTION CENTER"
94,INTUIT,money,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,18329,19,INTUIT  INC. | INTUIT. | INTUIT | INTUIT. INC. | INTUIT CORPORATION | INTUIT CO.
95,ALLY FINANCIAL,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,ISSUER_NAME,640,1,ALLY FINANCIAL INC.
96,PARKER HANNIFIN,money,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_PARENT_NAME,38,3,PARKER-HANNIFIN CORPORATION | PARKER HANNIFIN CORPORATION | PARKER-HANNIFIN CORP
97,H E B,health,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,RNDRNG_PRVDR_LAST_ORG_NAME,2176,2,"H-E-B, LP | H-E-B LP"
98,EDISON ELECTRIC INSTITUTE,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,102,89,"NATURAL RESOURCES DEFENSE COUNCIL, INC., ET AL., PETITIONERS, V. UNITED STATES ENVIRONMENTAL PROTECTION AGENCY, RESPONDE | EDISON ELECTRIC INSTITUTE, PETITIONER, V. OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION, RESPONDENT | NATURAL RESOURCES DEFENSE COUNCIL, INC. V. ENVIRONMENTAL PROTECTION AGENCY CAROL M. BROWNER, ADMINISTRATOR, EPA, NATURAL | OCCIDENTAL CHEMICAL CORPORATION, AND PEOPLE OF THE S"
99,AEROSPACE,companies,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME,2,1,AEROSPACE HOLDINGS LIMITED
100,ALIGN TECHNOLOGY,health,HEALTH__FED_FDA_ESTABLISHMENT_REG,ESTABLISHMENT_NAME,51,4,"ALIGN TECHNOLOGY, LTD. | ALIGN TECHNOLOGY AFAB POLAND SP. Z O.O. | ALIGN TECHNOLOGY, INC. | ALIGN TECHNOLOGY DE COSTA RICA S.R.L"
101,ALBERTSONS,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,12,12,"ALBERTSONS, INC. V. ROSELLA J. HOWELLS | LOIS GAIL CATE V. ALBERTSONS, INC. | RACHEL ORTIZ AND JOHN DOWNES V. ALBERTSONS INC. | ALBERTSONS INC. V. THE HONORABLE RAUL RIVERA JUDGE | TIMOTHY ALLEN MARTIN V. ALBERTSONS, INC. | ALBERTSONS, INC. V. JTM MATERIALS, INC. AND STEVEN SHUTTLEWORTH"
102,AIRGAS,politics,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,23,1,"AIRGAS, INC."
103,AFFIRM,politics,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,68,1,"AFFIRM, INC."
104,CERNER,politics,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,66,2,CERNER CORP | CERNER CORPORATION
105,SAP AMERICA,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,3,1,SAP AMERICA INC
106,HUMANA,health,HEALTH__FED_CLINICALTRIALS,LEAD_SPONSOR_NAME,2,2,HUMANA INC. | HUMANA CO.LTD.
107,PROVIDENCE HEALTH,health,HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,NURSING_HOME_PROVIDER_NAME,2,2,PROVIDENCE HEALTH & REHAB CENTER | PROVIDENCE HEALTH CARE CENTER
108,APPLE,environment,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,251,206,"APPLE INC (UTC05) | APPLE INC (KF07) | APPLE INC (SC05) | APPLE, INC R069 | APPLE INC R720 | APPLE INC (MR14)"
109,TEXTRON,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,19,6,"TEXTRON INCORPORATED | TEXTRON INC. | TEXTRON INC | TEXTRON, INC. | TEXTRON CORP | TEXTRON"
110,LOCKHEED MARTIN,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_NAME_RAW,13,3,"LOCKHEED MARTIN CORPORATION | LOCKHEED MARTIN COHERENT TECHNOLOGIES, INC. | LOCKHEED MARTIN CORP"
111,CUMMINS,politics,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,REGISTRANT_NAME,33,1,"CUMMINS, INC."
112,DE LA CRUZ,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,12,2,"MARIA DE LA CRUZ MAGOWAN | DE LA CRUZ, SHARON R"
113,TEVA PHARMACEUTICALS,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,171,1,"TEVA PHARMACEUTICALS USA, INC."
114,EDISON ELECTRIC INSTITUTE,politics,POLITICS__CA_LOBBY_CHG_LOG,ENTITY_NAME,2,1,EDISON ELECTRIC INSTITUTE
115,PRUDENTIAL FINANCIAL,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION,EMPLOYER_NAME,6,3,PRUDENTIAL FINANCIAL INCE | PRUDENTIAL FINANCIAL SEC. | PRUDENTIAL FINANCIAL
116,HONEYWELL INTERNATIONAL,politics,POLITICS__CA_LOBBY_COVER,FIRM_NAME,37,1,HONEYWELL INTERNATIONAL INC.
117,ENCORE MEDICAL,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,77,2,CHATTANOOGA GROUP A DIVISION OF ENCORE MEDICAL | ENCORE MEDICAL LIMITED PARTNERSHIP
118,LOCKHEED MARTIN,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,19,1,LOCKHEED MARTIN CORP
