core,pattern,n_lists,lists,cik,raw_names
SELF FINANCIAL,SELF\s+FINANCIAL,1,complaints,,Self Financial Inc.
SERVICE EMPLOYEES INTERNATIONAL UNION,SERVICE\s+EMPLOYEES\s+INTERNATIONAL\s+UNION,1,pacs,,SERVICE EMPLOYEES INTERNATIONAL UNION
SHELL USA INC FKA SHELL OIL,SHELL\s+USA\s+INC\s+FKA\s+SHELL\s+OIL,1,lobbying,,"SHELL USA, INC. (FKA SHELL OIL COMPANY)"
SHELLPOINT PARTNERS,SHELLPOINT\s+PARTNERS,1,complaints,,"Shellpoint Partners, LLC"
SHERWIN WILLIAMS,SHERWIN\s+WILLIAMS,1,toxic_release,89800,THE SHERWIN-WILLIAMS CO
SI BONE,SI\s+BONE,1,doctor_payments,1459839,"SI-BONE, INC."
SIEMENS MEDICAL SOLUTIONS,SIEMENS\s+MEDICAL\s+SOLUTIONS,1,doctor_payments,,"Siemens Medical Solutions USA, Inc."
SIERRA NEVADA,SIERRA\s+NEVADA,1,contracts,,"SIERRA NEVADA COMPANY, LLC"
SKYE ORTHOBIOLOGICS,SKYE\s+ORTHOBIOLOGICS,1,doctor_payments,,Skye Orthobiologics LLC
SLK AMERICA,SLK\s+AMERICA,1,visas,,"SLK AMERICA, INC."
SMITH NEPHEW,SMITH\s+NEPHEW,1,doctor_payments,,"Smith+Nephew, Inc."
SMYRNA READY MIX,SMYRNA\s+READY\s+MIX,1,toxic_release,,SMYRNA READY MIX LLC
SODEXO,SODEXO,1,injuries,,Sodexo  Inc.
SOUTHERN,SOUTHERN,1,lobbying,92122,SOUTHERN COMPANY
SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16,SOUTHERN\s+CALIFORNIA\s+PIPE\s+TRADES\s+DISTRICT\s+COUNCIL\s+16,1,pacs,,SOUTHERN CALIFORNIA PIPE TRADES DISTRICT COUNCIL 16
SOUTHWEST AIRLINES,SOUTHWEST\s+AIRLINES,1,injuries,92380,Southwest Airlines
SPACE EXPLORATION TECHNOLOGIES,SPACE\s+EXPLORATION\s+TECHNOLOGIES,1,contracts,1181412,SPACE EXPLORATION TECHNOLOGIES CORP.
SPALDING,SPALDING,1,pacs,,SPALDING
SPECIALIZED LOAN SERVICING,SPECIALIZED\s+LOAN\s+SERVICING,1,complaints,,Specialized Loan Servicing Holdings LLC
SPRING OAKS CAPITAL,SPRING\s+OAKS\s+CAPITAL,1,complaints,,"Spring Oaks Capital, LLC"
STATE OF CALIFORNIA CONTROLLERS OFFICE,STATE\s+OF\s+CALIFORNIA\s+CONTROLLERS\s+OFFICE,1,contracts,,STATE OF CALIFORNIA CONTROLLERS OFFICE
STATE OF LOC NATION GLOBAL PUBLIC BENEFIT,STATE\s+OF\s+LOC\s+NATION\s+GLOBAL\s+PUBLIC\s+BENEFIT,1,lobbying,,STATE OF LOC NATION GLOBAL PUBLIC BENEFIT CORPORATION
STOP AND SHOP,STOP\s+AND\s+SHOP,1,injuries,,Stop And Shop
STRAUMANN,STRAUMANN,1,doctor_payments,,Straumann USA LLC
STRYKER,STRYKER,1,doctor_payments,310764,Stryker Corporation
SUMMIT MATERIALS,SUMMIT\s+MATERIALS,1,toxic_release,,SUMMIT MATERIALS LLC
SUNTRUST BANKS,SUNTRUST\s+BANKS,1,complaints,,"SUNTRUST BANKS, INC."
SYNCHRONY FINANCIAL,SYNCHRONY\s+FINANCIAL,1,complaints,1601712,SYNCHRONY FINANCIAL
SYNECHRON,SYNECHRON,1,visas,,"SYNECHRON, INC."
SYNTEL,SYNTEL,1,visas,,SYNTEL INC
TAIHEIYO CEMENT,TAIHEIYO\s+CEMENT,1,toxic_release,,TAIHEIYO CEMENT USA INC
TAKEDA PHARMACEUTICALS,TAKEDA\s+PHARMACEUTICALS,1,doctor_payments,,"Takeda Pharmaceuticals U.S.A., Inc."
TARGET,,1,injuries,27419,Target
TATA CONSULTANCY,TATA\s+CONSULTANCY,1,visas,,TATA CONSULTANCY SERVICES LIMITED
TD,TD\s+BANK\s+US\s+HOLDING\s+COMPANY,1,complaints,,TD BANK US HOLDING COMPANY
TEACH FOR AMERICA,TEACH\s+FOR\s+AMERICA,1,lobbying,,TEACH FOR AMERICA
TECH MAHINDRA AMERICAS,TECH\s+MAHINDRA\s+AMERICAS,1,visas,,"TECH MAHINDRA (AMERICAS) INC. | TECH MAHINDRA (AMERICAS), INC. | TECH MAHINDRA (AMERICAS),INC."
TEVA PHARMACEUTICALS,TEVA\s+PHARMACEUTICALS,1,doctor_payments,,"Teva Pharmaceuticals USA, Inc."
THOMAS CONCRETE,THOMAS\s+CONCRETE,1,toxic_release,,THOMAS CONCRETE INC
TITAN AMERICA,TITAN\s+AMERICA,1,toxic_release,,TITAN AMERICA LLC
TITAN II,TITAN\s+II,1,contracts,,TITAN II INC.
TOYOTA MANUFACTURING,TOYOTA\s+MANUFACTURING,1,injuries,,Toyota Manufacturing
TOYOTA MOTOR CREDIT,TOYOTA\s+MOTOR\s+CREDIT,1,complaints,,TOYOTA MOTOR CREDIT CORPORATION
TOYOTA MOTOR NORTH AMERICA INC TMA,TOYOTA\s+MOTOR\s+NORTH\s+AMERICA\s+INC\s+TMA,1,lobbying,,TOYOTA MOTOR NORTH AMERICA INC (TMA)
TRACTOR SUPPLY,TRACTOR\s+SUPPLY,1,injuries,,Tractor Supply Company
TRADER JOE S,TRADER\s+JOE\s+S,1,injuries,,Trader Joe's
TRANSDEV,TRANSDEV,1,injuries,,Transdev
TRANSUNION INTERMEDIATE,TRANSUNION\s+INTERMEDIATE,1,complaints,,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
TRANSWORLD SYSTEMS,TRANSWORLD\s+SYSTEMS,1,complaints,,TRANSWORLD SYSTEMS INC
TRIAD NATIONAL SECURITY,TRIAD\s+NATIONAL\s+SECURITY,1,contracts,,TRIAD NATIONAL SECURITY  LLC
TRINITY INDUSTRIES,TRINITY\s+INDUSTRIES,1,toxic_release,99780,TRINITY INDUSTRIES INC
TRIWEST HEALTHCARE ALLIANCE,TRIWEST\s+HEALTHCARE\s+ALLIANCE,1,contracts,,TRIWEST HEALTHCARE ALLIANCE CORP
TYSON FOODS,TYSON\s+FOODS,1,toxic_release,100493,TYSON FOODS INC
U S CHAMBER INSTITUTE FOR LEGAL REFORM,U\s+S\s+CHAMBER\s+INSTITUTE\s+FOR\s+LEGAL\s+REFORM,1,lobbying,,U S CHAMBER INSTITUTE FOR LEGAL REFORM
UA UNION PLUMBERS & PIPEFITTERS VOTE PAC UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA,UA\s+UNION\s+PLUMBERS\s+&\s+PIPEFITTERS\s+VOTE\s+PAC\s+UNITED\s+ASSOCIATION\s+OF\s+JOURNEYMEN\s+AND\s+APPRENTICES\s+OF\s+THE\s+PLUMBING\s+&\s+PIPEFITTING\s+INDUSTRY\s+OF\s+THE\s+UNITED\s+STATES\s+AND\s+CANADA,1,pacs,,UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA)
UBER TECHNOLOGIES,UBER\s+TECHNOLOGIES,1,visas,1543151,"UBER TECHNOLOGIES, INC."
UCB,UCB,1,doctor_payments,,"UCB, Inc."
UNION PACIFIC,UNION\s+PACIFIC,1,lobbying,100885,UNION PACIFIC CORPORATION
UNITED LAUNCH ALLIANCE,UNITED\s+LAUNCH\s+ALLIANCE,1,contracts,,"UNITED LAUNCH ALLIANCE, L.L.C"
UNITED PARCEL,UNITED\s+PARCEL,1,injuries,1090727,United Parcel Service Inc
UNITED SERVICES AUTOMOBILE ASSOCIATION,UNITED\s+SERVICES\s+AUTOMOBILE\s+ASSOCIATION,1,complaints,,UNITED SERVICES AUTOMOBILE ASSOCIATION
UNITED TECHNOLOGIES,UNITED\s+TECHNOLOGIES,1,toxic_release,,UNITED TECHNOLOGIES CORP
UNITEDHEALTH,UNITEDHEALTH,1,contracts,731766,UNITEDHEALTH GROUP INCORPORATED
UNIVAR SOLUTIONS,UNIVAR\s+SOLUTIONS,1,toxic_release,,UNIVAR SOLUTIONS USA INC
UNIVERSITY OF MICHIGAN,UNIVERSITY\s+OF\s+MICHIGAN,1,visas,,UNIVERSITY OF MICHIGAN
UNIVERSITY OF PITTSBURGH MEDICAL CENTER,UNIVERSITY\s+OF\s+PITTSBURGH\s+MEDICAL\s+CENTER,1,injuries,,University of Pittsburgh Medical Center
UPS UNITED PARCEL,UPS\s+UNITED\s+PARCEL,1,lobbying,,UPS (UNITED PARCEL SERVICE)
US DEPARTMENT OF DEFENSE,US\s+DEPARTMENT\s+OF\s+DEFENSE,1,toxic_release,,US DEPARTMENT OF DEFENSE
US DEPARTMENT OF HOMELAND SECURITY,US\s+DEPARTMENT\s+OF\s+HOMELAND\s+SECURITY,1,toxic_release,,US DEPARTMENT OF HOMELAND SECURITY
US DEPARTMENT OF JUSTICE,US\s+DEPARTMENT\s+OF\s+JUSTICE,1,toxic_release,,US DEPARTMENT OF JUSTICE
US DEPARTMENT OF THE INTERIOR,US\s+DEPARTMENT\s+OF\s+THE\s+INTERIOR,1,toxic_release,,US DEPARTMENT OF THE INTERIOR
US FOODS,US\s+FOODS,1,injuries,1665918,US Foods
US POSTAL,US\s+POSTAL,1,injuries,,US Postal Service
US TENNESSEE VALLEY AUTHORITY,US\s+TENNESSEE\s+VALLEY\s+AUTHORITY,1,toxic_release,,US TENNESSEE VALLEY AUTHORITY
UST GLOBAL,UST\s+GLOBAL,1,visas,,UST GLOBAL INC.
UT BATTELLE,UT\s+BATTELLE,1,contracts,,UT-BATTELLE LLC
UTILITY WORKERS UNION OF AMERICA THE UNION,UTILITY\s+WORKERS\s+UNION\s+OF\s+AMERICA\s+THE\s+UNION,1,pacs,,UTILITY WORKERS UNION OF AMERICA (THE UNION)
V SOFT CONSULTING,V\s+SOFT\s+CONSULTING,1,visas,,"V-SOFT CONSULTING GROUP, INC"
VERIZON COMMUNICATIONS INC AND VARIOUS,VERIZON\s+COMMUNICATIONS\s+INC\s+AND\s+VARIOUS,1,lobbying,,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES
VIIV HEALTHCARE,VIIV\s+HEALTHCARE,1,doctor_payments,,ViiV Healthcare Company
VIRTUSA,VIRTUSA,1,visas,,VIRTUSA CORPORATION
VISA,VISA\s+INC,1,lobbying,1403161,"VISA, INC."
VMWARE,VMWARE,1,visas,,"VMWARE, INC."
VULCAN MATERIALS,VULCAN\s+MATERIALS,1,toxic_release,1396009,VULCAN MATERIALS CO
WAL MART ASSOCIATES,WAL\s+MART\s+ASSOCIATES,1,visas,,"WAL-MART ASSOCIATES, INC."
WAL MART STORES EAST,WAL\s+MART\s+STORES\s+EAST,1,injuries,,"Wal-Mart Stores East, LP"
WALMART STORES EAST,WALMART\s+STORES\s+EAST,1,injuries,,WalMart Stores East LP
WALMART STORES TEXAS,WALMART\s+STORES\s+TEXAS,1,injuries,,WalMart Stores Texas LLC
WALT DISNEY,WALT\s+DISNEY,1,injuries,1744489,The Walt Disney Company
WASTE MANAGEMENT,WASTE\s+MANAGEMENT,1,lobbying,823768,"WASTE MANAGEMENT, INC."
WAWA,WAWA,1,injuries,,Wawa
WEGMANS FOOD MARKETS,WEGMANS\s+FOOD\s+MARKETS,1,injuries,,Wegmans Food Markets Inc
WESTLAKE,WESTLAKE,1,complaints,1262823,"Westlake Services, LLC"
WEYERHAEUSER,WEYERHAEUSER,1,toxic_release,106535,WEYERHAEUSER CO
WICO,WICO,1,contracts,,WICO LIMITED
WILLIAMS,,1,pacs,,WILLIAMS
WINCO FOODS,WINCO\s+FOODS,1,injuries,,WINCO FOODS
WIPRO,WIPRO,1,visas,1123799,WIPRO LIMITED
WM,,1,injuries,,WM
XPO LOGISTICS FREIGHT,XPO\s+LOGISTICS\s+FREIGHT,1,injuries,,XPO Logistics Freight Inc.
YALE NEW HAVEN HEALTH,YALE\s+NEW\s+HAVEN\s+HEALTH,1,injuries,,Yale New Haven Health
ZACHRY,ZACHRY,1,pacs,,ZACHRY HOLDINGS INC.
ZIMMER BIOMET,ZIMMER\s+BIOMET,1,doctor_payments,1136869,"Zimmer Biomet Holdings, Inc."
ZS ASSOCIATES,ZS\s+ASSOCIATES,1,visas,,"ZS ASSOCIATES, INC."
