core,pattern,n_lists,lists,cik,raw_names
AMERICAN BANKERS ASSOCIATION,AMERICAN\s+BANKERS\s+ASSOCIATION,1,lobbying,,AMERICAN BANKERS ASSOCIATION
AMERICAN BANKERS ASSOCIATION BANKPAC,AMERICAN\s+BANKERS\s+ASSOCIATION\s+BANKPAC,1,pacs,,AMERICAN BANKERS ASSOCIATION BANKPAC
AMERICAN BANKERS ASSOCIATION PAC BANKPAC,AMERICAN\s+BANKERS\s+ASSOCIATION\s+PAC\s+BANKPAC,1,pacs,,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)
AMERICAN CHEMISTRY COUNCIL,AMERICAN\s+CHEMISTRY\s+COUNCIL,1,lobbying,,AMERICAN CHEMISTRY COUNCIL
AMERICAN COUNCIL OF LIFE INSURERS,AMERICAN\s+COUNCIL\s+OF\s+LIFE\s+INSURERS,1,lobbying,,AMERICAN COUNCIL OF LIFE INSURERS
AMERICAN EXPRESS,AMERICAN\s+EXPRESS,1,complaints,4962,AMERICAN EXPRESS COMPANY
AMERICAN HOSPITAL ASSOCIATION,AMERICAN\s+HOSPITAL\s+ASSOCIATION,1,lobbying,,AMERICAN HOSPITAL ASSOCIATION
AMERICAN MARITIME OFFICERS,AMERICAN\s+MARITIME\s+OFFICERS,1,pacs,,AMERICAN MARITIME OFFICERS
AMERICAN MED RESPONSEGLOBAL MED RESPONSE 015025,AMERICAN\s+MED\s+RESPONSEGLOBAL\s+MED\s+RESPONSE\s+015025,1,injuries,,AMERICAN MED RESPONSEGLOBAL MED RESPONSE 015025
AMERICAN MEDICAL ASSOCIATION,AMERICAN\s+MEDICAL\s+ASSOCIATION,1,lobbying,,AMERICAN MEDICAL ASSOCIATION
AMERICAN PETROLEUM INSTITUTE,AMERICAN\s+PETROLEUM\s+INSTITUTE,1,lobbying,,AMERICAN PETROLEUM INSTITUTE
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,AMERICAN\s+PROPERTY\s+CASUALTY\s+INSURANCE\s+ASSOCIATION,1,pacs,,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION
ANGIODYNAMICS,ANGIODYNAMICS,1,doctor_payments,1275187,"AngioDynamics, Inc."
APPLE,APPLE\s+INC,1,visas,320193,APPLE INC.
ARAMARK,ARAMARK,1,injuries,1584509,Aramark
ARCHER DANIELS MIDLAND,ARCHER\s+DANIELS\s+MIDLAND,1,toxic_release,7084,ARCHER DANIELS MIDLAND CO
ARCTIC SLOPE REGIONAL,ARCTIC\s+SLOPE\s+REGIONAL,1,contracts,,ARCTIC SLOPE REGIONAL CORPORATION
ARGOS,ARGOS,1,toxic_release,,ARGOS USA CORP
ARTHREX,ARTHREX,1,doctor_payments,,"Arthrex, Inc."
ASHLAND,ASHLAND,1,toxic_release,1674862,ASHLAND INC
ASKLEPIOS BIOPHARMACEUTICAL,ASKLEPIOS\s+BIOPHARMACEUTICAL,1,doctor_payments,,Asklepios Biopharmaceutical Inc.
ASSOCIATED BUILDERS AND CONTRACTORS,ASSOCIATED\s+BUILDERS\s+AND\s+CONTRACTORS,1,lobbying,,ASSOCIATED BUILDERS AND CONTRACTORS INC
ASSOCIATION OF AMERICAN RAILROADS,ASSOCIATION\s+OF\s+AMERICAN\s+RAILROADS,1,lobbying,,ASSOCIATION OF AMERICAN RAILROADS
ASTELLAS PHARMA,ASTELLAS\s+PHARMA,1,doctor_payments,,Astellas Pharma US Inc
