company,domain,table,key,col,rows
3M,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,1
3M,money,ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS,EIN,EIN,1
3M,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_UEI,10
3M,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_PARENT_UEI,10
3M,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,8
3M,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,8
3M,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,38
3M,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,15
3M,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,755
3M,money,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,CIK,OWNER_CIK,3
3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_UEI,4783
3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_PARENT_UEI,4786
3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,17002
3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,15656
3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,85576
3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,81012
3M,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,UEI,RECIPIENT_UEI,270
3M,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,UEI,RECIPIENT_PARENT_UEI,253
3M,science,SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS,UEI,UEI,14
AbbVie,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,CIK,PARENT_CIK,10
AbbVie,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,3
AbbVie,labor,LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB,EIN,SB_EIN,2
AbbVie,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,EIN,EIN,2
AbbVie,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,EIN,EIN,2
AbbVie,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,EIN,EIN,2
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
AbbVie,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,1
AbbVie,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,1
AbbVie,money,ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS,EIN,EIN,2
AbbVie,money,ECONOMICS__FED_US_SEC_EDGAR,CIK,CIK,1001
AbbVie,money,ECONOMICS__FED_US_SEC_EDGAR,EIN,EIN,1001
AbbVie,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_UEI,1
AbbVie,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_PARENT_UEI,1
AbbVie,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,8
AbbVie,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,8
AbbVie,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,24
AbbVie,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,36
AbbVie,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,579
AbbVie,money,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,CIK,OWNER_CIK,3
AbbVie,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_UEI,202
AbbVie,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_PARENT_UEI,13
AbbVie,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,645
AbbVie,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,367
AbbVie,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,2587
AbbVie,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,1373
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
Alliance Resource Partners,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,1
Alliance Resource Partners,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,1
Alliance Resource Partners,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,8
Alliance Resource Partners,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,8
Alliance Resource Partners,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,12
Alliance Resource Partners,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,11
Alliance Resource Partners,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,474
Alliance Resource Partners,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,1
Alliance Resource Partners,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,1
Alliance Resource Partners,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,4
Alliance Resource Partners,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,3
Amazon,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,CIK,PARENT_CIK,59
Amazon,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,2
Amazon,money,ECONOMICS__FED_SEC_EDGAR,CIK,CIK,10
Amazon,money,ECONOMICS__FED_SEC_EDGAR,EIN,EIN,10
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
Amazon,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
Amazon,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,1
Amazon,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,1
Amazon,money,ECONOMICS__FED_US_SEC_EDGAR,CIK,CIK,1004
Amazon,money,ECONOMICS__FED_US_SEC_EDGAR,EIN,EIN,1004
Amazon,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_UEI,7
Amazon,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_PARENT_UEI,7
Amazon,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,8
Amazon,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,8
Amazon,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,12
Amazon,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,11
Amazon,money,FINANCE__FED_SEC_13F_SUBMISSIONS,CIK,CIK,15
Amazon,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,695
Amazon,money,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,CIK,OWNER_CIK,14
Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_UEI,330
Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_PARENT_UEI,330
Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,1122
Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,1121
Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,2846
Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,2845
Amazon,science,SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS,UEI,UEI,2
Bank of America,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,1
Bank of America,labor,LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB,EIN,SB_EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
Bank of America,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,17
Bank of America,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,17
Bank of America,money,ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS,EIN,EIN,1
Bank of America,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,8
Bank of America,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,8
Bank of America,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,46
Bank of America,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,16
Bank of America,money,FINANCE__FED_SEC_13F_SUBMISSIONS,CIK,CIK,54
Bank of America,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,761
Bank of America,money,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,CIK,OWNER_CIK,274
Bank of America,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_UEI,4
Bank of America,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,211
Bank of America,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,213
Bank of America,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,930
Bank of America,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,938
Bank of America,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,UEI,RECIPIENT_UEI,5
Bank of America,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,UEI,RECIPIENT_PARENT_UEI,12
Boeing,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,5
Boeing,labor,LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB,EIN,SB_EIN,11
Boeing,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2025,EIN,EIN,147
Boeing,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,EIN,EIN,77
Boeing,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,EIN,EIN,78
Boeing,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2024,EIN,EIN,78
Boeing,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,EIN,EIN,53
Boeing,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,EIN,EIN,59
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,2
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,2
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
Boeing,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
Boeing,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,2
Boeing,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,2
Boeing,money,ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS,EIN,EIN,10
Boeing,money,PROCUREMENT__FED_USASPENDING_BULK,UEI,RECIPIENT_UEI,8
Boeing,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,9
Boeing,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,9
Boeing,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,40
Boeing,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,20
Boeing,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,862
Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_UEI,15042
Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_PARENT_UEI,3118
Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,58286
Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,9971
Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,277782
Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,52959
Boeing,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,UEI,RECIPIENT_UEI,271
Boeing,science,SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS,UEI,UEI,5
CVS Health,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,2
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q3,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,EIN,EIN,1
CVS Health,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,CIK,1
CVS Health,money,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS,CIK,CIK,1
CVS Health,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,CIK,CIK,9
CVS Health,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,EIN,EIN,9
CVS Health,money,FINANCE__FED_SEC_EDGAR_INSIDERS,CIK,CIK,6
CVS Health,money,FINANCE__FED_PCAOB_FORM_AP_FILINGS,CIK,ISSUER_CIK,24
CVS Health,money,FINANCE__FED_SEC_13F_SUBMISSIONS,CIK,CIK,13
CVS Health,money,FINANCE__FED_SEC_INSIDER_SUBMISSION,CIK,ISSUER_CIK,577
CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_UEI,33
CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS,UEI,RECIPIENT_PARENT_UEI,29
CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_UEI,747
CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,UEI,RECIPIENT_PARENT_UEI,677
CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_UEI,2762
CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,UEI,RECIPIENT_PARENT_UEI,2569
CVS Health,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,UEI,RECIPIENT_UEI,2
CVS Health,science,SCIENCE_RESEARCH__FED_NIH_REPORTER,UEI,ORG_UEI,35
Chevron,environment,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,UEI,PARENT_UEI,8
Chevron,labor,LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB,EIN,SB_EIN,5
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,CIK,CIK,3
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,EIN,EIN,3
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,CIK,CIK,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2026Q1,EIN,EIN,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,CIK,CIK,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,EIN,EIN,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,CIK,CIK,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,EIN,EIN,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,CIK,CIK,1
Chevron,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,EIN,EIN,1
