company,lists,domain,schema,table,col,rows,distinct,sample
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,102,77,"OLSON V. 3M CO. | PEMBERTON V. 3M CO. | THE PEOPLE OF THE STATE OF CALIFORNIA, ACTING BY AND THROUGH SANTA CLARA COUNTY COUNSEL TONY LOPRESTI, AND THE COUNTY OF | SOLVAY SOLEXIS, INC. V. 3M CO. | GABRIS V. 3M CO. | STATE EX REL. SWANSON V. 3M CO."
3M,toxic_release,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,9,7,"STIDHAM V. MINNESOTA MINING & MANUFACTURING, INC., DBA 3M CO. | GARLAND K. CANTRELL V. 3M CO. | HARLEY V. 3M CO. | 3M CO., FKA MINNESOTA MINING & MANUFACTURING CO. V. LEPAGE'S INC. | FRANCES POSNER AND SARI POSNER V. MINNESOTA MINING & MANUFACTURING CO., INC. A/K/A 3M CO. | IN RE: BAIR HUGGER FORCED AIR WARMING DEVICES PRODUCTS LIABILITY LITIGATION THIS DOCUMENT RELATES TO: CASE NOS.: 17-CV-1"
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q1,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2026Q1,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q1,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q4,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q4,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q3,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,COMPANY_NAME,1,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_EDGAR_FINANCIALS,NAME,8,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_ENFORCEMENT_CONCLUSION_FACILITIES,FACILITY_NAME,6,4,3M CO - WAUSAU DOWNTOWN | 3M CO - BROWNWOOD | 3M CO. | 3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_PCAOB_FORM_AP_FILINGS,ISSUER_NAME,14,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,10,4,3M CO. | 3M CO - BROWNWOOD | 3M CO - WAUSAU DOWNTOWN | 3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS,FACILITY_NAME,10,4,3M CO - BROWNWOOD | 3M CO - SPRINGFIELD FACILITY | 3M CO STATIC CONTROL SYSTEMS | 3M CO HUTCHINSON
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_INSIDER_SUBMISSION,ISSUER_NAME,754,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,OWNER_NAME,3,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,ESTAB_NAME,38,18,3M CO ADHESIVES COATINGS | RUTLAND PLANT 3M CO | 3M CO. | 3M CO (CHEMOLITE) | 3M CO PLANT #2 | MINNESOTA MINING & MFG INC DBA 3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,1,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,2,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,2,1,3M CO
3M,toxic_release,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,2,1,3M CO
3M,toxic_release,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,306,7,"3M CO./RETIRED | 3M CO.               ST. PAUL/EXECU | 3M CO. | RETIRED FROM 3M CO | 3M CO | 3M, CO."
3M,toxic_release,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,10,1,3M CO
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,1,1,A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,1,1,A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,FAC_NAME,2,2,A2Z DEVELOPMENT CENTER  INC | A2Z DEVELOPMENT CENTER
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,PRIMARY_NAME,2,2,A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER  INC
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,FACILITY_NAME,3,2,A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER  INC
A2Z DEVELOPMENT CENTER,visas,environment,ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FACILITY_NAME,3,2,A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER  INC
A2Z DEVELOPMENT CENTER,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,3,1,"A2Z DEVELOPMENT CENTER, INC. (D/B/A LAB126)"
A2Z DEVELOPMENT CENTER,visas,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,612,4,"A2Z DEVELOPMENT CENTER | A2Z DEVELOPMENT CENTER, INC | A2Z DEVELOPMENT CENTER, INC. D/B/A LAB126 | A2Z DEVELOPMENT CENTER, INC."
A2Z DEVELOPMENT CENTER,visas,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,1881,4,"A2Z DEVELOPMENT CENTER INC | A2Z DEVELOPMENT CENTER INC. | A2Z DEVELOPMENT CENTER, INC. | A2Z DEVELOPMENT CENTER"
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,1,1,AARP LIMITED
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ORG_NAME,640,1,AARP
AARP,lobbying,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,1,1,AARP LIMITED
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_1,47,1,AARP
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_BUSINESS_DBA,2,1,AARP
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_NAME,6,1,AARP
AARP,lobbying,immigration,IMMIGRATION,IMMIGRATION__FED_DOL_OFLC,SECONDARY_ENTITY_BUSINESS_NAME_2,2,1,AARP
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,2,2,"AARP V. EEOC | JERALD FRIEDMAN V. AARP, INC."
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,7,5,"HELEN KRUKAS V. AARP, INC. | AARP V. UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION | AARP V. PUB. UTIL. COMM | LUCILLE A. ROUSSIN, ON BEHALF OF HERSELF AND ALL OTHERS SIMILARLY SITUATED, PLAINTIFFS, V. AARP, INC. ET AL., DEFENDANTS | AARP V. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION"
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME,52,31,"AARP V. EEOC | JERALD FRIEDMAN V. AARP INC | KRUKAS V. AARP | AARP V. AMERICAN FAMILY PREPAID LEGAL CORP., INC. | WHITING V. AARP | DODGEN V. AARP"
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME,131,93,AARP V. ELMORE | OSTERKAMP V. AARP | NKENGFACK V. AARP | CANTEES V. AARP | WEBB V. AARP | AARP VS SIMMONS BEAUTY REST SLEEP GALLERY
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,6,4,"AARP V. UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION | AARP V. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION | HELEN KRUKAS V. AARP, INC. | AARP V. PUB. UTIL. COMM"
AARP,lobbying,justice,JUSTICE,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_SHORT,41,1,AARP
AARP,lobbying,labor,LABOR,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,ESTABLISHMENT_NAME,1,1,AARP
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_SBA_PPP,BORROWER_NAME,1,1,"AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,LEGAL_NAME,31,1,AARP
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_AUTO_REVOCATIONS,LEGAL_NAME,31,2,AARP  | AARP
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_IRS_990_EFILE_INDEX,TAXPAYER_NAME,9,1,AARP
AARP,lobbying,money,FINANCE,FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS,CONTRIBUTOR_NAME,40,4,"AARP | AARP, INC. | AARP INC | AARP INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME_RAW,6,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,10,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,10,2,AARP | AARP  INC.
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,10,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,48,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_NAME,48,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME,148,1,AARP
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,54,2,"AARP | AARP, INC."
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,4,2,"AARP, INC. | AARP"
AARP,lobbying,money,ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME_RAW,192,1,AARP
AARP,lobbying,money,FINANCE,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,4366,4,AARP INC | AARP | AARP INC. | AARP.
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_EMPLOYER,EMPLOYER_NAME,1,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS,ADVERTISER_NAME,1,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__FED_FEC_PAC_SUMMARY,COMMITTEE_NAME,1,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,FILER_FULL_NAME,17,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_CHG_LOG,ENTITY_NAME,18,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,REGISTRANT_NAME,336,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,340,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION,EMPLOYER_NAME,2,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION,EMPLOYER_NAME,1,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION,EMPLOYER_NAME,7,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,EMPLOYER_NAME,3,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND,ADVERTISER_NAME,4,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,3,1,AARP
AARP,lobbying,politics,POLITICS,POLITICS__CA_LOBBY_COVER,FIRM_NAME,261,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_GEO_SPEND,ADVERTISER_NAME,42,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS,ADVERTISER_NAME,1,1,AARP
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,CLIENT_NAME,612,3,"AARP, INC. | AARP | AARP INC."
AARP,lobbying,politics,EDUCATION,EDUCATION__FED_SENATE_LDA_FILINGS,REGISTRANT_NAME,115,1,AARP
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,NAME,1,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,NAME,1,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,NAME,1,1,ABBOTT LABORATORIES S.A.
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_IE_CRO,COMPANY_NAME,2,2,"ABBOTT LABORATORIES, IRELAND, LIMITED | ABBOTT LABORATORIES VASCULAR ENTERPRISES UNLIMITED COMPANY"
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ORG_NAME,1,1,ABBOTT LABORATORIES EMPLOYER CREDIT UNION
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,2,2,ABBOTT LABORATORIES TRUSTEE COMPANY LIMITED | ABBOTT LABORATORIES LIMITED
ABBOTT LABORATORIES,doctor_payments,companies,CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,NAME,40,4,ABBOTT LABORATORIES INC. | ABBOTT LABORATORIES | ABBOTT LABORATORIES LIMITED | ABBOTT LABORATORIES LTD
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,FACILITY_NAME,7,5,ABBOTT NUTRITION A DIV OF ABBOTT LABORATORIES | ABBOTT LABORATORIES | ABBOTT LABORATORIES - DIAGNOSTIC DIV | ABBOTT LABORATORIES - ABBOTT P ARK FACILITY | ABBOTT LABORATORIES ROSS PRODUCTS DIV
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,PARENT_CO_NAME,13,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,MAIL_NAME,6,5,ABBOTT LABORATORIES - ABBOTT P ARK FACILITY | ABBOTT LABORATORIES ROSS PRODUCTS DIV | ABBOTT LABORATORIES | ABBOTT LABORATORIES - DIAGNOSTIC DIV | ABBOTT NUTRITION A DIV OF ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,STANDARDIZED_PARENT_COMPANY,9,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_15_PARENT_CO_NAME,11,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_17_STANDARD_PARENT_CO_NAME,11,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_4_FACILITY_NAME,6,2,ABBOTT NUTRITION A DIV OF ABBOTT LABORATORIES | ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,FACILITY_NAME,2,2,ABBOTT LABORATORIES - N. CHICAGO FAC. | ABBOTT LABORATORIES INC
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,FACILITY_NAME,28,2,ABBOTT NUTRITION - A DIVISION OF ABBOTT LABORATORIES | ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,PARENT_COMPANY,61,1,ABBOTT LABORATORIES (100%)
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,FACILITY_NAME,10,4,ABBOTT LABORATORIES-ROSS PRODUCTS DIV. | ABBOTT LABORATORIES | ABBOTT LABORATORIES - MCPHERSON                          | ABBOTT LABORATORIES ABBOTT NUTRITION DIV
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_NAME,4,3,ABBOTT LABORATORIES | ABBOTT LABORATORIES INC | ABBOTT LABORATORIES AGR RSCH
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,ADMIN_NAME,2,2,ABBOTT LABORATORIES INC | ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,RESPONSIBLE_COMPANY,8,1,ABBOTT LABORATORIES
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,9,2,ABBOTT LABORATORIES | ABBOTT LABORATORIES INC
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,FACILITY_NAME,39,21,"ABBOTT LABORATORIES | PACESETTER, INC. (A SUBSIDIARY OF ABBOTT LABORATORIES) | ABBOTT LABORATORIES - ANSC | ABBOTT LABORATORIES, ROSS PRODUCT DIV | ABBOTT LABORATORIES (WESTFIELD) | ABBOTT LABORATORIES IDDM"
ABBOTT LABORATORIES,doctor_payments,environment,ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,48,17,ABBOTT NUTRITION - A DIVISION OF ABBOTT LABORATORIES | ABBOTT LABORATORIES AGR RSCH | ABBOTT LABORATORIES AGRICULTURAL | ABBOTT LABORATORIES (WESTFIELD) | ABBOTT LABORATORIES - BUSCH | ABBOTT LABORATORIES
