-- S02 MTS receipts: whole table (7.5K rows), every line of every monthly statement
RECORD_DATE | RECORD_FISCAL_YEAR | TABLE_NBR | CLASSIFICATION_ID | PARENT_ID | CLASSIFICATION_DESC | SEQUENCE_LEVEL_NBR | SEQUENCE_NUMBER_CD | DATA_TYPE_CD | RECORD_TYPE_CD | LINE_CODE_NBR | SRC_LINE_NBR | CURRENT_MONTH_GROSS_RCPT_AMT | CURRENT_MONTH_REFUND_AMT | CURRENT_MONTH_NET_RCPT_AMT | CURRENT_FYTD_GROSS_RCPT_AMT | CURRENT_FYTD_REFUND_AMT | CURRENT_FYTD_NET_RCPT_AMT | PRIOR_FYTD_GROSS_RCPT_AMT | PRIOR_FYTD_REFUND_AMT | PRIOR_FYTD_NET_RCPT_AMT
2015-03-31 | 2015.0 | 4 | 12662568 | 12662559 | Railroad Unemployment Taxes | 3 | 3.2.3 | D | RSG | 255 | 31 | 90159.22 |  | 90159.22 | 17100072.78 |  | 17100072.78 | 18538124.03 |  | 18538124.03
2015-03-31 | 2015.0 | 4 | 12662573 | 12662559 | Total -- Unemployment Insurance | 3 | 3.2.4 | T | RSG | 269 | 32 | 480879711.73 | 26927634.14 | 453952077.59 | 17016960157.48 | 41904362.31 | 16975055795.17 | 18097343945.81 | 31534485.62 | 18065809460.19
2015-03-31 | 2015.0 | 4 | 12662575 | 12662456 | Other Retirement: | 2 | 3.3 | S | RSG | 270 | 33 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662579 | 12662575 | Federal Employees' Retirement--Employee Share | 3 | 3.3.1 | D | RSG | 279 | 34 | 325790373.13 |  | 325790373.13 | 1792391096.87 |  | 1792391096.87 | 1718733095.59 |  | 1718733095.59
2015-03-31 | 2015.0 | 4 | 12662581 | 12662575 | Non-Federal Employees Retirement | 3 | 3.3.2 | D | RSG | 284 | 35 | 2017517.17 |  | 2017517.17 | 11736417.5 |  | 11736417.5 | 13005780.36 |  | 13005780.36
2015-03-31 | 2015.0 | 4 | 12662586 | 12662575 | Total -- Other Retirement | 3 | 3.3.3 | T | RSG | 285 | 36 | 327807890.3 |  | 327807890.3 | 1804127514.37 |  | 1804127514.37 | 1731738875.95 |  | 1731738875.95
2015-03-31 | 2015.0 | 4 | 12662588 | 12662456 | Total -- Social Insurance and Retirement Receipts | 2 | 3.4 | T | RSG | 286 | 37 | 97606049998.34 | 26945875.22 | 97579104123.12 | 508708905395.09 | 42876106.5 | 508666029288.59 | 490390949793.86 | 56553415.17 | 490334396378.69
2015-03-31 | 2015.0 | 4 | 12662592 |  | Excise Taxes: | 1 | 4 | S | RSG | 300 | 38 |  |  |  |  |  |  |  |  | 
2015-03-31 | 2015.0 | 4 | 12662594 | 12662592 | Miscellaneous Excise Taxes | 2 | 4.1 | D | RSG | 305 | 39 | 2377634371.25 | 96894514.6 | 2280739856.65 | 15646288696.23 | 896285290.05 | 14750003406.18 | 16127131830.6 | 1035182114.02 | 15091949716.58
2015-03-31 | 2015.0 | 4 | 12662598 | 12662592 | Airport and Airway Trust Fund | 2 | 4.2 | D | RSG | 308 | 40 | 1131366000.0 |  | 1131366000.0 | 6288950242.63 | 9130826.8 | 6279819415.83 | 5824864602.17 | 5630619.23 | 5819233982.94
(7490 rows; csv has all)
