COUNTY_FIPS	COUNTY_NAME	STATE_NAME	POPULATION_2020
02100	Haines	Alaska	2080
02105	Hoonah-Angoon	Alaska	2365
02110	Juneau	Alaska	32255
02122	Kenai Peninsula	Alaska	58799
02130	Ketchikan Gateway	Alaska	13948
02150	Kodiak Island	Alaska	13101
02158	Kusilvak	Alaska	8368
02164	Lake and Peninsula	Alaska	1476
02170	Matanuska-Susitna	Alaska	107081
02180	Nome	Alaska	10046
02185	North Slope	Alaska	11031
02188	Northwest Arctic	Alaska	7793
02195	Petersburg	Alaska	3398
02198	Prince of Wales-Hyder	Alaska	5753
02220	Sitka	Alaska	8458
02230	Skagway	Alaska	1240
02240	Southeast Fairbanks	Alaska	6808
02275	Wrangell	Alaska	2127
02282	Yakutat	Alaska	662
02290	Yukon-Koyukuk	Alaska	5343
04001	Apache	Arizona	66021
04003	Cochise	Arizona	125447
04005	Coconino	Arizona	145101
04007	Gila	Arizona	53272
04009	Graham	Arizona	38533
04011	Greenlee	Arizona	9563
04012	La Paz	Arizona	16557
04013	Maricopa	Arizona	4420568
04015	Mohave	Arizona	213267
04017	Navajo	Arizona	106717
04019	Pima	Arizona	1043433
04021	Pinal	Arizona	425264
04023	Santa Cruz	Arizona	47669
04025	Yavapai	Arizona	236209
04027	Yuma	Arizona	203881
05001	Arkansas	Arkansas	17149
05003	Ashley	Arkansas	19062
05005	Baxter	Arkansas	41627
05007	Benton	Arkansas	284333
05009	Boone	Arkansas	37373
05011	Bradley	Arkansas	10545
05013	Calhoun	Arkansas	4739
05015	Carroll	Arkansas	28260
05017	Chicot	Arkansas	10208
05019	Clark	Arkansas	21446
05021	Clay	Arkansas	14552
05023	Cleburne	Arkansas	24711
05025	Cleveland	Arkansas	7550
05027	Columbia	Arkansas	22801
05029	Conway	Arkansas	20715
05031	Craighead	Arkansas	111231
05033	Crawford	Arkansas	60133
05035	Crittenden	Arkansas	48163
05037	Cross	Arkansas	16833
05039	Dallas	Arkansas	6482
05041	Desha	Arkansas	11395
05043	Drew	Arkansas	17350
05045	Faulkner	Arkansas	123498
05047	Franklin	Arkansas	17097
05049	Fulton	Arkansas	12075
05051	Garland	Arkansas	100180
05053	Grant	Arkansas	17958
05055	Greene	Arkansas	45736
05057	Hempstead	Arkansas	20065
05059	Hot Spring	Arkansas	33040
05061	Howard	Arkansas	12785
05063	Independence	Arkansas	37938
05065	Izard	Arkansas	13577
05067	Jackson	Arkansas	16755
05069	Jefferson	Arkansas	67260
05071	Johnson	Arkansas	25749
05073	Lafayette	Arkansas	6308
05075	Lawrence	Arkansas	16216
05077	Lee	Arkansas	8600
05079	Lincoln	Arkansas	12941
05081	Little River	Arkansas	12026
05083	Logan	Arkansas	21131
05085	Lonoke	Arkansas	74015
05087	Madison	Arkansas	16521
05089	Marion	Arkansas	16826
05091	Miller	Arkansas	42600
05093	Mississippi	Arkansas	40685
05095	Monroe	Arkansas	6799
05097	Montgomery	Arkansas	8484
05099	Nevada	Arkansas	8310
05101	Newton	Arkansas	7225
05103	Ouachita	Arkansas	22650
05105	Perry	Arkansas	10019
05107	Phillips	Arkansas	16568
05109	Pike	Arkansas	10171
05111	Poinsett	Arkansas	22965
05113	Polk	Arkansas	19221
05115	Pope	Arkansas	63381
05117	Prairie	Arkansas	8282
05119	Pulaski	Arkansas	399125
05121	Randolph	Arkansas	18571
05123	St. Francis	Arkansas	23090
05125	Saline	Arkansas	123416
05127	Scott	Arkansas	9836
05129	Searcy	Arkansas	7828
05131	Sebastian	Arkansas	127799
05133	Sevier	Arkansas	15839
05135	Sharp	Arkansas	17271
05137	Stone	Arkansas	12359
05139	Union	Arkansas	39054
05141	Van Buren	Arkansas	15796
05143	Washington	Arkansas	245871
05145	White	Arkansas	76822
05147	Woodruff	Arkansas	6269
05149	Yell	Arkansas	20263
06001	Alameda	California	1682353
06003	Alpine	California	1204
06005	Amador	California	40474
06007	Butte	California	211632
06009	Calaveras	California	45292
06011	Colusa	California	21839
06013	Contra Costa	California	1165927
06015	Del Norte	California	27743
06017	El Dorado	California	191185
06019	Fresno	California	1008654
06021	Glenn	California	28917
06023	Humboldt	California	136463
06025	Imperial	California	179702
06027	Inyo	California	19016
06029	Kern	California	909235
06031	Kings	California	152486
06033	Lake	California	68163
06035	Lassen	California	32730
06037	Los Angeles	California	10014009
06039	Madera	California	156255
06041	Marin	California	262321
06043	Mariposa	California	17131
06045	Mendocino	California	91601
06047	Merced	California	281202
06049	Modoc	California	8700
06051	Mono	California	13195
06053	Monterey	California	439035
06055	Napa	California	138019
06057	Nevada	California	102241
06059	Orange	California	3186989
06061	Placer	California	404739
06063	Plumas	California	19790
06065	Riverside	California	2418185
06067	Sacramento	California	1585055
06069	San Benito	California	64209
06071	San Bernardino	California	2181654
06073	San Diego	California	3298634
06075	San Francisco	California	873965
06077	San Joaquin	California	779233
06079	San Luis Obispo	California	282424
06081	San Mateo	California	764442
06083	Santa Barbara	California	448229
06085	Santa Clara	California	1936259
06087	Santa Cruz	California	270861
06089	Shasta	California	182155
06091	Sierra	California	3236
06093	Siskiyou	California	44076
06095	Solano	California	453491
06097	Sonoma	California	488863
06099	Stanislaus	California	552878
06101	Sutter	California	99633
06103	Tehama	California	65829
06105	Trinity	California	16112
06107	Tulare	California	473117
06109	Tuolumne	California	55620
06111	Ventura	California	843843
06113	Yolo	California	216403
06115	Yuba	California	81575
08001	Adams	Colorado	519572
08003	Alamosa	Colorado	16376
08005	Arapahoe	Colorado	655070
08007	Archuleta	Colorado	13359
08009	Baca	Colorado	3506
08011	Bent	Colorado	5650
08013	Boulder	Colorado	330758
08014	Broomfield	Colorado	74112
08015	Chaffee	Colorado	19476
08017	Cheyenne	Colorado	1748
08019	Clear Creek	Colorado	9397
08021	Conejos	Colorado	7461
08023	Costilla	Colorado	3499
08025	Crowley	Colorado	5922
08027	Custer	Colorado	4704
08029	Delta	Colorado	31196
08031	Denver	Colorado	715522
08033	Dolores	Colorado	2326
08035	Douglas	Colorado	357978
08037	Eagle	Colorado	55731
08039	Elbert	Colorado	26062
08041	El Paso	Colorado	730395
08043	Fremont	Colorado	48939
08045	Garfield	Colorado	61685
08047	Gilpin	Colorado	5808
08049	Grand	Colorado	15717
08051	Gunnison	Colorado	16918
08053	Hinsdale	Colorado	788
08055	Huerfano	Colorado	6820
08057	Jackson	Colorado	1379
08059	Jefferson	Colorado	582910
08061	Kiowa	Colorado	1446
08063	Kit Carson	Colorado	7087
08065	Lake	Colorado	7436
08067	La Plata	Colorado	55638
08069	Larimer	Colorado	359066
08071	Las Animas	Colorado	14555
08073	Lincoln	Colorado	5675
08075	Logan	Colorado	21528
08077	Mesa	Colorado	155703
08079	Mineral	Colorado	865
08081	Moffat	Colorado	13292
08083	Montezuma	Colorado	25849
08085	Montrose	Colorado	42679
08087	Morgan	Colorado	29111
08089	Otero	Colorado	18690
08091	Ouray	Colorado	4874
08093	Park	Colorado	17390
08095	Phillips	Colorado	4530
08097	Pitkin	Colorado	17358
08099	Prowers	Colorado	11999
08101	Pueblo	Colorado	168162
08103	Rio Blanco	Colorado	6529
08105	Rio Grande	Colorado	11539
08107	Routt	Colorado	24829
08109	Saguache	Colorado	6368
08111	San Juan	Colorado	705
08113	San Miguel	Colorado	8072
08115	Sedgwick	Colorado	2404
08117	Summit	Colorado	31055
08119	Teller	Colorado	24710
08121	Washington	Colorado	4817
08123	Weld	Colorado	328981
08125	Yuma	Colorado	9988
09110	Capitol Planning Region	Connecticut	976248
09120	Greater Bridgeport Planning Region	Connecticut	325778
09130	Lower Connecticut River Valley Planning Region	Connecticut	174225
09140	Naugatuck Valley Planning Region	Connecticut	450376
09150	Northeastern Connecticut Planning Region	Connecticut	95348
09160	Northwest Hills Planning Region	Connecticut	112503
09170	South Central Connecticut Planning Region	Connecticut	570487
09180	Southeastern Connecticut Planning Region	Connecticut	280430
09190	Western Connecticut Planning Region	Connecticut	620549
10001	Kent	Delaware	181851
10003	New Castle	Delaware	570719
10005	Sussex	Delaware	237378
11001	District of Columbia	District of Columbia	689545
12001	Alachua	Florida	278468
12003	Baker	Florida	28259
12005	Bay	Florida	175216
12007	Bradford	Florida	28303
12009	Brevard	Florida	606612
12011	Broward	Florida	1944375
12013	Calhoun	Florida	13648
12015	Charlotte	Florida	186847
12017	Citrus	Florida	153843
12019	Clay	Florida	218245
12021	Collier	Florida	375752
12023	Columbia	Florida	69698
12027	DeSoto	Florida	33976
12029	Dixie	Florida	16759
12031	Duval	Florida	995567
12033	Escambia	Florida	321905
12035	Flagler	Florida	115378
12037	Franklin	Florida	12451
12039	Gadsden	Florida	43826
12041	Gilchrist	Florida	17864
12043	Glades	Florida	12126
12045	Gulf	Florida	14192
12047	Hamilton	Florida	14004
12049	Hardee	Florida	25327
12051	Hendry	Florida	39619
12053	Hernando	Florida	194515
12055	Highlands	Florida	101235
12057	Hillsborough	Florida	1459762
12059	Holmes	Florida	19653
12061	Indian River	Florida	159788
12063	Jackson	Florida	47319
12065	Jefferson	Florida	14510
12067	Lafayette	Florida	8226
12069	Lake	Florida	383956
12071	Lee	Florida	760822
12073	Leon	Florida	292198
12075	Levy	Florida	42915
12077	Liberty	Florida	7974
12079	Madison	Florida	17968
12081	Manatee	Florida	399710
12083	Marion	Florida	375908
12085	Martin	Florida	158431
12086	Miami-Dade	Florida	2701767
12087	Monroe	Florida	82874
12089	Nassau	Florida	90352
12091	Okaloosa	Florida	211668
12093	Okeechobee	Florida	39644
12095	Orange	Florida	1429908
12097	Osceola	Florida	388656
12099	Palm Beach	Florida	1492191
12101	Pasco	Florida	561891
12103	Pinellas	Florida	959107
12105	Polk	Florida	725046
12107	Putnam	Florida	73321
12109	St. Johns	Florida	273425
12111	St. Lucie	Florida	329226
12113	Santa Rosa	Florida	188000
12115	Sarasota	Florida	434006
12117	Seminole	Florida	470856
12119	Sumter	Florida	129752
12121	Suwannee	Florida	43474
12123	Taylor	Florida	21796
12125	Union	Florida	16147
12127	Volusia	Florida	553543
12129	Wakulla	Florida	33764
12131	Walton	Florida	75305
12133	Washington	Florida	25318
13001	Appling	Georgia	18444
13003	Atkinson	Georgia	8286
13005	Bacon	Georgia	11140
13007	Baker	Georgia	2876
13009	Baldwin	Georgia	43799
13011	Banks	Georgia	18035
13013	Barrow	Georgia	83505
13015	Bartow	Georgia	108901
13017	Ben Hill	Georgia	17194
13019	Berrien	Georgia	18160
13021	Bibb	Georgia	157346
13023	Bleckley	Georgia	12583
13025	Brantley	Georgia	18021
13027	Brooks	Georgia	16301
13029	Bryan	Georgia	44738
13031	Bulloch	Georgia	81099
13033	Burke	Georgia	24596
13035	Butts	Georgia	25434
13037	Calhoun	Georgia	5573
13039	Camden	Georgia	54768
13043	Candler	Georgia	10981
13045	Carroll	Georgia	119148
13047	Catoosa	Georgia	67872
13049	Charlton	Georgia	12518
13051	Chatham	Georgia	295291
13053	Chattahoochee	Georgia	9565
13055	Chattooga	Georgia	24965
13057	Cherokee	Georgia	266620
13059	Clarke	Georgia	128671
13061	Clay	Georgia	2848
13063	Clayton	Georgia	297595
13065	Clinch	Georgia	6749
13067	Cobb	Georgia	766149
13069	Coffee	Georgia	43092
13071	Colquitt	Georgia	45898
13073	Columbia	Georgia	156010
13075	Cook	Georgia	17229
13077	Coweta	Georgia	146158
13079	Crawford	Georgia	12130
13081	Crisp	Georgia	20128
13083	Dade	Georgia	16251
13085	Dawson	Georgia	26798
13087	Decatur	Georgia	29367
13089	DeKalb	Georgia	764382
13091	Dodge	Georgia	19925
13093	Dooly	Georgia	11208
13095	Dougherty	Georgia	85790
13097	Douglas	Georgia	144237
13099	Early	Georgia	10854
13101	Echols	Georgia	3697
13103	Effingham	Georgia	64769
13105	Elbert	Georgia	19637
13107	Emanuel	Georgia	22768
13109	Evans	Georgia	10774
13111	Fannin	Georgia	25319
13113	Fayette	Georgia	119194
13115	Floyd	Georgia	98584
13117	Forsyth	Georgia	251283
13119	Franklin	Georgia	23424
13121	Fulton	Georgia	1066710
13123	Gilmer	Georgia	31353
13125	Glascock	Georgia	2884
13127	Glynn	Georgia	84499
13129	Gordon	Georgia	57544
13131	Grady	Georgia	26236
13133	Greene	Georgia	18915
13135	Gwinnett	Georgia	957062
13137	Habersham	Georgia	46031
13139	Hall	Georgia	203136
13141	Hancock	Georgia	8735
13143	Haralson	Georgia	29919
13145	Harris	Georgia	34668
13147	Hart	Georgia	25828
13149	Heard	Georgia	11412
13151	Henry	Georgia	240712
13153	Houston	Georgia	163633
13155	Irwin	Georgia	9666
13157	Jackson	Georgia	75907
13159	Jasper	Georgia	14588
13161	Jeff Davis	Georgia	14779
13163	Jefferson	Georgia	15709
13165	Jenkins	Georgia	8674
13167	Johnson	Georgia	9189
13169	Jones	Georgia	28347
13171	Lamar	Georgia	18500
13173	Lanier	Georgia	9877
13175	Laurens	Georgia	49570
13177	Lee	Georgia	33163
13179	Liberty	Georgia	65256
13181	Lincoln	Georgia	7690
13183	Long	Georgia	16168
13185	Lowndes	Georgia	118251
13187	Lumpkin	Georgia	33488
13189	McDuffie	Georgia	21632
13191	McIntosh	Georgia	10975
13193	Macon	Georgia	12082
13195	Madison	Georgia	30120
13197	Marion	Georgia	7498
13199	Meriwether	Georgia	20613
13201	Miller	Georgia	6000
13205	Mitchell	Georgia	21755
13207	Monroe	Georgia	27957
13209	Montgomery	Georgia	8610
13211	Morgan	Georgia	20097
13213	Murray	Georgia	39973
13215	Muscogee	Georgia	206922
13217	Newton	Georgia	112483
13219	Oconee	Georgia	41799
13221	Oglethorpe	Georgia	14825
13223	Paulding	Georgia	168661
13225	Peach	Georgia	27981
13227	Pickens	Georgia	33216
13229	Pierce	Georgia	19716
13231	Pike	Georgia	18889
13233	Polk	Georgia	42853
13235	Pulaski	Georgia	9855
13237	Putnam	Georgia	22047
13239	Quitman	Georgia	2235
13241	Rabun	Georgia	16883
13243	Randolph	Georgia	6425
13245	Richmond	Georgia	206607
13247	Rockdale	Georgia	93570
13249	Schley	Georgia	4547
13251	Screven	Georgia	14067
13253	Seminole	Georgia	9147
13255	Spalding	Georgia	67306
13257	Stephens	Georgia	26784
13259	Stewart	Georgia	5314
13261	Sumter	Georgia	29616
13263	Talbot	Georgia	5733
13265	Taliaferro	Georgia	1559
13267	Tattnall	Georgia	22842
13269	Taylor	Georgia	7816
13271	Telfair	Georgia	12477
13273	Terrell	Georgia	9185
13275	Thomas	Georgia	45798
13277	Tift	Georgia	41344
13279	Toombs	Georgia	27030
13281	Towns	Georgia	12493
13283	Treutlen	Georgia	6406
13285	Troup	Georgia	69426
13287	Turner	Georgia	9006
13289	Twiggs	Georgia	8022
13291	Union	Georgia	24632
13293	Upson	Georgia	27700
13295	Walker	Georgia	67654
13297	Walton	Georgia	96673
13299	Ware	Georgia	36251
13301	Warren	Georgia	5215
13303	Washington	Georgia	19988
13305	Wayne	Georgia	30144
13307	Webster	Georgia	2348
13309	Wheeler	Georgia	7471
13311	White	Georgia	28003
13313	Whitfield	Georgia	102864
13315	Wilcox	Georgia	8766
13317	Wilkes	Georgia	9565
13319	Wilkinson	Georgia	8877
13321	Worth	Georgia	20784
15001	Hawaii	Hawaii	200629
15003	Honolulu	Hawaii	1016508
15005	Kalawao	Hawaii	82
15007	Kauai	Hawaii	73298
15009	Maui	Hawaii	164754
16001	Ada	Idaho	494967
16003	Adams	Idaho	4379
16005	Bannock	Idaho	87018
16007	Bear Lake	Idaho	6372
16009	Benewah	Idaho	9530
16011	Bingham	Idaho	47992
16013	Blaine	Idaho	24272
16015	Boise	Idaho	7610
16017	Bonner	Idaho	47110
16019	Bonneville	Idaho	123964
16021	Boundary	Idaho	12056
16023	Butte	Idaho	2574
16025	Camas	Idaho	1077
16027	Canyon	Idaho	231105
16029	Caribou	Idaho	7027
16031	Cassia	Idaho	24655
16033	Clark	Idaho	790
16035	Clearwater	Idaho	8734
16037	Custer	Idaho	4275
16039	Elmore	Idaho	28666
16041	Franklin	Idaho	14194
16043	Fremont	Idaho	13388
16045	Gem	Idaho	19123
16047	Gooding	Idaho	15598
16049	Idaho	Idaho	16541
16051	Jefferson	Idaho	30891
16053	Jerome	Idaho	24237
16055	Kootenai	Idaho	171362
16057	Latah	Idaho	39517
16059	Lemhi	Idaho	7974
16061	Lewis	Idaho	3533
16063	Lincoln	Idaho	5127
16065	Madison	Idaho	52913
16067	Minidoka	Idaho	21613
16069	Nez Perce	Idaho	42090
16071	Oneida	Idaho	4564
16073	Owyhee	Idaho	11913
16075	Payette	Idaho	25386
16077	Power	Idaho	7878
16079	Shoshone	Idaho	13169
16081	Teton	Idaho	11630
16083	Twin Falls	Idaho	90046
16085	Valley	Idaho	11746
16087	Washington	Idaho	10500
17001	Adams	Illinois	65737
17003	Alexander	Illinois	5240
17005	Bond	Illinois	16725
17007	Boone	Illinois	53448
17009	Brown	Illinois	6244
17011	Bureau	Illinois	33244
17013	Calhoun	Illinois	4437
17015	Carroll	Illinois	15702
17017	Cass	Illinois	13042
17019	Champaign	Illinois	205865
17021	Christian	Illinois	34032
17023	Clark	Illinois	15455
17025	Clay	Illinois	13288
17027	Clinton	Illinois	36899
17029	Coles	Illinois	46863
17031	Cook	Illinois	5275541
17033	Crawford	Illinois	18679
17035	Cumberland	Illinois	10450
17037	DeKalb	Illinois	100420
17039	De Witt	Illinois	15516
17041	Douglas	Illinois	19740
17043	DuPage	Illinois	932877
17045	Edgar	Illinois	16866
17047	Edwards	Illinois	6245
17049	Effingham	Illinois	34668
17051	Fayette	Illinois	21488
17053	Ford	Illinois	13534
17055	Franklin	Illinois	37804
17057	Fulton	Illinois	33609
17059	Gallatin	Illinois	4946
17061	Greene	Illinois	11985
17063	Grundy	Illinois	52533
17065	Hamilton	Illinois	7993
17067	Hancock	Illinois	17620
17069	Hardin	Illinois	3649
17071	Henderson	Illinois	6387
17073	Henry	Illinois	49284
17075	Iroquois	Illinois	27077
17077	Jackson	Illinois	52974
17079	Jasper	Illinois	9287
17081	Jefferson	Illinois	37113
17083	Jersey	Illinois	21512
17085	Jo Daviess	Illinois	22035
17087	Johnson	Illinois	13308
17089	Kane	Illinois	516522
17091	Kankakee	Illinois	107502
17093	Kendall	Illinois	131869
17095	Knox	Illinois	49967
17097	Lake	Illinois	714342
17099	LaSalle	Illinois	109658
17101	Lawrence	Illinois	15280
17103	Lee	Illinois	34145
17105	Livingston	Illinois	35815
17107	Logan	Illinois	27987
17109	McDonough	Illinois	27238
17111	McHenry	Illinois	310229
17113	McLean	Illinois	170954
17115	Macon	Illinois	103998
17117	Macoupin	Illinois	44967
17119	Madison	Illinois	265859
17121	Marion	Illinois	37729
17123	Marshall	Illinois	11742
17125	Mason	Illinois	13086
17127	Massac	Illinois	14169
17129	Menard	Illinois	12297
17131	Mercer	Illinois	15699
17133	Monroe	Illinois	34962
17135	Montgomery	Illinois	28288
17137	Morgan	Illinois	32915
17139	Moultrie	Illinois	14526
17141	Ogle	Illinois	51788
17143	Peoria	Illinois	181830
17145	Perry	Illinois	20945
17147	Piatt	Illinois	16673
17149	Pike	Illinois	14739
17151	Pope	Illinois	3763
17153	Pulaski	Illinois	5193
17155	Putnam	Illinois	5637
17157	Randolph	Illinois	30163
17159	Richland	Illinois	15813
17161	Rock Island	Illinois	144672
17163	St. Clair	Illinois	257400
17165	Saline	Illinois	23768
17167	Sangamon	Illinois	196343
17169	Schuyler	Illinois	6902
17171	Scott	Illinois	4949
17173	Shelby	Illinois	20990
17175	Stark	Illinois	5400
17177	Stephenson	Illinois	44630
17179	Tazewell	Illinois	131343
17181	Union	Illinois	17244
17183	Vermilion	Illinois	74188
17185	Wabash	Illinois	11361
17187	Warren	Illinois	16835
17189	Washington	Illinois	13761
17191	Wayne	Illinois	16179
17193	White	Illinois	13877
17195	Whiteside	Illinois	55691
17197	Will	Illinois	696355
17199	Williamson	Illinois	67153
17201	Winnebago	Illinois	285350
17203	Woodford	Illinois	38467
18001	Adams	Indiana	35809
18003	Allen	Indiana	385410
18005	Bartholomew	Indiana	82208
18007	Benton	Indiana	8719
18009	Blackford	Indiana	12112
18011	Boone	Indiana	70812
18013	Brown	Indiana	15475
18015	Carroll	Indiana	20306
18017	Cass	Indiana	37870
18019	Clark	Indiana	121093
18021	Clay	Indiana	26466
18023	Clinton	Indiana	33190
18025	Crawford	Indiana	10526
18027	Daviess	Indiana	33381
18029	Dearborn	Indiana	50679
18031	Decatur	Indiana	26472
18033	DeKalb	Indiana	43265
18035	Delaware	Indiana	111903
18037	Dubois	Indiana	43637
18039	Elkhart	Indiana	207047
18041	Fayette	Indiana	23398
18043	Floyd	Indiana	80484
18045	Fountain	Indiana	16479
18047	Franklin	Indiana	22785
18049	Fulton	Indiana	20480
18051	Gibson	Indiana	33011
18053	Grant	Indiana	66674
18055	Greene	Indiana	30803
18057	Hamilton	Indiana	347467
18059	Hancock	Indiana	79840
18061	Harrison	Indiana	39654
18063	Hendricks	Indiana	174788
18065	Henry	Indiana	48914
18067	Howard	Indiana	83658
18069	Huntington	Indiana	36662
18071	Jackson	Indiana	46428
18073	Jasper	Indiana	32918
18075	Jay	Indiana	20478
18077	Jefferson	Indiana	33147
18079	Jennings	Indiana	27613
18081	Johnson	Indiana	161765
18083	Knox	Indiana	36282
18085	Kosciusko	Indiana	80240
18087	LaGrange	Indiana	40446
18089	Lake	Indiana	498700
18091	LaPorte	Indiana	112417
18093	Lawrence	Indiana	45011
18095	Madison	Indiana	130129
18097	Marion	Indiana	977203
18099	Marshall	Indiana	46095
18101	Martin	Indiana	9812
18103	Miami	Indiana	35962
18105	Monroe	Indiana	139718
18107	Montgomery	Indiana	37936
18109	Morgan	Indiana	71780
18111	Newton	Indiana	13830
18113	Noble	Indiana	47457
18115	Ohio	Indiana	5940
18117	Orange	Indiana	19867
18119	Owen	Indiana	21321
18121	Parke	Indiana	16156
18123	Perry	Indiana	19170
18125	Pike	Indiana	12250
18127	Porter	Indiana	173215
18129	Posey	Indiana	25222
18131	Pulaski	Indiana	12514
18133	Putnam	Indiana	36726
18135	Randolph	Indiana	24502
18137	Ripley	Indiana	28995
18139	Rush	Indiana	16752
18141	St. Joseph	Indiana	272912
18143	Scott	Indiana	24384
18145	Shelby	Indiana	45055
18147	Spencer	Indiana	19810
18149	Starke	Indiana	23371
18151	Steuben	Indiana	34435
18153	Sullivan	Indiana	20817
18155	Switzerland	Indiana	9737
18157	Tippecanoe	Indiana	186251
18159	Tipton	Indiana	15359
18161	Union	Indiana	7087
18163	Vanderburgh	Indiana	180136
18165	Vermillion	Indiana	15439
18167	Vigo	Indiana	106153
18169	Wabash	Indiana	30976
18171	Warren	Indiana	8440
18173	Warrick	Indiana	63898
18175	Washington	Indiana	28182
18177	Wayne	Indiana	66553
18179	Wells	Indiana	28180
18181	White	Indiana	24688
18183	Whitley	Indiana	34191
19001	Adair	Iowa	7496
19003	Adams	Iowa	3704
19005	Allamakee	Iowa	14061
19007	Appanoose	Iowa	12317
19009	Audubon	Iowa	5674
19011	Benton	Iowa	25575
19013	Black Hawk	Iowa	131144
19015	Boone	Iowa	26715
19017	Bremer	Iowa	24988
19019	Buchanan	Iowa	20565
19021	Buena Vista	Iowa	20823
19023	Butler	Iowa	14334
19025	Calhoun	Iowa	9927
19027	Carroll	Iowa	20760
19029	Cass	Iowa	13127
19031	Cedar	Iowa	18505
19033	Cerro Gordo	Iowa	43127
19035	Cherokee	Iowa	11658
19037	Chickasaw	Iowa	12012
19039	Clarke	Iowa	9748
19041	Clay	Iowa	16384
19043	Clayton	Iowa	17043
19045	Clinton	Iowa	46460
19047	Crawford	Iowa	16525
19049	Dallas	Iowa	99678
19051	Davis	Iowa	9110
19053	Decatur	Iowa	7645
19055	Delaware	Iowa	17488
19057	Des Moines	Iowa	38910
19059	Dickinson	Iowa	17703
19061	Dubuque	Iowa	99266
19063	Emmet	Iowa	9388
19065	Fayette	Iowa	19509
19067	Floyd	Iowa	15627
19069	Franklin	Iowa	10019
19071	Fremont	Iowa	6605
19073	Greene	Iowa	8771
19075	Grundy	Iowa	12329
19077	Guthrie	Iowa	10623
19079	Hamilton	Iowa	15039
19081	Hancock	Iowa	10795
19083	Hardin	Iowa	16878
19085	Harrison	Iowa	14582
19087	Henry	Iowa	20482
19089	Howard	Iowa	9469
19091	Humboldt	Iowa	9597
19093	Ida	Iowa	7005
19095	Iowa	Iowa	16662
19097	Jackson	Iowa	19485
19099	Jasper	Iowa	37813
19101	Jefferson	Iowa	15663
19103	Johnson	Iowa	152854
19105	Jones	Iowa	20646
19107	Keokuk	Iowa	10033
19109	Kossuth	Iowa	14828
19111	Lee	Iowa	33555
19113	Linn	Iowa	230299
19115	Louisa	Iowa	10837
19117	Lucas	Iowa	8634
19119	Lyon	Iowa	11934
19121	Madison	Iowa	16548
19123	Mahaska	Iowa	22190
19125	Marion	Iowa	33414
19127	Marshall	Iowa	40105
19129	Mills	Iowa	14484
19131	Mitchell	Iowa	10565
19133	Monona	Iowa	8751
19135	Monroe	Iowa	7577
19137	Montgomery	Iowa	10330
19139	Muscatine	Iowa	43235
19141	O'Brien	Iowa	14182
19143	Osceola	Iowa	6192
19145	Page	Iowa	15211
19147	Palo Alto	Iowa	8996
19149	Plymouth	Iowa	25698
19151	Pocahontas	Iowa	7078
