BUYER_DEA_NO	BUYER	CITY	ST	FIPS	ACT	REPORTER_DEA_NO	REPORTER	FAMILY	RCITY	RST	RACT	DU	O30	Y0	Y1	N
BC5933634	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0205559	CVS TN DISTRIBUTION, LLC	CVS	KNOXVILLE	TN	DISTRIBUTOR	584200.0	0.0	2006	2012	1817
BN0742331	NORWOOD PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	493300.0	12400.0	2006	2012	1598
FB2378835	BELEW DRUGS ASHEVILLE HIGHWAY LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	548000.0	216900.0	2011	2012	1414
BF7000526	FOOD CITY PHARMACY #674	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	733000.0	460800.0	2009	2011	157
AW5402627	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	709900.0	0.0	2008	2012	2192
BW5602291	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	43130.0	7000.0	2006	2012	218
FM2967290	METRO KNOXVILLE HMA, LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	67200.0	25700.0	2012	2012	345
BS6743000	SAM'S PHARMACY 10-6572	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0282145	WAL-MART PHARMACY WHSE #45	Wal-Mart	ROGERS	AR	DISTRIBUTOR	723800.0	278700.0	2006	2012	2352
AR5209398	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	702100.0	214700.0	2006	2012	1835
AK2873316	KROGER PHARMACY #516	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	147600.0	42100.0	2006	2009	659
BF6608698	FOOD CITY PHARMACY #425	SOUTH WILLIAMSON	KY	21195	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	1574300.0	0.0	2006	2009	292
BF8998087	FOOD CITY PHARMACY #670	GRAY	TN	47179	CHAIN PHARMACY	RG0208581	THE HARVARD DRUG GROUP	The Harvard Drug Group	INDIANAPOLIS	IN	DISTRIBUTOR	500.0	0.0	2011	2011	1
BW0818611	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	43820.0	4200.0	2006	2012	254
AM7334749	COMMUNITY PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	33400.0	1600.0	2006	2010	236
BF8518687	FOOD CITY PHARMACY #667	SEVIERVILLE	TN	47155	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	490300.0	139900.0	2009	2011	681
AG6259940	GORDON'S DRUG COMPANY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RG0359390	GENERICS BIDCO I, LLC	Par Pharmaceutical, Inc.	HUNTSVILLE	AL	DISTRIBUTOR	97400.0	0.0	2007	2008	82
FF2058952	FORMULAB, LLC	KNOXVILLE	TN	47093	RETAIL PHARMACY	PS0001723	SMITH DRUG COMPANY	Smith Drug Company	SPARTANBURG	SC	DISTRIBUTOR	16000.0	400.0	2011	2012	96
BF6412833	FOOD CITY PHARMACY #607	MORRISTOWN	TN	47063	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	149200.0	8600.0	2009	2011	236
BF9649508	FOOD CITY PHARMACY #694	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	73000.0	43700.0	2012	2012	114
BF7704667	FOOD CITY PHARMACY #428	MIDDLESBORO	KY	21013	CHAIN PHARMACY	RM0220688	MCKESSON CORPORATION	McKesson Corporation	WASHINGTON CT HOUSE	OH	DISTRIBUTOR	27800.0	0.0	2012	2012	45
BW8012976	WALGREEN CO.	POWELL	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	986800.0	112700.0	2006	2012	2771
BF8673940	FOOD CITY PHARMACY #651	MARYVILLE	TN	47009	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	717500.0	146400.0	2006	2012	1566
BK0315944	KROGER PHARMACY #867	KNOXVILLE	TN	47093	CHAIN PHARMACY	RK0233180	KROGER LIMITED PARTNERSHIP I	Kroger	CLEVELAND	TN	DISTRIBUTOR	244600.0	0.0	2006	2009	1466
BW2111742	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	45330.0	4600.0	2006	2012	240
BF6834825	FOOD CITY PHARMACY #820	WEBER CITY	VA	51169	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	882030.0	0.0	2006	2011	918
BD1649978	DISNEY PHARMACY SERVICES	POWELL	TN	47093	RETAIL PHARMACY	RG0208581	THE HARVARD DRUG GROUP	The Harvard Drug Group	INDIANAPOLIS	IN	DISTRIBUTOR	163200.0	0.0	2011	2012	163
AC0401226	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0205559	CVS TN DISTRIBUTION, LLC	CVS	KNOXVILLE	TN	DISTRIBUTOR	1320400.0	0.0	2006	2012	2577
BF9074472	FOOD CITY PHARMACY #471	PRESTONSBURG	KY	21071	CHAIN PHARMACY	RM0220688	MCKESSON CORPORATION	McKesson Corporation	WASHINGTON CT HOUSE	OH	DISTRIBUTOR	13800.0	0.0	2012	2012	32
BF9215080	FOOD CITY PHARMACY #685	KNOXVILLE	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	97400.0	4100.0	2009	2011	339
BW5384956	WAL-MART PHARMACY 10-1319	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	77020.0	8900.0	2006	2012	315
BW0315677	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	49160.0	6800.0	2006	2012	229
BF4584024	FOUR WAY PRESCRIPTION SHOP	KNOXVILLE	TN	47093	RETAIL PHARMACY	RM0314790	MORRIS & DICKSON CO	Morris & Dickson Co	SHREVEPORT	LA	DISTRIBUTOR	236100.0	76900.0	2012	2012	339
BF7017773	FOOD CITY PHARMACY #617	BRISTOL	TN	47163	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	73200.0	0.0	2006	2010	124
BF7721675	FOOD CITY PHARMACY #653	KINGSTON	TN	47145	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	24200.0	2000.0	2012	2012	80
AW3233296	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	49360.0	6100.0	2006	2012	173
BC3865017	CLENS PHARMACY II	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	42300.0	8300.0	2006	2007	159
BR9504211	RIGGS DRUG EMORY ROAD	POWELL	TN	47093	RETAIL PHARMACY	RH0347282	H. D. SMITH WHOLESALE DRUG	H. D. Smith	LOUISVILLE	KY	DISTRIBUTOR	18100.0	12100.0	2007	2008	26
AW5402627	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	34930.0	5500.0	2006	2012	156
BF9612614	FOOD CITY PHARMACY #675	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	24600.0	13400.0	2012	2012	49
FR2113265	RIGGS DRUG STORE	POWELL	TN	47093	RETAIL PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	147500.0	96300.0	2010	2011	38
FT3340166	TARGET STORES A DIV. OF TARGET CORP.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	8760.0	0.0	2012	2012	31
BF7403950	FOOD CITY PHARMACY #891	BIG STONE GAP	VA	51195	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	59300.0	0.0	2006	2008	67
BF9649483	FOOD CITY PHARMACY #683	FARRAGUT	TN	47093	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	71900.0	39500.0	2008	2009	49
BN0742331	NORWOOD PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	PW0032538	D & K HEALTHCARE RESOURCES	D & K Healthcare Resources	LEXINGTON	KY	DISTRIBUTOR	10900.0	0.0	2006	2006	49
FB2967389	BELEW DRUGS WASHINGTON PIKE INC	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0186014	AUBURN PHARMACEUTICAL	Auburn Pharmaceutical	TROY	MI	DISTRIBUTOR	6300.0	1200.0	2012	2012	11
AK1067948	KNOX COUNTY HEALTH DEPARTMENT	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	164000.0	0.0	2006	2012	164
BF6794362	FOOD CITY PHARMACY #424	PAINTSVILLE	KY	21115	CHAIN PHARMACY	RA0314562	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	LOCKBOURNE	OH	DISTRIBUTOR	585100.0	5200.0	2006	2012	1519
BF6412871	FOOD CITY PHARMACY #681	OAK RIDGE	TN	47001	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	30400.0	10600.0	2012	2012	67
BC3865017	CLENS PHARMACY II	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	8500.0	600.0	2006	2006	37
BF8698776	FOOD CITY PHARMACY 640	JONESBOROUGH	TN	47179	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	3500.0	0.0	2006	2009	5
BR4328072	BI-LO PHARMACY, #367	FARRAGUT	TN	47093	CHAIN PHARMACY	RA0180733	ANDA, INC	Anda, Inc	WESTON	FL	DISTRIBUTOR	7500.0	0.0	2006	2006	10
BF6412833	FOOD CITY PHARMACY #607	MORRISTOWN	TN	47063	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	29400.0	0.0	2006	2010	31
BF9927988	FOOD CITY PHARMACY #827	CEDAR BLUFF	VA	51185	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	3310.0	0.0	2006	2010	25
BK5145114	KROGER #558	KNOXVILLE	TN	47093	CHAIN PHARMACY	PP0220828	KROGER LIMITED PARTNERSHIP II	Kroger	BLUFFTON	IN	DISTRIBUTOR	700.0	0.0	2006	2006	4
BF4584024	FOUR WAY PRESCRIPTION SHOP	KNOXVILLE	TN	47093	RETAIL PHARMACY	RG0103553	GENETCO  INC	Genetco Inc	RONKONKOMA	NY	DISTRIBUTOR	500.0	0.0	2007	2009	2
FF0099057	FOOD CITY PHARMACY #615	JEFFERSON CITY	TN	47089	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	7000.0	0.0	2009	2011	17
AK2618063	KROGER PHARMACY #513	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	3100.0	400.0	2006	2006	14
BT9769778	TARGET STORES A DIV. OF TARGET CORP.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0287020	ANDA PHARMACEUTICALS INC	Anda, Inc	GROVEPORT	OH	DISTRIBUTOR	800.0	0.0	2011	2012	2
FQ2529848	QUICK SCRIPTS, INC.	KNOXVILLE	TN	47093	RETAIL PHARMACY	RK0236403	KEYSOURCE MEDICAL	KeySource Medical	CINCINNATI	OH	DISTRIBUTOR	2400.0	2400.0	2011	2011	1
BM9749675	MCFARLAND PHARMACY KNOXVILLE	KNOXVILLE	TN	47093	RETAIL PHARMACY	RA0287020	ANDA PHARMACEUTICALS INC	Anda, Inc	GROVEPORT	OH	DISTRIBUTOR	800.0	0.0	2009	2009	3
BK5384639	KROGER PHARMACY #530	KNOXVILLE	TN	47093	CHAIN PHARMACY	PP0220828	KROGER LIMITED PARTNERSHIP II	Kroger	BLUFFTON	IN	DISTRIBUTOR	500.0	0.0	2006	2006	3
BF6794362	FOOD CITY PHARMACY #424	PAINTSVILLE	KY	21115	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	400.0	0.0	2009	2009	2
BR9504211	RIGGS DRUG EMORY ROAD	POWELL	TN	47093	RETAIL PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	3500.0	1000.0	2008	2010	5
BR4328072	BI-LO PHARMACY, #367	FARRAGUT	TN	47093	CHAIN PHARMACY	RA0287020	ANDA PHARMACEUTICALS INC	Anda, Inc	GROVEPORT	OH	DISTRIBUTOR	500.0	0.0	2006	2006	1
BS9884013	SUMMIT VIEW PHARMACY SERVICES, INC.	KNOXVILLE	TN	47093	RETAIL PHARMACY	RP0355847	APHENA PHARMA SOLUTIONS-TN	Aphena Pharma Solutions	COOKEVILLE	TN	MANUFACTURER	2970.0	0.0	2008	2008	3
BF7148047	FOOD CITY PHARMACY #669	BLOUNTVILLE	TN	47163	CHAIN PHARMACY	RG0208581	THE HARVARD DRUG GROUP	The Harvard Drug Group	INDIANAPOLIS	IN	DISTRIBUTOR	500.0	0.0	2011	2011	1
BF7403950	FOOD CITY PHARMACY #891	BIG STONE GAP	VA	51195	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	100.0	0.0	2009	2009	1
AG6259940	GORDON'S DRUG COMPANY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RM0303482	MATRIX	Matrix	EAST BRUNSWICK	NJ	DISTRIBUTOR	500.0	0.0	2009	2009	1
BF8530621	FOOD CITY PHARMACY #860	DAMASCUS	VA	51191	CHAIN PHARMACY	RG0208581	THE HARVARD DRUG GROUP	The Harvard Drug Group	INDIANAPOLIS	IN	DISTRIBUTOR	500.0	0.0	2011	2011	1
BF6310003	FOOD CITY PHARMACY #865	GALAX	VA	51640	CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	803600.0	32400.0	2006	2012	2986
AR2166660	TENNESSEE CVS PHARMACY, L.L.C.	FARRAGUT	TN	47093	CHAIN PHARMACY	PR0205559	CVS TN DISTRIBUTION, LLC	CVS	KNOXVILLE	TN	DISTRIBUTOR	1312300.0	0.0	2006	2012	2444
AW3233296	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0347496	WALGREEN CO.	Walgreen Co	WILLIAMSTON	SC	DISTRIBUTOR	2735100.0	0.0	2008	2012	3728
BT6962509	TARGET STORES A DIV.OF TARGET CORP.	KNOXVILLE	TN	47093	CHAIN PHARMACY	PR0040357	MCKESSON CORPORATION	McKesson Corporation	DULUTH	GA	DISTRIBUTOR	459250.0	53500.0	2006	2012	1697
BF8029589	FOOD CITY PHARMACY #606	GREENEVILLE	TN	47059	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	592260.0	7500.0	2006	2012	1683
BK5384639	KROGER PHARMACY #530	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	529960.0	150900.0	2006	2012	2253
BW2932134	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	2013500.0	197800.0	2006	2012	4084
BF6660206	FOOD CITY PHARMACY #655	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1189400.0	70200.0	2006	2012	3151
AK2873291	KROGER PHARMACY #506	KNOXVILLE	TN	47093	CHAIN PHARMACY	RK0233180	KROGER LIMITED PARTNERSHIP I	Kroger	CLEVELAND	TN	DISTRIBUTOR	767500.0	0.0	2006	2012	3539
BK1115395	KROGER PHARMACY #684	KNOXVILLE	TN	47093	CHAIN PHARMACY	RK0233180	KROGER LIMITED PARTNERSHIP I	Kroger	CLEVELAND	TN	DISTRIBUTOR	197800.0	0.0	2006	2012	1563
BF6834825	FOOD CITY PHARMACY #820	WEBER CITY	VA	51169	CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	895300.0	51600.0	2006	2012	2544
BF6004472	FOOD CITY PHARMACY #892	CLINTWOOD	VA	51051	CHAIN PHARMACY	RA0289000	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	GLEN ALLEN	VA	DISTRIBUTOR	665400.0	4100.0	2006	2012	1725
BN0742331	NORWOOD PHARMACY	KNOXVILLE	TN	47093	RETAIL PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	105730.0	900.0	2006	2012	223
FF1127744	FOOD CITY PHARMACY #654	CLINTON	TN	47001	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	304000.0	26800.0	2008	2012	869
FW2137190	WALGREEN CO.	CORRYTON	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	147100.0	24700.0	2010	2012	524
BF9481944	FOOD CITY PHARMACY #672	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	887800.0	226600.0	2006	2012	1944
BF7351810	FOOD CITY PHARMACY #678	KNOXVILLE	TN	47093	CHAIN PHARMACY	RA0223432	AMERISOURCEBERGEN DRUG CORP	AmerisourceBergen Drug	PELHAM	AL	DISTRIBUTOR	1288320.0	250500.0	2006	2012	3635
BF6412871	FOOD CITY PHARMACY #681	OAK RIDGE	TN	47001	CHAIN PHARMACY	RD0277409	MASTERS PHARMACEUTICAL, INC	River City Pharma	CINCINNATI	OH	DISTRIBUTOR	98000.0	0.0	2009	2011	238
BK6696720	KROGER PHARMACY #870	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	544900.0	259200.0	2006	2012	1339
BF6004472	FOOD CITY PHARMACY #892	CLINTWOOD	VA	51051	CHAIN PHARMACY	RM0220688	MCKESSON CORPORATION	McKesson Corporation	WASHINGTON CT HOUSE	OH	DISTRIBUTOR	15200.0	0.0	2012	2012	42
BR3546972	TENNESSEE CVS PHARMACY, L.L.C.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RC0238104	CARDINAL HEALTH	Cardinal Health	KNOXVILLE	TN	DISTRIBUTOR	774100.0	215500.0	2006	2012	2623
BW5154632	WALGREEN CO.	FARRAGUT	TN	47093	CHAIN PHARMACY	RW0294493	WALGREEN CO	Walgreen Co	PERRYSBURG	OH	DISTRIBUTOR	1182000.0	161000.0	2006	2012	3049
BF7148112	FOOD CITY PHARMACY #656	CROSSVILLE	TN	47035	CHAIN PHARMACY	RG0131499	THE HARVARD DRUG GROUP-MI	The Harvard Drug Group	LIVONIA	MI	DISTRIBUTOR	43200.0	0.0	2006	2010	67
AW8388743	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0277752	WALGREEN CO	Walgreen Co	JUPITER	FL	DISTRIBUTOR	153900.0	19900.0	2006	2007	428
BD1649978	DISNEY PHARMACY SERVICES	POWELL	TN	47093	RETAIL PHARMACY	RG0359390	GENERICS BIDCO I, LLC	Par Pharmaceutical, Inc.	HUNTSVILLE	AL	DISTRIBUTOR	92000.0	0.0	2007	2008	40
BW8639873	WALGREEN CO.	KNOXVILLE	TN	47093	CHAIN PHARMACY	RW0277752	WALGREEN CO	Walgreen Co	JUPITER	FL	DISTRIBUTOR	38600.0	5500.0	2006	2007	191
