PF 114 assets 250756583.0
PF city [('SAN JUAN', 54), ('DORADO', 7), ('BAYAMON', 5), ('PONCE', 5), ('CAGUAS', 4), ('HUMACAO', 4), ('GUAYNABO', 3), ('CAROLINA', 3), ('RIO GRANDE', 2), ('TOA BAJA', 2)]
all city [('SAN JUAN', 791), ('BAYAMON', 126), ('CAGUAS', 104), ('PONCE', 102), ('GUAYNABO', 100), ('CAROLINA', 83), ('MAYAGUEZ', 69), ('DORADO', 56), ('HUMACAO', 51), ('AGUADILLA', 46), ('ARECIBO', 42), ('ISABELA', 34)]
dorado all 56
660886681 | FUNDACION TRIPLE-S INC | % TRIPLE S MANAGEMENT CO | PO BOX 363628 | SAN JUAN | 202007 |F 04 | 202512 |A 4507944 |I 495754 | M20
660687181 | ASOCIACION LATINOAMERICANA DE OPTOMETRIA Y | % DR JUAN M VAZQUEZ | PO BOX 9192 | CAGUAS | 202005 |F 04 | 202512 |A 59187 |I 470 | E19
660923587 | FUNDACION PROTECTORA DE LA CATEDRAL METROP |  | CALLE DEL CRISTO 151 | SAN JUAN | 202005 |F 03 | 202412 |A 111162 |I 10960 | X12
326567162 | MAGNOLIA FOUNDATION | % TOM R S MILLON | 408 COCO BEACH BLVD | RIO GRANDE | 202003 |F 04 | 202412 |A 375080 |I 41342 | T22
660622734 | ALQUIMIA CORP | % ALBA N DIAZ | URB ROOSEVELT 313 | SAN JUAN | 201910 |F 03 | 202412 |A 29994 |I 33311 | A25
660695186 | EGIDA METROPOLITANA INC | % ABIGAIL RODRIGUEZ | 908 STREET 1 SE REPARTO METROP | SAN JUAN | 201910 |F 03 | 202412 |A 493724 |I 24508 | L21
660881155 | ISME LLC |  | PO BOX 50091 | TOA BAJA | 201908 |F 03 | 202412 |A 52129 |I 48795 | B90
660907881 | ASOCIACION DE AMIGOS DEL FROTIN DE SAN JER |  | 1515 CALLE LOPEZ LANDRON | SAN JUAN | 201907 |F 04 | 202312 |A 5034 |I 98 | A54
660665558 | OCONUCO-TIERRAS PROTEGIDAS INC | % ROBERT C QUINLAN | 208 AVE PONCE DE LEON STE 1600 | SAN JUAN | 201906 |F 03 | 202512 |A 1 |I 1 | C50
660670718 | FUNDACION EDUCATIVA HIMA SAN PABLO INC | % JOAQUIN RODRIGUEZ | PO BOX 4980 | CAGUAS | 201906 |F 04 | 202512 |A 1236567 |I 598384 | B82
660708877 | ARTE FITS FOUNDATION INC |  | PO BOX 190538 | SAN JUAN | 201906 |F 04 | 202512 |A 65800 |I 135082 | A90
841730205 | UPSHOT | % STUART BERNSEN | PO BOX 165 | LUQUILLO | 201906 |F 04 | 202412 |A 2199787 |I 57675 | T20
660920674 | FUNDACION JEDA GROUP INC | % DIXIE M ACOSTA | 66 CALLE LORENZA BIZO | PONCE | 201905 |F 04 | 202512 |A 1 |I 1 | M20
660914382 | MIND & BODY AWARENESS FOUNDATION INC | % JESUS RABELL | 564 RAMON GANDIA ST BALDRICH | SAN JUAN | 201903 |F 04 | 202412 |A 105 |I 1200 | T12
660897142 | RAIN AND ROSE CHARITABLE FUND LLC |  | 3207 PLANTATION VLG | DORADO | 201810 |F 04 | 202412 |A 1267716 |I 1283645 | Q33
660902532 | MONTE AZUL INC | % ANDREW HERMANN | KM 29-01 PR 128 | MARICAO | 201807 |F 04 | 202412 |A 322618 |I 762694 | O53
660881198 | CHRISTIAN GIVING CORP | % CAROLYN BRITVEN | 295 PALMAS INN WAY STE 1040 PM | HUMACAO | 201806 |F 04 | 202412 |A 12705 |I 1 | T22
660888427 | KATHERINEJAMES FOUNDATION |  | PMB 150 425 CARR 693 | DORADO | 201805 |F 04 | 202412 |A 63554381 |I 1621803 | T90
660866654 | SUPER HEROES 5K INC | % SOAMMY ACEVEDO | PO BOX 4515 | AGUADILLA | 201804 |F 04 | 202412 |A 748324 |I 1055788 | P82
660885818 | ESTANCIA DORADA CORP | % KEYLA RODRIGUEZ | URB SAN ALFONSO | CAGUAS | 201801 |F 04 | 202412 |A 143527 |I 434795 | P85
660736063 | RIOVENA FOUNDATION INC | % JORGE L RODRIGUEZ | FERNANDEZ JUNCOS AVE 2ND FLOOR | SAN JUAN | 201711 |F 03 | 202506 |A 2419 |I 92117 | M20
660870996 | MCS FOUNDATION INC | % JOSE R APONTE AMADOR | PO BOX 193310 | SAN JUAN | 201711 |F 04 | 202412 |A 21122 |I 1784073 | T20
660883350 | LIBERTY CABLEVISION PUERTO RICO FOUNDATION | % NELSON COLON CRUZ | 996 CALLE SAN ROBERTO STE 100 | SAN JUAN | 201711 |F 04 | 202412 |A 204443 |I 1146500 | M12
660886689 | FUNDACION MAREY INC | % SONIA REYES GONZALEZ | PO BOX 6281 | SAN JUAN | 201710 |F 04 | 202512 |A 3176 |I 2000 | M12
660766334 | CENTRO DE APOYO PARA EL DESARROLLO DE LA U | % NELSON GARCIA | CONDOMINIO TORRE LIDA 85 STE A | SAN JUAN | 201705 |F 03 | 202412 |A 556578 |I 1349756 | P40
660814252 | PONCE HEALTH SCIENCES EDUCATION FOUNDATION |  | PO BOX 596 | MERCEDITA | 201701 |F 04 | 202412 |A 20782488 |I 1451676 | T22
660872498 | GLOBAL CHRISTIAN OUTREACH CORPORATION | % LANCE TALKINGTON | 295 PALMAS INN WAY STE 104 PMB | HUMACAO | 201701 |F 04 | 202512 |A 453623 |I 131927 | X20
660858450 | COLITAS DE AMOR EN JUNCOS INC | % SANDRA L MANSILLA | 613 CALLE HOARE APT 4 | SAN JUAN | 201607 |F 04 | 202512 |A 1 |I 9200 | D20
660839264 | MARK E CURRY FAMILY FOUNDATION INC | % MARK E CURRY | 53 CALLE PALMERAS STE 1501 | SAN JUAN | 201509 |F 04 | 202512 |A 78501 |I 1039902 | E12
660827101 | DORADO HOUSING DEVELOPMENT CORPORATION | % MARTA HERNANDEZ | 501 CALLE PERSEO STE 210 | SAN JUAN | 201505 |F 04 | 202412 |A 1105 |I 224 | L20
660642701 | CENTRO DE LA MUJER DOMINICANA INC | % ROMELINDA GRULLON MIGU | PO BOX 20068 | SAN JUAN | 201408 |F 03 | 202412 |A 350109 |I 634469 | P84
660801404 | PARA LA NATURALEZA INC | % MARIA C APONTE ALEQUIN | PO BOX 9023554 | SAN JUAN | 201408 |F 03 | 202412 |A 15848086 |I 18522238 | C30
666022718 | FIDEICOMISO JOSE RAMON ALVAREZ- RODRIGUEZ  | % PABLO L ALVAREZ | PO BOX 363348 | SAN JUAN | 201408 |F 04 | 202512 |A 15427433 |I 3713829 | X99
660804878 | HOGAR DE ANCIANOS EL JARDIN DEL EDEN INC | % CARMEN R LOPEZ | PO BOX 902 | LAJAS | 201407 |F 04 | 202512 |A 771008 |I 621750 | Z99
900771779 | WILLIAM AND LISA MCGAHAN FAMILY FOUNDATION | % WILLIAM MCGAHAN | 200 DORADO BEACH DRIVE 3622WB | DORADO | 201201 |F 04 | 202512 |A 2458196 |I 5929945 | T21
660727042 | KINESIS INC |  | 1001 CALLE SAN ROBERTO | SAN JUAN | 201003 |F 03 | 202506 |A 19321854 |I 3556923 | O50
660622450 | SALUD CENTRO CORP | % LIND CLAUDIO | PO BOX 6412 | SAN JUAN | 201001 |F 04 | 202512 |A 66228 |I 58 | E70
450498661 | BELTRAN FAMILY FOUNDATION INC | % BDO USA LLP | PO BOX 801469 | COTO LAUREL | 200512 |F 04 | 202412 |A 677315 |I 30838 | T222
660493133 | NUESTROS CORAZONES UNIDOS DE PUERTO RICO I | % SAN JUAN BAUTISTA MEDI | PO BOX 7183 | CAGUAS | 200302 |F 04 |  |A  |I  | E99
660572018 | UNANUE LOPEZ FAMILY FOUNDATION |  | PO BOX 601467 | BAYAMON | 200107 |F 03 | 202412 |A 307841 |I 522156 | T23
113579283 | MARIE AND PAUL NAPOLI FOUNDATION | % MARIE ELIZABETH KAISER | 200 DORADO BEACH DRIVE 3812 | DORADO | 200102 |F 04 | 202412 |A 65700 |I 317993 | T20
660554057 | HOGAR MANUEL MEDIAVILLA NEGRON INC | % DINORAH COLON | PO BOX 9321 | HUMACAO | 200008 |F 04 | 202506 |A 12711530 |I 1091497 | L22
660540290 | HOUSING DEVELOPMENT C O R P TOA BAJA C D | % LUIS C PANTOJA | PO BOX 5111 | TOA BAJA | 199707 |F 04 | 202406 |A 1 |I 1 | L20
133801234 | MULE FAMILY FOUNDATION | % MULE FAMILY FOUNDATION | 200 DORADO BEACH DRIVE RES 343 | DORADO | 199608 |F 04 | 202508 |A 31243807 |I 3662681 | T99Z
820474867 | JAMES AND BARBARA CIMINO FOUNDATION INC | % JAMES N CIMINO | PO BOX 363328 | SAN JUAN | 199506 |F 04 | 202412 |A 27151172 |I 4162019 | T20Z
660271454 | HARVEY FOUNDATION INC | % 1519 PONCE DE LEON | 1519 PONCE DE LEON AVE | SAN JUAN | 196803 |F 04 | 202512 |A 3861442 |I 447090 | 
