-- S03 utility data: whole table (1,701 rows)
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | STATE | OWNERSHIP_TYPE | NERC_REGION | NERC_TRE | NERC_FRCC | NERC_MRO | NERC_NPCC | NERC_RFC | NERC_SERC | NERC_SPP | NERC_WECC | RTO_CAISO | RTO_ERCOT | RTO_PJM | RTO_NYISO | RTO_SPP | RTO_MISO | RTO_ISONE | RTO_OTHER | ACTIVITY_GENERATION | ACTIVITY_TRANSMISSION | ACTIVITY_BUYING_TRANSMISSION | ACTIVITY_DISTRIBUTION | ACTIVITY_BUYING_DISTRIBUTION | ACTIVITY_WHOLESALE_MARKETING | ACTIVITY_RETAIL_MARKETING | ACTIVITY_BUNDLED | ALT_FUEL_VEHICLE | ALT_FUEL_VEHICLE_2 | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
cddfe7f90f2c631b84e5b13b04539329-1 | 2024 | 20334 | Wellsborough Electric Co | PA | Investor Owned | RFC |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
84edce6046287d6bef9dc5d957022daf-1 | 2024 | 14288 | Ozark Electric Coop Inc - (MO) | MO | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
43908ee4a0145a98b49948ec98917c17-1 | 2024 | 3266 | Central Maine Power Co | ME | Investor Owned | NPCC |  |  |  | Y |  |  |  |  |  |  |  |  |  |  | Y |  |  | Y | Y | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
1a08ac8910fbc8359eb903a894456297-1 | 2024 | 18466 | Town of Tarboro - (NC) | NC | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
0ff26b65fb8aecf7b0825dd9d7d89c28-1 | 2024 | 6709 | Easley Combined Utility System | SC | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y | Y |  |  | Y |  |  |  | Y |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
ea9414ce65b88a552038dc42f5a9a8e5-1 | 2024 | 18951 | Tishomingo County E P A | MS | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
7d5b37b934d2035255c35045b66c85d4-1 | 2024 | 13830 | Nueces Electric Cooperative | TX | Cooperative | TRE | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
26bde9c4a59ab19f85b81105d9bd959f-1 | 2024 | 11200 | Lorain-Medina R E C, Inc | OH | Cooperative | RFC |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  |  |  | Y |  |  |  | N | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
6c18e20d6d4038023fd59f5402e6f704-1 | 2024 | 18917 | Tillamook Peoples Utility Dist | OR | Political Subdivision | WECC |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
7c7cf3bc41e89945702c57bbe3bf43b7-1 | 2024 | 12187 | City of McMinnville - (OR) | OR | Municipal | WECC |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  | Y | N | N | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
b40a940633b28c042ed48bace5c38065-1 | 2024 | 2212 | Broad River Electric Coop, Inc | SC | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y | N |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
329767116b414afcd1eb5f30cdefeb73-1 | 2024 | 10574 | L & O Power Co-operative | IA | Cooperative | MRO |  |  | Y |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  | Y |  |  |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
14b276915f3c7b663a56fe7098486946-1 | 2024 | 7654 | Greer Commission of Public Wks | SC | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
a08f0ccfcdce98f410eb9707a16b6c83-1 | 2024 | 15312 | Village of Prairie Du Sac - (WI) | WI | Municipal | MISO |  |  | Y |  | N |  |  |  |  |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
e7ebf955eead0fc53f2b1cae1d9a7fa2-1 | 2024 | 15419 | PUD No 3 of Mason County | WA | Political Subdivision |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | Y |  | Y | Y | Y |  | Y |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
8a65ce7731e627f7f7ea8b9700c410f0-1 | 2024 | 18957 | Tri-County Elec Member Corp (NC) | NC | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
a6bfe247ef0c52cf93c960127924cec3-1 | 2024 | 13780 | Northern States Power Co | MN | Investor Owned | MRO |  |  | Y |  |  |  |  |  |  |  |  |  |  | Y |  |  | Y | Y | Y | Y |  | Y |  | Y | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
431e904c7e32208bd6a3d4a3d5d666b4-1 | 2024 | 6194 | Farmers Rural Electric Coop Corp - (KY) | KY | Cooperative | RFC |  |  |  |  | Y | Y |  |  |  |  | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
2dce4aa6ed142b2c2e1c6e881198ab7a-1 | 2024 | 947 | Athens Utility Board | TN | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
c3c19e92a30ace56dde888a79ad8317c-1 | 2024 | 20176 | City of Water Valley - (MS) | MS | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
2559965ec877cacebe12c289889a3620-1 | 2024 | 14653 | PUD No 1 of Pend Oreille County | WA | Political Subdivision | WECC |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | Y | Y | Y | Y | Y |  | Y |  |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
b17e25a23eb182b9b11b2bcf1ec7114b-1 | 2024 | 16674 | Satilla Rural Elec Member Corporation | GA | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
75879e2284835f447930fc91366fc3af-1 | 2024 | 66867 | David Energy Supply LLC |  | Retail Power Marketer |  |  |  |  |  |  |  |  |  |  | Y | Y | Y |  |  | Y |  |  |  |  |  |  |  |  |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
0c0f8816a6d2093d9c89d1714ef5ab94-1 | 2024 | 298 | City of Alexandria - (LA) | LA | Municipal | SERC |  |  |  |  |  | Y | N |  |  |  |  |  | N | Y |  |  | Y | Y | Y | Y |  |  |  | Y | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
2dad1ecff8fc234a6d3ee84d02350c35-1 | 2024 | 6458 | Energy Harbor Corp. | TX | Retail Power Marketer | RFC | N |  |  |  | Y |  |  |  |  |  | Y |  |  | Y |  |  |  |  |  |  |  | Y | Y |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
a99314ec8d8115c09984cc15a8cb7763-1 | 2024 | 12642 | Maquoketa Valley Rrl Elec Coop | IA | Cooperative | RFC |  |  | Y |  | N |  |  |  |  |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  | Y |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
b59814f467073d8f27b5e0548c90f3e9-1 | 2024 | 61206 | Total Gas & Power North America Inc | TX | Retail Power Marketer |  | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  | Y | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
2874c1691e81d2013826fc1ff8fd66a9-1 | 2024 | 59084 | SFE Energy Maryland, Inc. | CN | Retail Power Marketer |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
abe0a8a9465b1724a365bfb868591125-1 | 2024 | 6608 | Fort Loudoun Electric Coop | TN | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
019912d8add47a2dbd872d5fdea4b823-1 | 2024 | 6455 | Duke Energy Florida, LLC | FL | Investor Owned | FRCC |  | Y |  |  |  | N |  |  |  |  |  |  |  |  |  | Y | Y | Y | Y | Y |  | Y |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
77989e348df5942b09e36310c3bae33a-1 | 2024 | 8761 | Holmes-Wayne Electric Coop Inc | OH | Cooperative | RFC |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
b857b93d8ce01039e5c058727cee36b8-1 | 2024 | 62914 | StateWise Energy Pennsylvania LLC | CN | Retail Power Marketer |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
1932d204e133b31f4104434d902c0614-1 | 2024 | 60202 | Electranet Power LLC | TX | Retail Power Marketer |  | Y |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
4407ecdaa045b1af197c9a1babb8e488-1 | 2024 | 15470 | Duke Energy Indiana, LLC | IN | Investor Owned | RFC |  |  |  |  | Y |  |  |  |  |  | N |  |  | Y |  |  | Y | Y | Y | Y |  | Y | N |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
60bb44923b9473369f453967cdecfbf5-1 | 2024 | 3712 | Clay County Electric Coop Corp - (AR) | AR | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  | Y | Y |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
8b4468313373f50fccfeebd08f77b39c-1 | 2024 | 14724 | Pennyrile Rural Electric Coop | KY | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
73c9beb87888d12b089ed8a4269cfac4-1 | 2024 | 13826 | City of Norway | MI | Municipal | MISO |  |  | Y |  | N |  |  |  |  |  |  |  |  | Y |  |  | Y |  |  | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
816c493f7518e90641690e2582cbcf9c-1 | 2024 | 10071 | Kauai Island Utility Cooperative | HI | Cooperative | HICC |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Y | Y | N | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
11ea9d1fa0fccddeaa24f0bd17c05715-1 | 2024 | 1167 | Baltimore Gas & Electric Co | MD | Investor Owned | RFC |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  | Y |  | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
5c6d162561e7700f502dbf913e07daad-1 | 2024 | 7490 | Grand River Dam Authority | OK | State | SPP |  |  | Y |  |  |  | N |  |  |  |  |  | Y |  |  |  | Y | Y | Y | Y | N | Y |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
18400128a6e3d8fe812d8e0ae55871d4-1 | 2024 | 19856 | City of Vineland - (NJ) | NJ | Municipal | RFC |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  | Y | N | Y | Y |  | Y |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
b55a7441464b77c4994cd372f29b8ca2-1 | 2024 | 12532 | City of Milan - (TN) | TN | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
522e5a5e350cc83013df30e6950b27b8-1 | 2024 | 10226 | Utility Board of the City of Key West, F | FL | Municipal |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y | N | Y | Y | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
bdef0af8b7b5868e4ea5d7c0ce98779a-1 | 2024 | 18642 | Tennessee Valley Authority | TN | Federal |  |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y | Y | Y |  |  |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
b6fc9d97cdf98989c4546047b3e9d79a-1 | 2024 | 59993 | Discount Power Inc - (CT) | CT | Retail Power Marketer |  |  |  |  | N |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  |  |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
e8d24629fc9363d2a624af4e32b22daa-1 | 2024 | 40606 | City of Grand Island - (NE) | NE | Municipal | MRO |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y | N | Y | Y |  | Y |  | Y |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
bef34cc32f8c2d168b4caef1a1a6c96c-1 | 2024 | 14251 | Owen Electric Coop Inc | KY | Cooperative |  |  |  |  |  | N |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  | N | N | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
75c7edc8bab795986191987982888dd2-1 | 2024 | 49987 | Harvard Dedicated Energy Limit | MA | Retail Power Marketer |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | Y |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
3276dac672fe2343d061f5afd5a7572d-1 | 2024 | 11477 | Town of Madison - (ME) | ME | Municipal | NPCC |  |  |  | Y |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  | Y |  |  |  |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
f09a37009086ba269c6e7e54ac3a33f9-1 | 2024 | 3226 | Central Rural Electric Cooperative, Inc | OK | Cooperative |  |  |  |  |  |  | N |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
(1701 rows; csv has all)
