-- S09 advanced meters: whole table, smart-meter counts per utility-state, the precondition for time-varying rates
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | OWNERSHIP | SHORT_FORM | STATE | BA_CODE | RESIDENTIAL_AMR_METERS | COMMERCIAL_AMR_METERS | INDUSTRIAL_AMR_METERS | TRANSPORTATION_AMR_METERS | TOTAL_AMR_METERS | RESIDENTIAL_AMI_METERS | COMMERCIAL_AMI_METERS | INDUSTRIAL_AMI_METERS | TRANSPORTATION_AMI_METERS | TOTAL_AMI_METERS | RESIDENTIAL_AMI_HOME_AREA_NETWORK_METERS | COMMERCIAL_AMI_HOME_AREA_NETWORK_METERS | INDUSTRIAL_AMI_HOME_AREA_NETWORK_METERS | TRANSPORTATION_AMI_HOME_AREA_NETWORK_METERS | TOTAL_AMI_HOME_AREA_NETWORK_METERS | RESIDENTIAL_NON_AMR_AMI_METERS | COMMERCIAL_NON_AMR_AMI_METERS | INDUSTRIAL_NON_AMR_AMI_METERS | TRANSPORTATION_NON_AMR_AMI_METERS | TOTAL_NON_AMR_AMI_METERS | RESIDENTIAL_TOTAL_METERS | COMMERCIAL_TOTAL_METERS | INDUSTRIAL_TOTAL_METERS | TRANSPORTATION_TOTAL_METERS | TOTAL_TOTAL_METERS | RESIDENTIAL_ENERGY_SERVED_AMI_MWH | COMMERCIAL_ENERGY_SERVED_AMI_MWH | INDUSTRIAL_ENERGY_SERVED_AMI_MWH | TRANSPORTATION_ENERGY_SERVED_AMI_MWH | TOTAL_ENERGY_SERVED_AMI_MWH | RESIDENTIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | COMMERCIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | INDUSTRIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | TRANSPORTATION_AMI_DAILY_DIGITAL_ACCESS_METERS | TOTAL_AMI_DAILY_DIGITAL_ACCESS_METERS | RESIDENTIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | COMMERCIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | INDUSTRIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TRANSPORTATION_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TOTAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
05173a5df7cbee8c56fc480600ff023c-1 | 2024 | 40127 | Clarke-Washington E M C | Cooperative |  | AL | SOCO | 1 |  |  |  | 1 | 18707 | 1792 | 61 |  | 20560 |  |  |  |  |  |  | 1 |  |  | 1 | 18708 | 1793 | 61 | 0 | 20562 | 220000.0 | 37000.0 | 21231.0 |  | 278231.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
5931de971d3acca7bbd9421e0382dab2-1 | 2024 | 10968 | City of Lexington - (TN) | Municipal |  | TN | TVA | 0 | 0 | 0 | 0 | 0 | 17961 | 5616 | 7 | 0 | 23584 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 17961 | 5616 | 7 | 0 | 23584 | 231999.0 | 157783.0 | 36670.0 | 0 | 426452.0 | 17961 | 5616 | 7 | 0 | 23584 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
a5c3397797b189a915383fc51bf77784-1 | 2024 | 17512 | Village of Solvay - (NY) | Municipal |  | NY | NYIS | 4680 | 476 | 26 |  | 5182 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4680 | 476 | 26 | 0 | 5182 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
1f653f782ecc5eb9f5079a680886882f-1 | 2024 | 19227 | City of Troy - (IN) | Municipal | Y | IN | MISO | 263 | 25 |  |  | 288 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 263 | 25 | 0 | 0 | 288 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
21cae3eb3f3cfc13973ccb914c2e12c0-1 | 2024 | 25295 | Western Indiana Energy REMC | Cooperative |  | IN | MISO |  |  |  |  |  | 15017 | 2381 | 41 |  | 17439 |  |  |  |  |  |  |  |  |  |  | 15017 | 2381 | 41 | 0 | 17439 | 211398.0 | 116997.0 | 277437.0 |  | 605832.0 | 15017 | 2381 | 41 |  | 17439 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
7804c6fd0beac7988107f06b50bd92f1-1 | 2024 | 18100 | Steuben County Rural E M C | Cooperative | Y | IN | MISO |  |  |  |  |  | 9195 | 578 | 9 |  | 9782 |  |  |  |  |  |  |  |  |  |  | 9195 | 578 | 9 | 0 | 9782 | 91923.0 | 29634.0 | 94211.0 |  | 215768.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
4cca5297776bcdea7d31b4df85a57fd1-1 | 2024 | 15474 | Public Service Co of Oklahoma | Investor Owned |  | OK | SWPP | 215 | 2 | 0 | 0 | 217 | 505650 | 74177 | 6061 | 0 | 585888 | 5 | 0 | 0 | 0 | 5 | 71 | 7 | 40 | 0 | 118 | 505936 | 74186 | 6101 | 0 | 586223 | 6253342.0 | 6720996.0 | 5386771.0 | 0 | 18361109.0 | 477602 | 63750 | 5887 | 0 | 547239 | 13139 | 0 | 0 | 0 | 13139 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
dc8d0d09828cf40842367d49a52ab192-1 | 2024 | 9617 | JEA | Municipal |  | FL | JEA |  |  |  |  |  | 470564 | 61115 | 203 | 1 | 531883 |  |  |  |  |  |  |  |  |  |  | 470564 | 61115 | 203 | 1 | 531883 | 6021884.0 | 4156854.0 | 2690679.0 | 3848 | 12873265.0 | 470564 | 61115 | 203 | 1 | 531883 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
d49414f31349be7e4d9dc03c5ef4fc99-1 | 2024 | 19545 | Black Hills Power, Inc. | Investor Owned |  | WY | WACM |  |  |  |  |  | 2018 | 609 | 10 |  | 2637 |  |  |  |  |  |  |  |  |  |  | 2018 | 609 | 10 | 0 | 2637 | 19839.0 | 42058.0 | 115609.0 |  | 177506.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
2a81049dd36f9867cc0f20f6bff94023-1 | 2024 | 18022 | City of Statesville - (NC) | Municipal |  | NC | DUK | 0 | 0 | 0 |  | 0 | 12114 | 2626 | 48 |  | 14788 | 0 | 0 | 0 |  | 0 | 6 | 1 | 10 |  | 17 | 12120 | 2627 | 58 | 0 | 14805 | 129240.0 | 185334.0 | 37092.0 |  | 351666.0 | 12114 | 2626 | 48 |  | 14788 | 0 | 0 | 0 |  | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
