-- S16 Big filers (large accelerated and accelerated) whose 10-K or 10-Q came in past the extended deadline, all nine quarters: exchange listing, and insider open-market trades between the extended deadline and the filing
Q | NAME | CIK | FORM | AFS | SIC | STPRBA | PD | EXT_DUE | FD | LAG | PREVRPT | EXCH | TICK | SALES_IN_GAP | SALE_USD_IN_GAP | BUYS_IN_GAP | SALES_PRIOR_365 | SALE_USD_PRIOR_365 | INS_D0 | INS_D1
2025Q4 | COMPASS DIVERSIFIED HOLDINGS | 1345126 | 10-Q | 1-LAF | 2510 | CT | 2025-03-31 | 2025-05-15 | 2025-12-18 | 262 | 0 | NYSE | CODI | 0 | 0.0 | 0 | 5 | 12365789.0 | 2016-07-28 | 2025-03-03
2024Q2 | GUSHEN, INC | 1639327 | 10-K | 1-LAF | 7363 |  | 2023-09-30 | 2023-12-14 | 2024-05-31 | 244 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2025Q1 | SUPER MICRO COMPUTER, INC. | 1375365 | 10-K | 1-LAF | 3571 | CA | 2024-06-30 | 2024-09-13 | 2025-02-25 | 240 | 0 | Nasdaq | SMCI | 0 | 0.0 | 0 | 98 | 77899455.0 | 2015-10-05 | 2025-02-28
2024Q3 | 3D SYSTEMS CORP | 910638 | 10-K | 1-LAF | 7372 | SC | 2023-12-31 | 2024-03-15 | 2024-08-13 | 226 | 0 | NYSE | DDD | 0 | 0.0 | 0 | 2 | 221989.0 | 2017-03-08 | 2024-12-17
2025Q2 | EVOLV TECHNOLOGIES HOLDINGS, INC. | 1805385 | 10-Q | 1-LAF | 3577 | MA | 2024-09-30 | 2024-11-14 | 2025-04-28 | 210 | 0 | Nasdaq | EVLV | 2 | 423756.0 | 0 | 25 | 3909393.0 | 2021-08-24 | 2025-03-03
2025Q2 | UNIVERSAL CORP /VA/ | 102037 | 10-Q | 1-LAF | 5150 | VA | 2024-09-30 | 2024-11-14 | 2025-04-21 | 203 | 0 | NYSE | UVV | 0 | 0.0 | 0 | 3 | 324103.0 | 2016-08-10 | 2023-11-22
2025Q1 | TRIMBLE INC. | 864749 | 10-Q | 1-LAF | 3829 | CO | 2024-06-30 | 2024-08-14 | 2025-01-16 | 200 | 0 | Nasdaq | TRMB | 0 | 0.0 | 0 | 22 | 2347920.0 | 2012-08-30 | 2025-02-25
2025Q1 | B. RILEY FINANCIAL, INC. | 1464790 | 10-Q | 1-LAF | 6282 | CA | 2024-06-30 | 2024-08-14 | 2025-01-14 | 198 | 0 | Nasdaq | RILY | 0 | 0.0 | 0 | 1 | 1253743.0 | 2016-07-05 | 2023-12-15
2024Q4 | ZHUOXUN HONGTU INC. | 1639327 | 10-Q | 1-LAF | 7363 |  | 2024-03-31 | 2024-05-15 | 2024-10-11 | 194 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2025Q4 | COMPASS DIVERSIFIED HOLDINGS | 1345126 | 10-Q | 1-LAF | 2510 | CT | 2025-06-30 | 2025-08-14 | 2025-12-29 | 182 | 0 | NYSE | CODI | 0 | 0.0 | 0 | 1 | 3118066.0 | 2016-07-28 | 2025-03-03
2025Q3 | PATHWARD FINANCIAL, INC. | 907471 | 10-Q | 1-LAF | 6021 | SD | 2025-03-31 | 2025-05-15 | 2025-09-10 | 163 | 0 | Nasdaq | CASH | 0 | 0.0 | 0 | 4 | 640167.0 | 2016-11-23 | 2024-11-08
2024Q1 | CUTERA INC | 1162461 | 10-Q | 1-LAF | 3845 | CA | 2023-09-30 | 2023-11-14 | 2024-03-05 | 157 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 | 2016-11-10 | 2024-05-16
2024Q1 | INFINERA CORP | 1138639 | 10-Q | 1-LAF | 3661 | CA | 2023-09-30 | 2023-11-14 | 2024-02-29 | 152 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 | 2016-08-01 | 2023-08-17
2025Q1 | SUPER MICRO COMPUTER, INC. | 1375365 | 10-Q | 1-LAF | 3571 | CA | 2024-09-30 | 2024-11-14 | 2025-02-25 | 148 | 0 | Nasdaq | SMCI | 0 | 0.0 | 0 | 93 | 72386477.0 | 2015-10-05 | 2025-02-28
2025Q1 | B. RILEY FINANCIAL, INC. | 1464790 | 10-Q | 1-LAF | 6282 | CA | 2024-09-30 | 2024-11-14 | 2025-02-21 | 144 | 0 | Nasdaq | RILY | 0 | 0.0 | 0 | 0 | 0.0 | 2016-07-05 | 2023-12-15
2024Q3 | 3D SYSTEMS CORP | 910638 | 10-Q | 1-LAF | 7372 | SC | 2024-03-31 | 2024-05-15 | 2024-08-20 | 142 | 0 | NYSE | DDD | 0 | 0.0 | 0 | 2 | 221989.0 | 2017-03-08 | 2024-12-17
2024Q2 | INFINERA CORP | 1138639 | 10-K | 1-LAF | 3661 | CA | 2023-12-31 | 2024-03-15 | 2024-05-17 | 138 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 | 2016-08-01 | 2023-08-17
2024Q2 | AUTODESK, INC. | 769397 | 10-K | 1-LAF | 7372 | CA | 2024-01-31 | 2024-04-15 | 2024-06-10 | 131 | 0 | Nasdaq | ADSK | 0 | 0.0 | 0 | 45 | 29089409.0 | 2007-03-24 | 2025-03-28
2024Q4 | COMPASS MINERALS INTERNATIONAL INC | 1227654 | 10-Q | 1-LAF | 1400 | KS | 2024-06-30 | 2024-08-14 | 2024-10-30 | 122 | 0 | NYSE | CMP | 0 | 0.0 | 0 | 0 | 0.0 | 2017-08-09 | 2025-03-26
2024Q4 | ZHUOXUN HONGTU INC. | 1639327 | 10-Q | 1-LAF | 7363 |  | 2024-06-30 | 2024-08-14 | 2024-10-29 | 121 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2025Q2 | TRIMBLE INC. | 864749 | 10-K | 1-LAF | 3829 | CO | 2024-12-31 | 2025-03-16 | 2025-04-25 | 115 | 0 | Nasdaq | TRMB | 0 | 0.0 | 0 | 9 | 1299007.0 | 2012-08-30 | 2025-02-25
2024Q2 | B. RILEY FINANCIAL, INC. | 1464790 | 10-K | 1-LAF | 6282 | CA | 2023-12-31 | 2024-03-15 | 2024-04-24 | 115 | 0 | Nasdaq | RILY | 0 | 0.0 | 0 | 1 | 1253743.0 | 2016-07-05 | 2023-12-15
2024Q2 | FISKER INC./DE | 1720990 | 10-K | 1-LAF | 3711 | CA | 2023-12-31 | 2024-03-15 | 2024-04-23 | 114 | 0 |  |  | 0 | 0.0 | 0 | 1 | 60960.0 | 2020-06-29 | 2023-03-28
2025Q2 | UNIVERSAL CORP /VA/ | 102037 | 10-Q | 1-LAF | 5150 | VA | 2024-12-31 | 2025-02-14 | 2025-04-21 | 111 | 0 | NYSE | UVV | 0 | 0.0 | 0 | 0 | 0.0 | 2016-08-10 | 2023-11-22
2025Q1 | TRIMBLE INC. | 864749 | 10-Q | 1-LAF | 3829 | CO | 2024-09-30 | 2024-11-14 | 2025-01-16 | 108 | 0 | Nasdaq | TRMB | 0 | 0.0 | 0 | 16 | 1585971.0 | 2012-08-30 | 2025-02-25
2026Q1 | COMPASS DIVERSIFIED HOLDINGS | 1345126 | 10-Q | 1-LAF | 2510 | CT | 2025-09-30 | 2025-11-14 | 2026-01-14 | 106 | 0 | NYSE | CODI | 0 | 0.0 | 0 | 0 | 0.0 | 2016-07-28 | 2025-03-03
2024Q4 | EMPIRE STATE REALTY TRUST, INC. | 1541401 | 10-Q | 1-LAF | 6798 | NY | 2024-06-30 | 2024-08-14 | 2024-10-08 | 100 | 0 | NYSE | ESRT | 0 | 0.0 | 0 | 0 | 0.0 | 2017-12-04 | 2025-03-24
2024Q4 | EMPIRE STATE REALTY OP, L.P. | 1553079 | 10-Q | 1-LAF | 6798 | NY | 2024-06-30 | 2024-08-14 | 2024-10-08 | 100 | 0 | NYSE | ESBA | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2025Q2 | NEW FORTRESS ENERGY INC. | 1749723 | 10-Q | 1-LAF | 4924 | NY | 2025-03-31 | 2025-05-15 | 2025-06-30 | 91 | 0 | Nasdaq | NFE | 0 | 0.0 | 0 | 0 | 0.0 | 2019-02-01 | 2025-03-13
2025Q1 | IRONWOOD PHARMACEUTICALS INC | 1446847 | 10-K | 1-LAF | 2834 | MA | 2024-12-31 | 2025-03-16 | 2025-03-31 | 90 | 0 | Nasdaq | IRWD | 0 | 0.0 | 0 | 16 | 2010554.0 | 2016-08-19 | 2025-02-10
2024Q4 | INGLES MARKETS INC | 50493 | 10-K | 1-LAF | 5411 | NC | 2024-09-30 | 2024-12-14 | 2024-12-27 | 88 | 0 | Nasdaq | IMKTA | 0 | 0.0 | 0 | 11 | 3127520.0 | 2016-01-19 | 2024-06-27
2024Q4 | QUANTERIX CORP | 1503274 | 10-Q | 1-LAF | 3826 | MA | 2024-09-30 | 2024-11-14 | 2024-12-26 | 87 | 0 | Nasdaq | QTRX | 0 | 0.0 | 0 | 4 | 112405.0 | 2017-12-11 | 2024-08-20
2024Q1 | CHEMOURS CO | 1627223 | 10-K | 1-LAF | 2800 | DE | 2023-12-31 | 2024-03-15 | 2024-03-27 | 87 | 0 | NYSE | CC | 0 | 0.0 | 0 | 2 | 470328.0 | 2017-05-03 | 2024-11-07
2024Q4 | DISCOVER FINANCIAL SERVICES | 1393612 | 10-Q | 1-LAF | 6141 | IL | 2024-09-30 | 2024-11-14 | 2024-12-23 | 84 | 0 |  |  | 0 | 0.0 | 0 | 1 | 3748193.0 | 2014-07-29 | 2024-01-26
2024Q2 | AVID BIOSERVICES, INC. | 704562 | 10-Q | 1-LAF | 2834 | CA | 2024-01-31 | 2024-03-16 | 2024-04-24 | 84 | 0 |  |  | 0 | 0.0 | 0 | 43 | 2623031.0 | 2017-10-27 | 2025-01-10
2026Q1 | CORE LABORATORIES INC. /DE/ | 1958086 | 10-K | 1-LAF | 1389 | TX | 2025-12-31 | 2026-03-16 | 2026-03-23 | 82 | 0 | NYSE | CLB | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2025Q3 | PATHWARD FINANCIAL, INC. | 907471 | 10-Q | 1-LAF | 6021 | SD | 2025-06-30 | 2025-08-14 | 2025-09-16 | 78 | 0 | Nasdaq | CASH | 0 | 0.0 | 0 | 4 | 640167.0 | 2016-11-23 | 2024-11-08
2024Q2 | AZEK CO INC. | 1782754 | 10-Q | 1-LAF | 3089 | IL | 2024-03-31 | 2024-05-15 | 2024-06-14 | 75 | 0 |  |  | 0 | 0.0 | 0 | 27 | 610690271.0 | 2020-09-15 | 2025-03-10
2025Q3 | NEW FORTRESS ENERGY INC. | 1749723 | 10-Q | 1-LAF | 4924 | NY | 2025-06-30 | 2025-08-14 | 2025-09-05 | 67 | 0 | Nasdaq | NFE | 0 | 0.0 | 0 | 0 | 0.0 | 2019-02-01 | 2025-03-13
2024Q3 | 3D SYSTEMS CORP | 910638 | 10-Q | 1-LAF | 7372 | SC | 2024-06-30 | 2024-08-14 | 2024-08-29 | 60 | 0 | NYSE | DDD | 0 | 0.0 | 0 | 0 | 0.0 | 2017-03-08 | 2024-12-17
2024Q2 | MEDICAL PROPERTIES TRUST INC | 1287865 | 10-Q | 1-LAF | 6798 | AL | 2024-03-31 | 2024-05-15 | 2024-05-29 | 59 | 0 | NYSE | MPT | 0 | 0.0 | 0 | 0 | 0.0 | 2016-08-09 | 2025-03-05
2024Q4 | 3D SYSTEMS CORP | 910638 | 10-Q | 1-LAF | 7372 | SC | 2024-09-30 | 2024-11-14 | 2024-11-26 | 57 | 0 | NYSE | DDD | 0 | 0.0 | 0 | 0 | 0.0 | 2017-03-08 | 2024-12-17
2025Q1 | SUPER MICRO COMPUTER, INC. | 1375365 | 10-Q | 1-LAF | 3571 | CA | 2024-12-31 | 2025-02-14 | 2025-02-25 | 56 | 0 | Nasdaq | SMCI | 0 | 0.0 | 0 | 61 | 8614751.0 | 2015-10-05 | 2025-02-28
2024Q4 | SPIRIT AIRLINES, INC. | 1498710 | 10-Q | 1-LAF | 4512 | FL | 2024-09-30 | 2024-11-14 | 2024-11-25 | 56 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 | 2016-09-13 | 2024-12-17
2024Q2 | INFINERA CORP | 1138639 | 10-Q | 1-LAF | 3661 | CA | 2024-03-31 | 2024-05-15 | 2024-05-24 | 54 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 | 2016-08-01 | 2023-08-17
2024Q3 | ALBERTSONS COMPANIES, INC. | 1646972 | 10-Q | 1-LAF | 5411 | ID | 2024-05-31 | 2024-07-15 | 2024-07-23 | 53 | 0 | NYSE | ACI | 0 | 0.0 | 0 | 2 | 2528087.0 | 2020-06-30 | 2024-05-01
2024Q3 | ADVANCE AUTO PARTS INC | 1158449 | 10-Q | 1-LAF | 5531 | NC | 2024-06-30 | 2024-08-14 | 2024-08-22 | 53 | 0 | NYSE | AAP | 0 | 0.0 | 0 | 1 | 159937.0 | 2016-08-18 | 2025-03-27
2025Q3 | ALBERTSONS COMPANIES, INC. | 1646972 | 10-Q | 1-LAF | 5411 | ID | 2025-05-31 | 2025-07-15 | 2025-07-22 | 52 | 0 | NYSE | ACI | 0 | 0.0 | 0 | 0 | 0.0 | 2020-06-30 | 2024-05-01
2025Q4 | NEW FORTRESS ENERGY INC. | 1749723 | 10-Q | 1-LAF | 4924 | NY | 2025-09-30 | 2025-11-14 | 2025-11-21 | 52 | 0 | Nasdaq | NFE | 0 | 0.0 | 0 | 0 | 0.0 | 2019-02-01 | 2025-03-13
2025Q3 | DOMINOS PIZZA INC | 1286681 | 10-Q | 1-LAF | 5140 | MI | 2025-05-31 | 2025-07-15 | 2025-07-21 | 51 | 0 | Nasdaq | DPZ | 0 | 0.0 | 0 | 26 | 14099133.0 | 2016-07-25 | 2025-03-17
(152 rows; csv has all)
