book_id,extract_id
M-090,HD-224
M-090,TB-211
M-090,HD-225
M-090,TB-212
M-090,HD-226
M-090,TB-213
M-090,HD-227
M-090,TB-260
M-090,HD-267
M-091,TB-214
M-091,HD-228
M-091,TB-215
M-091,HD-229
M-091,TB-255
M-091,HD-262
M-092,TB-233
M-092,HD-247
M-093,WN-084
M-093,WN-094
M-094,TB-235
M-094,HD-249
M-095,TB-014
M-095,HD-583
M-097,TB-321
M-097,HD-362
M-097,LF-096
M-098,TB-306
M-098,HD-033
M-098,TB-573
M-098,HD-547
M-098,WN-077
M-099,TB-308
M-099,HD-051
M-099,TB-315
M-099,HD-357
M-100,TB-307
M-100,HD-050
M-101,WN-088
M-102,TB-272
M-102,HD-321
M-102,TB-273
M-102,HD-322
M-103,TB-274
M-103,HD-323
M-103,TB-275
M-103,HD-324
M-103,TB-276
M-103,HD-325
M-104,TB-309
M-104,HD-351
M-104,LB-111
M-104,TB-310
M-104,HD-352
M-104,LB-112
M-105,TB-225
M-105,HD-239
M-105,TB-226
M-105,HD-240
M-105,TB-261
M-105,HD-268
M-106,TB-227
M-106,HD-241
M-106,TB-228
M-106,HD-242
M-106,TB-254
M-106,HD-261
M-107,TB-277
M-107,HD-326
M-107,TB-278
M-107,HD-327
M-107,TB-279
M-107,HD-328
M-108,TB-268
M-108,HD-317
M-108,TB-269
M-108,HD-318
M-109,TB-270
M-109,HD-319
M-109,TB-271
M-109,HD-320
M-110,TB-300
M-110,HD-349
M-110,TB-313
M-110,HD-355
M-110,LB-115
M-111,TB-311
M-111,HD-353
M-111,LB-113
M-111,TB-312
M-111,HD-354
M-111,LB-114
M-112,TB-264
M-112,HD-313
M-112,TB-317
M-112,HD-359
M-113,LB-134
M-114,TB-265
M-114,HD-314
M-114,TB-663
M-115,TB-266
M-115,HD-315
M-115,TB-267
M-115,HD-316
M-116,TB-322
M-116,HD-363
M-117,TB-301
M-117,HD-350
M-118,TB-121
M-118,HD-089
M-118,WN-078
M-120,LF-025
M-121,TB-004
M-121,HD-573
M-122,TB-599
M-122,LB-142
M-123,TB-019
M-123,HD-588
M-124,TB-299
M-124,HD-348
M-125,TB-402
M-125,HD-074
M-126,WN-056
M-127,TB-297
M-127,HD-346
M-127,TB-298
M-127,HD-347
M-127,TB-563
M-127,HD-537
M-128,TB-324
M-128,HD-063
M-129,WN-062
M-130,WN-120
M-131,TB-287
M-131,HD-336
M-131,TB-288
M-131,HD-337
M-131,TB-289
M-131,HD-338
M-132,TB-319
M-132,HD-361
M-132,TB-323
M-132,HD-364
M-133,LF-094
M-134,TB-304
M-134,HD-093
M-134,TB-520
M-134,HD-505
M-134,LB-123
M-134,LF-028
M-134,WN-108
M-135,TB-302
M-135,HD-078
M-135,TB-452
M-135,HD-514
M-135,WN-114
M-136,TB-290
M-136,HD-339
M-136,TB-291
M-136,HD-340
M-137,TB-303
M-137,HD-092
M-138,TB-281
M-138,HD-330
M-138,TB-020
M-138,HD-589
M-139,TB-282
M-139,HD-331
M-139,TB-318
M-139,HD-360
M-140,TB-280
M-140,HD-329
M-141,TB-283
M-141,HD-332
M-142,TB-305
M-142,HD-094
M-143,TB-284
M-143,HD-333
M-143,TB-285
M-143,HD-334
M-144,TB-296
M-144,HD-345
M-145,TB-292
M-145,HD-341
M-145,TB-293
M-145,HD-342
M-145,TB-294
M-145,HD-343
M-145,TB-295
M-145,HD-344
M-146,WN-197
M-147,LF-024
M-148,LF-092
M-148,LF-093
M-148,LF-095
M-149,TB-640
M-149,LB-019
M-149,TB-171
M-149,HD-368
M-150,TB-641
M-150,LB-020
M-151,TB-642
M-151,LB-021
M-152,TB-643
M-152,LB-022
M-152,TB-172
M-152,HD-369
M-153,LB-163
M-155,WN-058
M-156,TB-407
M-156,HD-395
M-157,TB-186
M-157,HD-035
M-158,TB-403
M-158,HD-084
M-159,WN-060
M-160,TB-195
M-160,HD-388
M-160,LB-120
M-161,TB-476
M-161,HD-003
M-161,TB-378
M-161,HD-017
M-161,WN-057
M-161,WN-064
M-162,TB-173
M-162,HD-370
M-163,TB-168
M-163,HD-365
M-163,TB-192
M-163,HD-385
M-163,LB-087
M-163,TB-196
M-163,HD-389
M-163,LB-119
M-164,WN-051
M-165,TB-169
M-165,HD-366
M-165,TB-191
M-165,HD-384
M-165,LB-086
M-166,TB-124
M-166,HD-032
M-167,TB-198
M-167,HD-037
M-167,WN-063
M-168,TB-170
M-168,HD-367
M-168,TB-190
M-168,HD-383
M-168,LB-085
M-169,TB-183
M-169,HD-380
M-169,TB-184
M-169,HD-381
M-169,TB-185
M-169,HD-382
M-170,TB-180
M-170,HD-377
M-170,TB-541
M-170,HD-486
M-170,TB-540
M-170,HD-485
M-171,TB-417
M-171,HD-405
M-171,TB-418
M-171,HD-406
M-171,TB-419
M-171,HD-407
M-171,TB-420
M-171,HD-408
M-172,TB-179
M-172,HD-376
M-173,TB-408
M-173,HD-396
M-174,LF-013
M-174,LF-014
M-174,LF-019
M-175,TB-644
M-175,LB-023
M-176,LB-128
M-177,TB-645
M-177,LB-024
M-177,TB-646
M-177,LB-025
M-177,TB-647
M-177,LB-026
M-178,LB-150
M-179,TB-421
M-179,HD-409
M-179,TB-422
M-179,HD-410
M-179,TB-423
M-179,HD-411
M-180,TB-440
M-180,HD-079
M-181,TB-578
M-181,HD-552
M-181,HD-570
M-182,TB-617
M-183,TB-194
M-183,HD-387
M-183,LB-118
M-184,LF-022
M-184,LF-021
M-185,TB-449
M-185,HD-511
M-185,TB-451
M-185,HD-513
M-185,LB-117
M-185,TB-448
M-185,HD-510
M-185,TB-450
M-185,HD-512
M-187,TB-444
M-187,HD-506
M-187,TB-013
M-187,HD-582
M-187,LB-149
M-187,WN-175
M-188,TB-445
M-188,HD-507
M-188,TB-446
M-188,HD-508
M-189,TB-120
M-189,HD-077
M-189,TB-574
M-189,HD-548
M-189,TB-608
M-189,WN-098
M-189,WN-116
M-190,WN-113
M-190,WN-115
M-190,WN-117
M-191,TB-199
M-191,HD-391
M-193,WN-099
M-194,WN-177
M-195,WN-097
M-196,LF-040
M-196,LF-091
M-197,LF-031
M-199,TB-441
M-199,HD-426
M-200,TB-409
M-200,HD-397
M-201,TB-410
M-201,HD-398
M-201,TB-431
M-201,HD-417
M-201,LB-075
M-202,TB-443
M-202,HD-140
M-202,LB-166
M-203,LF-037
M-204,TB-430
M-204,HD-416
M-204,LB-074
M-204,TB-432
M-204,HD-418
M-204,LB-076
M-205,TB-028
M-205,HD-080
M-205,TB-080
M-205,HD-158
M-205,TB-438
M-205,HD-424
M-206,TB-569
M-206,HD-543
M-207,TB-438
M-207,HD-424
M-207,WN-066
M-208,WN-067
M-209,TB-427
M-209,HD-415
M-209,TB-434
M-209,HD-420
M-209,LB-078
M-209,LB-079
M-210,TB-401
M-210,HD-139
M-211,LF-066
M-212,TB-426
M-212,HD-414
M-212,TB-411
M-212,HD-399
M-212,TB-484
M-212,HD-495
M-213,TB-506
M-213,HD-015
M-214,TB-507
M-214,HD-124
M-215,TB-437
M-215,HD-423
M-215,LB-055
M-215,LB-083
M-215,LB-122
M-215,LF-027
M-215,LF-055
M-216,TB-510
M-216,HD-141
M-217,WN-072
M-218,TB-508
M-218,HD-535
M-219,TB-429
M-219,HD-036
M-219,WN-061
M-220,TB-572
M-220,HD-546
M-220,LB-050
M-220,LF-039
M-221,TB-354
M-221,HD-059
M-222,TB-466
M-222,HD-056
M-222,WN-055
M-223,TB-415
M-223,HD-403
M-223,TB-416
M-223,HD-404
M-223,LB-084
M-224,WN-092
M-224,WN-093
M-225,WN-065
M-226,LB-153
M-226,LB-154
M-226,LB-081
M-226,LF-023
M-227,TB-435
M-227,HD-421
M-227,LB-080
M-228,WN-070
M-228,WN-013
M-229,WN-010
M-230,TB-442
M-230,HD-427
M-230,LB-165
M-231,TB-101
M-231,HD-179
M-232,TB-413
M-232,HD-401
M-232,TB-414
M-232,HD-402
M-233,WN-073
M-234,TB-412
M-234,HD-400
M-235,TB-509
M-235,HD-536
M-236,LF-018
M-237,LF-073
M-237,LF-079
M-237,LF-084
M-238,TB-525
M-238,HD-530
M-239,WN-133
M-239,WN-143
M-239,WN-176
M-240,TB-649
M-240,LB-028
M-240,WN-139
M-241,TB-648
M-241,LB-027
M-242,TB-650
M-242,LB-029
M-242,WN-157
M-243,TB-651
M-243,LB-030
M-243,WN-167
M-244,LB-157
M-245,WN-137
M-245,WN-159
M-245,WN-162
M-246,TB-602
M-246,TB-528
M-246,HD-082
M-246,WN-054
M-246,WN-086
M-247,WN-118
M-247,WN-121
M-248,WN-195
M-248,WN-200
M-249,TB-490
M-249,HD-100
M-249,WN-076
M-249,WN-091
M-250,TB-491
M-250,HD-471
M-251,TB-505
M-251,HD-482
M-252,TB-492
M-252,HD-472
M-252,TB-631
M-252,LB-009
M-252,LB-010
M-253,TB-632
M-253,LB-011
M-253,TB-504
M-253,HD-481
M-254,TB-633
M-254,LB-012
M-254,TB-493
M-254,HD-473
M-255,TB-634
M-255,LB-013
M-255,LB-146
M-256,TB-494
M-256,HD-474
M-257,TB-495
M-257,HD-475
M-258,TB-502
M-258,HD-075
M-259,WN-090
M-260,TB-503
M-260,HD-076
M-260,TB-592
M-260,HD-566
M-261,TB-496
M-261,HD-476
M-261,TB-497
M-261,HD-477
M-262,TB-498
M-262,HD-478
M-262,TB-499
M-262,HD-479
M-262,TB-500
M-262,HD-480
M-263,HD-237
M-263,TB-223
M-264,HD-378
M-264,TB-181
M-265,HD-412
M-265,TB-424
M-266,HD-413
M-266,TB-425
M-267,WN-212
