book_id,extract_id
L-276,LB-M72
L-277,LB-M73
L-278,LB-M74
L-279,LB-M75
L-280,LB-M76
L-281,LB-M77
L-282,LB-M78
L-283,LB-M79
L-284,LB-M80
L-285,LB-M81
L-286,LB-M82
L-287,LB-M83
L-288,LB-M84
L-289,LB-M85
L-290,LB-M86
L-291,LB-M87
L-292,LB-M88
