-- S18 raw landing job dates for every FracFocus disclosure (the mart's JOB_START_DATE is empty), parsed locally
DISCLOSUREID | JOBSTARTDATE | JOBENDDATE
beb26f5a-e5de-45dc-aa0e-3922de4b4453 | 5/22/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
4fadb126-d16e-4af9-942a-c3fb1d09a4c7 | 7/4/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
d3a0dda2-b191-46b7-8235-f9e0277d2eaa | 7/3/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
04af7641-7380-4c3b-a708-e22cf728ea24 | 6/12/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
6312686e-9dd9-430d-83ea-369667bcc9c1 | 6/23/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
304208ee-e451-43f2-9f8d-381f0fa55b26 | 6/26/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
e4e83836-00bb-46ec-a4c1-8623211558dd | 7/2/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
8d488e07-385d-4824-bed5-d1fd62067ff7 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
779d502a-7041-4bd7-b8de-f69f90cf8d78 | 7/3/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
fee0ca6e-f544-407c-896f-0fbfdf24152c | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
0b042e66-e3b9-4b6d-88db-0c26ce7b26e0 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
6aecdb63-ef07-4c9d-8180-26a506f4d226 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
3d4e8204-d599-4398-9b23-bbeb1b2f7df5 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
1b7e4088-6bb8-4626-9781-0bca63f84fae | 6/29/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
ed208270-9092-4f1e-9bc7-8197cdbe6734 | 6/25/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
68427022-d4e6-410d-99bc-467f13e44059 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
320d5127-03fd-4a5f-a40a-11767399446f | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
2d920966-ac15-46b7-bd9b-f25c9c0ee227 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
9a60dbe8-8236-4870-94e8-7464838c0bf2 | 7/3/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
e1dbd1f4-d22a-4e2d-b923-9bc8a62058ba | 6/27/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
5f3d4264-67a2-4a93-960f-5f517c2ff612 | 7/4/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
35c954a1-5022-4319-89e2-4ba3dd1eb5e0 | 7/4/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
b2a04180-bea9-4b7d-a53a-b362e386badb | 6/23/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
cf48700f-e398-4ab3-9813-a3275c505a6a | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
70831342-9143-4b6c-9ecc-00c0870bd6ee | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
d4165a76-5ce7-4f4d-85df-b3e5e4fc694c | 6/30/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
fe191111-b2fe-4249-9efa-64aba1fa623c | 7/4/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
fcf963f9-a86d-4a8a-8ecb-15c7479442d3 | 6/30/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
1251c715-50a3-419d-a914-8ed70e27b0ab | 6/30/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
b969791e-0edf-47da-8a38-c3a8e190f703 | 6/10/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
a32ca103-abac-4799-932b-0fb580508a07 | 6/10/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
0f66f234-34a5-4ba8-a50a-84e0a3296d5b | 6/10/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
9cbb0fca-8328-4acf-88b7-89cc1707fc0a | 7/3/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
7f8821c4-5001-4c92-b8ce-99781137ada6 | 7/5/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
9fe30829-05ee-40f8-ab1d-a89ad3b00f1e | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
f3351368-4251-4503-96a0-728198059246 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
9dca52bf-ef9e-449b-a9b5-c684cf7fc985 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
003c7d60-8f4f-400c-93ae-c682f8781d92 | 6/26/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
ffc167d1-2e15-4c59-9df2-8546ae0d2461 | 6/27/2014 5:00:00 PM | 7/7/2014 12:00:00 AM
59b2408e-10e1-48f4-b11d-9ac76a57d351 | 7/2/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
41f4a5af-13f3-4365-8e22-aa2396c64194 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
eb48c556-e3e9-4972-b042-f33b4daa969a | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
18a64f22-c74c-4034-b136-12ce738b2989 | 7/3/2014 8:34:41 PM | 7/7/2014 1:08:45 AM
80dcb855-e07d-42db-9cbf-3105c3303bcd | 6/30/2014 10:31:00 AM | 7/7/2014 2:12:00 AM
995fb5f4-fdac-47b6-8db4-564401acf7e5 | 6/30/2014 3:56:00 AM | 7/7/2014 3:37:00 AM
ef931e65-45c5-4113-9b29-596e8af070e1 | 6/30/2014 6:36:00 AM | 7/7/2014 5:22:00 AM
54b3c349-6832-441c-ae6b-34c50e25bc7a | 7/3/2014 3:21:55 AM | 7/7/2014 6:05:40 AM
cfad3328-5fa5-450b-95e5-02330be7654b | 6/30/2014 8:21:00 AM | 7/7/2014 7:54:00 AM
0da78edc-ec0f-4c32-a0df-b7830a4894fe | 7/1/2014 7:30:00 AM | 7/7/2014 8:15:00 AM
86f85e93-9a69-495a-b3c8-fa64572c6834 | 7/6/2014 5:18:23 AM | 7/7/2014 10:30:11 AM
02ab09ad-984a-4d17-8dbb-fb1df22874c7 | 6/18/2014 7:19:00 AM | 7/7/2014 10:55:00 AM
02b982f6-9974-4608-89b3-09d618a4bb12 | 7/1/2014 12:00:00 PM | 7/7/2014 12:00:00 PM
2901e170-58cb-4b95-a5b6-ae7f31f33c15 | 7/7/2014 9:05:00 AM | 7/7/2014 12:44:00 PM
d9dfed5b-ee00-4d8a-b0e6-fcb72718579b | 7/7/2014 1:34:00 PM | 7/7/2014 2:42:00 PM
4052558b-10c3-4391-acb4-05475c399d55 | 7/7/2014 12:53:00 PM | 7/7/2014 2:54:00 PM
ae7c650d-4176-45e9-a895-6087082b3bdc | 7/7/2014 7:33:11 AM | 7/7/2014 4:02:13 PM
80ba70c8-73dd-44c5-bae0-c4c8bce9e8bd | 7/7/2014 7:33:11 AM | 7/7/2014 4:02:13 PM
2df27b55-048b-45a8-acad-78597d45a2e4 | 7/4/2014 5:38:00 AM | 7/7/2014 4:30:00 PM
12eb9cd5-eff3-47e3-af56-92a8d78e9842 | 7/7/2014 7:30:00 AM | 7/7/2014 5:45:00 PM
7bb0b964-7ecb-4844-89fc-1ecabad0ff28 | 7/6/2014 7:00:00 PM | 7/7/2014 6:00:00 PM
cd5f3328-c2e8-4f82-bc1d-a3bdc520c9cb | 7/2/2014 4:43:00 AM | 7/7/2014 9:52:00 PM
ab7e09f1-6a56-447c-8e79-9ee88670c12e | 7/6/2014 8:45:00 AM | 7/7/2014 10:33:00 PM
2fa5d310-6b91-42b8-9567-1cf5f3388367 | 7/6/2014 8:45:00 AM | 7/7/2014 10:33:00 PM
d3b1d8ae-ce5f-4de3-945d-46a68923a81b | 7/3/2014 12:00:00 AM | 7/8/2014 12:00:00 AM
2d1aca02-bd42-4707-8597-8bdfae6e6dd0 | 7/7/2014 12:00:00 AM | 7/8/2014 12:00:00 AM
8f197f2c-49ef-4029-b698-92d51a64688b | 7/7/2014 12:00:00 AM | 7/8/2014 12:00:00 AM
(248835 rows; csv has all)
