-- S11 AQS: extract every site (20,994 rows) for local time and distance math
AQS_SITE_ID | STATE_CODE | COUNTY_CODE | SITE_NUMBER | LATITUDE | LONGITUDE | LAND_USE | LOCATION_SETTING | SITE_ESTABLISHED_DATE | SITE_CLOSED_DATE | OWNING_AGENCY | LOCAL_SITE_NAME | ADDRESS | CITY_NAME | COUNTY_NAME | STATE_NAME | CBSA_NAME | TRIBE_NAME
01-033-0036 | 01 | 033 | 0036 | 34.716757 | -87.881701 | AGRICULTURAL | RURAL | 1975-01-15 | 1988-06-26 | Tennessee Valley Authority |  | TVA COLBERT 9    2.6 MI SW COLBERT FOSSI | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0037 | 01 | 033 | 0037 | 34.689813 | -87.849756 | AGRICULTURAL | RURAL | 1976-01-01 | 1997-12-31 | Tennessee Valley Authority |  | 3.7 MI S OF COLBERT STEAM PLANT | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0038 | 01 | 033 | 0038 | 34.737342 | -87.838077 | COMMERCIAL | RURAL | 1976-01-01 | 1978-12-31 | Al Dept Of Env Mgt |  | 0.8 MILE S E OF COLBERT STEAM PLANT | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0039 | 01 | 033 | 0039 | 34.740923 | -87.879756 | AGRICULTURAL | RURAL | 1978-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 1.76 MILES W OF COLBERT STEAM PLANT | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0040 | 01 | 033 | 0040 | 34.735368 | -87.875312 | AGRICULTURAL | RURAL | 1979-01-01 | 1997-12-31 | Tennessee Valley Authority |  | FM PLANT ACCESS RD,GO WEST ON 72, 1.1 MI | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0041 | 01 | 033 | 0041 | 34.7637 | -87.652807 | INDUSTRIAL | SUBURBAN | 1983-01-01 |  | Tennessee Valley Authority |  | 0.98 MI. SSW OF NFDC CHIMNEY | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0042 | 01 | 033 | 0042 | 34.762033 | -87.662251 | INDUSTRIAL | SUBURBAN | 1983-01-01 |  | Tennessee Valley Authority |  | 1.4 MI. SW OF NFDC CHIMNEY | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0043 | 01 | 033 | 0043 | 34.73259 | -87.857534 | AGRICULTURAL | RURAL | 1983-09-27 |  | Tennessee Valley Authority |  | TVA COLBERT 13   0.9 MI SW COLBERT FP | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0044 | 01 | 033 | 0044 | 34.690647 | -87.821422 | AGRICULTURAL | RURAL | 1983-09-26 |  | Tennessee Valley Authority |  | TVA COLBERT 14___3.98 MI SE COLBERT FP | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0045 | 01 | 033 | 0045 | 34.737342 | -87.838077 | AGRICULTURAL | RURAL | 1975-11-11 | 1975-12-31 | Tennessee Valley Authority |  | PO BOX 2000 TUSCUMBIA AL 35674 | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-1001 | 01 | 033 | 1001 | 34.761676 | -87.638685 | INDUSTRIAL | SUBURBAN | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | WILSON DAM ROAD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-1002 | 01 | 033 | 1002 | 34.762619 | -87.638097 | INDUSTRIAL | SUBURBAN | 1977-01-01 | 2019-11-01 | Al Dept Of Env Mgt | MUSCLE SHOALS | WILSON DAM RD AND 2ND ST. | Muscle Shoals | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-1003 | 01 | 033 | 1003 | 34.7589 | -88.0138 | FOREST | RURAL | 2009-05-06 |  | National Park Service |  | Natchez Trace Parkway | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-2001 | 01 | 033 | 2001 | 34.751509 | -87.681684 | RESIDENTIAL | SUBURBAN | 1974-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 2. MI WSW OF OACD | Sheffield | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-035-0001 | 01 | 035 | 0001 | 31.477664 | -86.963307 | COMMERCIAL | URBAN AND CENTER CITY | 1972-01-01 | 1998-12-31 | Al Dept Of Env Mgt |  | COUNTY HEALTH DEPT | Evergreen | Conecuh | Alabama |  | 
01-039-0001 | 01 | 039 | 0001 | 31.305727 | -86.488569 | RESIDENTIAL | SUBURBAN | 1972-01-01 | 1994-12-31 | Al Dept Of Env Mgt |  | 300 WEST WATSON ST. | Andalusia | Covington | Alabama |  | 
01-043-0001 | 01 | 043 | 0001 | 34.180758 | -86.841452 | RESIDENTIAL | URBAN AND CENTER CITY | 1972-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 305 N 4TH AVE E | Cullman | Cullman | Alabama | Cullman, AL | 
01-043-0002 | 01 | 043 | 0002 | 34.179266 | -86.843612 | COMMERCIAL | URBAN AND CENTER CITY | 1976-01-01 | 1989-12-31 | Al Dept Of Env Mgt |  | 204 2ND AVE NE | Cullman | Cullman | Alabama | Cullman, AL | 
01-043-0003 | 01 | 043 | 0003 | 34.194821 | -86.856391 | COMMERCIAL | URBAN AND CENTER CITY | 1983-01-01 | 1988-12-31 | Al Dept Of Env Mgt | LDP PARAMETERS ESTIMATED | CULLMAN FAIRGROUNDS, CULLMAN COUNTY | Cullman | Cullman | Alabama | Cullman, AL | 
01-047-0001 | 01 | 047 | 0001 | 32.102367 | -87.31416 | RESIDENTIAL | SUBURBAN | 1972-01-01 | 1974-12-31 | Al Dept Of Env Mgt |  | METHODIST CHILDREN'S HOME | Selma | Dallas | Alabama | Selma, AL | 
01-047-0002 | 01 | 047 | 0002 | 32.408193 | -87.017768 | COMMERCIAL | URBAN AND CENTER CITY | 1974-01-01 | 1998-12-31 | Al Dept Of Env Mgt |  | ALABAMA AVE AT FRANKLIN STREET. | Selma | Dallas | Alabama | Selma, AL | 
01-049-0001 | 01 | 049 | 0001 | 34.456508 | -85.671628 | AGRICULTURAL | RURAL | 1997-01-01 |  | Al Dept Of Env Mgt |  | 29.9 MI S OF WIDOWS CREEK POWER PLANT | Fort Payne | DeKalb | Alabama | Fort Payne, AL | 
01-049-0002 | 01 | 049 | 0002 | 34.419016 | -85.714401 | AGRICULTURAL | RURAL | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 32.17 MI S OF WIDOWS CREEK POWER PLANT | Fort Payne | DeKalb | Alabama | Fort Payne, AL | 
01-049-0003 | 01 | 049 | 0003 | 34.466237 | -85.641065 | AGRICULTURAL | RURAL | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 29.5 MI SSE OF WIDOWS CREEK POWER PLANT | Fort Payne | DeKalb | Alabama | Fort Payne, AL | 
01-049-0004 | 01 | 049 | 0004 | 34.444849 | -85.685789 | AGRICULTURAL | RURAL | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 31.0 MI S OF WIDOWS CREEK POWER PLANT | Fort Payne | DeKalb | Alabama | Fort Payne, AL | 
01-049-0005 | 01 | 049 | 0005 | 34.495116 | -85.865264 | AGRICULTURAL | RURAL | 1997-01-01 |  | Al Dept Of Env Mgt |  | 27.5 MILES SSW OF WIDOWS CREEK STEAM PPL | Rainsville | DeKalb | Alabama | Fort Payne, AL | 
