-- S05 crosswalk: 60 random matched rows to eyeball the name match
EPA_REGISTRY_ID | FACILITY_NAME | MATCHED_LEGAL_NAME | MATCH_METHOD | MATCH_CONFIDENCE | PARENT_LEGAL_NAME | PARENT_CIK | PARENT_UEI
110072043485 | CVS PHARMACY #16284 | CVS HEALTH CORPORATION | brand | 0.85 | CVS HEALTH CORPORATION |  | 
110003128525 | WALMART SUPERCENTER #1378 | WALMART INC. | brand | 0.85 | WALMART INC. | 104169 | 
110070687023 | 7-ELEVEN STORE NO. 41121 | 7-Eleven, Inc. | brand | 0.85 | 7-Eleven, Inc. |  | 
110058879236 | CON EDISON SERVICE BOX: 35678 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110063800196 | CON EDISON MANHOLE: 11393 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110043649629 | CON EDISON GAS MAIN SIX~INCH~CAST~IRON | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110058872073 | CON EDISON CUSTOMER MANHOLE: 00000 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110062966170 | CON EDISON SERVICE BOX: 43620 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110055780999 | 7-ELEVEN INC #32942 | 7-Eleven, Inc. | brand | 0.85 | 7-Eleven, Inc. |  | 
110055763605 | SOUTHERN CALIFORNIA EDISON LARK ELLEN SUBSTATION | SOUTHERN CALIFORNIA EDISON COMPANY | brand | 0.85 | EDISON INTERNATIONAL | 827052 | 
110005232934 | EXXON CO U S A RA525808 | EXXONMOBIL OIL CORPORATION | brand | 0.85 | EXXONMOBIL HOLDINGS CORPORATION |  | 
110021363852 | NOBLE ENERGY, INC. - BATTERY #85010 | NOBLE ENERGY, INC. | brand | 0.85 | NOBLE ENERGY, INC. |  | 
110070064070 | 7-ELEVEN - DOWDEN ROAD | 7-Eleven, Inc. | brand | 0.85 | 7-Eleven, Inc. |  | 
110000786276 | CHEVRON # 94014 / KIS TRADE | Chevron U.S.A. Inc. | brand | 0.85 | Chevron U.S.A. Inc. |  | 
110055695902 | AT&T MOBILITY - DANVILLE 2-SAN RAMON VALLEY (13062) | AT&T INC. | brand | 0.85 | AT&T INC. | 732717 | 
110065956317 | DOLLAR TREE #05488 | DOLLAR TREE, INC. | brand | 0.85 | DOLLAR TREE, INC. | 935703 | 
110042274758 | SHELL OIL PRODUCTS 223RD WILMINGTON SITE | SHELL USA, INC. | brand | 0.85 | SHELL PLC | 1306965 | 
110070521845 | NEW CINGULAR WIRELESS - VIDAL JUNCTION | AT&T INC. | brand | 0.85 | AT&T INC. | 732717 | 
110071808065 | CIRCLE K CORPORATION #8671 | CIRCLE K STORES INC. | brand | 0.85 | CIRCLE K STORES INC. |  | 
110031421441 | CON EDISON - MANHOLE 1960 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110060216733 | CON EDISON MANHOLE: 6026 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110005901998 | PHILLIPS 66 CO | PHILLIPS 66 | brand | 0.85 | PHILLIPS 66 | 1534701 | 
110070824117 | CHEMICAL CONCEPTS, INC. | CHEMICAL CONCEPTS, INC. | exact | 1.00 | CHEMICAL CONCEPTS, INC. |  | CVNLL6DSGAK4
110072087515 | SHERWIN-WILLIAMS #701173 | THE SHERWIN-WILLIAMS COMPANY | brand | 0.85 | THE SHERWIN-WILLIAMS COMPANY |  | 
110063805299 | CON EDISON SERVICE BOX: 23333 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110070338053 | FRITO-LAY, INC. | FRITO-LAY, INC. | exact | 1.00 | FRITO-LAY, INC. |  | 
110000346518 | THE SHERWIN-WILLIAMS COMPANY | THE SHERWIN-WILLIAMS COMPANY | exact | 1.00 | THE SHERWIN-WILLIAMS COMPANY |  | 
110030728924 | SHERWIN WILLIAMS CO | THE SHERWIN-WILLIAMS COMPANY | brand | 0.85 | THE SHERWIN-WILLIAMS COMPANY |  | 
110007160277 | HERITAGE COOPERATIVE | HERITAGE COOPERATIVE, INC. | fuzzy | 0.80 | HERITAGE COOPERATIVE, INC. |  | 
110071190568 | VAXCYTE INC | Vaxcyte, Inc. | exact | 1.00 | Vaxcyte, Inc. | 1649094 | 
110071198946 | CITY OF SAN BRUNO | City of San Bruno | exact | 1.00 | City of San Bruno |  | 
110014447839 | INTERNATIONAL FLAVORS & FRAGRANCES INC | INTERNATIONAL FLAVORS & FRAGRANCES INC. | exact | 1.00 | INTERNATIONAL FLAVORS & FRAGRANCES INC. | 51253 | 
110004090572 | CONCRETE SYSTEMS INC | Concrete Systems, Inc. | exact | 1.00 | Concrete Systems, Inc. |  | 
(56 rows; csv has all)
