-- S04 crosswalk: the 50 matched companies holding the most facilities, with sample facility names
MATCHED_LEGAL_NAME | PARENT_LEGAL_NAME | CIK | UEI | FACILITIES | METHODS | FIRST_WORD_HIT | SAMPLE_FAC
CIRCLE K STORES INC. | CIRCLE K STORES INC. |  |  | 5636 | exact,brand,fuzzy | 5636 | CIRCLE K # 7088-DISTRICT 1150 / CIRCLE K #8016 / CIRCLE K # 2723528 / CIRCLE K 123 / CIRCLE K #7260 / CIRCLE K #0109
SUNOCO LP | ENERGY TRANSFER LP | 1276187 |  | 5404 | brand,exact | 5404 | SUNOCO PIPELINE LP / MAYSVILLE CRUDE OIL PIPELINE STA / SUNOCO SERVICE STATION  * / SUNOCO 00050260 / SUNOCO SERVICE STATION #0809 8048 / SUNOCO SERVICE STATION #0010-0230 / SUNOCO SERVICE STATION #0007-6406
Rite Aid Corporation | Rite Aid Corporation |  |  | 4144 | brand,exact | 4144 | RITE AID # 11277 / RITE AID 11017 / RITE AID #10757 / RITE AID # 10331 / RITE AID #1965 / RITE AID #2352
SHELL USA, INC. | SHELL PLC | 1306965 | DVY6PUER9KA4 | 3821 | brand | 3821 | SHELL SERVICE STATION #138341 / SHELL SERVICE STATION #138432 / SHELL SERVICE STATION #138363 / SHELL SERVICE STATION & FOOD MART / SHELL SERVICE STATION/OTAY CENTER SHELL / SHELL OIL PRODUCTS US DOMINGUEZ DRILL SITE NO 4
PACIFIC GAS AND ELECTRIC COMPANY | PG&E CORPORATION |  | J9EKLNMZXFM6 | 3603 | exact,brand,fuzzy | 492 | PG&E WILLOWS SERVICE CENTER / PG&E ILI REINSPECTION I026 / PG&E ¿¿¿ BALFOUR SUBSTATION / PG&E: SOLEDAD SUBSTATION / PG&E - CENTRAL VALLEY ODORIZING FACILITY / PG&E: FOOTHILL SUBSTATION
THE SHERWIN-WILLIAMS COMPANY | THE SHERWIN-WILLIAMS COMPANY |  | ZEVTLNLC1LN8 | 3272 | exact,brand | 656 | SHERWIN-WILLIAMS CO #9271 / SHERWIN WILLIAMS 3189 / SHERWIN-WILLIAMS #1193 / SHERWIN WILLIAMS STORE # 3078 / SHERWIN-WILLIAMS #721028 / SHERWIN-WILLIAMS 701735
NOBLE ENERGY, INC. | NOBLE ENERGY, INC. |  |  | 3209 | exact,brand | 3209 | NOBLE ENERGY - BATTERY #10043000 / NOBLE ENERGY INC. BATTERY #10022200 / NOBLE ENERGY - 10142100 / NOBLE ENERGY, INC. - #815346 / NOBLE ENERGY - #415747023 / NOBLE ENERGY INC. BATTERY #11384000
AutoZone, Inc. | AutoZone, Inc. | 866787 |  | 3106 | exact,fuzzy,brand | 3 | AUTOZONE PRIMAVISTA / AUTOZONE 3505 / AUTOZONE 4271 / AUTOZONE 5076 / AUTOZONE #1991 / AUTOZONE #6412
HOME DEPOT U.S.A., INC. | HOME DEPOT U.S.A., INC. |  | SKLZTKFDLP56 | 2889 | brand,exact | 2889 | HOME DEPOT STORE #1915 / HOME DEPOT, LEWES / HOME DEPOT 1960 / HOME DEPOT #HD2303 / HOME DEPOT STORE #2833 / HOME DEPOT STORE 513
Target Corporation | Target Corporation |  |  | 2548 | brand,exact | 2548 | TARGET STORE T2363 / TARGET STORE T1486 / TARGET STORE T0397 / TARGET STORE T2446 / TARGET STORE T1219 / TARGET STORE T1312
O'Reilly Automotive, Inc. | O'Reilly Automotive, Inc. | 898173 |  | 2303 | exact,brand | 2247 | O'REILLY AUTO PARTS #4867 / O'REILLY COOPER CITY / O'REILLY AUTO PARTS STORE-DELTONA #2 / O'REILLY AUTO PARTS STORE 4701 / O'REILLY AUTO PARTS STORE 2582 / O'REILLY AUTO PARTS #3681
TRACTOR SUPPLY COMPANY | TRACTOR SUPPLY COMPANY |  |  | 1974 | exact,brand | 1974 | TRACTOR SUPPLY  COMPANY / TRACTOR SUPPLY CO #1625 / TRACTOR SUPPLY COMPANY #2774 / TRACTOR SUPPLY CO #1542 / TRACTOR SUPPLY COMPANY #1814 / TRACTOR SUPPLY COMPANY #745
THE KROGER CO. | THE KROGER CO. |  | Q8NMWFC42S98 | 1940 | exact,brand | 10 | KROGER GA-449 / KROGER 405-11 / KROGER  011-0487 / KROGER 428-11 / KROGER STORE #169 / KROGER #565-35
Safeway Inc. | Safeway Inc. |  | GECRS1EMLVL6 | 1921 | exact,brand | 1921 | SAFEWAY FUEL STATION #1289-15 / SAFEWAY STORE #0752 / SAFEWAY 0913 / SAFEWAY STORE #308 / SAFEWAY STORE #639 / SAFEWAY - FUELING FACILITY #920
UNION PACIFIC RAILROAD COMPANY | UNION PACIFIC CORPORATION |  | MLY8QSPNYWG3 | 1712 | brand,exact | 1712 | UNION PACIFIC RAILROAD ENGELWOOD YARD / UNION PACIFIC RES CO ARAPAHOE UNIT 170 / UNION PACIFIC RAILROAD - SUGARLOAF / UNION PACIFIC RAILROAD - DORRIS HILL / UNION PACIFIC RAILROAD, EVANSTON SUBDIV. PHASE 2 PTC PROJECT / UNION PACIFIC RAILROAD SOUTH MORRILL RAIL YARD
COSTCO WHOLESALE CORPORATION | COSTCO WHOLESALE CORPORATION |  |  | 1638 | brand,exact | 1638 | COSTCO WHOLESALE - 1628 KEN PRATT / COSTCO WHOLESALE 1704 / COSTCO WHOLESALE #663 / COSTCO GASOLINE (LOC. NO. 1226) / COSTCO WHOLESALE #183 / COSTCO 116
Lowe's Companies, Inc. | Lowe's Companies, Inc. |  | HEJRR241LT23 | 1432 | exact,brand | 1361 | LOWE S OF CHATT.IMPROVERS IN. / LOWE'S OF CHARLOTTESVILLE, VA #517 / LOWE'S OF SOUTH BOSTON, VA #1760 / LOWE'S OF FT. OGLETHORPE GA #485 / LOWE'S OF NASHVILLE #2725 / LOWE'S OF FLORENCE KY #554
CSX Corporation | CSX Corporation |  |  | 1393 | brand,exact | 1393 | CSX PCB DERAILMENT / CSX BUILDING 1N 127 / CSX TRANSPORTATION INC - CHRISTIAN CO / CSX TRANSPORTATION INC - CSXT NO&M GULF COAST HARDENING 2-MILE PROJECT / CSX TRANSPORTATION INC - CLIMAX SIDING EXTENSION FROM MP AN716.8 TO AN 719.1 / CSX TRANSPORTATION SPRINGFIELD RD
PUBLIC SERVICE ELECTRIC AND GAS COMPANY | PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED |  |  | 1350 | fuzzy,exact,brand | 24 | PSE&G ELECTRIC TRANSMISSION ROW TOWER #83-3 / PSE&G SOUTH WARREN STREET GAS WORKS FORMER / PSE&G ALBANY STREET MH&C INSTALLATION PROJECT / PSE&G M1339 CIRCUIT RECONDUCTORING / PSE&G HAWTHORNE SUBSTATION / PSE&G TONEY'S BROOK SUBSTATION 69KV UPGRADE
PHILLIPS 66 | PHILLIPS 66 | 1534701 | MNDKKMTB8EJ1 | 1274 | exact,brand | 1274 | PHILLIPS 66 COMPANY 015244 / PHILLIPS 66, LEWIS CO / PHILLIPS 66 PIPELINE COMPANY JEFFERSON CITY TERMINAL / PHILLIPS 66-SS#18093 / PHILLIPS 66 COMPANY #025495 / PHILLIPS 66 PIPELINE GLENPOOL SOUTH
WASTE MANAGEMENT, INC. | WASTE MANAGEMENT, INC. | 823768 | YUSZFDZPEEC3 | 1116 | exact,brand | 1116 | WASTE MANAGEMENT JOLIET TRANSF / WASTE MANAGEMENT OF SOUTH TEXAS / WASTE MANAGEMENT OF CENTRAL CAROLINAS / WASTE MANAGEMENT - SHAKOPEE C / WASTE MANAGEMENT OF CHANDLER / WASTE MANAGEMENT, INC. OF TENNESSEE - WEST CAMDEN SANITARY LANDFILL
VALERO ENERGY CORPORATION | VALERO ENERGY CORPORATION |  | CQXWTJPKQJ73 | 1072 | exact,brand | 1072 | VALERO CORNER STORE 2548 / VALERO CORNER STORE 1038 / VALERO CORNER STORE NO 1060 / VALERO REFINING CORPUS CHRISTI REFINERY WEST PLANT / VALERO 4165 / VALERO CORNER STORE #1778
SOUTHERN CALIFORNIA EDISON COMPANY | EDISON INTERNATIONAL | 827052 | QXXLRBJJ2FB7 | 1061 | brand,exact,fuzzy | 1061 | SOUTHERN CALIFORNIA EDISON PALOS VERDES SUBSTATION / SOUTHERN CALIFORNIA EDISON SOMERSET SUBSTATION / SOUTHERN CALIFORNIA EDISON - SANTIAGO PEAK COMMUNICATION SITE / SOUTHERN CALIFORNIA EDISON - EDOM HILL COMMUNICATION SITE / SOUTHERN CALIFORNIA EDISON CENTER SUBSTATION / SOUTHERN CALIFORNIA EDISON - SHIRLEY PEAK COMMUNICATION SITE
MCDONALD'S CORPORATION | MCDONALD'S CORPORATION |  |  | 889 | exact,brand | 792 | MCDONALD'S - SAVOY, IL / MCDONALD'S OF LIVERMORE / MCDONALD’S RESTAURANT 16-1038 / MCDONALD'S-LPGA-NEW STORE / MCDONALD'S RESTAURANTS OF ILL INC / MCDONALD'S NAVARRE 92786
Norfolk Southern Corporation | Norfolk Southern Corporation |  | G4MWGG2V2JN6 | 701 | fuzzy,brand,exact | 701 | NORFOLK SOUTHERN CHARLOTTE-DOUGLAS INTERNATIONAL AIRPORT INTERMODEL FACILITY / NORFOLK SOUTHERN AUTO LOT / NORFOLK SOUTHERN RAILWAY CO - SOUTH BOSTON YARD / NORFOLK SOUTHERN RAILROAD CORP LEHIGH LINE / NORFOLK SOUTHERN-HAPEVILLE AUTO RAMP / NORFOLK SOUTHERN RAILWAY CO LUTHER YARD
DUKE ENERGY CORPORATION | DUKE ENERGY CORPORATION |  | G47MTPGYNFJ9 | 681 | brand,exact | 681 | DUKE ENERGY BROWN AVE PARKING LOT / DUKE ENERGY F5967 REBUILD: CLARYVILLE TO POLE 24K-151 / DUKE ENERGY REIDSVILLE OPERATIONS CENTER EXPANSION / DUKE ENERGY CAROLINAS, LLC - MARSHALL STEAM STATION / DUKE ENERGY BUCK STEAM STATION / DUKE ENERGY KATHLEEN SUBSTATION
KINDER MORGAN, INC. | KINDER MORGAN, INC. | 1506307 | NNCQGSL34149 | 646 | brand,exact | 646 | KINDER MORGAN COCHIN / KINDER MORGAN ALTAMONT LLC BLUEBELL FACILITY / KINDER MORGAN SOUTHEAST TERMINALS LLC - RICHMOND 2 / KINDER MORGAN WILLBRIDGE TERMINAL TANK REPLACEMENT / KINDER MORGAN 2023 ANOMALY DIG 10CFF JOINT 3690 / KINDER MORGAN INDIAN ROCK TREATING PLANT
ATLANTIC CITY ELECTRIC COMPANY | ATLANTIC CITY ELECTRIC COMPANY |  |  | 608 | fuzzy | 608 | ATLANTIC CITY ELECTRIC / ATLANTIC CITY ELECTRIC CO
BP PRODUCTS NORTH AMERICA INC. | BP P.L.C. |  | RDHYLFA8JAB4 | 584 | exact,brand | 584 | BP PRODUCTS OF NORTH AMERICA / BP PRODUCTS NA INC - BP 95701 / BP AMOCO OIL CORP BULK PLANT WILLIAMSFIELD / BP PRODUCTS NORTH AMERICA BP 25716 / BP PRODUCTS NORTH AMERICA INC - FUELS NORTH AMERICA / BP PRODUCTS NA INC
ENTERGY CORPORATION | ENTERGY CORPORATION |  | MXS5YZUUFFV4 | 450 | brand | 450 | ENTERGY MISSISSIPPI INC, TILLATOBA TO SOUTH GRENADA TRANSMISSION LINE UPGRADE / ENTERGY POWER PLANT DEMOLITION PHASE 2 / ENTERGY ARKANSAS/CONWAY CO. / ENTERGY GULF STATES LA LLC / ENTERGY MISSISSIPPI, LLC, MACAW 230-KV STATION / ENTERGY ARK/MANILA TO DELL
Texas Department of Transportation | Texas Department of Transportation |  |  | 348 | exact | 348 | TEXAS DEPARTMENT OF TRANSPORTATION
REPUBLIC SERVICES, INC. | REPUBLIC SERVICES, INC. | 1060391 | PV6DL4BKN5S1 | 333 | exact,brand | 333 | REPUBLIC SERVICES DBA ALL SERVICE REFUSE / REPUBLIC SERVICES RECYCLING NORTHSIDE / REPUBLIC SERVICES SUNRISE / REPUBLIC SERVICES GREENFIELD TRANSFER STATION / REPUBLIC SERVICES - CLINTON COUNTY LANDFILL / REPUBLIC SERVICES - TESSMAN ROAD LANDFILL
CONSUMERS ENERGY COMPANY | CMS ENERGY CORPORATION |  |  | 331 | brand,fuzzy,exact | 331 | CONSUMERS ENERGY - NORTHVILLE COMPRESSOR STATION / CONSUMERS ENERGY COMPANY - TRANSMISSION PIPELINE / CONSUMERS ENERGY GREAT LAKES / CONSUMERS ENERGY - ST. CLAIR COMPRESSOR STATION / CONSUMERS ENERGY CO - ST. LOUIS JUNCTION AND VALVE SITE / CONSUMERS ENERGY - WHITE PIGEON COMPRESSOR STATION (N5573)
Walgreen Co. | Walgreen Co. |  | HRE3UMLEM2P5 | 299 | fuzzy,exact | 299 | WALGREEN COMPANY / WALGREEN CO / WALGREEN CO.
99 Cents Only Stores LLC | 99 Cents Only Stores LLC |  |  | 279 | exact,fuzzy | 279 | 99 CENTS ONLY STORES / 99 CENTS ONLY STORES LLC
AMEREN CORPORATION | AMEREN CORPORATION |  |  | 244 | brand | 244 | AMEREN UE, OSAGE HYDRO-EL / AMEREN - MATTOON / AMEREN UE - KIRKSVILLE COMBUSTION TURBINE / AMERENUE FRANKLIN DISTRICT HEADQUARTERS / AMEREN QUINCY MGP / AMERENUE ALTON PROPANE PLANT
GOOGLE LLC | ALPHABET INC. | 1652044 | NQV3T7DDKNT6 | 225 | exact | 225 | GOOGLE LLC / GOOGLE  LLC / GOOGLE, LLC
MARATHON PETROLEUM COMPANY LP | MARATHON PETROLEUM CORPORATION |  |  | 215 | exact,brand | 215 | MARATHON PETROLEUM NO 3202 TACKETT / MARATHON PETROLEUM NO 2979 SHORTS  * / MARATHON PETROLEUM COMPANY CANTON TRUCK PARKING FACILITY / MARATHON PETROLEUM (PIER B - B84-B87) / MARATHON PETROLEUM COMPANY, LLC / MARATHON PETROLEUM
UNITED PARCEL SERVICE, INC. | UNITED PARCEL SERVICE, INC. | 1090727 |  | 208 | exact | 208 | UNITED PARCEL SERVICE, INC / UNITED PARCEL SERVICE, INC. / UNITED PARCEL SERVICE INC. / UNITED PARCEL SERVICE INC
(50 rows; csv has all)
