-- S12 TRI 2023 per facility: air and carcinogen-air pounds, coordinates, TRI's own parent name, left-joined to the corporate crosswalk
FRS | TRIFD | NAME | CITY | COUNTY | ST | LAT | LON | PARENT_RAW | PARENT_STD | SECTOR | AIR_LBS | CARC_AIR_LBS | CARC_CHEMS | TOP_CARC | FORMS | XW_FAC | MATCHED_LEGAL_NAME | PARENT_LEGAL_NAME | MATCH_METHOD | PARENT_CIK | IN_XW
110020516529 | 89301FRLNDHC34B | FORELAND REFINING CORP EAGLE SPRINGS REFINERY | ELY | NYE | NV | 39.256622 | -114.867643 | SKY QUARRY INC. | SKY QUARRY INC | Petroleum | 2614.1 | 23.1 | 2 | Ethylbenzene | 4 | FORELAND REFINING CORP EAGLE SPRINGS REFINERY |  |  |  |  | True
110025332209 | 89015LSVGSEASTG | LAS VEGAS PAVING CORP | HENDERSON | CLARK | NV | 36.060075 | -115.020112 | LAS VEGAS PAVING CORP | LAS VEGAS PAVING CORP | Petroleum | 0.7 | 0.7 | 1 | Polycyclic aromatic compounds | 2 | LAS VEGAS PAVING |  |  |  |  | True
110041072219 | 89434JHBPR3WALT | JAMES HARDIE BUILDING PRODUCTS RENO | SPARKS | STOREY | NV | 39.554917 | -119.499801 | JAMES HARDIE BUILDING PRODUCTS INC | JAMES HARDIE BUILDING PRODUCTS INC | Nonmetallic Mineral Product | 0.0 | 0.0 | 0 |  | 2 | JAMES HARDIE BUILDING PRODUCTS, INC | James Hardie Building Products Inc | James Hardie Industries Plc | exact | 1159152 | True
110055932264 | 8943WRDGHM9WALT | TRIVIUM PACKAGING USA INC | SPARKS | WASHOE | NV | 39.54946 | -119.544046 | TRIVIUM PACKAGING US HOLDING | TRIVIUM PACKAGING US HOLDING | Fabricated Metals | 7610.0 | 0.0 | 1 | Nickel | 6 | TRIVIUM PACKAGING USA, INC. |  |  |  |  | True
110004300550 | 89431JNSNP625BE | JENSEN PRECAST | SPARKS | WASHOE | NV | 39.528456 | -119.738566 | JENSEN PRECAST | JENSEN PRECAST | Nonmetallic Mineral Product | 0.001 | 0.0 | 0 |  | 1 | JENSEN PRECAST |  |  |  |  | True
110070004364 | 8983WNWMNT688JH | NEVADA GOLD MINES LLC- LONG CANYON MINE | OASIS | ELKO | NV | 40.977018 | -114.486823 | BARRICK NEVADA HOLDING LLC | BARRICK NEVADA HOLDING LLC | Metal Mining | 1932.0 | 0.0 | 0 |  | 5 | LONG CANYON MINE |  |  |  |  | True
110000472854 | 89408RMXNC210LY | SIKA - FERNLEY NV | FERNLEY | LYON | NV | 39.606127 | -119.206662 | SIKA CORP | SIKA CORP | Plastics and Rubber | 10.0 | 0.0 | 0 |  | 1 | SIKA CORPORATION- FERNLEY PLANT |  |  |  |  | True
110009460145 | 89118KCHPR3901W | ERGON ASPHALT & EMULSIONS INC. - LAS VEGAS | LAS VEGAS | CLARK | NV | 36.080789 | -115.191655 | ERGON INC. | ERGON INC | Petroleum | 0.0 | 0.0 | 1 | Polycyclic aromatic compounds | 2 | ERGON ASPHALT & EMULSIONS INC - LAS VEGAS |  |  |  |  | True
110022524320 | 89149SRVCR1815W | SERVICE ROCK PRODUCTS INC-LONE MOUNTAIN NV FACILITY | LAS VEGAS | CLARK | NV | 36.255225 | -115.324865 | MCC DEVELOPMENT CORP | MCC DEVELOPMENT CORP | Nonmetallic Mineral Product | 4.512 | 0.0 | 0 |  | 1 | SERVICE ROCK PRODUCTS INC LONE MOUNTAIN NV FACILITY |  |  |  |  | True
110030999757 | 89408SHRWN1891D | SHERWIN-WILLIAMS CO | FERNLEY | LYON | NV | 39.620814 | -119.199208 | THE SHERWIN-WILLIAMS CO | THE SHERWIN-WILLIAMS CO | Chemicals | 917.1 | 0.1 | 2 | Lead | 8 | WESTERN EMULSION PLANT |  |  |  |  | True
110071434269 | 8741WSNJNG11ARI | SAN JUAN GAS PLANT | BLOOMFIELD | SAN JUAN | NM | 36.732954 | -107.974463 | HILCORP ENERGY CO | HILCORP ENERGY CO | Natural Gas Processing | 3253.408 | 284.13 | 1 | Benzene | 3 | SAN JUAN GAS PLANT |  |  |  |  | True
110058903931 | 8901WCRCHREASTH | CREECH AIR FORCE BASE | INDIAN SPRINGS | CLARK | NV | 36.578389 | -115.672264 | US DEPARTMENT OF DEFENSE | US DEPARTMENT OF DEFENSE | Other | 3.0 | 3.0 | 1 | Naphthalene | 1 | CREECH AIR FORCE BASE |  |  |  |  | True
110059853680 | 89701MRCNB2401C | REDWOOD MATERIALS | CARSON CITY | CARSON CITY | NV | 39.204524 | -119.741253 |  | REDWOOD MATERIALS INC | Electrical Equipment | 44.010000000000005 | 25.21 | 2 | Nickel  And Nickel Compounds | 3 | AMERICAN BUILDINGS CO - WEST DIVISION |  |  |  |  | True
110059824506 | 8911WCMXBL53NLA | CEMEX - BLOCK PLANT | LAS VEGAS | CLARK | NV | 36.25063 | -115.079871 | CEMEX INC | CEMEX INC | Nonmetallic Mineral Product | 0.0 | 0.0 | 1 | Lead | 1 | CEMEX BLOCK PLANT |  |  |  |  | True
110071428647 | 8800WRNKRL5515M | RINKER EL PASO PIPE | SANTA TERESA | DONA ANA | NM | 31.851648 | -106.629944 | QUIKRETE HOLDINGS | QUIKRETE HOLDINGS | Nonmetallic Mineral Product | 0.038 | 0.038 | 1 | Lead | 1 | RINKER EL PASO PIPE |  |  |  |  | True
110000579008 | 89015THTCH7300L | THATCHER CO OF NEVADA | HENDERSON | CLARK | NV | 36.0343 | -115.02063 | THATCHER GROUP | THATCHER GROUP | Chemicals | 93.8 | 0.0 | 0 |  | 2 | THATCHER COMPANY OF NEVADA LLC |  |  |  |  | True
110000472694 | 89015GLDBN1001O | WELLS ENTERPRISES INC. | HENDERSON | CLARK | NV | 36.076328 | -114.95739 | WELLS ENTERPRISES INC | WELLS ENTERPRISES INC | Food | 0.0 | 0.0 | 0 |  | 1 | HENDERSON ICE CREAM PLANT (HICP) |  |  |  |  | True
110024422864 | 89406NVDRF11MIL | KENNAMETAL INC (REFINERY) | FALLON | CHURCHILL | NV | 39.477468 | -118.795407 | KENNAMETAL INC | KENNAMETAL INC | Primary Metals | 1637.0 | 0.0 | 0 |  | 2 | NEVADA REFINERY OF KENNAMETAL INC |  |  |  |  | True
110060259198 | 8943WSTHWN128SU | HIGHLINE WARREN - SPARKS | SPARKS | WASHOE | NV | 39.523132 | -119.750963 | HIGHLINE WARREN LLC | HIGHLINE WARREN LLC | Chemicals | 843.0 | 0.0 | 0 |  | 1 | SOUTHWIN LTD NEVADA |  |  |  |  | True
110071231746 | 8821WDGGRD278PI | DAGGER DRAW GAS PLANT | ARTESIA | EDDY | NM | 33.020156 | -104.085464 | KINETIK HOLDINGS LP | KINETIK HOLDINGS LP | Natural Gas Processing | 36597.04 | 27395.39 | 5 | Formaldehyde | 8 | DAGGER DRAW GAS PLANT |  |  |  |  | True
110037150196 | 89445CRRYN53WES | CARRY-ON TRAILER CORP | WINNEMUCCA | HUMBOLDT | NV | 40.908135 | -117.788098 | BCD PARENT INC | BCD PARENT INC | Transportation Equipment | 30.0 | 7.0 | 2 | Nickel | 3 | CARRY-ON TRAILER CORP |  |  |  |  | True
110046424712 | 89703BRLSM611NN | BOREALIS MINING CO LLC | HAWTHORNE | MINERAL | NV | 38.481427 | -118.757458 | BOREALIS HOLDING CO LLC | BOREALIS HOLDING CO LLC | Metal Mining | 0.1 | 0.0 | 0 |  | 2 | BOREALIS MINING CO LLC |  |  |  |  | True
110000473149 | 89706DRBND3200A | DURA BOND BEARING CO | CARSON CITY | CARSON CITY (CITY) | NV | 39.2019 | -119.731824 | DBB ACQUISITION LLC | DBB ACQUISITION LLC | Transportation Equipment | 5.0 | 5.0 | 1 | Lead | 3 | CARSON CITY PLANT |  |  |  |  | True
110004302610 | 89506VKWST14250 | VEKA WEST INC. | RENO | WASHOE | NV | 39.642462 | -119.893419 | VEKA HOLDINGS | VEKA HOLDINGS | Plastics and Rubber | 0.0 | 0.0 | 0 |  | 3 | VEKA WEST INC. |  |  |  |  | True
110059849099 | 8900WHVRDMSR172 | HOOVER DAM WAREHOUSE | BOULDER CITY | CLARK | NV | 35.975703 | -114.836408 |  | US DEPARTMENT OF THE INTERIOR | Electric Utilities | 0.0 | 0.0 | 0 |  | 1 | HOOVER DAM WAREHOUSE |  |  |  |  | True
110000323258 | 11203MRCRY4808F | MERCURY PAINT CORP | BROOKLYN | KINGS | NY | 40.637301 | -73.930511 |  |  | Chemicals | 0.0 | 0.0 | 0 |  | 3 | MERCURY PAINT CORPORATION |  |  |  |  | True
110000325906 | 13476DRYLCWARDS | H. P. HOOD LLC | VERNON | ONEIDA | NY | 43.083332 | -75.535034 | HP HOOD LLC | HP HOOD LLC | Food | 0.0 | 0.0 | 0 |  | 2 | HP HOOD VERNON |  |  |  |  | True
110000325997 | 13601NWYRKSTARB | NEW YORK AIR BRAKE LLC | WATERTOWN | JEFFERSON | NY | 43.985776 | -75.894971 |  | KNORR BRAKE HOLDING CO | Transportation Equipment | 0.0 | 0.0 | 1 | Lead | 1 | NEW YORK AIR BRAKE CORP |  |  |  |  | True
110000327370 | 14302CRBRN1625B | SAINT-GOBAIN ADVANCED CERAMICS -STRUCTURAL CERAMICS | NIAGARA FALLS | NIAGARA | NY | 43.0802 | -79.040251 | SAINT-GOBAIN CORP | SAINT-GOBAIN CORP | Nonmetallic Mineral Product | 170.0 | 0.0 | 0 |  | 3 | CARBORUNDUM CORPORATION |  |  |  |  | True
110004333640 | 11235SCNTF13NEP | SCIENTIFIC COMPONENTS CORP | BROOKLYN | KINGS | NY | 40.583104 | -73.95484 |  |  | Computers and Electronic Products | 0.0 | 0.0 | 1 | Lead | 1 | SCIENTIFIC COMPONENTS CORP |  |  |  |  | True
110070206781 | 8930WKGMNN214NS | KG MINING (BALD MOUNTAIN) INC SOUTH OPERATIONS AREA (SOA) | ELY | WHITE PINE | NV | 39.281606 | -114.97739 | KINROSS GOLD CORP (USA) INC | KINROSS GOLD CORP (USA) INC | Metal Mining | 1000.3 | 0.0 | 1 | Lead | 4 | KG MINING (BALD MOUNTAIN) INC SOUTH OPERATIONS AREA (SOA) |  |  |  |  | True
110000499425 | 12801GRFFT27PAR | STERIGENICS US LLC-QUEENSBURY NY FACILITY | QUEENSBURY | WASHINGTON | NY | 43.348641 | -73.599164 | SOTERA HEALTH LLC | SOTERA HEALTH LLC | Other | 650.0 | 650.0 | 1 | Ethylene oxide | 2 | STERIGENICS US LLC |  |  |  |  | True
110000884062 | 10962MTRLSRTE30 | LINDE ADVANCED MATERIAL TECHNOLOGIES | ORANGEBURG | ROCKLAND | NY | 41.057226 | -73.947761 | LINDE ADVANCED MATERIAL TECHNOLOGIES | LINDE INC | Primary Metals | 0.203 | 0.203 | 1 | Lead | 2 | PRAXAIR SURFACE TECHNOLOGIES |  |  |  |  | True
110000324113 | 11901DCHMN1852O | BERRY SPECIALTY TAPES LLC | RIVERHEAD | SUFFOLK | NY | 40.923699 | -72.708721 | BERRY GLOBAL GROUP INC | BERRY GLOBAL INC | Paper | 9196.0 | 0.0 | 0 |  | 2 | BERRY SPECIALTY TAPES LLC |  |  |  |  | True
110000326521 | 14094GNRLM200UP | GM COMPONENTS HOLDINGS LLC | LOCKPORT | NIAGARA | NY | 43.168521 | -78.729009 | GENERAL MOTORS LLC | GENERAL MOTORS LLC | Transportation Equipment | 36.0 | 6.0 | 1 | Lead | 5 | GM COMPONENTS HOLDINGS LLC | GM Components Holdings, LLC | GM Components Holdings, LLC | exact |  | True
110000327646 | 14456ZTSNTPOBOX | HENKEL US OPERATIONS CORP | GENEVA | ONTARIO | NY | 42.882207 | -76.966342 | HENKEL OF AMERICA INC | HENKEL OF AMERICA INC | Chemicals | 2069.8 | 0.0 | 0 |  | 2 | HENKEL US OPERATIONS CORPORATION | HENKEL US OPERATIONS CORPORATION | Henkel AG & Co. KGaA | exact |  | True
110000498346 | 14518LDRLN729CR | ELDERLEE INC | OAKS CORNERS | ONTARIO | NY | 42.93238 | -77.008319 | REH HOLDINGS INC | REH HOLDINGS INC | Fabricated Metals | 55.011 | 0.0 | 0 |  | 2 | ELDERLEE, INCORPORATED |  |  |  |  | True
110000582361 | 10996SMNTXRT218 | US DEPARTMENT OF THE TREASURY US MINT WEST POINT | WEST POINT | ORANGE | NY | 41.396521 | -73.982293 | US DEPARTMENT OF THE TREASURY | US DEPARTMENT OF THE TREASURY | Fabricated Metals | 0.0 | 0.0 | 0 |  | 1 | US MINT WEST POINT |  |  |  |  | True
110000582566 | 12543STRNLHENRY | EASTERN ALLOYS INC | MAYBROOK | ORANGE | NY | 41.508168 | -74.203792 |  |  | Primary Metals | 63.094 | 0.008 | 1 | Lead | 4 | EASTERN ALLOYS INC | EASTERN ALLOYS, INC. | EASTERN ALLOYS, INC. | exact |  | True
110001134781 | 12832TLSCPCHURC | TELESCOPE CASUAL FURNITURE INC. | GRANVILLE | WASHINGTON | NY | 43.398142 | -73.26115 |  |  | Furniture | 0.0 | 0.0 | 1 | Dioxin and dioxin-like compounds | 1 | TELESCOPE CASUAL FURNITURE |  |  |  |  | True
110002380049 | 12801GLNSF313LO | HEIDELBERG MATERIALS US CEMENT LLC - GLENS FALLS PLANT | GLENS FALLS | WARREN | NY | 43.309518 | -73.6222 | HEIDELBERG MATERIALS US INC | HEIDELBERG MATERIALS US INC | Nonmetallic Mineral Product | 5983.701 | 0.0 | 0 |  | 3 | HEIDELBERG MATERIALS US CEMENT LLC | HEIDELBERG MATERIALS US CEMENT LLC | Heidelberg Materials AG | exact |  | True
110000325363 | 13080LRBWR24NBE | OMEGA WIRE INC. - JORDAN PLANT | JORDAN | ONONDAGA | NY | 43.068232 | -76.467073 | INTERNATIONAL WIRE GROUP INC. | INTERNATIONAL WIRE GROUP INC | Primary Metals | 0.0 | 0.0 | 0 |  | 1 | OMEGA WIRE, INC. - JORDAN PLANT |  |  |  |  | True
110000328538 | 14870CRNNGADDIA | CORNING INC - INTEGRATED DIE MANUFACTURING | PAINTED POST | STEUBEN | NY | 42.110584 | -77.164431 | CORNING INC | CORNING INC | Machinery | 287.7 | 0.0 | 0 |  | 1 | CORNING INC - ERWIN MANUFACTURING COMPLEX |  |  |  |  | True
110000837943 | 13901CLNKC11BEC | ELLIOTT MANUFACTURING | BINGHAMTON | BROOME | NY | 42.147224 | -75.886117 | CENTROMOTION | CENTROMOTION | Machinery | 0.0 | 0.0 | 1 | Lead | 4 | ELLIOT INDUSTRIES |  |  |  |  | True
110002442134 | 1442WNRTHR5251S | NORTHRUP BROCKPORT | BROCKPORT | MONROE | NY | 43.175785 | -77.906817 | CRH AMERICAS INC | CRH AMERICAS INC | Nonmetallic Mineral Product | 0.001 | 0.001 | 1 | Lead | 2 | BROCKPORT PLANT |  |  |  |  | True
110000616628 | 14414SFTYK1525W | SAFETY-KLEEN SYSTEMS AVON (AVO) | AVON | LIVINGSTON | NY | 42.914887 | -77.705344 | CLEAN HARBORS INC | CLEAN HARBORS INC | Hazardous Waste | 18.0 | 0.0 | 2 | Polycyclic aromatic compounds | 5 | SAFETY-KLEEN SYSTEMS - AVON FACILITY |  |  |  |  | True
110000876446 | 1206WDVNCNNESLA | ADVANCE ENERGY TECHNOLOGIES INC. | CLIFTON PARK | SARATOGA | NY | 42.866532 | -73.752545 |  |  | Plastics and Rubber | 0.0 | 0.0 | 0 |  | 1 | ADVANCE ENERGY TECHNOLOGIES INC |  |  |  |  | True
110000322945 | 10801BSLTC38POR | POR PRODUCTS LLC | NEW ROCHELLE | WESTCHESTER | NY | 40.927174 | -73.77165 |  | CENTERBRIDGE CAPITAL PARTNERS III LP | Chemicals | 10.0 | 0.0 | 0 |  | 2 | ABSOLUTE COATINGS INC |  |  |  |  | True
110000324435 | 12188GNRLL260HU | MPM SILICONES LLC | WATERFORD | SARATOGA | NY | 42.815986 | -73.665245 | MOM HOLDING CO | MOM HOLDING CO | Chemicals | 22510.0 | 500.0 | 1 | Ethylbenzene | 7 | MOMENTIVE PERFORMANCE MATERIALS LLC |  |  |  |  | True
110000326371 | 14012SSMRS7725L | SOMERSET OPERATING CO LLC | BARKER | NIAGARA | NY | 43.348913 | -78.601893 | RIESLING POWER LLC | RIESLING POWER LLC | Electric Utilities | 0.0 | 0.0 | 0 |  | 2 | AES SOMERSET LLC |  |  |  |  | True
110002465724 | 12771GLLNDERIEL | GILLINDER BROTHERS INC. | PORT JERVIS | ORANGE | NY | 41.383396 | -74.705133 |  |  | Nonmetallic Mineral Product | 7.41 | 7.41 | 1 | Lead | 1 | GILLINDER BROTHERS |  |  |  |  | True
110000326905 | 14207FRNTR1740E | FRONTIER HOT DIP GALVANIZING INC | BUFFALO | ERIE | NY | 42.944234 | -78.878492 |  |  | Fabricated Metals | 13.7 | 13.7 | 1 | Lead | 1 | FRONTIER HOT DIP GALVANIZING INC |  |  |  |  | True
110000582717 | 13493MGWRNMAINS | OMEGA WIRE INC - WILLIAMSTOWN FACILITY | WILLIAMSTOWN | OSWEGO | NY | 43.44924 | -75.932065 | INTERNATIONAL WIRE GROUP INC. | INTERNATIONAL WIRE GROUP INC | Primary Metals | 0.0 | 0.0 | 0 |  | 1 | OMEGA WIRE INC - WILLIAMSTOWN NY FACILITY |  |  |  |  | True
110071262064 | 8903WRLDYN242LS | RELADYNE WEST LLC | NORTH LAS VEGAS | CLARK | NV | 36.20379 | -115.137291 | RELADYNE LLC | RELADYNE LLC | Petroleum Bulk Terminals | 0.0 | 0.0 | 0 |  | 2 | RELADYNE |  |  |  |  | True
110071433632 | 8903WQKRTL112WB | QUIKRETE - LAS VEGAS NV PLANT | NORTH LAS VEGAS | CLARK | NV | 36.214211 | -115.139821 | QUIKRETE HOLDINGS | QUIKRETE HOLDINGS | Nonmetallic Mineral Product | 0.137 | 0.137 | 1 | Lead | 1 | QUIKRETE - LAS VEGAS, NV PLANT |  |  |  |  | True
110000328609 | 14902PRLTR3MIRA | MOTOR COMPONENTS LLC | ELMIRA | CHEMUNG | NY | 42.133109 | -76.826616 |  | MOTOR COMPONENTS LLC | Transportation Equipment | 0.0 | 0.0 | 1 | Lead | 1 | MOTOR COMPONENTS L L C |  |  |  |  | True
110000326601 | 14105FMCCR100NI | FMC CORP  MIDDLEPORT PLANT | MIDDLEPORT | NIAGARA | NY | 43.207055 | -78.467602 | FMC CORP | FMC CORP | Chemicals | 59.81 | 0.0 | 2 | Cumene | 9 | FMC |  |  |  |  | True
110000328306 | 14733MNFRX501NE | MONOFRAX LLC | FALCONER | CHAUTAUQUA | NY | 42.116374 | -79.183783 | SAINT-GOBAIN CORP | SAINT-GOBAIN CORP | Nonmetallic Mineral Product | 250.0 | 0.0 | 0 |  | 1 | RHI MONOFRAX LTD |  |  |  |  | True
110000328388 | 14760HYSLL211FR | SOLEPOXY INC. | OLEAN | CATTARAUGUS | NY | 42.095437 | -78.440284 |  |  | Chemicals | 7.272 | 0.022 | 1 | Hexachlorobenzene | 3 | HENKEL CORPORATION | HENKEL CORPORATION | Henkel AG & Co. KGaA | exact |  | True
110000848673 | 14605MTKPW255NU | AMETEK POWER INSTRUMENTS | ROCHESTER | MONROE | NY | 43.164775 | -77.591574 | AMETEK INC | AMETEK INC | Computers and Electronic Products | 0.17 | 0.17 | 1 | Lead | 1 | AMETEK INC | AMETEK, INC. | AMETEK, INC. | exact | 1037868 | True
110000874162 | 13057NRNMC6635K | ANAREN MICROWAVE INC | EAST SYRACUSE | ONONDAGA | NY | 43.076663 | -76.062226 |  |  | Computers and Electronic Products | 0.0 | 0.0 | 1 | Lead | 1 | ANAREN MICROWAVE INC |  |  |  |  | True
110000323953 | 11742RCHRD607UN | RICHARD M FLYNN POWER PLANT | HOLTSVILLE | SUFFOLK | NY | 40.813425 | -73.066183 |  | NEW YORK POWER AUTHORITY | Electric Utilities | 24.9 | 2.1 | 1 | Naphthalene | 3 | RICHARD M FLYNN POWER PLANT |  |  |  |  | True
110071731575 | 8980WJYGLB4451P | JOY GLOBAL ELKO | ELKO | ELKO | NV | 40.807061 | -115.831216 |  |  | Other | 5.0 | 0.0 | 0 |  | 1 | JOY GLOBAL ELKO |  |  |  |  | True
110000324863 | 12801MSGLD21ROG | AMES GOLDSMITH CORP | GLENS FALLS | WARREN | NY | 43.311986 | -73.626687 |  | AMES GOLDSMITH CORP | Primary Metals | 216.0 | 8.0 | 1 | Formaldehyde | 4 | AMES GOLDSMITH CORP | AMES GOLDSMITH CORP. | AMES GOLDSMITH CORP. | exact |  | True
(21761 rows; csv has all)
