-- K08 name samples: 15 hash-picked 1990s companies at each of the top 3 addresses, and 15 from everywhere else in 1992
GRP | ID | D | NM | TY | ST | RA
FOURTHFLOORDOLLARDHOUSE | 277515 | 1997-12-18 | SAXONLEAD LIMITED | Single member private company limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN 2
FOURTHFLOORDOLLARDHOUSE | 288010 | 1998-06-16 | GOODSPORT LIMITED | Single member private company limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN 2
REST_1992 | 183362 | 1992-01-20 | CENTRUM TRADING LIMITED | Private limited by shares | Dissolved | 25 ST STEPHENS GREEN, DUBLIN 2, DUBLIN 2, DUBLIN
REST_1992 | 183582 | 1992-01-24 | BARUM INTERNATIONAL LIMITED | Private limited by shares | Dissolved | 28-30 EXCHEQUER STREET, DUBLIN 2, DUBLIN, DUBLIN, Ireland
REST_1992 | 184192 | 1992-02-05 | GEMMEX LIMITED | Private limited by shares | Dissolved | 28-30 EXCHEQUER STREET, DUBLIN 2, DUBLIN 2, DUBLIN
REST_1992 | 184328 | 1992-02-07 | ROYAL-KNIGHT INTERNATIONAL LIMITED | Private limited by shares | Dissolved | THIRD FLOOR, 27/29 LOWER PEMBORKE STREET, DUBLIN 2., DUBLIN
REST_1992 | 184967 | 1992-02-24 | EVERLOOK TRADING LIMITED | Private limited by shares | Dissolved | 22 RICHMOND HILL, DUBLIN 6, DUBLIN 6, DUBLIN
REST_1992 | 185913 | 1992-03-16 | COLLECTION MANAGEMENT SERVICES LIMITED | Private limited by shares | Dissolved | 48 CLONTARF ROAD, DUBLIN 3, CLONTARF,DUBLIN, CLONTARF, DUBLIN
REST_1992 | 185987 | 1992-03-18 | TONY AHERN ELECTRICAL LIMITED | Private limited by shares | Dissolved | 4 KNIGHTS COURT, OLD YOUGHAL ROAD, CORK, CORK
REST_1992 | 187383 | 1992-04-15 | SMITHKLINE BEECHAM (MANUFACTURING) LIMITED | LTD - Private Company Limited by Shares | Dissolved | BDO, Beaux Lane House, Mercer Street Lower, DUBLIN, D02 DH60
REST_1992 | 187685 | 1992-04-22 | USHERS HOLDINGS LIMITED | Private limited by shares | Dissolved | TANEY HALL, EGLINTON TERRACE, DUNDRUM DUBLIN 14, DUNDRUM,DUBLIN
REST_1992 | 191053 | 1992-07-07 | FAIRHILL TRADING COMPANY LIMITED | Private limited by shares | Dissolved | GRIANAN HOUSE, DOUGLAS WEST, CORK, CORK
REST_1992 | 191807 | 1992-07-29 | LUBE TECH LIMITED | Private limited by shares | Dissolved | GORTROE, NEWCASTLEWEST, NEWCASTLE WEST,LIMERICK, NEWCASTLE WEST, LIMER
REST_1992 | 191976 | 1992-08-04 | DENVER LEISURE LIMITED | Single member private company limited by shares | Dissolved | CARROLLS FIELD, THE BACK ROAD, EDENDERRY CO.OFFALY, EDENDERRY,OFFALY
REST_1992 | 192841 | 1992-08-28 | AMCON DESIGN & DEVELOPMENT LIMITED | Private limited by shares | Dissolved | Unit A2, Riverview Business Park, New Nangor Road Clondalkin Dublin 22
REST_1992 | 195652 | 1992-11-13 | RUSSO-BALT LIMITED | Private limited by shares | Dissolved | ST. MICHAEL'S CLOSE, 1-3 HIGH STREET, DUBLIN 8, DUBLIN
REST_1992 | 195794 | 1992-11-18 | THOMSON HILL LIMITED | Private limited by shares | Dissolved | LISADELL, CLONDRA,LONGFORD, CLONDRA, LONGFORD
(60 rows)
