select FILING_YEAR, FILING_PERIOD, FILING_TYPE, upper(REGISTRANT_NAME) reg, REGISTRANT_ID, upper(CLIENT_NAME) cli, CLIENT_ID, INCOME, EXPENSES, DT_POSTED, FILING_UUID, TERMINATION_DATE,
 count(*) over (partition by FILING_UUID) uuid_dups
from LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS
where upper(CLIENT_NAME) like '%LAS VEGAS SANDS%' and FILING_YEAR >= '2021'
order by FILING_YEAR, reg, FILING_PERIOD, DT_POSTED

[04] 107 rows
FILING_YEAR | FILING_PERIOD | FILING_TYPE | REG | REGISTRANT_ID | CLI | CLIENT_ID | INCOME | EXPENSES | DT_POSTED | FILING_UUID | TERMINATION_DATE | UUID_DUPS
2023 | third_quarter | Q3 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2023-10-20T09:26:10-04:00 | 0e46ca1a-38b3-430a-8069-83532b5de953 |  | 1
2023 | first_quarter | Q1 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2023-04-20T21:42:45-04:00 | c4e97d2a-cc90-4ba5-8eda-78b96a11232c |  | 1
2023 | fourth_quarter | Q4 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2024-01-19T15:38:27-05:00 | f1c560c3-ff0b-48bb-9a30-c6fd1efb78cf |  | 1
2023 | second_quarter | Q2 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2023-07-19T10:35:15-04:00 | fc7dad04-e1dd-4378-acba-7a8a4eaf86f9 |  | 1
2023 | third_quarter | Q3 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2023-10-18T12:45:53-04:00 | ff607d4a-60a9-4431-90ba-7de49c45dbe4 |  | 1
2024 | first_quarter | Q1 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2024-04-22T18:09:43-04:00 | 9dd040e4-da11-4a30-98c1-17056e906eff |  | 1
2024 | fourth_quarter | Q4 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2025-01-21T20:11:09-05:00 | 0bdcf1b4-550a-41be-94d1-f373ee9f78c4 |  | 1
2024 | second_quarter | Q2 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2024-07-22T17:41:47-04:00 | 1f8c8685-f856-48cd-b5a1-3acf06fc1e3a |  | 1
2024 | third_quarter | Q3 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2024-10-21T18:12:12-04:00 | 20fba7da-9398-47f1-948e-6f4b9f302d4e |  | 1
2024 | first_quarter | Q1 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2024-04-20T14:04:49-04:00 | e36526c7-bbdd-4ef9-ad71-fd023137d7db |  | 1
2024 | fourth_quarter | Q4 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2025-01-14T16:12:45-05:00 | cd0aa56e-26c4-466a-a06c-620d843b6068 |  | 1
