-- S09 Wayback CDX table: what URL shapes it holds (digits collapsed to #), since S06 matched nothing
SHAPE | N | URLS | EX | EX_KEY | T0 | T1
https://www.justice.gov/epstein/doj-disclosures/court-records-state-florida-v-epstein-no-#-#-cf-#-axxx-mb-fla-#th-cir-ct-# | 205 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-state-florida-v-epstein-no-50-2006-cf-009454-axxx-mb-fla-15th-cir-ct-2006 | gov,justice)/epstein/doj-disclosures/court-records-state-florida-v-epstein-no-50-2006-cf-009454-axxx-mb-fla-15th-cir-ct-2006 | 2026-02-25 16:40:48 | 2026-06-09 00:10:05
https://www.justice.gov/epstein/doj-disclosures/court-records-v-epstein-no-#-cv-#-sd-fla-# | 205 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-epstein-no-910-cv-80447-sd-fla-2010 | gov,justice)/epstein/doj-disclosures/court-records-v-epstein-no-910-cv-80447-sd-fla-2010 | 2026-02-25 16:43:53 | 2026-06-09 00:10:04
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-#-v-indyke-no-#-cv-#-sdny-# | 204 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-1000-v-indyke-no-119-cv-10577-sdny-2019 | gov,justice)/epstein/doj-disclosures/court-records-doe-1000-v-indyke-no-119-cv-10577-sdny-2019 | 2026-02-22 13:45:50 | 2026-06-09 00:10:03
https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-epstein-no-#-cr-#-sdny-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-epstein-no-119-cr-00490-sdny-2019?page=1 | gov,justice)/epstein/doj-disclosures/court-records-united-states-v-epstein-no-119-cr-00490-sdny-2019?page=1 | 2026-03-04 04:20:48 | 2026-06-09 00:10:17
https://www.justice.gov/epstein/doj-disclosures/court-records-v-nine-east-#st-street-no-#-cv-#-sdny-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-nine-east-71st-street-no-119-cv-07625-sdny-2019?page=1 | gov,justice)/epstein/doj-disclosures/court-records-v-nine-east-71st-street-no-119-cv-07625-sdny-2019?page=1 | 2026-03-04 04:22:36 | 2026-06-09 00:10:16
https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-noel-no-#-cr-#-sdny-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-noel-no-119-cr-00830-sdny-2019?page=0 | gov,justice)/epstein/doj-disclosures/court-records-united-states-v-noel-no-119-cr-00830-sdny-2019?page=0 | 2026-03-04 04:23:22 | 2026-06-09 00:10:17
https://www.justice.gov/epstein/doj-disclosures/court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-#-cv-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-123-cv-03903?page=1 | gov,justice)/epstein/doj-disclosures/court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-123-cv-03903?page=1 | 2026-03-04 04:23:22 | 2026-06-09 00:10:15
https://www.justice.gov/epstein/doj-disclosures/court-records-maxwell-v-estate-jeffrey-epstein-no-st-#-cv-#-vi-super-ct-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-maxwell-v-estate-jeffrey-epstein-no-st-20-cv-155-vi-super-ct-2020?page=0 | gov,justice)/epstein/doj-disclosures/court-records-maxwell-v-estate-jeffrey-epstein-no-st-20-cv-155-vi-super-ct-2020?page=0 | 2026-03-04 04:21:02 | 2026-06-09 00:10:15
https://www.justice.gov/epstein/doj-disclosures/court-records-v-maxwell-no-#-mc-#-sdny-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-maxwell-no-117-mc-00025-sdny-2016?page=1 | gov,justice)/epstein/doj-disclosures/court-records-v-maxwell-no-117-mc-00025-sdny-2016?page=1 | 2026-03-04 04:22:36 | 2026-06-09 00:10:16
https://www.justice.gov/epstein/doj-disclosures/court-records-v-epstein-no-#-cv-#-sd-fla-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-epstein-no-910-cv-81111-sd-fla-2010?page=0 | gov,justice)/epstein/doj-disclosures/court-records-v-epstein-no-910-cv-81111-sd-fla-2010?page=0 | 2026-03-04 04:22:52 | 2026-06-09 00:10:15
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-epstein-no-#-v-#-sd-fla-#?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-epstein-no-909-v-80469-sd-fla-2009?page=0 | gov,justice)/epstein/doj-disclosures/court-records-doe-v-epstein-no-909-v-80469-sd-fla-2009?page=0 | 2026-03-04 04:21:41 | 2026-06-09 00:10:12
https://www.justice.gov/epstein/doj-disclosures/foia-florida?page=# | 194 | 2 | https://www.justice.gov/epstein/doj-disclosures/foia-florida?page=0 | gov,justice)/epstein/doj-disclosures/foia-florida?page=0 | 2026-03-04 04:22:33 | 2026-06-09 00:10:17
https://www.justice.gov/epstein/doj-disclosures/bop-video-footage | 107 | 1 | https://www.justice.gov/epstein/doj-disclosures/bop-video-footage | gov,justice)/epstein/doj-disclosures/bop-video-footage | 2026-02-22 14:01:27 | 2026-06-09 00:10:05
https://www.justice.gov/epstein/doj-disclosures/foia-federal-bureau-prisons-bop | 105 | 1 | https://www.justice.gov/epstein/doj-disclosures/foia-federal-bureau-prisons-bop | gov,justice)/epstein/doj-disclosures/foia-federal-bureau-prisons-bop | 2026-02-22 13:45:42 | 2026-06-09 00:10:05
https://www.justice.gov/epstein/doj-disclosures/court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-#-#-ca-#-xxxx-mb | 105 | 1 | https://www.justice.gov/epstein/doj-disclosures/court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb | gov,justice)/epstein/doj-disclosures/court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb | 2026-02-24 05:37:16 | 2026-06-09 00:10:03
https://www.justice.gov/epstein/doj-disclosures/court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-#-cv-# | 104 | 1 | https://www.justice.gov/epstein/doj-disclosures/court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-123-cv-03903 | gov,justice)/epstein/doj-disclosures/court-records-operating-engineers-construction-industry-and-miscellaneous-pension-fund-v-dimon-no-123-cv-03903 | 2026-02-25 16:44:13 | 2026-06-09 00:10:04
https://www.justice.gov/epstein/doj-disclosures/court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-#-cv-#-sdny-# | 104 | 1 | https://www.justice.gov/epstein/doj-disclosures/court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-122-cv-10904-sdny-2022 | gov,justice)/epstein/doj-disclosures/court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-122-cv-10904-sdny-2022 | 2026-02-25 16:45:43 | 2026-06-09 00:10:04
https://www.justice.gov/epstein/doj-disclosures/first-phase-declassified-epstein-files | 104 | 1 | https://www.justice.gov/epstein/doj-disclosures/first-phase-declassified-epstein-files | gov,justice)/epstein/doj-disclosures/first-phase-declassified-epstein-files | 2026-02-22 14:08:13 | 2026-06-09 00:10:05
https://www.justice.gov/epstein/doj-disclosures/court-records-jane-doe-#-v-epstein-no-#-cv-#-sdny-# | 104 | 1 | https://www.justice.gov/epstein/doj-disclosures/court-records-jane-doe-43-v-epstein-no-117-cv-00616-sdny-2017 | gov,justice)/epstein/doj-disclosures/court-records-jane-doe-43-v-epstein-no-117-cv-00616-sdny-2017 | 2026-02-25 16:45:08 | 2026-06-09 00:10:04
(60 rows; csv has all)
