dbt-fusion 2.0.0-preview.218
   Loading profiles.yml
   Started resolving packages from packages.yml
    Passed [  0.28s] test  not_null_lead_queue_confidence_tier
    Passed [  2.16s] test  assert_ripple_time_standard
    Passed [  0.13s] test  not_null_lead_queue_priority_rank
    Passed [  0.23s] test  accepted_values_lead_queue_review_state__pending__needs_work
    Passed [  0.25s] test  not_null_lead_queue_receipt_verdict
    Passed [  0.13s] test  not_null_lead_queue_evidence_sql
    Passed [  0.13s] test  not_null_lead_queue_first_name_conflict
    Passed [  0.24s] test  not_null_lead_queue_entity_a_key_type
    Passed [  0.14s] test  accepted_values_lead_queue_confidence_tier__FACT_GRADE_3_SOURCE__TWO_SOURCE__NPPES_CONFLICT__LEIE_ROW_MISSING__HARD_ID_ONLY
    Passed [  0.14s] test  dbt_utils_expression_is_true_lead_queue_headline__NOT_LIKE_None_
    Passed [  0.26s] test  not_null_lead_queue_lead_id
    Passed [  0.28s] test  dbt_utils_expression_is_true_lead_queue_headline__NOT_LIKE_NULL_
    Passed [  0.21s] test  accepted_values_lead_queue_receipt_verdict__PAID_ON_OR_AFTER_EXCLUSION__PAYMENTS_PREDATE_EXCLUSION__TIMELINE_UNKNOWN__NOT_EVALUATED
    Passed [  0.34s] test  not_null_lead_queue_entity_a_key_value
    Passed [  0.22s] test  unique_lead_queue_priority_rank
    Passed [  0.19s] test  unique_lead_queue_lead_id
    Passed [  0.14s] test  not_null_lead_queue_detector
    Passed [  0.14s] test  dbt_utils_expression_is_true_lead_queue_headline__NOT_LIKE_
    Passed [  0.16s] test  not_null_lead_queue_priority_score
    Passed [  0.16s] test  accepted_values_lead_queue_detector__banned_but_paid__excluded_but_billing__banned_but_operating__debarred_but_funded__sanctioned_vessel_broadcasting__sanctioned_vessel_broadcasting_v2__sec_filer_in_irs_bmf__osha_cohort_outlier_2024
 Succeeded [  4m36s] model HEALTH.health__fed_dea_arcos (table)
    Passed [  0.32s] test  not_null_health__fed_dea_arcos_transaction_id
    Passed [  0.32s] test  not_null_health__fed_dea_arcos_transaction_code
    Passed [  0.44s] test  not_null_health__fed_dea_arcos_drug_code

====================== Test Failures =======================
Test failed (4 failed row(s)): not_null_justice__intl_hudoc_country
Test failed (57 failed row(s)): not_null_justice__intl_hudoc_appno
Test failed (2334 failed row(s)): not_null_justice__intl_hudoc_ecli

=================== Errors and Warnings ====================
[error] [JinjaError (dbt1501)]: Error executing materialization macro 'dbt_snowflake.materialization_table_snowflake' for model model.ripple.politics__fed_doj_epstein_library: Failed to eval the compiled Jinja expression invalid operation: Compilation Error for model.ripple.politics__fed_doj_epstein_library from models/marts/politics/politics__fed_doj_epstein_library.sql: BLOCKED: politics__fed_doj_epstein_library is a dbt MIRROR of a Python-built canonical POLITICS table (STANDING POLICY no_selectorless_dbt_build, build-state.md). Running dbt build/run against it would silently overwrite audited, OpenFEC/GovTrack-reconciled numbers with dbt's own untested SQL -- no error, no warning, just different numbers. `dbt test` is unaffected by this guard and still runs normally. To deliberately rebuild this one model on purpose, pass --vars '{"allow_politics_rebuild": true}' and be sure that's really what you mean to do.
(in run\ripple\models/marts/politics\politics__fed_doj_epstein_library.sql)
(in dbt_internal_packages\dbt-snowflake\macros\materializations\table.sql:21:3)
(in dbt_internal_packages\dbt-adapters\macros\materializations\hooks.sql:9:23)
(in dbt_internal_packages\dbt-adapters\macros\materializations\hooks.sql:2:1)
(in macros\guard_politics_mirror.sql:46:1)
  --> run\ripple\models/marts/politics\politics__fed_doj_epstein_library.sql
[error] [JinjaError (dbt1501)]: Error executing materialization macro 'dbt_snowflake.materialization_table_snowflake' for model model.ripple.politics__member_voting_record: Failed to eval the compiled Jinja expression invalid operation: Compilation Error for model.ripple.politics__member_voting_record from models/marts/politics/politics__member_voting_record.sql: BLOCKED: politics__member_voting_record is a dbt MIRROR of a Python-built canonical POLITICS table (STANDING POLICY no_selectorless_dbt_build, build-state.md). Running dbt build/run against it would silently overwrite audited, OpenFEC/GovTrack-reconciled numbers with dbt's own untested SQL -- no error, no warning, just different numbers. `dbt test` is unaffected by this guard and still runs normally. To deliberately rebuild this one model on purpose, pass --vars '{"allow_politics_rebuild": true}' and be sure that's really what you mean to do.
(in run\ripple\models/marts/politics\politics__member_voting_record.sql)
(in dbt_internal_packages\dbt-snowflake\macros\materializations\table.sql:21:3)
(in dbt_internal_packages\dbt-adapters\macros\materializations\hooks.sql:9:23)
(in dbt_internal_packages\dbt-adapters\macros\materializations\hooks.sql:2:1)
(in macros\guard_politics_mirror.sql:46:1)
  --> run\ripple\models/marts/politics\politics__member_voting_record.sql

==================== Execution Summary =====================
Finished 'build' with 3 warnings and 5 errors for target 'dev' [5m 48s]
Processed: 28 models | 196 tests
Summary: 224 total | 209 success | 3 warn | 5 error | 7 skipped
