source,target,tier,key,matched,match_rate
PORTAL_SOC_CAMBRIDGE_OPEN_D_D1389AFE1E,PORTAL_SOC_TEXAS_OPEN_DATA_EADC02D661,STRONG,NAICS,24,17.5
PORTAL_SOC_TEXAS_OPEN_DATA_A415622C5D,PORTAL_SOC_UTAH_OPEN_DATA_P_B5E39C25F8,STRONG,NAICS,19,17.4
PORTAL_SOC_UTAH_OPEN_DATA_P_5A037856FE,PORTAL_SOC_UTAH_OPEN_DATA_P_728FDA9FB7,STRONG,NAICS,17,17.5
FED_CMS_HOME_HEALTH,PORTAL_ARC_HARRIS_COUNTY_OP_1966AC023B,GEO,ZIP,10,30.3
PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,PORTAL_ARC_TUCSON_OPEN_DATA_4B31591F91,STRONG,DOCKET,9,18.0
PORTAL_ARC_TUCSON_OPEN_DATA_4B31591F91,PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,STRONG,DOCKET,9,18.0
PORTAL_SOC_UTAH_OPEN_DATA_P_327D0E821D,PORTAL_SOC_UTAH_OPEN_DATA_P_C357F1F9E1,GEO,ZIP,6,22.2
FED_CMS_DIALYSIS,PORTAL_ARC_ORANGE_COUNTY_OP_41E4E2185F,GEO,ZIP,5,31.2
FED_CMS_IRF,PORTAL_SOC_OPEN_DATA_BR_FC0D2DAA2B,GEO,ZIP,5,21.7
PORTAL_ARC_LA_COUNTY_OPEN_D_2E79EB67C8,PORTAL_SOC_AUSTIN_OPEN_DATA_B5E56C7A67,STRONG,NAICS,4,17.4
PORTAL_ARC_HARRIS_COUNTY_OP_A2DAE85C30,PORTAL_ARC_HARRIS_COUNTY_OP_B86519B42D,GEO,ZIP,4,18.2
PORTAL_ARC_LA_COUNTY_OPEN_D_2E79EB67C8,PORTAL_SOC_TEXAS_OPEN_DATA_EADC02D661,STRONG,NAICS,4,17.4
PORTAL_ARC_HARRIS_COUNTY_OP_12691A85A0,PORTAL_ARC_HARRIS_COUNTY_OP_A2C8055EFB,GEO,ZIP,4,18.2
PORTAL_ARC_HARRIS_COUNTY_OP_A2C8055EFB,PORTAL_ARC_HARRIS_COUNTY_OP_A2DAE85C30,GEO,ZIP,4,18.2
PORTAL_ARC_HARRIS_COUNTY_OP_12691A85A0,PORTAL_ARC_HARRIS_COUNTY_OP_B86519B42D,GEO,ZIP,4,18.2
FED_CMS_HCRIS,PORTAL_ARC_WISCONSIN_OPEN_D_5206358BDD,CORROBORATED,NAME@ZIP,192,31.9
PORTAL_ARC_TUCSON_OPEN_DATA_3D7C82E432,PORTAL_ARC_TUCSON_OPEN_DATA_A54A25CA53,STRONG,DOCKET,114,17.5
PORTAL_ARC_TUCSON_OPEN_DATA_3D7C82E432,PORTAL_ARC_TUCSON_OPEN_DATA_E9360F6C40,GEO,ZIP,82,22.0
PORTAL_ARC_TUCSON_OPEN_DATA_C92A89BB0D,PORTAL_ARC_TUCSON_OPEN_DATA_E9360F6C40,GEO,ZIP,81,21.7
PORTAL_ARC_ATLANTA_DATAATLA_610443017C,PORTAL_ARC_ATLANTA_DATAATLA_DDCDF8F47F,STRONG,NAICS,56,17.6
FED_FARA_BULK,PORTAL_ARC_LA_COUNTY_OPEN_D_6F0FCB8A75,GEO,ZIP,50,22.9
